Year,iso_code3,cost_enfu_fuel_diesel_usd_per_m3
2034,AUS,930.0
2035,AUS,930.0
2036,AUS,930.0
2037,AUS,930.0
2038,AUS,930.0
2039,AUS,930.0
2040,AUS,930.0
2041,AUS,930.0
2042,AUS,930.0
2043,AUS,930.0
2044,AUS,930.0
2045,AUS,930.0
2046,AUS,930.0
2047,AUS,930.0
2048,AUS,930.0
2049,AUS,930.0
2050,AUS,930.0
2021,AUT,1507.5
2022,AUT,1507.5
2023,AUT,1507.5
2024,AUT,1507.5
2025,AUT,1507.5
2026,AUT,1507.5
2027,AUT,1507.5
2028,AUT,1507.5
2029,AUT,1507.5
2030,AUT,1507.5
2031,AUT,1507.5
2032,AUT,1507.5
2033,AUT,1507.5
2034,AUT,1507.5
2035,AUT,1507.5
2036,AUT,1507.5
2037,AUT,1507.5
2038,AUT,1507.5
2039,AUT,1507.5
2040,AUT,1507.5
2041,AUT,1507.5
2042,AUT,1507.5
2043,AUT,1507.5
2044,AUT,1507.5
2045,AUT,1507.5
2046,AUT,1507.5
2047,AUT,1507.5
2048,AUT,1507.5
2049,AUT,1507.5
2050,AUT,1507.5
2021,AZE,1635.0
2022,AZE,1635.0
2023,AZE,1635.0
2024,AZE,1635.0
2025,AZE,1635.0
2026,AZE,1635.0
2027,AZE,1635.0
2028,AZE,1635.0
2029,AZE,1635.0
2030,AZE,1635.0
2031,AZE,1635.0
2032,AZE,1635.0
2033,AZE,1635.0
2034,AZE,1635.0
2035,AZE,1635.0
2036,AZE,1635.0
2037,AZE,1635.0
2038,AZE,1635.0
2039,AZE,1635.0
2040,AZE,1635.0
2041,AZE,1635.0
2042,AZE,1635.0
2043,AZE,1635.0
2044,AZE,1635.0
2045,AZE,1635.0
2046,AZE,1635.0
2047,AZE,1635.0
2048,AZE,1635.0
2049,AZE,1635.0
2050,AZE,1635.0
2021,BDI,1840.4389266888888
2022,BDI,1840.4389266888888
2023,BDI,1840.4389266888888
2024,BDI,1840.4389266888888
2025,BDI,1840.4389266888888
2026,BDI,1840.4389266888888
2027,BDI,1840.4389266888888
2028,BDI,1840.4389266888888
2029,BDI,1840.4389266888888
2030,BDI,1840.4389266888888
2031,BDI,1840.4389266888888
2032,BDI,1840.4389266888888
2033,BDI,1840.4389266888888
2034,BDI,1840.4389266888888
2035,BDI,1840.4389266888888
2036,BDI,1840.4389266888888
2037,BDI,1840.4389266888888
2038,BDI,1840.4389266888888
2039,BDI,1840.4389266888888
2040,BDI,1840.4389266888888
2041,BDI,1840.4389266888888
2042,BDI,1840.4389266888888
2043,BDI,1840.4389266888888
2044,BDI,1840.4389266888888
2045,BDI,1840.4389266888888
2046,BDI,1840.4389266888888
2047,BDI,1840.4389266888888
2048,BDI,1840.4389266888888
2049,BDI,1840.4389266888888
2050,BDI,1840.4389266888888
2021,BEL,1658.75
2022,BEL,1658.75
2023,BEL,1658.75
2024,BEL,1658.75
2025,BEL,1658.75
2026,BEL,1658.75
2027,BEL,1658.75
2028,BEL,1658.75
2029,BEL,1658.75
2030,BEL,1658.75
2031,BEL,1658.75
2032,BEL,1658.75
2033,BEL,1658.75
2034,BEL,1658.75
2035,BEL,1658.75
2036,BEL,1658.75
2037,BEL,1658.75
2038,BEL,1658.75
2039,BEL,1658.75
2040,BEL,1658.75
2041,BEL,1658.75
2042,BEL,1658.75
2043,BEL,1658.75
2044,BEL,1658.75
2045,BEL,1658.75
2046,BEL,1658.75
2047,BEL,1658.75
2048,BEL,1658.75
2049,BEL,1658.75
2050,BEL,1658.75
2021,BEN,1840.4389266888888
2022,BEN,1840.4389266888888
2023,BEN,1840.4389266888888
2024,BEN,1840.4389266888888
2025,BEN,1840.4389266888888
2026,BEN,1840.4389266888888
2027,BEN,1840.4389266888888
2028,BEN,1840.4389266888888
2029,BEN,1840.4389266888888
2030,BEN,1840.4389266888888
2031,BEN,1840.4389266888888
2032,BEN,1840.4389266888888
2033,BEN,1840.4389266888888
2034,BEN,1840.4389266888888
2035,BEN,1840.4389266888888
2036,BEN,1840.4389266888888
2037,BEN,1840.4389266888888
2038,BEN,1840.4389266888888
2039,BEN,1840.4389266888888
2040,BEN,1840.4389266888888
2041,BEN,1840.4389266888888
2042,BEN,1840.4389266888888
2043,BEN,1840.4389266888888
2044,BEN,1840.4389266888888
2045,BEN,1840.4389266888888
2046,BEN,1840.4389266888888
2047,BEN,1840.4389266888888
2048,BEN,1840.4389266888888
2049,BEN,1840.4389266888888
2050,BEN,1840.4389266888888
2021,BFA,1840.4389266888888
2022,BFA,1840.4389266888888
2023,BFA,1840.4389266888888
2024,BFA,1840.4389266888888
2025,BFA,1840.4389266888888
2026,BFA,1840.4389266888888
2027,BFA,1840.4389266888888
2028,BFA,1840.4389266888888
2029,BFA,1840.4389266888888
2030,BFA,1840.4389266888888
2031,BFA,1840.4389266888888
2032,BFA,1840.4389266888888
2033,BFA,1840.4389266888888
2034,BFA,1840.4389266888888
2035,BFA,1840.4389266888888
2036,BFA,1840.4389266888888
2037,BFA,1840.4389266888888
2038,BFA,1840.4389266888888
2039,BFA,1840.4389266888888
2040,BFA,1840.4389266888888
2041,BFA,1840.4389266888888
2042,BFA,1840.4389266888888
2043,BFA,1840.4389266888888
2044,BFA,1840.4389266888888
2045,BFA,1840.4389266888888
2046,BFA,1840.4389266888888
2047,BFA,1840.4389266888888
2048,BFA,1840.4389266888888
2049,BFA,1840.4389266888888
2050,BFA,1840.4389266888888
2021,BGD,2330.0
2022,BGD,2330.0
2023,BGD,2330.0
2024,BGD,2330.0
2025,BGD,2330.0
2026,BGD,2330.0
2027,BGD,2330.0
2028,BGD,2330.0
2029,BGD,2330.0
2030,BGD,2330.0
2031,BGD,2330.0
2032,BGD,2330.0
2033,BGD,2330.0
2034,BGD,2330.0
2035,BGD,2330.0
2036,BGD,2330.0
2037,BGD,2330.0
2038,BGD,2330.0
2039,BGD,2330.0
2040,BGD,2330.0
2041,BGD,2330.0
2042,BGD,2330.0
2043,BGD,2330.0
2044,BGD,2330.0
2045,BGD,2330.0
2046,BGD,2330.0
2047,BGD,2330.0
2048,BGD,2330.0
2049,BGD,2330.0
2050,BGD,2330.0
2021,BGR,3332.857143
2022,BGR,3332.857143
2023,BGR,3332.857143
2024,BGR,3332.857143
2025,BGR,3332.857143
2026,BGR,3332.857143
2027,BGR,3332.857143
2028,BGR,3332.857143
2029,BGR,3332.857143
2030,BGR,3332.857143
2031,BGR,3332.857143
2032,BGR,3332.857143
2033,BGR,3332.857143
2034,BGR,3332.857143
2035,BGR,3332.857143
2036,BGR,3332.857143
2037,BGR,3332.857143
2038,BGR,3332.857143
2039,BGR,3332.857143
2040,BGR,3332.857143
2041,BGR,3332.857143
2042,BGR,3332.857143
2043,BGR,3332.857143
2044,BGR,3332.857143
2045,BGR,3332.857143
2046,BGR,3332.857143
2047,BGR,3332.857143
2048,BGR,3332.857143
2049,BGR,3332.857143
2050,BGR,3332.857143
2021,BHR,500.0
2022,BHR,500.0
2023,BHR,500.0
2024,BHR,500.0
2025,BHR,500.0
2026,BHR,500.0
2027,BHR,500.0
2028,BHR,500.0
2029,BHR,500.0
2030,BHR,500.0
2031,BHR,500.0
2032,BHR,500.0
2033,BHR,500.0
2034,BHR,500.0
2035,BHR,500.0
2036,BHR,500.0
2037,BHR,500.0
2038,BHR,500.0
2039,BHR,500.0
2040,BHR,500.0
2041,BHR,500.0
2042,BHR,500.0
2043,BHR,500.0
2044,BHR,500.0
2045,BHR,500.0
2046,BHR,500.0
2047,BHR,500.0
2048,BHR,500.0
2049,BHR,500.0
2050,BHR,500.0
2021,BHS,1840.4389266888888
2022,BHS,1840.4389266888888
2023,BHS,1840.4389266888888
2024,BHS,1840.4389266888888
2025,BHS,1840.4389266888888
2026,BHS,1840.4389266888888
2027,BHS,1840.4389266888888
2028,BHS,1840.4389266888888
2029,BHS,1840.4389266888888
2030,BHS,1840.4389266888888
2031,BHS,1840.4389266888888
2032,BHS,1840.4389266888888
2033,BHS,1840.4389266888888
2034,BHS,1840.4389266888888
2035,BHS,1840.4389266888888
2036,BHS,1840.4389266888888
2037,BHS,1840.4389266888888
2038,BHS,1840.4389266888888
2039,BHS,1840.4389266888888
2040,BHS,1840.4389266888888
2041,BHS,1840.4389266888888
2042,BHS,1840.4389266888888
2043,BHS,1840.4389266888888
2044,BHS,1840.4389266888888
2045,BHS,1840.4389266888888
2046,BHS,1840.4389266888888
2047,BHS,1840.4389266888888
2048,BHS,1840.4389266888888
2049,BHS,1840.4389266888888
2050,BHS,1840.4389266888888
2021,BIH,1837.991497
2022,BIH,1837.991497
2023,BIH,1837.991497
2024,BIH,1837.991497
2025,BIH,1837.991497
2026,BIH,1837.991497
2027,BIH,1837.991497
2028,BIH,1837.991497
2029,BIH,1837.991497
2030,BIH,1837.991497
2031,BIH,1837.991497
2032,BIH,1837.991497
2033,BIH,1837.991497
2034,BIH,1837.991497
2035,BIH,1837.991497
2036,BIH,1837.991497
2037,BIH,1837.991497
2038,BIH,1837.991497
2039,BIH,1837.991497
2040,BIH,1837.991497
2041,BIH,1837.991497
2042,BIH,1837.991497
2043,BIH,1837.991497
2044,BIH,1837.991497
2045,BIH,1837.991497
2046,BIH,1837.991497
2047,BIH,1837.991497
2048,BIH,1837.991497
2049,BIH,1837.991497
2050,BIH,1837.991497
2021,BLR,2245.0
2022,BLR,2245.0
2023,BLR,2245.0
2024,BLR,2245.0
2025,BLR,2245.0
2026,BLR,2245.0
2027,BLR,2245.0
2028,BLR,2245.0
2029,BLR,2245.0
2030,BLR,2245.0
2031,BLR,2245.0
2032,BLR,2245.0
2033,BLR,2245.0
2034,BLR,2245.0
2035,BLR,2245.0
2036,BLR,2245.0
2037,BLR,2245.0
2038,BLR,2245.0
2039,BLR,2245.0
2040,BLR,2245.0
2041,BLR,2245.0
2042,BLR,2245.0
2043,BLR,2245.0
2044,BLR,2245.0
2045,BLR,2245.0
2046,BLR,2245.0
2047,BLR,2245.0
2048,BLR,2245.0
2049,BLR,2245.0
2050,BLR,2245.0
2021,BLZ,1840.4389266888888
2022,BLZ,1840.4389266888888
2023,BLZ,1840.4389266888888
2024,BLZ,1840.4389266888888
2025,BLZ,1840.4389266888888
2026,BLZ,1840.4389266888888
2027,BLZ,1840.4389266888888
2028,BLZ,1840.4389266888888
2029,BLZ,1840.4389266888888
2030,BLZ,1840.4389266888888
2031,BLZ,1840.4389266888888
2032,BLZ,1840.4389266888888
2033,BLZ,1840.4389266888888
2034,BLZ,1840.4389266888888
2035,BLZ,1840.4389266888888
2036,BLZ,1840.4389266888888
2037,BLZ,1840.4389266888888
2038,BLZ,1840.4389266888888
2039,BLZ,1840.4389266888888
2040,BLZ,1840.4389266888888
2041,BLZ,1840.4389266888888
2042,BLZ,1840.4389266888888
2043,BLZ,1840.4389266888888
2044,BLZ,1840.4389266888888
2045,BLZ,1840.4389266888888
2046,BLZ,1840.4389266888888
2047,BLZ,1840.4389266888888
2048,BLZ,1840.4389266888888
2049,BLZ,1840.4389266888888
2050,BLZ,1840.4389266888888
2021,BMU,1840.4389266888888
2022,BMU,1840.4389266888888
2023,BMU,1840.4389266888888
2024,BMU,1840.4389266888888
2025,BMU,1840.4389266888888
2026,BMU,1840.4389266888888
2027,BMU,1840.4389266888888
2028,BMU,1840.4389266888888
2029,BMU,1840.4389266888888
2030,BMU,1840.4389266888888
2031,BMU,1840.4389266888888
2032,BMU,1840.4389266888888
2033,BMU,1840.4389266888888
2034,BMU,1840.4389266888888
2035,BMU,1840.4389266888888
2036,BMU,1840.4389266888888
2037,BMU,1840.4389266888888
2038,BMU,1840.4389266888888
2039,BMU,1840.4389266888888
2040,BMU,1840.4389266888888
2041,BMU,1840.4389266888888
2042,BMU,1840.4389266888888
2043,BMU,1840.4389266888888
2044,BMU,1840.4389266888888
2045,BMU,1840.4389266888888
2046,BMU,1840.4389266888888
2047,BMU,1840.4389266888888
2048,BMU,1840.4389266888888
2049,BMU,1840.4389266888888
2050,BMU,1840.4389266888888
2021,BOL,1192.0
2022,BOL,1192.0
2023,BOL,1192.0
2024,BOL,1192.0
2025,BOL,1192.0
2026,BOL,1192.0
2027,BOL,1192.0
2028,BOL,1192.0
2029,BOL,1192.0
2030,BOL,1192.0
2031,BOL,1192.0
2032,BOL,1192.0
2033,BOL,1192.0
2034,BOL,1192.0
2035,BOL,1192.0
2036,BOL,1192.0
2037,BOL,1192.0
2038,BOL,1192.0
2039,BOL,1192.0
2040,BOL,1192.0
2041,BOL,1192.0
2042,BOL,1192.0
2043,BOL,1192.0
2044,BOL,1192.0
2045,BOL,1192.0
2046,BOL,1192.0
2047,BOL,1192.0
2048,BOL,1192.0
2049,BOL,1192.0
2050,BOL,1192.0
2021,BRA,1432.8571430000002
2022,BRA,1432.8571430000002
2023,BRA,1432.8571430000002
2024,BRA,1432.8571430000002
2025,BRA,1432.8571430000002
2026,BRA,1432.8571430000002
2027,BRA,1432.8571430000002
2028,BRA,1432.8571430000002
2029,BRA,1432.8571430000002
2030,BRA,1432.8571430000002
2031,BRA,1432.8571430000002
2032,BRA,1432.8571430000002
2033,BRA,1432.8571430000002
2034,BRA,1432.8571430000002
2035,BRA,1432.8571430000002
2036,BRA,1432.8571430000002
2037,BRA,1432.8571430000002
2038,BRA,1432.8571430000002
2039,BRA,1432.8571430000002
2040,BRA,1432.8571430000002
2041,BRA,1432.8571430000002
2042,BRA,1432.8571430000002
2043,BRA,1432.8571430000002
2044,BRA,1432.8571430000002
2045,BRA,1432.8571430000002
2046,BRA,1432.8571430000002
2047,BRA,1432.8571430000002
2048,BRA,1432.8571430000002
2049,BRA,1432.8571430000002
2050,BRA,1432.8571430000002
2021,BRB,1840.4389266888888
2022,BRB,1840.4389266888888
2023,BRB,1840.4389266888888
2024,BRB,1840.4389266888888
2025,BRB,1840.4389266888888
2026,BRB,1840.4389266888888
2027,BRB,1840.4389266888888
2028,BRB,1840.4389266888888
2029,BRB,1840.4389266888888
2030,BRB,1840.4389266888888
2031,BRB,1840.4389266888888
2032,BRB,1840.4389266888888
2033,BRB,1840.4389266888888
2034,BRB,1840.4389266888888
2035,BRB,1840.4389266888888
2036,BRB,1840.4389266888888
2037,BRB,1840.4389266888888
2038,BRB,1840.4389266888888
2039,BRB,1840.4389266888888
2040,BRB,1840.4389266888888
2041,BRB,1840.4389266888888
2042,BRB,1840.4389266888888
2043,BRB,1840.4389266888888
2044,BRB,1840.4389266888888
2045,BRB,1840.4389266888888
2046,BRB,1840.4389266888888
2047,BRB,1840.4389266888888
2048,BRB,1840.4389266888888
2049,BRB,1840.4389266888888
2050,BRB,1840.4389266888888
2021,BRN,1840.4389266888888
2022,BRN,1840.4389266888888
2023,BRN,1840.4389266888888
2024,BRN,1840.4389266888888
2025,BRN,1840.4389266888888
2026,BRN,1840.4389266888888
2027,BRN,1840.4389266888888
2028,BRN,1840.4389266888888
2029,BRN,1840.4389266888888
2030,BRN,1840.4389266888888
2031,BRN,1840.4389266888888
2032,BRN,1840.4389266888888
2033,BRN,1840.4389266888888
2034,BRN,1840.4389266888888
2035,BRN,1840.4389266888888
2036,BRN,1840.4389266888888
2037,BRN,1840.4389266888888
2038,BRN,1840.4389266888888
2039,BRN,1840.4389266888888
2040,BRN,1840.4389266888888
2041,BRN,1840.4389266888888
2042,BRN,1840.4389266888888
2043,BRN,1840.4389266888888
2044,BRN,1840.4389266888888
2045,BRN,1840.4389266888888
2046,BRN,1840.4389266888888
2047,BRN,1840.4389266888888
2048,BRN,1840.4389266888888
2049,BRN,1840.4389266888888
2050,BRN,1840.4389266888888
2021,BTN,1840.4389266888888
2022,BTN,1840.4389266888888
2023,BTN,1840.4389266888888
2024,BTN,1840.4389266888888
2025,BTN,1840.4389266888888
2026,BTN,1840.4389266888888
2027,BTN,1840.4389266888888
2028,BTN,1840.4389266888888
2029,BTN,1840.4389266888888
2030,BTN,1840.4389266888888
2031,BTN,1840.4389266888888
2032,BTN,1840.4389266888888
2033,BTN,1840.4389266888888
2034,BTN,1840.4389266888888
2035,BTN,1840.4389266888888
2036,BTN,1840.4389266888888
2037,BTN,1840.4389266888888
2038,BTN,1840.4389266888888
2039,BTN,1840.4389266888888
2040,BTN,1840.4389266888888
2041,BTN,1840.4389266888888
2042,BTN,1840.4389266888888
2043,BTN,1840.4389266888888
2044,BTN,1840.4389266888888
2045,BTN,1840.4389266888888
2046,BTN,1840.4389266888888
2047,BTN,1840.4389266888888
2048,BTN,1840.4389266888888
2049,BTN,1840.4389266888888
2050,BTN,1840.4389266888888
2021,BWA,1837.991497
2022,BWA,1837.991497
2023,BWA,1837.991497
2024,BWA,1837.991497
2025,BWA,1837.991497
2026,BWA,1837.991497
2027,BWA,1837.991497
2028,BWA,1837.991497
2029,BWA,1837.991497
2030,BWA,1837.991497
2031,BWA,1837.991497
2032,BWA,1837.991497
2033,BWA,1837.991497
2034,BWA,1837.991497
2035,BWA,1837.991497
2036,BWA,1837.991497
2037,BWA,1837.991497
2038,BWA,1837.991497
2039,BWA,1837.991497
2040,BWA,1837.991497
2041,BWA,1837.991497
2042,BWA,1837.991497
2043,BWA,1837.991497
2044,BWA,1837.991497
2045,BWA,1837.991497
2046,BWA,1837.991497
2047,BWA,1837.991497
2048,BWA,1837.991497
2049,BWA,1837.991497
2050,BWA,1837.991497
2021,CAF,1840.4389266888888
2022,CAF,1840.4389266888888
2023,CAF,1840.4389266888888
2024,CAF,1840.4389266888888
2025,CAF,1840.4389266888888
2026,CAF,1840.4389266888888
2027,CAF,1840.4389266888888
2028,CAF,1840.4389266888888
2029,CAF,1840.4389266888888
2030,CAF,1840.4389266888888
2031,CAF,1840.4389266888888
2032,CAF,1840.4389266888888
2033,CAF,1840.4389266888888
2034,CAF,1840.4389266888888
2035,CAF,1840.4389266888888
2036,CAF,1840.4389266888888
2037,CAF,1840.4389266888888
2038,CAF,1840.4389266888888
2039,CAF,1840.4389266888888
2040,CAF,1840.4389266888888
2041,CAF,1840.4389266888888
2042,CAF,1840.4389266888888
2043,CAF,1840.4389266888888
2044,CAF,1840.4389266888888
2045,CAF,1840.4389266888888
2046,CAF,1840.4389266888888
2047,CAF,1840.4389266888888
2048,CAF,1840.4389266888888
2049,CAF,1840.4389266888888
2050,CAF,1840.4389266888888
2021,CAN,937.5
2022,CAN,937.5
2023,CAN,937.5
2024,CAN,937.5
2025,CAN,937.5
2026,CAN,937.5
2027,CAN,937.5
2028,CAN,937.5
2029,CAN,937.5
2030,CAN,937.5
2031,CAN,937.5
2032,CAN,937.5
2033,CAN,937.5
2034,CAN,937.5
2035,CAN,937.5
2036,CAN,937.5
2037,CAN,937.5
2038,CAN,937.5
2039,CAN,937.5
2040,CAN,937.5
2041,CAN,937.5
2042,CAN,937.5
2043,CAN,937.5
2044,CAN,937.5
2045,CAN,937.5
2046,CAN,937.5
