"iso_code3","Year","frac_wali_ww_domestic_urban_treatment_path_untreated_no_sewerage"
"BFA",2044,0.950718685831622
"BFA",2045,0.950718685831622
"BFA",2046,0.950718685831622
"BFA",2047,0.950718685831622
"BFA",2048,0.950718685831622
"BFA",2049,0.950718685831622
"BFA",2050,0.950718685831622
"BGD",2021,1
"BGD",2022,1
"BGD",2023,1
"BGD",2024,1
"BGD",2025,1
"BGD",2026,1
"BGD",2027,1
"BGD",2028,1
"BGD",2029,1
"BGD",2030,1
"BGD",2031,1
"BGD",2032,1
"BGD",2033,1
"BGD",2034,1
"BGD",2035,1
"BGD",2036,1
"BGD",2037,1
"BGD",2038,1
"BGD",2039,1
"BGD",2040,1
"BGD",2041,1
"BGD",2042,1
"BGD",2043,1
"BGD",2044,1
"BGD",2045,1
"BGD",2046,1
"BGD",2047,1
"BGD",2048,1
"BGD",2049,1
"BGD",2050,1
"BGR",2021,0.463666240736841
"BGR",2022,0.463666240736841
"BGR",2023,0.463666240736841
"BGR",2024,0.463666240736841
"BGR",2025,0.463666240736841
"BGR",2026,0.463666240736841
"BGR",2027,0.463666240736841
"BGR",2028,0.463666240736841
"BGR",2029,0.463666240736841
"BGR",2030,0.463666240736841
"BGR",2031,0.463666240736841
"BGR",2032,0.463666240736841
"BGR",2033,0.463666240736841
"BGR",2034,0.463666240736841
"BGR",2035,0.463666240736841
"BGR",2036,0.463666240736841
"BGR",2037,0.463666240736841
"BGR",2038,0.463666240736841
"BGR",2039,0.463666240736841
"BGR",2040,0.463666240736841
"BGR",2041,0.463666240736841
"BGR",2042,0.463666240736841
"BGR",2043,0.463666240736841
"BGR",2044,0.463666240736841
"BGR",2045,0.463666240736841
"BGR",2046,0.463666240736841
"BGR",2047,0.463666240736841
"BGR",2048,0.463666240736841
"BGR",2049,0.463666240736841
"BGR",2050,0.463666240736841
"BHR",2021,0.0350993377483444
"BHR",2022,0.0350993377483444
"BHR",2023,0.0350993377483444
"BHR",2024,0.0350993377483444
"BHR",2025,0.0350993377483444
"BHR",2026,0.0350993377483444
"BHR",2027,0.0350993377483444
"BHR",2028,0.0350993377483444
"BHR",2029,0.0350993377483444
"BHR",2030,0.0350993377483444
"BHR",2031,0.0350993377483444
"BHR",2032,0.0350993377483444
"BHR",2033,0.0350993377483444
"BHR",2034,0.0350993377483444
"BHR",2035,0.0350993377483444
"BHR",2036,0.0350993377483444
"BHR",2037,0.0350993377483444
"BHR",2038,0.0350993377483444
"BHR",2039,0.0350993377483444
"BHR",2040,0.0350993377483444
"BHR",2041,0.0350993377483444
"BHR",2042,0.0350993377483444
"BHR",2043,0.0350993377483444
"BHR",2044,0.0350993377483444
"BHR",2045,0.0350993377483444
"BHR",2046,0.0350993377483444
"BHR",2047,0.0350993377483444
"BHR",2048,0.0350993377483444
"BHR",2049,0.0350993377483444
"BHR",2050,0.0350993377483444
"BIH",2021,-9.71445146547012e-17
"BIH",2022,-9.71445146547012e-17
"BIH",2023,-9.71445146547012e-17
"BIH",2024,-9.71445146547012e-17
"BIH",2025,-9.71445146547012e-17
"BIH",2026,-9.71445146547012e-17
"BIH",2027,-9.71445146547012e-17
"BIH",2028,-9.71445146547012e-17
"BIH",2029,-9.71445146547012e-17
"BIH",2030,-9.71445146547012e-17
"BIH",2031,-9.71445146547012e-17
"BIH",2032,-9.71445146547012e-17
"BIH",2033,-9.71445146547012e-17
"BIH",2034,-9.71445146547012e-17
"BIH",2035,-9.71445146547012e-17
"BIH",2036,-9.71445146547012e-17
"BIH",2037,-9.71445146547012e-17
"BIH",2038,-9.71445146547012e-17
"BIH",2039,-9.71445146547012e-17
"BIH",2040,-9.71445146547012e-17
"BIH",2041,-9.71445146547012e-17
"BIH",2042,-9.71445146547012e-17
"BIH",2043,-9.71445146547012e-17
"BIH",2044,-9.71445146547012e-17
"BIH",2045,-9.71445146547012e-17
"BIH",2046,-9.71445146547012e-17
"BIH",2047,-9.71445146547012e-17
"BIH",2048,-9.71445146547012e-17
"BIH",2049,-9.71445146547012e-17
"BIH",2050,-9.71445146547012e-17
"BLR",2021,0.341772151898734
"BLR",2022,0.341772151898734
"BLR",2023,0.341772151898734
"BLR",2024,0.341772151898734
"BLR",2025,0.341772151898734
"BLR",2026,0.341772151898734
"BLR",2027,0.341772151898734
"BLR",2028,0.341772151898734
"BLR",2029,0.341772151898734
"BLR",2030,0.341772151898734
"BLR",2031,0.341772151898734
"BLR",2032,0.341772151898734
"BLR",2033,0.341772151898734
"BLR",2034,0.341772151898734
"BLR",2035,0.341772151898734
"BLR",2036,0.341772151898734
"BLR",2037,0.341772151898734
"BLR",2038,0.341772151898734
"BLR",2039,0.341772151898734
"BLR",2040,0.341772151898734
"BLR",2041,0.341772151898734
"BLR",2042,0.341772151898734
"BLR",2043,0.341772151898734
"BLR",2044,0.341772151898734
"BLR",2045,0.341772151898734
"BLR",2046,0.341772151898734
"BLR",2047,0.341772151898734
"BLR",2048,0.341772151898734
"BLR",2049,0.341772151898734
"BLR",2050,0.341772151898734
"BLZ",2021,1
"BLZ",2022,1
"BLZ",2023,1
"BLZ",2024,1
"BLZ",2025,1
"BLZ",2026,1
"BLZ",2027,1
"BLZ",2028,1
"BLZ",2029,1
"BLZ",2030,1
"BLZ",2031,1
"BLZ",2032,1
"BLZ",2033,1
"BLZ",2034,1
"BLZ",2035,1
"BLZ",2036,1
"BLZ",2037,1
"BLZ",2038,1
"BLZ",2039,1
"BLZ",2040,1
"BLZ",2041,1
"BLZ",2042,1
"BLZ",2043,1
"BLZ",2044,1
"BLZ",2045,1
"BLZ",2046,1
"BLZ",2047,1
"BLZ",2048,1
"BLZ",2049,1
"BLZ",2050,1
"BOL",2021,0.773066967100706
"BOL",2022,0.773066967100706
