Year,iso_code3,nemomod_entc_total_annual_max_capacity_pp_hydropower_gw
2031,ECU,4.881480000000001
2032,ECU,4.881480000000001
2033,ECU,4.881480000000001
2034,ECU,4.881480000000001
2035,ECU,4.881480000000001
2036,ECU,4.881480000000001
2037,ECU,4.881480000000001
2038,ECU,4.881480000000001
2039,ECU,4.881480000000001
2040,ECU,4.881480000000001
2041,ECU,4.881480000000001
2042,ECU,4.881480000000001
2043,ECU,4.881480000000001
2044,ECU,4.881480000000001
2045,ECU,4.881480000000001
2046,ECU,4.881480000000001
2047,ECU,4.881480000000001
2048,ECU,4.881480000000001
2049,ECU,4.881480000000001
2050,ECU,4.881480000000001
2021,SLV,0.70395
2022,SLV,0.70395
2023,SLV,0.70395
2024,SLV,0.70395
2025,SLV,0.70395
2026,SLV,0.70395
2027,SLV,0.70395
2028,SLV,0.70395
2029,SLV,0.70395
2030,SLV,0.70395
2031,SLV,0.70395
2032,SLV,0.70395
2033,SLV,0.70395
2034,SLV,0.70395
2035,SLV,0.70395
2036,SLV,0.70395
2037,SLV,0.70395
2038,SLV,0.70395
2039,SLV,0.70395
2040,SLV,0.70395
2041,SLV,0.70395
2042,SLV,0.70395
2043,SLV,0.70395
2044,SLV,0.70395
2045,SLV,0.70395
2046,SLV,0.70395
2047,SLV,0.70395
2048,SLV,0.70395
2049,SLV,0.70395
2050,SLV,0.70395
2021,GTM,1.5114
2022,GTM,1.5114
2023,GTM,1.5114
2024,GTM,1.5114
2025,GTM,1.5114
2026,GTM,1.5114
2027,GTM,1.5114
2028,GTM,1.5114
2029,GTM,1.5114
2030,GTM,1.5114
2031,GTM,1.5114
2032,GTM,1.5114
2033,GTM,1.5114
2034,GTM,1.5114
2035,GTM,1.5114
2036,GTM,1.5114
2037,GTM,1.5114
2038,GTM,1.5114
2039,GTM,1.5114
2040,GTM,1.5114
2041,GTM,1.5114
2042,GTM,1.5114
2043,GTM,1.5114
2044,GTM,1.5114
2045,GTM,1.5114
2046,GTM,1.5114
2047,GTM,1.5114
2048,GTM,1.5114
2049,GTM,1.5114
2050,GTM,1.5114
2021,GUY,0.0
2022,GUY,0.0
2023,GUY,0.0
2024,GUY,0.0
2025,GUY,0.0
2026,GUY,0.0
2027,GUY,0.0
2028,GUY,0.0
2029,GUY,0.0
2030,GUY,0.0
2031,GUY,0.0
2032,GUY,0.0
2033,GUY,0.0
2034,GUY,0.0
2035,GUY,0.0
2036,GUY,0.0
2037,GUY,0.0
2038,GUY,0.0
2039,GUY,0.0
2040,GUY,0.0
2041,GUY,0.0
2042,GUY,0.0
2043,GUY,0.0
2044,GUY,0.0
2045,GUY,0.0
2046,GUY,0.0
2047,GUY,0.0
2048,GUY,0.0
2049,GUY,0.0
2050,GUY,0.0
2021,HND,0.7727550000000001
2022,HND,0.7727550000000001
2023,HND,0.7727550000000001
2024,HND,0.7727550000000001
2025,HND,0.7727550000000001
2026,HND,0.7727550000000001
2027,HND,0.7727550000000001
2028,HND,0.7727550000000001
2029,HND,0.7727550000000001
2030,HND,0.7727550000000001
2031,HND,0.7727550000000001
2032,HND,0.7727550000000001
2033,HND,0.7727550000000001
2034,HND,0.7727550000000001
2035,HND,0.7727550000000001
2036,HND,0.7727550000000001
2037,HND,0.7727550000000001
2038,HND,0.7727550000000001
2039,HND,0.7727550000000001
2040,HND,0.7727550000000001
2041,HND,0.7727550000000001
2042,HND,0.7727550000000001
2043,HND,0.7727550000000001
2044,HND,0.7727550000000001
2045,HND,0.7727550000000001
2046,HND,0.7727550000000001
2047,HND,0.7727550000000001
2048,HND,0.7727550000000001
2049,HND,0.7727550000000001
2050,HND,0.7727550000000001
2021,JAM,0.0222
2022,JAM,0.0222
2023,JAM,0.0222
2024,JAM,0.0222
2025,JAM,0.0222
2026,JAM,0.0222
2027,JAM,0.0222
2028,JAM,0.0222
2029,JAM,0.0222
2030,JAM,0.0222
2031,JAM,0.0222
2032,JAM,0.0222
2033,JAM,0.0222
2034,JAM,0.0222
2035,JAM,0.0222
2036,JAM,0.0222
2037,JAM,0.0222
2038,JAM,0.0222
2039,JAM,0.0222
2040,JAM,0.0222
2041,JAM,0.0222
2042,JAM,0.0222
2043,JAM,0.0222
2044,JAM,0.0222
2045,JAM,0.0222
2046,JAM,0.0222
2047,JAM,0.0222
2048,JAM,0.0222
2049,JAM,0.0222
2050,JAM,0.0222
2021,MEX,18.66435
2022,MEX,18.66435
2023,MEX,18.66435
2024,MEX,18.66435
2025,MEX,18.66435
2026,MEX,18.66435
2027,MEX,18.66435
2028,MEX,18.66435
2029,MEX,18.66435
2030,MEX,18.66435
2031,MEX,18.66435
2032,MEX,18.66435
2033,MEX,18.66435
2034,MEX,18.66435
2035,MEX,18.66435
2036,MEX,18.66435
2037,MEX,18.66435
2038,MEX,18.66435
2039,MEX,18.66435
2040,MEX,18.66435
2041,MEX,18.66435
2042,MEX,18.66435
2043,MEX,18.66435
2044,MEX,18.66435
2045,MEX,18.66435
2046,MEX,18.66435
2047,MEX,18.66435
2048,MEX,18.66435
2049,MEX,18.66435
2050,MEX,18.66435
2021,NIC,0.1566
2022,NIC,0.1566
2023,NIC,0.1566
2024,NIC,0.1566
2025,NIC,0.1566
2026,NIC,0.1566
2027,NIC,0.1566
2028,NIC,0.1566
2029,NIC,0.1566
2030,NIC,0.1566
2031,NIC,0.1566
2032,NIC,0.1566
2033,NIC,0.1566
2034,NIC,0.1566
2035,NIC,0.1566
2036,NIC,0.1566
2037,NIC,0.1566
2038,NIC,0.1566
2039,NIC,0.1566
2040,NIC,0.1566
2041,NIC,0.1566
2042,NIC,0.1566
2043,NIC,0.1566
2044,NIC,0.1566
2045,NIC,0.1566
2046,NIC,0.1566
2047,NIC,0.1566
2048,NIC,0.1566
2049,NIC,0.1566
2050,NIC,0.1566
2021,PAN,1.5943500000000004
2022,PAN,1.5943500000000004
2023,PAN,1.5943500000000004
2024,PAN,1.5943500000000004
2025,PAN,1.5943500000000004
2026,PAN,1.5943500000000004
2027,PAN,1.5943500000000004
2028,PAN,1.5943500000000004
2029,PAN,1.5943500000000004
2030,PAN,1.5943500000000004
2031,PAN,1.5943500000000004
2032,PAN,1.5943500000000004
2033,PAN,1.5943500000000004
2034,PAN,1.5943500000000004
2035,PAN,1.5943500000000004
2036,PAN,1.5943500000000004
2037,PAN,1.5943500000000004
2038,PAN,1.5943500000000004
2039,PAN,1.5943500000000004
2040,PAN,1.5943500000000004
2041,PAN,1.5943500000000004
2042,PAN,1.5943500000000004
2043,PAN,1.5943500000000004
2044,PAN,1.5943500000000004
2045,PAN,1.5943500000000004
2046,PAN,1.5943500000000004
2047,PAN,1.5943500000000004
2048,PAN,1.5943500000000004
2049,PAN,1.5943500000000004
2050,PAN,1.5943500000000004
2021,PRY,13.14
2022,PRY,13.14
2023,PRY,13.14
2024,PRY,13.14
2025,PRY,13.14
2026,PRY,13.14
2027,PRY,13.14
2028,PRY,13.14
2029,PRY,13.14
2030,PRY,13.14
2031,PRY,13.14
2032,PRY,13.14
2033,PRY,13.14
2034,PRY,13.14
2035,PRY,13.14
2036,PRY,13.14
2037,PRY,13.14
2038,PRY,13.14
2039,PRY,13.14
2040,PRY,13.14
2041,PRY,13.14
2042,PRY,13.14
2043,PRY,13.14
2044,PRY,13.14
2045,PRY,13.14
2046,PRY,13.14
2047,PRY,13.14
2048,PRY,13.14
2049,PRY,13.14
2050,PRY,13.14
2021,PER,4.1031
2022,PER,4.1031
2023,PER,4.1031
2024,PER,4.1031
2025,PER,4.1031
2026,PER,4.1031
2027,PER,4.1031
2028,PER,4.1031
2029,PER,4.1031
2030,PER,4.1031
2031,PER,4.1031
2032,PER,4.1031
2033,PER,4.1031
2034,PER,4.1031
2035,PER,4.1031
2036,PER,4.1031
2037,PER,4.1031
2038,PER,4.1031
2039,PER,4.1031
2040,PER,4.1031
2041,PER,4.1031
2042,PER,4.1031
2043,PER,4.1031
2044,PER,4.1031
2045,PER,4.1031
2046,PER,4.1031
2047,PER,4.1031
2048,PER,4.1031
2049,PER,4.1031
2050,PER,4.1031
2021,SUR,0.0
2022,SUR,0.0
2023,SUR,0.0
2024,SUR,0.0
2025,SUR,0.0
2026,SUR,0.0
2027,SUR,0.0
2028,SUR,0.0
2029,SUR,0.0
2030,SUR,0.0
2031,SUR,0.0
2032,SUR,0.0
2033,SUR,0.0
2034,SUR,0.0
2035,SUR,0.0
2036,SUR,0.0
2037,SUR,0.0
2038,SUR,0.0
2039,SUR,0.0
2040,SUR,0.0
2041,SUR,0.0
2042,SUR,0.0
2043,SUR,0.0
2021,TTO,0.0
2022,TTO,0.0
2023,TTO,0.0
2024,TTO,0.0
2025,TTO,0.0
2026,TTO,0.0
2027,TTO,0.0
2028,TTO,0.0
2029,TTO,0.0
2030,TTO,0.0
2031,TTO,0.0
2032,TTO,0.0
2033,TTO,0.0
2034,TTO,0.0
2035,TTO,0.0
2036,TTO,0.0
2037,TTO,0.0
2038,TTO,0.0
2039,TTO,0.0
2040,TTO,0.0
2041,TTO,0.0
2042,TTO,0.0
2043,TTO,0.0
2044,TTO,0.0
2045,TTO,0.0
2046,TTO,0.0
2047,TTO,0.0
2048,TTO,0.0
2049,TTO,0.0
2050,TTO,0.0
2021,URY,2.307
2022,URY,2.307
2023,URY,2.307
2024,URY,2.307
2025,URY,2.307
2026,URY,2.307
2027,URY,2.307
2028,URY,2.307
2029,URY,2.307
2030,URY,2.307
2031,URY,2.307
2032,URY,2.307
2033,URY,2.307
2034,URY,2.307
2035,URY,2.307
2036,URY,2.307
2037,URY,2.307
2038,URY,2.307
2039,URY,2.307
2040,URY,2.307
2041,URY,2.307
2042,URY,2.307
2043,URY,2.307
2044,URY,2.307
2045,URY,2.307
2046,URY,2.307
2047,URY,2.307
2048,URY,2.307
2049,URY,2.307
2050,URY,2.307
2021,VEN,26.499
2022,VEN,26.499
2023,VEN,26.499
2024,VEN,26.499
2025,VEN,26.499
2026,VEN,26.499
2027,VEN,26.499
2028,VEN,26.499
2029,VEN,26.499
2030,VEN,26.499
2031,VEN,26.499
2032,VEN,26.499
2033,VEN,26.499
2034,VEN,26.499
2035,VEN,26.499
2036,VEN,26.499
2037,VEN,26.499
2038,VEN,26.499
2039,VEN,26.499
2040,VEN,26.499
2041,VEN,26.499
2042,VEN,26.499
2043,VEN,26.499
2044,VEN,26.499
2045,VEN,26.499
2046,VEN,26.499
2047,VEN,26.499
2048,VEN,26.499
2049,VEN,26.499
2050,VEN,26.499
