Year,iso_code3,frac_waso_non_recycled_incinerated
2012,CHI,0.14719710988465595
2013,CHI,0.14719710988465595
2014,CHI,0.14719710988465595
2015,CHI,0.14719710988465595
2016,CHI,0.14719710988465595
2017,CHI,0.14719710988465595
2018,CHI,0.14719710988465595
2019,CHI,0.14719710988465595
2020,CHI,0.14719710988465595
2010,CHL,0.0014922191430398635
2011,CHL,0.0014922191430398635
2012,CHL,0.0014922191430398635
2013,CHL,0.0014922191430398635
2014,CHL,0.0014922191430398635
2015,CHL,0.0014922191430398635
2016,CHL,0.0014922191430398635
2017,CHL,0.0014922191430398635
2018,CHL,0.0014922191430398635
2019,CHL,0.0014922191430398635
2020,CHL,0.0014922191430398635
2010,CHN,0.30383871296202014
2011,CHN,0.30383871296202014
2012,CHN,0.30383871296202014
2013,CHN,0.30383871296202014
2014,CHN,0.30383871296202014
2015,CHN,0.30383871296202014
2016,CHN,0.30383871296202014
2017,CHN,0.30383871296202014
2018,CHN,0.30383871296202014
2019,CHN,0.30383871296202014
2020,CHN,0.30383871296202014
2010,CIV,0.21390278783451527
2011,CIV,0.21390278783451527
2012,CIV,0.21390278783451527
2013,CIV,0.21390278783451527
2014,CIV,0.21390278783451527
2015,CIV,0.21390278783451527
2016,CIV,0.21390278783451527
2017,CIV,0.21390278783451527
2018,CIV,0.21390278783451527
2019,CIV,0.21390278783451527
2020,CIV,0.21390278783451527
2010,CMR,0.15709153685279922
2011,CMR,0.15709153685279922
2012,CMR,0.15709153685279922
2013,CMR,0.15709153685279922
2014,CMR,0.15709153685279922
2015,CMR,0.15709153685279922
2016,CMR,0.15709153685279922
2017,CMR,0.15709153685279922
2018,CMR,0.15709153685279922
2019,CMR,0.15709153685279922
2020,CMR,0.15709153685279922
2010,COD,0.21069201931160203
2011,COD,0.21069201931160203
2012,COD,0.21069201931160203
2013,COD,0.21069201931160203
2014,COD,0.21069201931160203
2015,COD,0.21069201931160203
2016,COD,0.21069201931160203
2017,COD,0.21069201931160203
2018,COD,0.21069201931160203
2019,COD,0.21069201931160203
2020,COD,0.21069201931160203
2010,COG,0.21635593539964437
2011,COG,0.21635593539964437
2012,COG,0.21635593539964437
2013,COG,0.21635593539964437
2014,COG,0.21635593539964437
2015,COG,0.21635593539964437
2016,COG,0.21635593539964437
2017,COG,0.21635593539964437
2018,COG,0.21635593539964437
2019,COG,0.21635593539964437
2020,COG,0.21635593539964437
2010,COL,0.8175885615130294
2011,COL,0.8175885615130294
2012,COL,0.8175885615130294
2013,COL,0.8175885615130294
2014,COL,0.8175885615130294
2015,COL,0.8175885615130294
2016,COL,0.8175885615130294
2017,COL,0.8175885615130294
2018,COL,0.8175885615130294
2019,COL,0.8175885615130294
2020,COL,0.8175885615130294
2010,COM,0.2096028825675316
2011,COM,0.2096028825675316
2012,COM,0.2096028825675316
2013,COM,0.2096028825675316
2014,COM,0.2096028825675316
2015,COM,0.2096028825675316
2016,COM,0.2096028825675316
2017,COM,0.2096028825675316
2018,COM,0.2096028825675316
2019,COM,0.2096028825675316
2020,COM,0.2096028825675316
2010,CPV,0.22100069665187297
2011,CPV,0.22100069665187297
2012,CPV,0.22100069665187297
2013,CPV,0.22100069665187297
2014,CPV,0.22100069665187297
2015,CPV,0.22100069665187297
2016,CPV,0.22100069665187297
2017,CPV,0.22100069665187297
2018,CPV,0.22100069665187297
2019,CPV,0.22100069665187297
2020,CPV,0.22100069665187297
2010,CRI,0.373698287654412
2011,CRI,0.373698287654412
2012,CRI,0.373698287654412
2013,CRI,0.373698287654412
2014,CRI,0.373698287654412
2015,CRI,0.373698287654412
2016,CRI,0.373698287654412
2017,CRI,0.373698287654412
2018,CRI,0.373698287654412
2019,CRI,0.373698287654412
2020,CRI,0.373698287654412
2010,CUB,0.19706814009743776
2011,CUB,0.19706814009743776
2012,CUB,0.19706814009743776
2013,CUB,0.19706814009743776
2014,CUB,0.19706814009743776
2015,CUB,0.19706814009743776
2016,CUB,0.19706814009743776
2017,CUB,0.19706814009743776
2018,CUB,0.19706814009743776
2019,CUB,0.19706814009743776
2020,CUB,0.19706814009743776
2010,CUW,0.28511977875051725
2011,CUW,0.28511977875051725
2012,CUW,0.28511977875051725
2013,CUW,0.28511977875051725
2014,CUW,0.28511977875051725
2015,CUW,0.28511977875051725
2016,CUW,0.28511977875051725
2017,CUW,0.28511977875051725
2018,CUW,0.28511977875051725
2019,CUW,0.28511977875051725
2020,CUW,0.28511977875051725
2010,CYM,0.3780550892302685
2011,CYM,0.3780550892302685
