Year,iso_code3,cost_enfu_fuel_natural_gas_usd_per_mmbtu
2040,MWI,6.239751837344495
2041,MWI,6.239751837344495
2042,MWI,6.239751837344495
2043,MWI,6.239751837344495
2044,MWI,6.239751837344495
2045,MWI,6.239751837344495
2046,MWI,6.239751837344495
2047,MWI,6.239751837344495
2048,MWI,6.239751837344495
2049,MWI,6.239751837344495
2050,MWI,6.239751837344495
2021,MYS,6.239751837344495
2022,MYS,6.239751837344495
2023,MYS,6.239751837344495
2024,MYS,6.239751837344495
2025,MYS,6.239751837344495
2026,MYS,6.239751837344495
2027,MYS,6.239751837344495
2028,MYS,6.239751837344495
2029,MYS,6.239751837344495
2030,MYS,6.239751837344495
2031,MYS,6.239751837344495
2032,MYS,6.239751837344495
2033,MYS,6.239751837344495
2034,MYS,6.239751837344495
2035,MYS,6.239751837344495
2036,MYS,6.239751837344495
2037,MYS,6.239751837344495
2038,MYS,6.239751837344495
2039,MYS,6.239751837344495
2040,MYS,6.239751837344495
2041,MYS,6.239751837344495
2042,MYS,6.239751837344495
2043,MYS,6.239751837344495
2044,MYS,6.239751837344495
2045,MYS,6.239751837344495
2046,MYS,6.239751837344495
2047,MYS,6.239751837344495
2048,MYS,6.239751837344495
2049,MYS,6.239751837344495
2050,MYS,6.239751837344495
2021,NAM,6.239751837344495
2022,NAM,6.239751837344495
2023,NAM,6.239751837344495
2024,NAM,6.239751837344495
2025,NAM,6.239751837344495
2026,NAM,6.239751837344495
2027,NAM,6.239751837344495
2028,NAM,6.239751837344495
2029,NAM,6.239751837344495
2030,NAM,6.239751837344495
2031,NAM,6.239751837344495
2032,NAM,6.239751837344495
2033,NAM,6.239751837344495
2034,NAM,6.239751837344495
2035,NAM,6.239751837344495
2036,NAM,6.239751837344495
2037,NAM,6.239751837344495
2038,NAM,6.239751837344495
2039,NAM,6.239751837344495
2040,NAM,6.239751837344495
2041,NAM,6.239751837344495
2042,NAM,6.239751837344495
2043,NAM,6.239751837344495
2044,NAM,6.239751837344495
2045,NAM,6.239751837344495
2046,NAM,6.239751837344495
2047,NAM,6.239751837344495
2048,NAM,6.239751837344495
2049,NAM,6.239751837344495
2050,NAM,6.239751837344495
2021,NCL,6.239751837344495
2022,NCL,6.239751837344495
2023,NCL,6.239751837344495
2024,NCL,6.239751837344495
2025,NCL,6.239751837344495
2026,NCL,6.239751837344495
2027,NCL,6.239751837344495
2028,NCL,6.239751837344495
2029,NCL,6.239751837344495
2030,NCL,6.239751837344495
2031,NCL,6.239751837344495
2032,NCL,6.239751837344495
2033,NCL,6.239751837344495
2034,NCL,6.239751837344495
2035,NCL,6.239751837344495
2036,NCL,6.239751837344495
2037,NCL,6.239751837344495
2038,NCL,6.239751837344495
2039,NCL,6.239751837344495
2040,NCL,6.239751837344495
2041,NCL,6.239751837344495
2042,NCL,6.239751837344495
2043,NCL,6.239751837344495
2044,NCL,6.239751837344495
2045,NCL,6.239751837344495
2046,NCL,6.239751837344495
2047,NCL,6.239751837344495
2048,NCL,6.239751837344495
2049,NCL,6.239751837344495
2050,NCL,6.239751837344495
2021,NER,6.239751837344495
2022,NER,6.239751837344495
2023,NER,6.239751837344495
2024,NER,6.239751837344495
2025,NER,6.239751837344495
2026,NER,6.239751837344495
2027,NER,6.239751837344495
2028,NER,6.239751837344495
2029,NER,6.239751837344495
2030,NER,6.239751837344495
2031,NER,6.239751837344495
2032,NER,6.239751837344495
2033,NER,6.239751837344495
2034,NER,6.239751837344495
2035,NER,6.239751837344495
2036,NER,6.239751837344495
2037,NER,6.239751837344495
2038,NER,6.239751837344495
2039,NER,6.239751837344495
2040,NER,6.239751837344495
2041,NER,6.239751837344495
2042,NER,6.239751837344495
2043,NER,6.239751837344495
2044,NER,6.239751837344495
2045,NER,6.239751837344495
2046,NER,6.239751837344495
2047,NER,6.239751837344495
2048,NER,6.239751837344495
2049,NER,6.239751837344495
2050,NER,6.239751837344495
2021,NGA,6.239751837344495
2022,NGA,6.239751837344495
2023,NGA,6.239751837344495
2024,NGA,6.239751837344495
2025,NGA,6.239751837344495
2026,NGA,6.239751837344495
2027,NGA,6.239751837344495
2028,NGA,6.239751837344495
2029,NGA,6.239751837344495
2030,NGA,6.239751837344495
2031,NGA,6.239751837344495
2032,NGA,6.239751837344495
2033,NGA,6.239751837344495
2034,NGA,6.239751837344495
2035,NGA,6.239751837344495
2036,NGA,6.239751837344495
2037,NGA,6.239751837344495
2038,NGA,6.239751837344495
2039,NGA,6.239751837344495
2040,NGA,6.239751837344495
2041,NGA,6.239751837344495
2042,NGA,6.239751837344495
2043,NGA,6.239751837344495
2044,NGA,6.239751837344495
2045,NGA,6.239751837344495
2046,NGA,6.239751837344495
2047,NGA,6.239751837344495
2048,NGA,6.239751837344495
