Year,iso_code3,cost_enfu_fuel_furnace_gas_usd_per_m3
2023,BEN,13725.64626
2024,BEN,13725.64626
2025,BEN,13725.64626
2026,BEN,13725.64626
2027,BEN,13725.64626
2028,BEN,13725.64626
2029,BEN,13725.64626
2030,BEN,13725.64626
2031,BEN,13725.64626
2032,BEN,13725.64626
2033,BEN,13725.64626
2034,BEN,13725.64626
2035,BEN,13725.64626
2036,BEN,13725.64626
2037,BEN,13725.64626
2038,BEN,13725.64626
2039,BEN,13725.64626
2040,BEN,13725.64626
2041,BEN,13725.64626
2042,BEN,13725.64626
2043,BEN,13725.64626
2044,BEN,13725.64626
2045,BEN,13725.64626
2046,BEN,13725.64626
2047,BEN,13725.64626
2048,BEN,13725.64626
2049,BEN,13725.64626
2050,BEN,13725.64626
2021,BFA,13725.64626
2022,BFA,13725.64626
2023,BFA,13725.64626
2024,BFA,13725.64626
2025,BFA,13725.64626
2026,BFA,13725.64626
2027,BFA,13725.64626
2028,BFA,13725.64626
2029,BFA,13725.64626
2030,BFA,13725.64626
2031,BFA,13725.64626
2032,BFA,13725.64626
2033,BFA,13725.64626
2034,BFA,13725.64626
2035,BFA,13725.64626
2036,BFA,13725.64626
2037,BFA,13725.64626
2038,BFA,13725.64626
2039,BFA,13725.64626
2040,BFA,13725.64626
2041,BFA,13725.64626
2042,BFA,13725.64626
2043,BFA,13725.64626
2044,BFA,13725.64626
2045,BFA,13725.64626
2046,BFA,13725.64626
2047,BFA,13725.64626
2048,BFA,13725.64626
2049,BFA,13725.64626
2050,BFA,13725.64626
2021,BGD,13725.64626
2022,BGD,13725.64626
2023,BGD,13725.64626
2024,BGD,13725.64626
2025,BGD,13725.64626
2026,BGD,13725.64626
2027,BGD,13725.64626
2028,BGD,13725.64626
2029,BGD,13725.64626
2030,BGD,13725.64626
2031,BGD,13725.64626
2032,BGD,13725.64626
2033,BGD,13725.64626
2034,BGD,13725.64626
2035,BGD,13725.64626
2036,BGD,13725.64626
2037,BGD,13725.64626
2038,BGD,13725.64626
2039,BGD,13725.64626
2040,BGD,13725.64626
2041,BGD,13725.64626
2042,BGD,13725.64626
2043,BGD,13725.64626
2044,BGD,13725.64626
2045,BGD,13725.64626
2046,BGD,13725.64626
2047,BGD,13725.64626
2048,BGD,13725.64626
2049,BGD,13725.64626
2050,BGD,13725.64626
2021,BGR,1612.857143
2022,BGR,1612.857143
2023,BGR,1612.857143
2024,BGR,1612.857143
2025,BGR,1612.857143
2026,BGR,1612.857143
2027,BGR,1612.857143
2028,BGR,1612.857143
2029,BGR,1612.857143
2030,BGR,1612.857143
2031,BGR,1612.857143
2032,BGR,1612.857143
2033,BGR,1612.857143
2034,BGR,1612.857143
2035,BGR,1612.857143
2036,BGR,1612.857143
2037,BGR,1612.857143
2038,BGR,1612.857143
2039,BGR,1612.857143
2040,BGR,1612.857143
2041,BGR,1612.857143
2042,BGR,1612.857143
2043,BGR,1612.857143
2044,BGR,1612.857143
2045,BGR,1612.857143
2046,BGR,1612.857143
2047,BGR,1612.857143
2048,BGR,1612.857143
2049,BGR,1612.857143
2050,BGR,1612.857143
2021,BHR,13725.64626
2022,BHR,13725.64626
2023,BHR,13725.64626
2024,BHR,13725.64626
2025,BHR,13725.64626
2026,BHR,13725.64626
2027,BHR,13725.64626
2028,BHR,13725.64626
2029,BHR,13725.64626
2030,BHR,13725.64626
2031,BHR,13725.64626
2032,BHR,13725.64626
2033,BHR,13725.64626
2034,BHR,13725.64626
2035,BHR,13725.64626
2036,BHR,13725.64626
2037,BHR,13725.64626
2038,BHR,13725.64626
2039,BHR,13725.64626
2040,BHR,13725.64626
2041,BHR,13725.64626
2042,BHR,13725.64626
2043,BHR,13725.64626
2044,BHR,13725.64626
2045,BHR,13725.64626
2046,BHR,13725.64626
2047,BHR,13725.64626
2048,BHR,13725.64626
2049,BHR,13725.64626
2050,BHR,13725.64626
2021,BHS,13725.64626
2022,BHS,13725.64626
2023,BHS,13725.64626
2024,BHS,13725.64626
2025,BHS,13725.64626
2026,BHS,13725.64626
2027,BHS,13725.64626
2028,BHS,13725.64626
2029,BHS,13725.64626
2030,BHS,13725.64626
2031,BHS,13725.64626
2032,BHS,13725.64626
2033,BHS,13725.64626
2034,BHS,13725.64626
2035,BHS,13725.64626
2036,BHS,13725.64626
2037,BHS,13725.64626
2038,BHS,13725.64626
2039,BHS,13725.64626
2040,BHS,13725.64626
2041,BHS,13725.64626
2042,BHS,13725.64626
2043,BHS,13725.64626
2044,BHS,13725.64626
2045,BHS,13725.64626
2046,BHS,13725.64626
2047,BHS,13725.64626
2048,BHS,13725.64626
2049,BHS,13725.64626
2050,BHS,13725.64626
2021,BIH,13725.64626
2022,BIH,13725.64626
2023,BIH,13725.64626
2024,BIH,13725.64626
2025,BIH,13725.64626
2026,BIH,13725.64626
2027,BIH,13725.64626
2028,BIH,13725.64626
2029,BIH,13725.64626
2030,BIH,13725.64626
2031,BIH,13725.64626
2032,BIH,13725.64626
2033,BIH,13725.64626
2034,BIH,13725.64626
2035,BIH,13725.64626
2036,BIH,13725.64626
2037,BIH,13725.64626
2038,BIH,13725.64626
2039,BIH,13725.64626
2040,BIH,13725.64626
2041,BIH,13725.64626
2042,BIH,13725.64626
2043,BIH,13725.64626
2044,BIH,13725.64626
2045,BIH,13725.64626
2046,BIH,13725.64626
2047,BIH,13725.64626
2048,BIH,13725.64626
2049,BIH,13725.64626
2050,BIH,13725.64626
2021,BLR,1170.0
2022,BLR,1170.0
2023,BLR,1170.0
2024,BLR,1170.0
2025,BLR,1170.0
2026,BLR,1170.0
2027,BLR,1170.0
2028,BLR,1170.0
2029,BLR,1170.0
2030,BLR,1170.0
2031,BLR,1170.0
2032,BLR,1170.0
2033,BLR,1170.0
2034,BLR,1170.0
2035,BLR,1170.0
2036,BLR,1170.0
2037,BLR,1170.0
2038,BLR,1170.0
2039,BLR,1170.0
2040,BLR,1170.0
2041,BLR,1170.0
2042,BLR,1170.0
2043,BLR,1170.0
2044,BLR,1170.0
2045,BLR,1170.0
2046,BLR,1170.0
2047,BLR,1170.0
2048,BLR,1170.0
2049,BLR,1170.0
2050,BLR,1170.0
2021,BLZ,13725.64626
2022,BLZ,13725.64626
2023,BLZ,13725.64626
2024,BLZ,13725.64626
2025,BLZ,13725.64626
2026,BLZ,13725.64626
2027,BLZ,13725.64626
2028,BLZ,13725.64626
2029,BLZ,13725.64626
2030,BLZ,13725.64626
2031,BLZ,13725.64626
2032,BLZ,13725.64626
2033,BLZ,13725.64626
2034,BLZ,13725.64626
2035,BLZ,13725.64626
2036,BLZ,13725.64626
2037,BLZ,13725.64626
2038,BLZ,13725.64626
2039,BLZ,13725.64626
2040,BLZ,13725.64626
2041,BLZ,13725.64626
2042,BLZ,13725.64626
2043,BLZ,13725.64626
2044,BLZ,13725.64626
2045,BLZ,13725.64626
2046,BLZ,13725.64626
2047,BLZ,13725.64626
2048,BLZ,13725.64626
2049,BLZ,13725.64626
2050,BLZ,13725.64626
2021,BMU,13725.64626
2022,BMU,13725.64626
2023,BMU,13725.64626
2024,BMU,13725.64626
2025,BMU,13725.64626
2026,BMU,13725.64626
2027,BMU,13725.64626
2028,BMU,13725.64626
2029,BMU,13725.64626
2030,BMU,13725.64626
2031,BMU,13725.64626
2032,BMU,13725.64626
2033,BMU,13725.64626
2034,BMU,13725.64626
2035,BMU,13725.64626
2036,BMU,13725.64626
2037,BMU,13725.64626
2038,BMU,13725.64626
2039,BMU,13725.64626
2040,BMU,13725.64626
2041,BMU,13725.64626
2042,BMU,13725.64626
2043,BMU,13725.64626
2044,BMU,13725.64626
2045,BMU,13725.64626
2046,BMU,13725.64626
2047,BMU,13725.64626
2048,BMU,13725.64626
2049,BMU,13725.64626
2050,BMU,13725.64626
2021,BOL,13725.64626
2022,BOL,13725.64626
2023,BOL,13725.64626
2024,BOL,13725.64626
2025,BOL,13725.64626
2026,BOL,13725.64626
2027,BOL,13725.64626
2028,BOL,13725.64626
2029,BOL,13725.64626
2030,BOL,13725.64626
2031,BOL,13725.64626
2032,BOL,13725.64626
2033,BOL,13725.64626
2034,BOL,13725.64626
2035,BOL,13725.64626
2036,BOL,13725.64626
2037,BOL,13725.64626
2038,BOL,13725.64626
2039,BOL,13725.64626
2040,BOL,13725.64626
2041,BOL,13725.64626
2042,BOL,13725.64626
2043,BOL,13725.64626
2044,BOL,13725.64626
2045,BOL,13725.64626
2046,BOL,13725.64626
2047,BOL,13725.64626
2048,BOL,13725.64626
2049,BOL,13725.64626
2050,BOL,13725.64626
2021,BRA,89069.99999999999
2022,BRA,89069.99999999999
2023,BRA,89069.99999999999
2024,BRA,89069.99999999999
2025,BRA,89069.99999999999
2026,BRA,89069.99999999999
2027,BRA,89069.99999999999
2028,BRA,89069.99999999999
2029,BRA,89069.99999999999
2030,BRA,89069.99999999999
2031,BRA,89069.99999999999
2032,BRA,89069.99999999999
2033,BRA,89069.99999999999
2034,BRA,89069.99999999999
2035,BRA,89069.99999999999
2036,BRA,89069.99999999999
2037,BRA,89069.99999999999
2038,BRA,89069.99999999999
2039,BRA,89069.99999999999
2040,BRA,89069.99999999999
2041,BRA,89069.99999999999
2042,BRA,89069.99999999999
2043,BRA,89069.99999999999
2044,BRA,89069.99999999999
2045,BRA,89069.99999999999
2046,BRA,89069.99999999999
2047,BRA,89069.99999999999
2048,BRA,89069.99999999999
2049,BRA,89069.99999999999
2050,BRA,89069.99999999999
2021,BRB,13725.64626
2022,BRB,13725.64626
2023,BRB,13725.64626
2024,BRB,13725.64626
2025,BRB,13725.64626
2026,BRB,13725.64626
2027,BRB,13725.64626
2028,BRB,13725.64626
2029,BRB,13725.64626
2030,BRB,13725.64626
2031,BRB,13725.64626
2032,BRB,13725.64626
2033,BRB,13725.64626
2034,BRB,13725.64626
2035,BRB,13725.64626
2036,BRB,13725.64626
2037,BRB,13725.64626
2038,BRB,13725.64626
2039,BRB,13725.64626
2040,BRB,13725.64626
2041,BRB,13725.64626
2042,BRB,13725.64626
2043,BRB,13725.64626
2044,BRB,13725.64626
2045,BRB,13725.64626
2046,BRB,13725.64626
2047,BRB,13725.64626
2048,BRB,13725.64626
2049,BRB,13725.64626
2050,BRB,13725.64626
2021,BRN,13725.64626
2022,BRN,13725.64626
2023,BRN,13725.64626
2024,BRN,13725.64626
2025,BRN,13725.64626
2026,BRN,13725.64626
2027,BRN,13725.64626
2028,BRN,13725.64626
2029,BRN,13725.64626
2030,BRN,13725.64626
2031,BRN,13725.64626
2032,BRN,13725.64626
2033,BRN,13725.64626
2034,BRN,13725.64626
2035,BRN,13725.64626
2036,BRN,13725.64626
2037,BRN,13725.64626
2038,BRN,13725.64626
2039,BRN,13725.64626
2040,BRN,13725.64626
2041,BRN,13725.64626
2042,BRN,13725.64626
2043,BRN,13725.64626
2044,BRN,13725.64626
2045,BRN,13725.64626
2046,BRN,13725.64626
2047,BRN,13725.64626
2048,BRN,13725.64626
2049,BRN,13725.64626
2050,BRN,13725.64626
2021,BTN,13725.64626
2022,BTN,13725.64626
2023,BTN,13725.64626
2024,BTN,13725.64626
2025,BTN,13725.64626
2026,BTN,13725.64626
2027,BTN,13725.64626
2028,BTN,13725.64626
2029,BTN,13725.64626
2030,BTN,13725.64626
2031,BTN,13725.64626
2032,BTN,13725.64626
2033,BTN,13725.64626
2034,BTN,13725.64626
2035,BTN,13725.64626
2036,BTN,13725.64626
2037,BTN,13725.64626
2038,BTN,13725.64626
2039,BTN,13725.64626
2040,BTN,13725.64626
2041,BTN,13725.64626
2042,BTN,13725.64626
2043,BTN,13725.64626
2044,BTN,13725.64626
2045,BTN,13725.64626
2046,BTN,13725.64626
2047,BTN,13725.64626
2048,BTN,13725.64626
2049,BTN,13725.64626
2050,BTN,13725.64626
2021,BWA,13725.64626
2022,BWA,13725.64626
2023,BWA,13725.64626
2024,BWA,13725.64626
2025,BWA,13725.64626
2026,BWA,13725.64626
2027,BWA,13725.64626
2028,BWA,13725.64626
2029,BWA,13725.64626
2030,BWA,13725.64626
2031,BWA,13725.64626
2032,BWA,13725.64626
2033,BWA,13725.64626
2034,BWA,13725.64626
2035,BWA,13725.64626
2036,BWA,13725.64626
2037,BWA,13725.64626
2038,BWA,13725.64626
2039,BWA,13725.64626
2040,BWA,13725.64626
2041,BWA,13725.64626
2042,BWA,13725.64626
2043,BWA,13725.64626
2044,BWA,13725.64626
2045,BWA,13725.64626
2046,BWA,13725.64626
2047,BWA,13725.64626
2048,BWA,13725.64626
2049,BWA,13725.64626
2050,BWA,13725.64626
2021,CAF,13725.64626
2022,CAF,13725.64626
2023,CAF,13725.64626
2024,CAF,13725.64626
2025,CAF,13725.64626
2026,CAF,13725.64626
2027,CAF,13725.64626
2028,CAF,13725.64626
2029,CAF,13725.64626
2030,CAF,13725.64626
2031,CAF,13725.64626
2032,CAF,13725.64626
2033,CAF,13725.64626
2034,CAF,13725.64626
2035,CAF,13725.64626
2036,CAF,13725.64626
2037,CAF,13725.64626
2038,CAF,13725.64626
2039,CAF,13725.64626
2040,CAF,13725.64626
2041,CAF,13725.64626
2042,CAF,13725.64626
2043,CAF,13725.64626
2044,CAF,13725.64626
2045,CAF,13725.64626
2046,CAF,13725.64626
2047,CAF,13725.64626
2048,CAF,13725.64626
2049,CAF,13725.64626
2050,CAF,13725.64626
2021,CAN,13725.64626
2022,CAN,13725.64626
2023,CAN,13725.64626
2024,CAN,13725.64626
2025,CAN,13725.64626
2026,CAN,13725.64626
2027,CAN,13725.64626
2028,CAN,13725.64626
2029,CAN,13725.64626
2030,CAN,13725.64626
2031,CAN,13725.64626
2032,CAN,13725.64626
2033,CAN,13725.64626
2034,CAN,13725.64626
2035,CAN,13725.64626
2036,CAN,13725.64626
2037,CAN,13725.64626
2038,CAN,13725.64626
2039,CAN,13725.64626
2040,CAN,13725.64626
2041,CAN,13725.64626
2042,CAN,13725.64626
2043,CAN,13725.64626
2044,CAN,13725.64626
2045,CAN,13725.64626
2046,CAN,13725.64626
2047,CAN,13725.64626
2048,CAN,13725.64626
2049,CAN,13725.64626
2050,CAN,13725.64626
2021,CHE,13725.64626
2022,CHE,13725.64626
2023,CHE,13725.64626
2024,CHE,13725.64626
2025,CHE,13725.64626
2026,CHE,13725.64626
2027,CHE,13725.64626
2028,CHE,13725.64626
2029,CHE,13725.64626
2030,CHE,13725.64626
2031,CHE,13725.64626
2032,CHE,13725.64626
2033,CHE,13725.64626
2034,CHE,13725.64626
2035,CHE,13725.64626
2036,CHE,13725.64626
2037,CHE,13725.64626
2038,CHE,13725.64626
2039,CHE,13725.64626
2040,CHE,13725.64626
2041,CHE,13725.64626
2042,CHE,13725.64626
2043,CHE,13725.64626
2044,CHE,13725.64626
2045,CHE,13725.64626
2046,CHE,13725.64626
2047,CHE,13725.64626
2048,CHE,13725.64626
2049,CHE,13725.64626
2050,CHE,13725.64626
2021,CHL,13725.64626
2022,CHL,13725.64626
2023,CHL,13725.64626
2024,CHL,13725.64626
2025,CHL,13725.64626
2026,CHL,13725.64626
2027,CHL,13725.64626
2028,CHL,13725.64626
2029,CHL,13725.64626
2030,CHL,13725.64626
2031,CHL,13725.64626
2032,CHL,13725.64626
2033,CHL,13725.64626
2034,CHL,13725.64626
2035,CHL,13725.64626
2036,CHL,13725.64626
2037,CHL,13725.64626
2038,CHL,13725.64626
2039,CHL,13725.64626
2040,CHL,13725.64626
2041,CHL,13725.64626
2042,CHL,13725.64626
2043,CHL,13725.64626
2044,CHL,13725.64626
2045,CHL,13725.64626
2046,CHL,13725.64626
2047,CHL,13725.64626
2048,CHL,13725.64626
2049,CHL,13725.64626
2050,CHL,13725.64626
2021,CHN,13725.64626
2022,CHN,13725.64626
2023,CHN,13725.64626
2024,CHN,13725.64626
2025,CHN,13725.64626
2026,CHN,13725.64626
2027,CHN,13725.64626
2028,CHN,13725.64626
2029,CHN,13725.64626
2030,CHN,13725.64626
2031,CHN,13725.64626
2032,CHN,13725.64626
2033,CHN,13725.64626
2034,CHN,13725.64626
2035,CHN,13725.64626
2036,CHN,13725.64626
2037,CHN,13725.64626
2038,CHN,13725.64626
2039,CHN,13725.64626
