"iso_code3","Year","frac_wali_ww_domestic_urban_treatment_path_primary"
"CAN",2023,0
"CAN",2024,0
"CAN",2025,0
"CAN",2026,0
"CAN",2027,0
"CAN",2028,0
"CAN",2029,0
"CAN",2030,0
"CAN",2031,0
"CAN",2032,0
"CAN",2033,0
"CAN",2034,0
"CAN",2035,0
"CAN",2036,0
"CAN",2037,0
"CAN",2038,0
"CAN",2039,0
"CAN",2040,0
"CAN",2041,0
"CAN",2042,0
"CAN",2043,0
"CAN",2044,0
"CAN",2045,0
"CAN",2046,0
"CAN",2047,0
"CAN",2048,0
"CAN",2049,0
"CAN",2050,0
"CHE",2021,0
"CHE",2022,0
"CHE",2023,0
"CHE",2024,0
"CHE",2025,0
"CHE",2026,0
"CHE",2027,0
"CHE",2028,0
"CHE",2029,0
"CHE",2030,0
"CHE",2031,0
"CHE",2032,0
"CHE",2033,0
"CHE",2034,0
"CHE",2035,0
"CHE",2036,0
"CHE",2037,0
"CHE",2038,0
"CHE",2039,0
"CHE",2040,0
"CHE",2041,0
"CHE",2042,0
"CHE",2043,0
"CHE",2044,0
"CHE",2045,0
"CHE",2046,0
"CHE",2047,0
"CHE",2048,0
"CHE",2049,0
"CHE",2050,0
"CHL",2021,0
"CHL",2022,0
"CHL",2023,0
"CHL",2024,0
"CHL",2025,0
"CHL",2026,0
"CHL",2027,0
"CHL",2028,0
"CHL",2029,0
"CHL",2030,0
"CHL",2031,0
"CHL",2032,0
"CHL",2033,0
"CHL",2034,0
"CHL",2035,0
"CHL",2036,0
"CHL",2037,0
"CHL",2038,0
"CHL",2039,0
"CHL",2040,0
"CHL",2041,0
"CHL",2042,0
"CHL",2043,0
"CHL",2044,0
"CHL",2045,0
"CHL",2046,0
"CHL",2047,0
"CHL",2048,0
"CHL",2049,0
"CHL",2050,0
"CHN",2021,0.000724054706355591
"CHN",2022,0.000724054706355591
"CHN",2023,0.000724054706355591
"CHN",2024,0.000724054706355591
"CHN",2025,0.000724054706355591
"CHN",2026,0.000724054706355591
"CHN",2027,0.000724054706355591
"CHN",2028,0.000724054706355591
"CHN",2029,0.000724054706355591
"CHN",2030,0.000724054706355591
"CHN",2031,0.000724054706355591
"CHN",2032,0.000724054706355591
"CHN",2033,0.000724054706355591
"CHN",2034,0.000724054706355591
"CHN",2035,0.000724054706355591
"CHN",2036,0.000724054706355591
"CHN",2037,0.000724054706355591
"CHN",2038,0.000724054706355591
"CHN",2039,0.000724054706355591
"CHN",2040,0.000724054706355591
"CHN",2041,0.000724054706355591
"CHN",2042,0.000724054706355591
"CHN",2043,0.000724054706355591
"CHN",2044,0.000724054706355591
"CHN",2045,0.000724054706355591
"CHN",2046,0.000724054706355591
"CHN",2047,0.000724054706355591
"CHN",2048,0.000724054706355591
"CHN",2049,0.000724054706355591
"CHN",2050,0.000724054706355591
"CMR",2021,0
"CMR",2022,0
"CMR",2023,0
"CMR",2024,0
"CMR",2025,0
"CMR",2026,0
"CMR",2027,0
"CMR",2028,0
"CMR",2029,0
"CMR",2030,0
"CMR",2031,0
"CMR",2032,0
"CMR",2033,0
"CMR",2034,0
"CMR",2035,0
"CMR",2036,0
"CMR",2037,0
"CMR",2038,0
"CMR",2039,0
"CMR",2040,0
"CMR",2041,0
"CMR",2042,0
"CMR",2043,0
"CMR",2044,0
"CMR",2045,0
"CMR",2046,0
"CMR",2047,0
"CMR",2048,0
"CMR",2049,0
"CMR",2050,0
"COL",2021,0
"COL",2022,0
"COL",2023,0
"COL",2024,0
"COL",2025,0
"COL",2026,0
"COL",2027,0
"COL",2028,0
"COL",2029,0
"COL",2030,0
"COL",2031,0
"COL",2032,0
"COL",2033,0
"COL",2034,0
"COL",2035,0
"COL",2036,0
"COL",2037,0
"COL",2038,0
"COL",2039,0
"COL",2040,0
"COL",2041,0
"COL",2042,0
"COL",2043,0
"COL",2044,0
"COL",2045,0
"COL",2046,0
"COL",2047,0
"COL",2048,0
"COL",2049,0
"COL",2050,0
"COM",2021,0
"COM",2022,0
"COM",2023,0
"COM",2024,0
"COM",2025,0
"COM",2026,0
"COM",2027,0
"COM",2028,0
"COM",2029,0
"COM",2030,0
"COM",2031,0
"COM",2032,0
"COM",2033,0
"COM",2034,0
"COM",2035,0
"COM",2036,0
"COM",2037,0
"COM",2038,0
"COM",2039,0
"COM",2040,0
"COM",2041,0
"COM",2042,0
"COM",2043,0
"COM",2044,0
"COM",2045,0
"COM",2046,0
"COM",2047,0
"COM",2048,0
"COM",2049,0
"COM",2050,0
"CPV",2021,0
"CPV",2022,0
"CPV",2023,0
"CPV",2024,0
"CPV",2025,0
"CPV",2026,0
"CPV",2027,0
"CPV",2028,0
"CPV",2029,0
"CPV",2030,0
"CPV",2031,0
"CPV",2032,0
"CPV",2033,0
"CPV",2034,0
"CPV",2035,0
"CPV",2036,0
"CPV",2037,0
"CPV",2038,0
"CPV",2039,0
"CPV",2040,0
"CPV",2041,0
"CPV",2042,0
"CPV",2043,0
"CPV",2044,0
"CPV",2045,0
"CPV",2046,0
"CPV",2047,0
"CPV",2048,0
"CPV",2049,0
"CPV",2050,0
"CRI",2021,0
"CRI",2022,0
"CRI",2023,0
"CRI",2024,0
"CRI",2025,0
"CRI",2026,0
"CRI",2027,0
"CRI",2028,0
"CRI",2029,0
"CRI",2030,0
"CRI",2031,0
"CRI",2032,0
"CRI",2033,0
"CRI",2034,0
"CRI",2035,0
"CRI",2036,0
"CRI",2037,0
"CRI",2038,0
"CRI",2039,0
"CRI",2040,0
"CRI",2041,0
"CRI",2042,0
"CRI",2043,0
"CRI",2044,0
"CRI",2045,0
"CRI",2046,0
"CRI",2047,0
"CRI",2048,0
"CRI",2049,0
"CRI",2050,0
"CUB",2021,0
"CUB",2022,0
"CUB",2023,0
"CUB",2024,0
"CUB",2025,0
"CUB",2026,0
"CUB",2027,0
"CUB",2028,0
"CUB",2029,0
"CUB",2030,0
"CUB",2031,0
"CUB",2032,0
"CUB",2033,0
"CUB",2034,0
"CUB",2035,0
"CUB",2036,0
"CUB",2037,0
"CUB",2038,0
"CUB",2039,0
"CUB",2040,0
"CUB",2041,0
"CUB",2042,0
"CUB",2043,0
"CUB",2044,0
"CUB",2045,0
"CUB",2046,0
"CUB",2047,0
"CUB",2048,0
"CUB",2049,0
"CUB",2050,0
"CYP",2021,0
"CYP",2022,0
"CYP",2023,0
"CYP",2024,0
"CYP",2025,0
"CYP",2026,0
"CYP",2027,0
"CYP",2028,0
"CYP",2029,0
"CYP",2030,0
"CYP",2031,0
"CYP",2032,0
"CYP",2033,0
"CYP",2034,0
"CYP",2035,0
"CYP",2036,0
"CYP",2037,0
"CYP",2038,0
"CYP",2039,0
"CYP",2040,0
"CYP",2041,0
"CYP",2042,0
"CYP",2043,0
"CYP",2044,0
"CYP",2045,0
"CYP",2046,0
"CYP",2047,0
"CYP",2048,0
"CYP",2049,0
"CYP",2050,0
"DEU",2021,0
"DEU",2022,0
"DEU",2023,0
"DEU",2024,0
"DEU",2025,0
"DEU",2026,0
"DEU",2027,0
"DEU",2028,0
"DEU",2029,0
"DEU",2030,0
"DEU",2031,0
"DEU",2032,0
"DEU",2033,0
"DEU",2034,0
"DEU",2035,0
"DEU",2036,0
"DEU",2037,0
"DEU",2038,0
"DEU",2039,0
"DEU",2040,0
"DEU",2041,0
"DEU",2042,0
"DEU",2043,0
"DEU",2044,0
"DEU",2045,0
"DEU",2046,0
"DEU",2047,0
"DEU",2048,0
"DEU",2049,0
"DEU",2050,0
"DJI",2021,0
"DJI",2022,0
"DJI",2023,0
"DJI",2024,0
"DJI",2025,0
"DJI",2026,0
"DJI",2027,0
"DJI",2028,0
"DJI",2029,0
"DJI",2030,0
"DJI",2031,0
"DJI",2032,0
"DJI",2033,0
"DJI",2034,0
"DJI",2035,0
"DJI",2036,0
"DJI",2037,0
"DJI",2038,0
"DJI",2039,0
"DJI",2040,0
"DJI",2041,0
"DJI",2042,0
"DJI",2043,0
"DJI",2044,0
"DJI",2045,0
"DJI",2046,0
"DJI",2047,0
"DJI",2048,0
"DJI",2049,0
"DJI",2050,0
"DNK",2021,0.00234986945169713
"DNK",2022,0.00234986945169713
"DNK",2023,0.00234986945169713
"DNK",2024,0.00234986945169713
"DNK",2025,0.00234986945169713
"DNK",2026,0.00234986945169713
"DNK",2027,0.00234986945169713
"DNK",2028,0.00234986945169713
"DNK",2029,0.00234986945169713
"DNK",2030,0.00234986945169713
"DNK",2031,0.00234986945169713
"DNK",2032,0.00234986945169713
"DNK",2033,0.00234986945169713
"DNK",2034,0.00234986945169713
"DNK",2035,0.00234986945169713
"DNK",2036,0.00234986945169713
"DNK",2037,0.00234986945169713
"DNK",2038,0.00234986945169713
"DNK",2039,0.00234986945169713
"DNK",2040,0.00234986945169713
"DNK",2041,0.00234986945169713
"DNK",2042,0.00234986945169713
"DNK",2043,0.00234986945169713
"DNK",2044,0.00234986945169713
"DNK",2045,0.00234986945169713
"DNK",2046,0.00234986945169713
"DNK",2047,0.00234986945169713
"DNK",2048,0.00234986945169713
