,Nation,iso_code3,Year,consumpinit_scoe_tj_per_mmmgdp_other_se_heat_energy
249,Aruba,ABW,2020,0.0
250,Aruba,ABW,2021,0.0
251,Aruba,ABW,2022,0.0
252,Aruba,ABW,2023,0.0
253,Aruba,ABW,2024,0.0
254,Aruba,ABW,2025,0.0
255,Aruba,ABW,2026,0.0
256,Aruba,ABW,2027,0.0
257,Aruba,ABW,2028,0.0
258,Aruba,ABW,2029,0.0
259,Aruba,ABW,2030,0.0
260,Aruba,ABW,2031,0.0
261,Aruba,ABW,2032,0.0
262,Aruba,ABW,2033,0.0
263,Aruba,ABW,2034,0.0
264,Aruba,ABW,2035,0.0
265,Aruba,ABW,2036,0.0
266,Aruba,ABW,2037,0.0
267,Aruba,ABW,2038,0.0
268,Aruba,ABW,2039,0.0
269,Aruba,ABW,2040,0.0
270,Aruba,ABW,2041,0.0
271,Aruba,ABW,2042,0.0
272,Aruba,ABW,2043,0.0
273,Aruba,ABW,2044,0.0
274,Aruba,ABW,2045,0.0
275,Aruba,ABW,2046,0.0
276,Aruba,ABW,2047,0.0
277,Aruba,ABW,2048,0.0
278,Aruba,ABW,2049,0.0
279,Aruba,ABW,2050,0.0
289,Australia,AUS,2020,13.36976211250301
290,Australia,AUS,2021,13.346474230999574
291,Australia,AUS,2022,13.370679021391052
292,Australia,AUS,2023,13.393751079199827
293,Australia,AUS,2024,13.415767011107912
294,Australia,AUS,2025,13.436796740851985
295,Australia,AUS,2026,13.474928292732068
296,Australia,AUS,2027,13.511231972318571
297,Australia,AUS,2028,13.545835978131803
298,Australia,AUS,2029,13.578856806724911
299,Australia,AUS,2030,13.610400556862125
300,Australia,AUS,2031,13.641861042659873
301,Australia,AUS,2032,13.671963822387829
302,Australia,AUS,2033,13.700794824951206
303,Australia,AUS,2034,13.72843288544694
304,Australia,AUS,2035,13.75495046171059
305,Australia,AUS,2036,13.784483698660436
306,Australia,AUS,2037,13.812810286647267
307,Australia,AUS,2038,13.840002668057224
308,Australia,AUS,2039,13.86612760215159
309,Australia,AUS,2040,13.891246711478077
310,Australia,AUS,2041,13.920080893090944
311,Australia,AUS,2042,13.947779762914887
312,Australia,AUS,2043,13.974409096367063
313,Australia,AUS,2044,14.000029682870402
314,Australia,AUS,2045,14.024697789617704
315,Australia,AUS,2046,14.048273672156244
316,Australia,AUS,2047,14.071002231675363
317,Australia,AUS,2048,14.092928338757801
318,Australia,AUS,2049,14.11409375089971
319,Australia,AUS,2050,14.134537377874251
329,Austria,AUT,2020,13.88390280280441
330,Austria,AUT,2021,14.028489271198392
331,Austria,AUT,2022,14.098004279530945
332,Austria,AUT,2023,14.16456073135823
333,Austria,AUT,2024,14.228318877757179
334,Austria,AUT,2025,14.289428383295522
335,Austria,AUT,2026,14.348852337105848
336,Austria,AUT,2027,14.405853984323949
337,Austria,AUT,2028,14.46055820169008
338,Austria,AUT,2029,14.513082028067894
339,Austria,AUT,2030,14.563535244163191
340,Austria,AUT,2031,14.618665184210865
341,Austria,AUT,2032,14.671511883496581
342,Austria,AUT,2033,14.722195239476093
343,Austria,AUT,2034,14.77082747997892
344,Austria,AUT,2035,14.81751374135585
345,Austria,AUT,2036,14.871352870419544
346,Austria,AUT,2037,14.922843457534212
347,Austria,AUT,2038,14.97211661477904
348,Austria,AUT,2039,15.019294515287214
349,Austria,AUT,2040,15.064491111809847
350,Austria,AUT,2041,15.111933174927936
351,Austria,AUT,2042,15.157323806740289
352,Austria,AUT,2043,15.200776936063656
353,Austria,AUT,2044,15.242398755548363
354,Austria,AUT,2045,15.282288341353505
355,Austria,AUT,2046,15.319885376458554
356,Austria,AUT,2047,15.355985010821179
357,Austria,AUT,2048,15.39066338028275
358,Austria,AUT,2049,15.423991894264645
359,Austria,AUT,2050,15.456037581856897
369,Azerbaijan,AZE,2020,0.0
370,Azerbaijan,AZE,2021,0.0
371,Azerbaijan,AZE,2022,0.0
372,Azerbaijan,AZE,2023,0.0
373,Azerbaijan,AZE,2024,0.0
374,Azerbaijan,AZE,2025,0.0
375,Azerbaijan,AZE,2026,0.0
376,Azerbaijan,AZE,2027,0.0
377,Azerbaijan,AZE,2028,0.0
378,Azerbaijan,AZE,2029,0.0
379,Azerbaijan,AZE,2030,0.0
380,Azerbaijan,AZE,2031,0.0
381,Azerbaijan,AZE,2032,0.0
382,Azerbaijan,AZE,2033,0.0
383,Azerbaijan,AZE,2034,0.0
384,Azerbaijan,AZE,2035,0.0
385,Azerbaijan,AZE,2036,0.0
386,Azerbaijan,AZE,2037,0.0
387,Azerbaijan,AZE,2038,0.0
388,Azerbaijan,AZE,2039,0.0
389,Azerbaijan,AZE,2040,0.0
390,Azerbaijan,AZE,2041,0.0
391,Azerbaijan,AZE,2042,0.0
392,Azerbaijan,AZE,2043,0.0
393,Azerbaijan,AZE,2044,0.0
394,Azerbaijan,AZE,2045,0.0
395,Azerbaijan,AZE,2046,0.0
396,Azerbaijan,AZE,2047,0.0
397,Azerbaijan,AZE,2048,0.0
398,Azerbaijan,AZE,2049,0.0
399,Azerbaijan,AZE,2050,0.0
409,"Bahamas, The",BHS,2020,0.0
410,"Bahamas, The",BHS,2021,0.0
411,"Bahamas, The",BHS,2022,0.0
412,"Bahamas, The",BHS,2023,0.0
413,"Bahamas, The",BHS,2024,0.0
414,"Bahamas, The",BHS,2025,0.0
415,"Bahamas, The",BHS,2026,0.0
416,"Bahamas, The",BHS,2027,0.0
417,"Bahamas, The",BHS,2028,0.0
418,"Bahamas, The",BHS,2029,0.0
419,"Bahamas, The",BHS,2030,0.0
420,"Bahamas, The",BHS,2031,0.0
421,"Bahamas, The",BHS,2032,0.0
422,"Bahamas, The",BHS,2033,0.0
423,"Bahamas, The",BHS,2034,0.0
424,"Bahamas, The",BHS,2035,0.0
425,"Bahamas, The",BHS,2036,0.0
426,"Bahamas, The",BHS,2037,0.0
427,"Bahamas, The",BHS,2038,0.0
428,"Bahamas, The",BHS,2039,0.0
429,"Bahamas, The",BHS,2040,0.0
430,"Bahamas, The",BHS,2041,0.0
431,"Bahamas, The",BHS,2042,0.0
432,"Bahamas, The",BHS,2043,0.0
433,"Bahamas, The",BHS,2044,0.0
434,"Bahamas, The",BHS,2045,0.0
435,"Bahamas, The",BHS,2046,0.0
436,"Bahamas, The",BHS,2047,0.0
437,"Bahamas, The",BHS,2048,0.0
438,"Bahamas, The",BHS,2049,0.0
439,"Bahamas, The",BHS,2050,0.0
449,Bahrain,BHR,2020,0.0
450,Bahrain,BHR,2021,0.0
451,Bahrain,BHR,2022,0.0
452,Bahrain,BHR,2023,0.0
453,Bahrain,BHR,2024,0.0
454,Bahrain,BHR,2025,0.0
455,Bahrain,BHR,2026,0.0
456,Bahrain,BHR,2027,0.0
457,Bahrain,BHR,2028,0.0
458,Bahrain,BHR,2029,0.0
459,Bahrain,BHR,2030,0.0
460,Bahrain,BHR,2031,0.0
461,Bahrain,BHR,2032,0.0
462,Bahrain,BHR,2033,0.0
463,Bahrain,BHR,2034,0.0
464,Bahrain,BHR,2035,0.0
465,Bahrain,BHR,2036,0.0
466,Bahrain,BHR,2037,0.0
467,Bahrain,BHR,2038,0.0
468,Bahrain,BHR,2039,0.0
469,Bahrain,BHR,2040,0.0
470,Bahrain,BHR,2041,0.0
471,Bahrain,BHR,2042,0.0
472,Bahrain,BHR,2043,0.0
473,Bahrain,BHR,2044,0.0
474,Bahrain,BHR,2045,0.0
475,Bahrain,BHR,2046,0.0
476,Bahrain,BHR,2047,0.0
477,Bahrain,BHR,2048,0.0
478,Bahrain,BHR,2049,0.0
479,Bahrain,BHR,2050,0.0
489,Bangladesh,BGD,2020,0.0
490,Bangladesh,BGD,2021,0.0
491,Bangladesh,BGD,2022,0.0
492,Bangladesh,BGD,2023,0.0
493,Bangladesh,BGD,2024,0.0
494,Bangladesh,BGD,2025,0.0
495,Bangladesh,BGD,2026,0.0
496,Bangladesh,BGD,2027,0.0
497,Bangladesh,BGD,2028,0.0
498,Bangladesh,BGD,2029,0.0
499,Bangladesh,BGD,2030,0.0
500,Bangladesh,BGD,2031,0.0
501,Bangladesh,BGD,2032,0.0
502,Bangladesh,BGD,2033,0.0
503,Bangladesh,BGD,2034,0.0
504,Bangladesh,BGD,2035,0.0
505,Bangladesh,BGD,2036,0.0
506,Bangladesh,BGD,2037,0.0
507,Bangladesh,BGD,2038,0.0
508,Bangladesh,BGD,2039,0.0
509,Bangladesh,BGD,2040,0.0
510,Bangladesh,BGD,2041,0.0
511,Bangladesh,BGD,2042,0.4695550897847744
512,Bangladesh,BGD,2043,1.2613835828981057
513,Bangladesh,BGD,2044,1.9767956556299262
514,Bangladesh,BGD,2045,2.6242839399554554
515,Bangladesh,BGD,2046,3.3340267507758
516,Bangladesh,BGD,2047,3.9704222762279673
517,Bangladesh,BGD,2048,4.541752063351902
518,Bangladesh,BGD,2049,5.055092009553943
519,Bangladesh,BGD,2050,5.516524048833248
529,Barbados,BRB,2020,0.0
530,Barbados,BRB,2021,0.0
531,Barbados,BRB,2022,0.0
532,Barbados,BRB,2023,0.0
533,Barbados,BRB,2024,0.0
534,Barbados,BRB,2025,0.0
535,Barbados,BRB,2026,0.0
536,Barbados,BRB,2027,0.0
537,Barbados,BRB,2028,0.0
538,Barbados,BRB,2029,0.0
539,Barbados,BRB,2030,0.0
540,Barbados,BRB,2031,0.0
541,Barbados,BRB,2032,0.0
542,Barbados,BRB,2033,0.0
543,Barbados,BRB,2034,0.0
544,Barbados,BRB,2035,0.0
545,Barbados,BRB,2036,0.0
546,Barbados,BRB,2037,0.0
547,Barbados,BRB,2038,0.0
548,Barbados,BRB,2039,0.0
549,Barbados,BRB,2040,0.0
550,Barbados,BRB,2041,0.0
551,Barbados,BRB,2042,0.0
552,Barbados,BRB,2043,0.0
553,Barbados,BRB,2044,0.0
554,Barbados,BRB,2045,0.0
555,Barbados,BRB,2046,0.0
556,Barbados,BRB,2047,0.0
557,Barbados,BRB,2048,0.0
558,Barbados,BRB,2049,0.0
559,Barbados,BRB,2050,0.0
569,Belarus,BLR,2020,0.0
570,Belarus,BLR,2021,0.0
571,Belarus,BLR,2022,0.025407300229147337
572,Belarus,BLR,2023,0.32289450995125724
573,Belarus,BLR,2024,0.6114525680501044
574,Belarus,BLR,2025,0.8913095112429973
575,Belarus,BLR,2026,1.6437940524896337
576,Belarus,BLR,2027,2.3318087926930002
577,Belarus,BLR,2028,2.9623014452430207
578,Belarus,BLR,2029,3.5413180765315135
579,Belarus,BLR,2030,4.074139323589162
580,Belarus,BLR,2031,4.553240086082028
581,Belarus,BLR,2032,4.99677470825469
582,Belarus,BLR,2033,5.408067303171973
583,Belarus,BLR,2034,5.790066932744097
584,Belarus,BLR,2035,6.145397007515669
585,Belarus,BLR,2036,6.44995553376909
586,Belarus,BLR,2037,6.735506986901035
587,Belarus,BLR,2038,7.003524798979273
588,Belarus,BLR,2039,7.255344845123468
589,Belarus,BLR,2040,7.492180445530454
590,Belarus,BLR,2041,7.683335258927106
591,Belarus,BLR,2042,7.864757703172751
592,Belarus,BLR,2043,8.037038266654786
593,Belarus,BLR,2044,8.20072473899571
594,Belarus,BLR,2045,8.356325808911192
595,Belarus,BLR,2046,8.479718858919375
596,Belarus,BLR,2047,8.597917240540704
597,Belarus,BLR,2048,8.711163539511011
598,Belarus,BLR,2049,8.819687055947
599,Belarus,BLR,2050,8.923704648717491
609,Belgium,BEL,2020,10.687720281222159
610,Belgium,BEL,2021,10.911924087746241
611,Belgium,BEL,2022,10.98192018424579
612,Belgium,BEL,2023,11.049759297085265
613,Belgium,BEL,2024,11.11554143778223
614,Belgium,BEL,2025,11.179360405290318
615,Belgium,BEL,2026,11.270617399167186
616,Belgium,BEL,2027,11.358533111330336
617,Belgium,BEL,2028,11.443290160636545
618,Belgium,BEL,2029,11.525057889596892
619,Belgium,BEL,2030,11.603993570636593
620,Belgium,BEL,2031,11.698165313917652
621,Belgium,BEL,2032,11.788727571422058
622,Belgium,BEL,2033,11.87588575818818
623,Belgium,BEL,2034,11.959829829942471
624,Belgium,BEL,2035,12.040735728392624
625,Belgium,BEL,2036,12.128821967416217
626,Belgium,BEL,2037,12.213579538563351
627,Belgium,BEL,2038,12.29519472543682
628,Belgium,BEL,2039,12.373840068054148
629,Belgium,BEL,2040,12.449675617946683
630,Belgium,BEL,2041,12.526695032633253
631,Belgium,BEL,2042,12.600999034387629
632,Belgium,BEL,2043,12.672729328492649
633,Belgium,BEL,2044,12.74201788022649
634,Belgium,BEL,2045,12.808987742452828
635,Belgium,BEL,2046,12.875851850154127
636,Belgium,BEL,2047,12.94053904772259
637,Belgium,BEL,2048,13.003154257992975
638,Belgium,BEL,2049,13.063795743851006
639,Belgium,BEL,2050,13.122555630604287
649,Belize,BLZ,2020,0.0
650,Belize,BLZ,2021,0.0
651,Belize,BLZ,2022,0.0
652,Belize,BLZ,2023,0.0
653,Belize,BLZ,2024,0.0
654,Belize,BLZ,2025,0.0
655,Belize,BLZ,2026,0.0
656,Belize,BLZ,2027,0.0
657,Belize,BLZ,2028,0.0
658,Belize,BLZ,2029,0.0
659,Belize,BLZ,2030,0.0
660,Belize,BLZ,2031,0.0
661,Belize,BLZ,2032,0.0
662,Belize,BLZ,2033,0.0
663,Belize,BLZ,2034,0.0
664,Belize,BLZ,2035,0.0
665,Belize,BLZ,2036,0.0
666,Belize,BLZ,2037,0.0
667,Belize,BLZ,2038,0.0
668,Belize,BLZ,2039,0.0
669,Belize,BLZ,2040,0.0
670,Belize,BLZ,2041,0.0
671,Belize,BLZ,2042,0.0
672,Belize,BLZ,2043,0.0
673,Belize,BLZ,2044,0.0
674,Belize,BLZ,2045,0.0
675,Belize,BLZ,2046,0.0
676,Belize,BLZ,2047,0.0
677,Belize,BLZ,2048,0.0
678,Belize,BLZ,2049,0.0
679,Belize,BLZ,2050,0.0
689,Benin,BEN,2020,0.0
690,Benin,BEN,2021,0.0
691,Benin,BEN,2022,0.0
692,Benin,BEN,2023,0.0
693,Benin,BEN,2024,0.0
694,Benin,BEN,2025,0.0
695,Benin,BEN,2026,0.0
696,Benin,BEN,2027,0.0
697,Benin,BEN,2028,0.0
698,Benin,BEN,2029,0.0
699,Benin,BEN,2030,0.0
700,Benin,BEN,2031,0.0
701,Benin,BEN,2032,0.0
702,Benin,BEN,2033,0.0
703,Benin,BEN,2034,0.0
704,Benin,BEN,2035,0.0
705,Benin,BEN,2036,0.0
706,Benin,BEN,2037,0.0
707,Benin,BEN,2038,0.0
708,Benin,BEN,2039,0.0
709,Benin,BEN,2040,0.0
710,Benin,BEN,2041,0.0
711,Benin,BEN,2042,0.0
712,Benin,BEN,2043,0.0
713,Benin,BEN,2044,0.0
714,Benin,BEN,2045,0.0
715,Benin,BEN,2046,0.0
716,Benin,BEN,2047,0.0
717,Benin,BEN,2048,0.0
718,Benin,BEN,2049,0.0
719,Benin,BEN,2050,0.0
729,Bhutan,BTN,2020,0.0
730,Bhutan,BTN,2021,0.0
731,Bhutan,BTN,2022,0.0
732,Bhutan,BTN,2023,0.0
733,Bhutan,BTN,2024,0.0
734,Bhutan,BTN,2025,0.0
735,Bhutan,BTN,2026,0.0
736,Bhutan,BTN,2027,0.0
737,Bhutan,BTN,2028,0.0
738,Bhutan,BTN,2029,0.0
739,Bhutan,BTN,2030,0.0
740,Bhutan,BTN,2031,0.0
741,Bhutan,BTN,2032,0.0
742,Bhutan,BTN,2033,0.0
743,Bhutan,BTN,2034,0.0
744,Bhutan,BTN,2035,0.0
745,Bhutan,BTN,2036,0.0
746,Bhutan,BTN,2037,0.0
747,Bhutan,BTN,2038,0.0
748,Bhutan,BTN,2039,0.0
749,Bhutan,BTN,2040,0.0
750,Bhutan,BTN,2041,0.0
751,Bhutan,BTN,2042,0.0
752,Bhutan,BTN,2043,0.0
753,Bhutan,BTN,2044,0.0
754,Bhutan,BTN,2045,0.0
755,Bhutan,BTN,2046,0.0
756,Bhutan,BTN,2047,0.0
757,Bhutan,BTN,2048,0.0
758,Bhutan,BTN,2049,0.0
759,Bhutan,BTN,2050,0.0
769,Bolivia,BOL,2020,0.0
770,Bolivia,BOL,2021,0.0
771,Bolivia,BOL,2022,0.0
772,Bolivia,BOL,2023,0.0
773,Bolivia,BOL,2024,0.0
774,Bolivia,BOL,2025,0.0
775,Bolivia,BOL,2026,0.0
776,Bolivia,BOL,2027,0.0
777,Bolivia,BOL,2028,0.0
778,Bolivia,BOL,2029,0.0
779,Bolivia,BOL,2030,0.0
780,Bolivia,BOL,2031,0.0
781,Bolivia,BOL,2032,0.0
782,Bolivia,BOL,2033,0.0
783,Bolivia,BOL,2034,0.0
784,Bolivia,BOL,2035,0.0
785,Bolivia,BOL,2036,0.0
786,Bolivia,BOL,2037,0.0
787,Bolivia,BOL,2038,0.0
788,Bolivia,BOL,2039,0.0
789,Bolivia,BOL,2040,0.0
790,Bolivia,BOL,2041,0.0
791,Bolivia,BOL,2042,0.0
792,Bolivia,BOL,2043,0.0
793,Bolivia,BOL,2044,0.0
794,Bolivia,BOL,2045,0.0
795,Bolivia,BOL,2046,0.0
796,Bolivia,BOL,2047,0.0
797,Bolivia,BOL,2048,0.0
798,Bolivia,BOL,2049,0.040874795049668115
799,Bolivia,BOL,2050,0.9185093477147279
809,Bosnia and Herzegovina,BIH,2020,0.0
810,Bosnia and Herzegovina,BIH,2021,0.0
811,Bosnia and Herzegovina,BIH,2022,0.0
812,Bosnia and Herzegovina,BIH,2023,0.0
813,Bosnia and Herzegovina,BIH,2024,0.0
814,Bosnia and Herzegovina,BIH,2025,0.0
815,Bosnia and Herzegovina,BIH,2026,0.0
816,Bosnia and Herzegovina,BIH,2027,0.0
817,Bosnia and Herzegovina,BIH,2028,0.0
818,Bosnia and Herzegovina,BIH,2029,0.0
819,Bosnia and Herzegovina,BIH,2030,0.0
820,Bosnia and Herzegovina,BIH,2031,0.0
821,Bosnia and Herzegovina,BIH,2032,0.0
822,Bosnia and Herzegovina,BIH,2033,0.0
823,Bosnia and Herzegovina,BIH,2034,0.0
824,Bosnia and Herzegovina,BIH,2035,0.0
825,Bosnia and Herzegovina,BIH,2036,0.0
826,Bosnia and Herzegovina,BIH,2037,0.0
827,Bosnia and Herzegovina,BIH,2038,0.0
828,Bosnia and Herzegovina,BIH,2039,0.0
829,Bosnia and Herzegovina,BIH,2040,0.0
830,Bosnia and Herzegovina,BIH,2041,0.0
831,Bosnia and Herzegovina,BIH,2042,0.0
832,Bosnia and Herzegovina,BIH,2043,0.0
833,Bosnia and Herzegovina,BIH,2044,0.0
834,Bosnia and Herzegovina,BIH,2045,0.0
835,Bosnia and Herzegovina,BIH,2046,0.0
836,Bosnia and Herzegovina,BIH,2047,0.0
837,Bosnia and Herzegovina,BIH,2048,0.0
838,Bosnia and Herzegovina,BIH,2049,0.0
839,Bosnia and Herzegovina,BIH,2050,0.0
849,Botswana,BWA,2020,0.0
850,Botswana,BWA,2021,0.0
851,Botswana,BWA,2022,0.0
852,Botswana,BWA,2023,0.0
853,Botswana,BWA,2024,0.0
854,Botswana,BWA,2025,0.0
855,Botswana,BWA,2026,0.0
856,Botswana,BWA,2027,0.0
857,Botswana,BWA,2028,0.0
858,Botswana,BWA,2029,0.0
859,Botswana,BWA,2030,0.0
860,Botswana,BWA,2031,0.0
861,Botswana,BWA,2032,0.0
862,Botswana,BWA,2033,0.0
863,Botswana,BWA,2034,0.0
864,Botswana,BWA,2035,0.0
865,Botswana,BWA,2036,0.0
866,Botswana,BWA,2037,0.0
867,Botswana,BWA,2038,0.0
868,Botswana,BWA,2039,0.0
869,Botswana,BWA,2040,0.0
870,Botswana,BWA,2041,0.0
871,Botswana,BWA,2042,0.0
872,Botswana,BWA,2043,0.0
873,Botswana,BWA,2044,0.0
874,Botswana,BWA,2045,0.0
875,Botswana,BWA,2046,0.0
876,Botswana,BWA,2047,0.0
877,Botswana,BWA,2048,0.0
878,Botswana,BWA,2049,0.0
879,Botswana,BWA,2050,0.0
889,Brazil,BRA,2020,1.6080082686264157
890,Brazil,BRA,2021,1.6686277418089774
891,Brazil,BRA,2022,1.5974416420288897
892,Brazil,BRA,2023,1.5230766232479271
893,Brazil,BRA,2024,1.4457717830995815
894,Brazil,BRA,2025,1.3657496407729461
895,Brazil,BRA,2026,1.4807533798056594
896,Brazil,BRA,2027,1.592677554402582
897,Brazil,BRA,2028,1.7014644705226507
898,Brazil,BRA,2029,1.8071003947962925
899,Brazil,BRA,2030,1.9096041403300819
900,Brazil,BRA,2031,2.002680686078203
901,Brazil,BRA,2032,2.0930654106489692
902,Brazil,BRA,2033,2.180816849208743
