iso_code3,Nation,Year,yf_agrc_tubers_tonne_ha
BDI,Burundi,2024,15.869185453000002
BDI,Burundi,2025,15.869185453000002
BDI,Burundi,2026,15.869185453000002
BDI,Burundi,2027,15.869185453000002
BDI,Burundi,2028,15.869185453000002
BDI,Burundi,2029,15.869185453000002
BDI,Burundi,2030,15.869185453000002
BDI,Burundi,2031,15.869185453000002
BDI,Burundi,2032,15.869185453000002
BDI,Burundi,2033,15.869185453000002
BDI,Burundi,2034,15.869185453000002
BDI,Burundi,2035,15.869185453000002
BDI,Burundi,2036,15.869185453000002
BDI,Burundi,2037,15.869185453000002
BDI,Burundi,2038,15.869185453000002
BDI,Burundi,2039,15.869185453000002
BDI,Burundi,2040,15.869185453000002
BDI,Burundi,2041,15.869185453000002
BDI,Burundi,2042,15.869185453000002
BDI,Burundi,2043,15.869185453000002
BDI,Burundi,2044,15.869185453000002
BDI,Burundi,2045,15.869185453000002
BDI,Burundi,2046,15.869185453000002
BDI,Burundi,2047,15.869185453000002
BDI,Burundi,2048,15.869185453000002
BDI,Burundi,2049,15.869185453000002
BDI,Burundi,2050,15.869185453000002
BEL,Belgium,2023,36.039143602
BEL,Belgium,2024,36.039143602
BEL,Belgium,2025,36.039143602
BEL,Belgium,2026,36.039143602
BEL,Belgium,2027,36.039143602
BEL,Belgium,2028,36.039143602
BEL,Belgium,2029,36.039143602
BEL,Belgium,2030,36.039143602
BEL,Belgium,2031,36.039143602
BEL,Belgium,2032,36.039143602
BEL,Belgium,2033,36.039143602
BEL,Belgium,2034,36.039143602
BEL,Belgium,2035,36.039143602
BEL,Belgium,2036,36.039143602
BEL,Belgium,2037,36.039143602
BEL,Belgium,2038,36.039143602
BEL,Belgium,2039,36.039143602
BEL,Belgium,2040,36.039143602
BEL,Belgium,2041,36.039143602
BEL,Belgium,2042,36.039143602
BEL,Belgium,2043,36.039143602
BEL,Belgium,2044,36.039143602
BEL,Belgium,2045,36.039143602
BEL,Belgium,2046,36.039143602
BEL,Belgium,2047,36.039143602
