Year,iso_code3,pij_lndu_forests_mangroves_to_forests_secondary
2030,BFA,0.001366699669848
2031,BFA,0.001366699669848
2032,BFA,0.001366699669848
2033,BFA,0.001366699669848
2034,BFA,0.001366699669848
2035,BFA,0.001366699669848
2036,BFA,0.001366699669848
2037,BFA,0.001366699669848
2038,BFA,0.001366699669848
2039,BFA,0.001366699669848
2040,BFA,0.001366699669848
2041,BFA,0.001366699669848
2042,BFA,0.001366699669848
2043,BFA,0.001366699669848
2044,BFA,0.001366699669848
2045,BFA,0.001366699669848
2046,BFA,0.001366699669848
2047,BFA,0.001366699669848
2048,BFA,0.001366699669848
2049,BFA,0.001366699669848
2050,BFA,0.001366699669848
2019,BGD,0.0008639366325456
2020,BGD,0.0009485604514435
2021,BGD,0.0009485604514435
2022,BGD,0.0009485604514435
2023,BGD,0.0009485604514435
2024,BGD,0.0009485604514435
2025,BGD,0.0009485604514435
2026,BGD,0.0009485604514435
2027,BGD,0.0009485604514435
2028,BGD,0.0009485604514435
2029,BGD,0.0009485604514435
2030,BGD,0.0009485604514435
2031,BGD,0.0009485604514435
2032,BGD,0.0009485604514435
2033,BGD,0.0009485604514435
2034,BGD,0.0009485604514435
2035,BGD,0.0009485604514435
2036,BGD,0.0009485604514435
2037,BGD,0.0009485604514435
2038,BGD,0.0009485604514435
2039,BGD,0.0009485604514435
2040,BGD,0.0009485604514435
2041,BGD,0.0009485604514435
2042,BGD,0.0009485604514435
2043,BGD,0.0009485604514435
2044,BGD,0.0009485604514435
2045,BGD,0.0009485604514435
2046,BGD,0.0009485604514435
2047,BGD,0.0009485604514435
2048,BGD,0.0009485604514435
2049,BGD,0.0009485604514435
2050,BGD,0.0009485604514435
2019,BGR,0.0013698327494802
2020,BGR,0.0013604583975252
2021,BGR,0.0013604583975252
2022,BGR,0.0013604583975252
2023,BGR,0.0013604583975252
2024,BGR,0.0013604583975252
2025,BGR,0.0013604583975252
2026,BGR,0.0013604583975252
2027,BGR,0.0013604583975252
2028,BGR,0.0013604583975252
2029,BGR,0.0013604583975252
2030,BGR,0.0013604583975252
2031,BGR,0.0013604583975252
2032,BGR,0.0013604583975252
2033,BGR,0.0013604583975252
2034,BGR,0.0013604583975252
2035,BGR,0.0013604583975252
2036,BGR,0.0013604583975252
2037,BGR,0.0013604583975252
2038,BGR,0.0013604583975252
2039,BGR,0.0013604583975252
2040,BGR,0.0013604583975252
2041,BGR,0.0013604583975252
2042,BGR,0.0013604583975252
2043,BGR,0.0013604583975252
2044,BGR,0.0013604583975252
2045,BGR,0.0013604583975252
2046,BGR,0.0013604583975252
2047,BGR,0.0013604583975252
2048,BGR,0.0013604583975252
2049,BGR,0.0013604583975252
2050,BGR,0.0013604583975252
2019,BHS,0.0004690257239939
2020,BHS,0.0008889584512342
2021,BHS,0.0008889584512342
2022,BHS,0.0008889584512342
2023,BHS,0.0008889584512342
2024,BHS,0.0008889584512342
2025,BHS,0.0008889584512342
2026,BHS,0.0008889584512342
2027,BHS,0.0008889584512342
2028,BHS,0.0008889584512342
2029,BHS,0.0008889584512342
2030,BHS,0.0008889584512342
2031,BHS,0.0008889584512342
2032,BHS,0.0008889584512342
2033,BHS,0.0008889584512342
2034,BHS,0.0008889584512342
2035,BHS,0.0008889584512342
2036,BHS,0.0008889584512342
2037,BHS,0.0008889584512342
2038,BHS,0.0008889584512342
2039,BHS,0.0008889584512342
2040,BHS,0.0008889584512342
2041,BHS,0.0008889584512342
2042,BHS,0.0008889584512342
2043,BHS,0.0008889584512342
2044,BHS,0.0008889584512342
2045,BHS,0.0008889584512342
2046,BHS,0.0008889584512342
2047,BHS,0.0008889584512342
2048,BHS,0.0008889584512342
2049,BHS,0.0008889584512342
2050,BHS,0.0008889584512342
2019,BIH,0.0013698382635824
2020,BIH,0.001361959600922
2021,BIH,0.001361959600922
2022,BIH,0.001361959600922
2023,BIH,0.001361959600922
2024,BIH,0.001361959600922
2025,BIH,0.001361959600922
2026,BIH,0.001361959600922
2027,BIH,0.001361959600922
2028,BIH,0.001361959600922
2029,BIH,0.001361959600922
2030,BIH,0.001361959600922
2031,BIH,0.001361959600922
2032,BIH,0.001361959600922
2033,BIH,0.001361959600922
2034,BIH,0.001361959600922
2035,BIH,0.001361959600922
2036,BIH,0.001361959600922
2037,BIH,0.001361959600922
2038,BIH,0.001361959600922
2039,BIH,0.001361959600922
2040,BIH,0.001361959600922
2041,BIH,0.001361959600922
2042,BIH,0.001361959600922
2043,BIH,0.001361959600922
2044,BIH,0.001361959600922
2045,BIH,0.001361959600922
2046,BIH,0.001361959600922
2047,BIH,0.001361959600922
2048,BIH,0.001361959600922
2049,BIH,0.001361959600922
2050,BIH,0.001361959600922
2019,BLR,0.0013701407368939
2020,BLR,0.0013662541512054
2021,BLR,0.0013662541512054
2022,BLR,0.0013662541512054
2023,BLR,0.0013662541512054
2024,BLR,0.0013662541512054
2025,BLR,0.0013662541512054
2026,BLR,0.0013662541512054
2027,BLR,0.0013662541512054
2028,BLR,0.0013662541512054
2029,BLR,0.0013662541512054
2030,BLR,0.0013662541512054
2031,BLR,0.0013662541512054
2032,BLR,0.0013662541512054
2033,BLR,0.0013662541512054
2034,BLR,0.0013662541512054
2035,BLR,0.0013662541512054
2036,BLR,0.0013662541512054
2037,BLR,0.0013662541512054
2038,BLR,0.0013662541512054
2039,BLR,0.0013662541512054
2040,BLR,0.0013662541512054
2041,BLR,0.0013662541512054
2042,BLR,0.0013662541512054
2043,BLR,0.0013662541512054
2044,BLR,0.0013662541512054
2045,BLR,0.0013662541512054
2046,BLR,0.0013662541512054
2047,BLR,0.0013662541512054
2048,BLR,0.0013662541512054
2049,BLR,0.0013662541512054
2050,BLR,0.0013662541512054
2019,BLZ,0.0022072033062245
2020,BLZ,0.0021264934487482
2021,BLZ,0.0021264934487482
2022,BLZ,0.0021264934487482
2023,BLZ,0.0021264934487482
2024,BLZ,0.0021264934487482
2025,BLZ,0.0021264934487482
2026,BLZ,0.0021264934487482
