Year,iso_code3,pij_lndu_wetlands_to_forests_secondary
2032,BDI,0.0023022990922622
2033,BDI,0.0023022990922622
2034,BDI,0.0023022990922622
2035,BDI,0.0023022990922622
2036,BDI,0.0023022990922622
2037,BDI,0.0023022990922622
2038,BDI,0.0023022990922622
2039,BDI,0.0023022990922622
2040,BDI,0.0023022990922622
2041,BDI,0.0023022990922622
2042,BDI,0.0023022990922622
2043,BDI,0.0023022990922622
2044,BDI,0.0023022990922622
2045,BDI,0.0023022990922622
2046,BDI,0.0023022990922622
2047,BDI,0.0023022990922622
2048,BDI,0.0023022990922622
2049,BDI,0.0023022990922622
2050,BDI,0.0023022990922622
2019,BEL,0.0031326038501495
2020,BEL,0.0039374223454707
2021,BEL,0.0039374223454707
2022,BEL,0.0039374223454707
2023,BEL,0.0039374223454707
2024,BEL,0.0039374223454707
2025,BEL,0.0039374223454707
2026,BEL,0.0039374223454707
2027,BEL,0.0039374223454707
2028,BEL,0.0039374223454707
2029,BEL,0.0039374223454707
2030,BEL,0.0039374223454707
2031,BEL,0.0039374223454707
2032,BEL,0.0039374223454707
2033,BEL,0.0039374223454707
2034,BEL,0.0039374223454707
2035,BEL,0.0039374223454707
2036,BEL,0.0039374223454707
2037,BEL,0.0039374223454707
2038,BEL,0.0039374223454707
2039,BEL,0.0039374223454707
2040,BEL,0.0039374223454707
2041,BEL,0.0039374223454707
2042,BEL,0.0039374223454707
2043,BEL,0.0039374223454707
2044,BEL,0.0039374223454707
2045,BEL,0.0039374223454707
2046,BEL,0.0039374223454707
2047,BEL,0.0039374223454707
2048,BEL,0.0039374223454707
2049,BEL,0.0039374223454707
2050,BEL,0.0039374223454707
2019,BEN,0.0
2020,BEN,1.0639189838656628e-05
2021,BEN,1.0639189838656628e-05
2022,BEN,1.0639189838656628e-05
2023,BEN,1.0639189838656628e-05
2024,BEN,1.0639189838656628e-05
2025,BEN,1.0639189838656628e-05
2026,BEN,1.0639189838656628e-05
2027,BEN,1.0639189838656628e-05
2028,BEN,1.0639189838656628e-05
2029,BEN,1.0639189838656628e-05
2030,BEN,1.0639189838656628e-05
2031,BEN,1.0639189838656628e-05
2032,BEN,1.0639189838656628e-05
2033,BEN,1.0639189838656628e-05
2034,BEN,1.0639189838656628e-05
2035,BEN,1.0639189838656628e-05
2036,BEN,1.0639189838656628e-05
2037,BEN,1.0639189838656628e-05
2038,BEN,1.0639189838656628e-05
2039,BEN,1.0639189838656628e-05
2040,BEN,1.0639189838656628e-05
2041,BEN,1.0639189838656628e-05
2042,BEN,1.0639189838656628e-05
2043,BEN,1.0639189838656628e-05
2044,BEN,1.0639189838656628e-05
2045,BEN,1.0639189838656628e-05
2046,BEN,1.0639189838656628e-05
2047,BEN,1.0639189838656628e-05
2048,BEN,1.0639189838656628e-05
2049,BEN,1.0639189838656628e-05
2050,BEN,1.0639189838656628e-05
2019,BFA,0.0
2020,BFA,1.4885422149412455e-06
2021,BFA,1.4885422149412455e-06
2022,BFA,1.4885422149412455e-06
2023,BFA,1.4885422149412455e-06
2024,BFA,1.4885422149412455e-06
2025,BFA,1.4885422149412455e-06
2026,BFA,1.4885422149412455e-06
2027,BFA,1.4885422149412455e-06
2028,BFA,1.4885422149412455e-06
2029,BFA,1.4885422149412455e-06
2030,BFA,1.4885422149412455e-06
2031,BFA,1.4885422149412455e-06
2032,BFA,1.4885422149412455e-06
2033,BFA,1.4885422149412455e-06
2034,BFA,1.4885422149412455e-06
2035,BFA,1.4885422149412455e-06
2036,BFA,1.4885422149412455e-06
2037,BFA,1.4885422149412455e-06
2038,BFA,1.4885422149412455e-06
2039,BFA,1.4885422149412455e-06
2040,BFA,1.4885422149412455e-06
2041,BFA,1.4885422149412455e-06
2042,BFA,1.4885422149412455e-06
2043,BFA,1.4885422149412455e-06
2044,BFA,1.4885422149412455e-06
2045,BFA,1.4885422149412455e-06
2046,BFA,1.4885422149412455e-06
2047,BFA,1.4885422149412455e-06
2048,BFA,1.4885422149412455e-06
2049,BFA,1.4885422149412455e-06
2050,BFA,1.4885422149412455e-06
2019,BGD,0.001403971082389
2020,BGD,0.0013002169622074
2021,BGD,0.0013002169622074
2022,BGD,0.0013002169622074
2023,BGD,0.0013002169622074
2024,BGD,0.0013002169622074
2025,BGD,0.0013002169622074
2026,BGD,0.0013002169622074
2027,BGD,0.0013002169622074
2028,BGD,0.0013002169622074
