"Nation","iso_code3","efficfactor_scoe_heat_energy_residential_gas_petroleum_liquid","Year"
"Hungary","HUN",1.0987,2024
"Iceland","ISL",1.0987,2024
"India","IND",1.1297,2024
"Indonesia","IDN",1.1297,2024
"Iraq","IRQ",1.1297,2024
"Ireland","IRL",1.0987,2024
"Israel","ISR",1.1297,2024
"Italy","ITA",1.0987,2024
"Jamaica","JAM",1.1297,2024
"Japan","JPN",1.1393,2024
"Jordan","JOR",1.11931086956522,2024
"Kazakhstan","KAZ",1.0987,2024
"Kenya","KEN",1.1297,2024
"Korea","KOR",1.1393,2024
"Kosovo","XKX",1.0987,2024
"Kuwait","KWT",1.1297,2024
"Latvia","LVA",1.0987,2024
"Lebanon","LBN",1.1297,2024
"Libya","LBY",1.1297,2024
"Lithuania","LTU",1.0987,2024
"Luxembourg","LUX",1.0987,2024
"Malaysia","MYS",1.10802826086957,2024
"Malta","MLT",1.0987,2024
"Mauritius","MUS",1.1297,2024
"Mexico","MEX",1.1297,2024
"Mongolia","MNG",1.11779932589735,2024
"Montenegro","MNE",1.0987,2024
"Morocco","MAR",1.1297,2024
"Mozambique","MOZ",1.10758043478261,2024
"Myanmar","MMR",1.1297,2024
"Namibia","NAM",1.1297,2024
"Nepal","NPL",1.17287837837838,2024
"Netherlands","NLD",1.0987,2024
"New Zealand","NZL",1.1393,2024
"Nicaragua","NIC",1.12678695652174,2024
"Niger","NER",1.1297,2024
"Nigeria","NGA",1.1297,2024
"Norway","NOR",1.0987,2024
"Oman","OMN",1.1297,2024
"Pakistan","PAK",1.085,2024
"Panama","PAN",1.1297,2024
"Paraguay","PRY",1.095,2024
"Peru","PER",1.1297,2024
"Philippines","PHL",1.076,2024
"Poland","POL",1.0987,2024
"Portugal","PRT",1.0987,2024
"Qatar","QAT",1.1297,2024
"Romania","ROU",1.0987,2024
"Russian Federation","RUS",1.0987,2024
"Saudi Arabia","SAU",1.1297,2024
"Senegal","SEN",1.1297,2024
"Serbia","SRB",1.0987,2024
"Singapore","SGP",1.1297,2024
"Slovak Republic","SVK",1.0987,2024
"Slovenia","SVN",1.0987,2024
"South Africa","ZAF",1.12307391304348,2024
"South Sudan","SSD",1.1297,2024
"Spain","ESP",1.0987,2024
"Sri Lanka","LKA",1.09241860465116,2024
"Sudan","SDN",1.1297,2024
"Suriname","SUR",1.1297,2024
"Sweden","SWE",1.0987,2024
"Switzerland","CHE",1.0987,2024
"Syrian Arab Republic","SYR",1.1297,2024
"Tajikistan","TJK",1.0987,2024
"Thailand","THA",1.1774,2024
"Togo","TGO",1.1297,2024
"Trinidad and Tobago","TTO",1.1297,2024
"Tunisia","TUN",1.1183652173913,2024
"Turkey","TUR",1.0987,2024
"Turkmenistan","TKM",1.0987,2024
"Ukraine","UKR",1.0987,2024
"United Arab Emirates","ARE",1.1297,2024
"United Kingdom","GBR",1.0987,2024
"United States","USA",1.1297,2024
"Uruguay","URY",1.11658260869565,2024
"Uzbekistan","UZB",1.0987,2024
"Venezuela","VEN",1.1768,2024
"Vietnam","VNM",1.088,2024
"Zambia","ZMB",1.09386,2024
"Zimbabwe","ZWE",1.1297,2024
"Albania","ALB",1.0987,2025
"Algeria","DZA",1.18,2025
"Angola","AGO",1.1297,2025
"Argentina","ARG",1.10977608695652,2025
"Armenia","ARM",1.0987,2025
"Australia","AUS",1.1393,2025
"Austria","AUT",1.0987,2025
"Azerbaijan","AZE",1.0987,2025
"Bahrain","BHR",1.1297,2025
"Bangladesh","BGD",1.1297,2025
"Belarus","BLR",1.0987,2025
"Belgium","BEL",1.0987,2025
"Benin","BEN",1.1297,2025
"Bolivia","BOL",1.1297,2025
"Bosnia and Herzegovina","BIH",1.0987,2025
"Botswana","BWA",1.1297,2025
"Brazil","BRA",1.11678723404255,2025
"Brunei Darussalam","BRN",1.1297,2025
"Bulgaria","BGR",1.0987,2025
"Cambodia","KHM",1.18,2025
"Cameroon","CMR",1.1297,2025
"Canada","CAN",1.1297,2025
"Chile","CHL",1.1297,2025
"China","CHN",1.17360930232558,2025
"Colombia","COL",1.102,2025
"Costa Rica","CRI",1.1297,2025
"Croatia","HRV",1.0987,2025
"Cuba","CUB",1.12005652173913,2025
"Cyprus","CYP",1.0987,2025
"Denmark","DNK",1.0987,2025
"Dominican Republic","DOM",1.1297,2025
"Ecuador","ECU",1.1297,2025
"Egypt","EGY",1.1297,2025
"El Salvador","SLV",1.1297,2025
"Eritrea","ERI",1.1297,2025
"Estonia","EST",1.0987,2025
"Ethiopia","ETH",1.1297,2025
"Finland","FIN",1.0987,2025
"France","FRA",1.0987,2025
"Gabon","GAB",1.1297,2025
"Georgia","GEO",1.0987,2025
"Germany","DEU",1.0987,2025
"Ghana","GHA",1.1297,2025
"Gibraltar","GIB",1.11779932589735,2025
"Greece","GRC",1.0987,2025
"Guatemala","GTM",1.1297,2025
"Haiti","HTI",1.1297,2025
"Honduras","HND",1.1297,2025
"Hungary","HUN",1.0987,2025
"Iceland","ISL",1.0987,2025
"India","IND",1.1297,2025
"Indonesia","IDN",1.1297,2025
"Iraq","IRQ",1.1297,2025
"Ireland","IRL",1.0987,2025
"Israel","ISR",1.1297,2025
"Italy","ITA",1.0987,2025
"Jamaica","JAM",1.1297,2025
"Japan","JPN",1.1393,2025
"Jordan","JOR",1.11931086956522,2025
"Kazakhstan","KAZ",1.0987,2025
"Kenya","KEN",1.1297,2025
"Korea","KOR",1.1393,2025
"Kosovo","XKX",1.0987,2025
"Kuwait","KWT",1.1297,2025
"Latvia","LVA",1.0987,2025
"Lebanon","LBN",1.1297,2025
"Libya","LBY",1.1297,2025
"Lithuania","LTU",1.0987,2025
"Luxembourg","LUX",1.0987,2025
"Malaysia","MYS",1.10802826086957,2025
"Malta","MLT",1.0987,2025
"Mauritius","MUS",1.1297,2025
"Mexico","MEX",1.1297,2025
"Mongolia","MNG",1.11779932589735,2025
"Montenegro","MNE",1.0987,2025
"Morocco","MAR",1.1297,2025
"Mozambique","MOZ",1.10758043478261,2025
"Myanmar","MMR",1.1297,2025
"Namibia","NAM",1.1297,2025
"Nepal","NPL",1.17287837837838,2025
"Netherlands","NLD",1.0987,2025
"New Zealand","NZL",1.1393,2025
"Nicaragua","NIC",1.12678695652174,2025
"Niger","NER",1.1297,2025
"Nigeria","NGA",1.1297,2025
"Norway","NOR",1.0987,2025
"Oman","OMN",1.1297,2025
"Pakistan","PAK",1.085,2025
"Panama","PAN",1.1297,2025
"Paraguay","PRY",1.095,2025
"Peru","PER",1.1297,2025
"Philippines","PHL",1.076,2025
"Poland","POL",1.0987,2025
"Portugal","PRT",1.0987,2025
"Qatar","QAT",1.1297,2025
"Romania","ROU",1.0987,2025
"Russian Federation","RUS",1.0987,2025
"Saudi Arabia","SAU",1.1297,2025
"Senegal","SEN",1.1297,2025
"Serbia","SRB",1.0987,2025
"Singapore","SGP",1.1297,2025
"Slovak Republic","SVK",1.0987,2025
"Slovenia","SVN",1.0987,2025
"South Africa","ZAF",1.12307391304348,2025
"South Sudan","SSD",1.1297,2025
"Spain","ESP",1.0987,2025
"Sri Lanka","LKA",1.09241860465116,2025
"Sudan","SDN",1.1297,2025
"Suriname","SUR",1.1297,2025
"Sweden","SWE",1.0987,2025
"Switzerland","CHE",1.0987,2025
"Syrian Arab Republic","SYR",1.1297,2025
"Tajikistan","TJK",1.0987,2025
"Thailand","THA",1.1774,2025
"Togo","TGO",1.1297,2025
"Trinidad and Tobago","TTO",1.1297,2025
"Tunisia","TUN",1.1183652173913,2025
"Turkey","TUR",1.0987,2025
"Turkmenistan","TKM",1.0987,2025
"Ukraine","UKR",1.0987,2025
"United Arab Emirates","ARE",1.1297,2025
"United Kingdom","GBR",1.0987,2025
"United States","USA",1.1297,2025
"Uruguay","URY",1.11658260869565,2025
"Uzbekistan","UZB",1.0987,2025
"Venezuela","VEN",1.1768,2025
"Vietnam","VNM",1.088,2025
"Zambia","ZMB",1.09386,2025
"Zimbabwe","ZWE",1.1297,2025
"Albania","ALB",1.0987,2026
"Algeria","DZA",1.18,2026
"Angola","AGO",1.1297,2026
"Argentina","ARG",1.10977608695652,2026
"Armenia","ARM",1.0987,2026
"Australia","AUS",1.1393,2026
"Austria","AUT",1.0987,2026
"Azerbaijan","AZE",1.0987,2026
"Bahrain","BHR",1.1297,2026
"Bangladesh","BGD",1.1297,2026
"Belarus","BLR",1.0987,2026
"Belgium","BEL",1.0987,2026
"Benin","BEN",1.1297,2026
"Bolivia","BOL",1.1297,2026
"Bosnia and Herzegovina","BIH",1.0987,2026
"Botswana","BWA",1.1297,2026
"Brazil","BRA",1.11678723404255,2026
"Brunei Darussalam","BRN",1.1297,2026
"Bulgaria","BGR",1.0987,2026
"Cambodia","KHM",1.18,2026
"Cameroon","CMR",1.1297,2026
"Canada","CAN",1.1297,2026
"Chile","CHL",1.1297,2026
"China","CHN",1.17360930232558,2026
"Colombia","COL",1.102,2026
"Costa Rica","CRI",1.1297,2026
"Croatia","HRV",1.0987,2026
"Cuba","CUB",1.12005652173913,2026
"Cyprus","CYP",1.0987,2026
"Denmark","DNK",1.0987,2026
"Dominican Republic","DOM",1.1297,2026
"Ecuador","ECU",1.1297,2026
"Egypt","EGY",1.1297,2026
"El Salvador","SLV",1.1297,2026
"Eritrea","ERI",1.1297,2026
"Estonia","EST",1.0987,2026
"Ethiopia","ETH",1.1297,2026
"Finland","FIN",1.0987,2026
"France","FRA",1.0987,2026
"Gabon","GAB",1.1297,2026
"Georgia","GEO",1.0987,2026
"Germany","DEU",1.0987,2026
"Ghana","GHA",1.1297,2026
"Gibraltar","GIB",1.11779932589735,2026
"Greece","GRC",1.0987,2026
"Guatemala","GTM",1.1297,2026
"Haiti","HTI",1.1297,2026
"Honduras","HND",1.1297,2026
"Hungary","HUN",1.0987,2026
"Iceland","ISL",1.0987,2026
"India","IND",1.1297,2026
"Indonesia","IDN",1.1297,2026
"Iraq","IRQ",1.1297,2026
"Ireland","IRL",1.0987,2026
"Israel","ISR",1.1297,2026
"Italy","ITA",1.0987,2026
"Jamaica","JAM",1.1297,2026
"Japan","JPN",1.1393,2026
"Jordan","JOR",1.11931086956522,2026
"Kazakhstan","KAZ",1.0987,2026
"Kenya","KEN",1.1297,2026
"Korea","KOR",1.1393,2026
"Kosovo","XKX",1.0987,2026
"Kuwait","KWT",1.1297,2026
"Latvia","LVA",1.0987,2026
"Lebanon","LBN",1.1297,2026
"Libya","LBY",1.1297,2026
"Lithuania","LTU",1.0987,2026
"Luxembourg","LUX",1.0987,2026
"Malaysia","MYS",1.10802826086957,2026
"Malta","MLT",1.0987,2026
"Mauritius","MUS",1.1297,2026
"Mexico","MEX",1.1297,2026
"Mongolia","MNG",1.11779932589735,2026
"Montenegro","MNE",1.0987,2026
"Morocco","MAR",1.1297,2026
"Mozambique","MOZ",1.10758043478261,2026
"Myanmar","MMR",1.1297,2026
"Namibia","NAM",1.1297,2026
"Nepal","NPL",1.17287837837838,2026
"Netherlands","NLD",1.0987,2026
"New Zealand","NZL",1.1393,2026
"Nicaragua","NIC",1.12678695652174,2026
"Niger","NER",1.1297,2026
"Nigeria","NGA",1.1297,2026
"Norway","NOR",1.0987,2026
"Oman","OMN",1.1297,2026
"Pakistan","PAK",1.085,2026
"Panama","PAN",1.1297,2026
"Paraguay","PRY",1.095,2026
"Peru","PER",1.1297,2026
"Philippines","PHL",1.076,2026
"Poland","POL",1.0987,2026
"Portugal","PRT",1.0987,2026
"Qatar","QAT",1.1297,2026
"Romania","ROU",1.0987,2026
"Russian Federation","RUS",1.0987,2026
"Saudi Arabia","SAU",1.1297,2026
"Senegal","SEN",1.1297,2026
"Serbia","SRB",1.0987,2026
"Singapore","SGP",1.1297,2026
"Slovak Republic","SVK",1.0987,2026
"Slovenia","SVN",1.0987,2026
"South Africa","ZAF",1.12307391304348,2026
"South Sudan","SSD",1.1297,2026
"Spain","ESP",1.0987,2026
"Sri Lanka","LKA",1.09241860465116,2026
"Sudan","SDN",1.1297,2026
"Suriname","SUR",1.1297,2026
"Sweden","SWE",1.0987,2026
"Switzerland","CHE",1.0987,2026
"Syrian Arab Republic","SYR",1.1297,2026
"Tajikistan","TJK",1.0987,2026
"Thailand","THA",1.1774,2026
"Togo","TGO",1.1297,2026
"Trinidad and Tobago","TTO",1.1297,2026
"Tunisia","TUN",1.1183652173913,2026
"Turkey","TUR",1.0987,2026
"Turkmenistan","TKM",1.0987,2026
"Ukraine","UKR",1.0987,2026
"United Arab Emirates","ARE",1.1297,2026
"United Kingdom","GBR",1.0987,2026
"United States","USA",1.1297,2026
"Uruguay","URY",1.11658260869565,2026
"Uzbekistan","UZB",1.0987,2026
"Venezuela","VEN",1.1768,2026
"Vietnam","VNM",1.088,2026
"Zambia","ZMB",1.09386,2026
"Zimbabwe","ZWE",1.1297,2026
"Albania","ALB",1.0987,2027
"Algeria","DZA",1.18,2027
"Angola","AGO",1.1297,2027
"Argentina","ARG",1.10977608695652,2027
"Armenia","ARM",1.0987,2027
"Australia","AUS",1.1393,2027
"Austria","AUT",1.0987,2027
"Azerbaijan","AZE",1.0987,2027
"Bahrain","BHR",1.1297,2027
"Bangladesh","BGD",1.1297,2027
"Belarus","BLR",1.0987,2027
"Belgium","BEL",1.0987,2027
"Benin","BEN",1.1297,2027
"Bolivia","BOL",1.1297,2027
"Bosnia and Herzegovina","BIH",1.0987,2027
"Botswana","BWA",1.1297,2027
"Brazil","BRA",1.11678723404255,2027
"Brunei Darussalam","BRN",1.1297,2027
"Bulgaria","BGR",1.0987,2027
"Cambodia","KHM",1.18,2027
"Cameroon","CMR",1.1297,2027
"Canada","CAN",1.1297,2027
"Chile","CHL",1.1297,2027
"China","CHN",1.17360930232558,2027
"Colombia","COL",1.102,2027
"Costa Rica","CRI",1.1297,2027
"Croatia","HRV",1.0987,2027
"Cuba","CUB",1.12005652173913,2027
"Cyprus","CYP",1.0987,2027
"Denmark","DNK",1.0987,2027
"Dominican Republic","DOM",1.1297,2027
"Ecuador","ECU",1.1297,2027
"Egypt","EGY",1.1297,2027
"El Salvador","SLV",1.1297,2027
"Eritrea","ERI",1.1297,2027
"Estonia","EST",1.0987,2027
"Ethiopia","ETH",1.1297,2027
"Finland","FIN",1.0987,2027
"France","FRA",1.0987,2027
"Gabon","GAB",1.1297,2027
"Georgia","GEO",1.0987,2027
"Germany","DEU",1.0987,2027
"Ghana","GHA",1.1297,2027
"Gibraltar","GIB",1.11779932589735,2027
"Greece","GRC",1.0987,2027
"Guatemala","GTM",1.1297,2027
"Haiti","HTI",1.1297,2027
"Honduras","HND",1.1297,2027
"Hungary","HUN",1.0987,2027
"Iceland","ISL",1.0987,2027
"India","IND",1.1297,2027
"Indonesia","IDN",1.1297,2027
"Iraq","IRQ",1.1297,2027
"Ireland","IRL",1.0987,2027
"Israel","ISR",1.1297,2027
"Italy","ITA",1.0987,2027
"Jamaica","JAM",1.1297,2027
"Japan","JPN",1.1393,2027
"Jordan","JOR",1.11931086956522,2027
"Kazakhstan","KAZ",1.0987,2027
"Kenya","KEN",1.1297,2027
"Korea","KOR",1.1393,2027
"Kosovo","XKX",1.0987,2027
"Kuwait","KWT",1.1297,2027
"Latvia","LVA",1.0987,2027
"Lebanon","LBN",1.1297,2027
"Libya","LBY",1.1297,2027
"Lithuania","LTU",1.0987,2027
"Luxembourg","LUX",1.0987,2027
"Malaysia","MYS",1.10802826086957,2027
"Malta","MLT",1.0987,2027
"Mauritius","MUS",1.1297,2027
"Mexico","MEX",1.1297,2027
"Mongolia","MNG",1.11779932589735,2027
"Montenegro","MNE",1.0987,2027
"Morocco","MAR",1.1297,2027
"Mozambique","MOZ",1.10758043478261,2027
"Myanmar","MMR",1.1297,2027
"Namibia","NAM",1.1297,2027
"Nepal","NPL",1.17287837837838,2027
"Netherlands","NLD",1.0987,2027
"New Zealand","NZL",1.1393,2027
"Nicaragua","NIC",1.12678695652174,2027
"Niger","NER",1.1297,2027
"Nigeria","NGA",1.1297,2027
"Norway","NOR",1.0987,2027
"Oman","OMN",1.1297,2027
"Pakistan","PAK",1.085,2027
"Panama","PAN",1.1297,2027
"Paraguay","PRY",1.095,2027
"Peru","PER",1.1297,2027
"Philippines","PHL",1.076,2027
"Poland","POL",1.0987,2027
"Portugal","PRT",1.0987,2027
