Year,iso_code3,cost_enfu_fuel_coke_usd_per_tonne
2018,CPV,187.7075
2019,CPV,187.7075
2020,CPV,187.7075
2015,CRI,187.7075
2016,CRI,187.7075
2017,CRI,187.7075
2018,CRI,187.7075
2019,CRI,187.7075
2020,CRI,187.7075
2015,CUB,187.7075
2016,CUB,187.7075
2017,CUB,187.7075
2018,CUB,187.7075
2019,CUB,187.7075
2020,CUB,187.7075
2015,CUW,187.7075
2016,CUW,187.7075
2017,CUW,187.7075
2018,CUW,187.7075
2019,CUW,187.7075
2020,CUW,187.7075
2015,CYM,187.7075
2016,CYM,187.7075
2017,CYM,187.7075
2018,CYM,187.7075
2019,CYM,187.7075
2020,CYM,187.7075
2015,CYP,187.7075
2016,CYP,187.7075
2017,CYP,187.7075
2018,CYP,187.7075
2019,CYP,187.7075
2020,CYP,187.7075
2015,CZE,187.7075
2016,CZE,187.7075
2017,CZE,187.7075
2018,CZE,187.7075
2019,CZE,187.7075
2020,CZE,187.7075
2015,DEU,187.7075
2016,DEU,187.7075
2017,DEU,187.7075
2018,DEU,187.7075
2019,DEU,187.7075
2020,DEU,187.7075
2015,DJI,187.7075
2016,DJI,187.7075
2017,DJI,187.7075
2018,DJI,187.7075
2019,DJI,187.7075
2020,DJI,187.7075
2015,DMA,187.7075
2016,DMA,187.7075
2017,DMA,187.7075
2018,DMA,187.7075
2019,DMA,187.7075
2020,DMA,187.7075
2015,DNK,187.7075
2016,DNK,187.7075
2017,DNK,187.7075
2018,DNK,187.7075
2019,DNK,187.7075
2020,DNK,187.7075
2015,DOM,187.7075
2016,DOM,187.7075
2017,DOM,187.7075
2018,DOM,187.7075
2019,DOM,187.7075
2020,DOM,187.7075
2015,DZA,187.7075
2016,DZA,187.7075
2017,DZA,187.7075
2018,DZA,187.7075
2019,DZA,187.7075
2020,DZA,187.7075
2015,ECU,187.7075
2016,ECU,187.7075
2017,ECU,187.7075
2018,ECU,187.7075
2019,ECU,187.7075
2020,ECU,187.7075
2015,EGY,187.7075
2016,EGY,187.7075
2017,EGY,187.7075
2018,EGY,187.7075
2019,EGY,187.7075
2020,EGY,187.7075
2015,ERI,187.7075
2016,ERI,187.7075
2017,ERI,187.7075
2018,ERI,187.7075
2019,ERI,187.7075
2020,ERI,187.7075
2015,ESP,187.7075
2016,ESP,187.7075
2017,ESP,187.7075
2018,ESP,187.7075
2019,ESP,187.7075
2020,ESP,187.7075
2015,EST,187.7075
2016,EST,187.7075
2017,EST,187.7075
2018,EST,187.7075
2019,EST,187.7075
2020,EST,187.7075
2015,ETH,187.7075
2016,ETH,187.7075
2017,ETH,187.7075
2018,ETH,187.7075
2019,ETH,187.7075
2020,ETH,187.7075
2015,FIN,322.555
2016,FIN,322.555
2017,FIN,322.555
2018,FIN,322.555
2019,FIN,322.555
2020,FIN,322.555
2015,FJI,187.7075
2016,FJI,187.7075
2017,FJI,187.7075
2018,FJI,187.7075
2019,FJI,187.7075
2020,FJI,187.7075
2015,FRA,220.045
2016,FRA,220.045
2017,FRA,220.045
2018,FRA,220.045
2019,FRA,220.045
2020,FRA,220.045
2015,FRO,187.7075
2016,FRO,187.7075
2017,FRO,187.7075
2018,FRO,187.7075
2019,FRO,187.7075
2020,FRO,187.7075
2015,FSM,187.7075
2016,FSM,187.7075
2017,FSM,187.7075
2018,FSM,187.7075
2019,FSM,187.7075
2020,FSM,187.7075
2015,GAB,187.7075
2016,GAB,187.7075
2017,GAB,187.7075
2018,GAB,187.7075
2019,GAB,187.7075
2020,GAB,187.7075
2015,GBR,187.7075
2016,GBR,187.7075
2017,GBR,187.7075
2018,GBR,187.7075
2019,GBR,187.7075
2020,GBR,187.7075
2015,GEO,187.7075
2016,GEO,187.7075
2017,GEO,187.7075
2018,GEO,187.7075
2019,GEO,187.7075
2020,GEO,187.7075
2015,GHA,187.7075
2016,GHA,187.7075
2017,GHA,187.7075
2018,GHA,187.7075
2019,GHA,187.7075
2020,GHA,187.7075
2015,GIB,187.7075
2016,GIB,187.7075
2017,GIB,187.7075
2018,GIB,187.7075
2019,GIB,187.7075
2020,GIB,187.7075
2015,GIN,187.7075
2016,GIN,187.7075
2017,GIN,187.7075
2018,GIN,187.7075
2019,GIN,187.7075
2020,GIN,187.7075
2015,GMB,187.7075
2016,GMB,187.7075
2017,GMB,187.7075
2018,GMB,187.7075
2019,GMB,187.7075
2020,GMB,187.7075
2015,GNB,187.7075
2016,GNB,187.7075
2017,GNB,187.7075
2018,GNB,187.7075
2019,GNB,187.7075
2020,GNB,187.7075
2015,GNQ,187.7075
2016,GNQ,187.7075
2017,GNQ,187.7075
2018,GNQ,187.7075
2019,GNQ,187.7075
2020,GNQ,187.7075
2015,GRC,187.7075
2016,GRC,187.7075
2017,GRC,187.7075
2018,GRC,187.7075
2019,GRC,187.7075
2020,GRC,187.7075
2015,GRD,187.7075
2016,GRD,187.7075
2017,GRD,187.7075
2018,GRD,187.7075
2019,GRD,187.7075
2020,GRD,187.7075
2015,GRL,187.7075
2016,GRL,187.7075
2017,GRL,187.7075
2018,GRL,187.7075
2019,GRL,187.7075
2020,GRL,187.7075
2015,GTM,187.7075
2016,GTM,187.7075
2017,GTM,187.7075
2018,GTM,187.7075
2019,GTM,187.7075
2020,GTM,187.7075
2015,GUM,187.7075
2016,GUM,187.7075
2017,GUM,187.7075
2018,GUM,187.7075
2019,GUM,187.7075
2020,GUM,187.7075
2015,GUY,187.7075
2016,GUY,187.7075
2017,GUY,187.7075
2018,GUY,187.7075
2019,GUY,187.7075
2020,GUY,187.7075
2015,HKG,187.7075
2016,HKG,187.7075
2017,HKG,187.7075
2018,HKG,187.7075
2019,HKG,187.7075
2020,HKG,187.7075
2015,HND,187.7075
2016,HND,187.7075
2017,HND,187.7075
2018,HND,187.7075
2019,HND,187.7075
2020,HND,187.7075
2015,HRV,187.7075
2016,HRV,187.7075
2017,HRV,187.7075
2018,HRV,187.7075
2019,HRV,187.7075
2020,HRV,187.7075
2015,HTI,187.7075
2016,HTI,187.7075
2017,HTI,187.7075
2018,HTI,187.7075
2019,HTI,187.7075
2020,HTI,187.7075
2015,HUN,187.7075
2016,HUN,187.7075
2017,HUN,187.7075
2018,HUN,187.7075
2019,HUN,187.7075
2020,HUN,187.7075
2015,IDN,187.7075
2016,IDN,187.7075
2017,IDN,187.7075
2018,IDN,187.7075
2019,IDN,187.7075
2020,IDN,187.7075
2015,IMN,187.7075
2016,IMN,187.7075
2017,IMN,187.7075
2018,IMN,187.7075
2019,IMN,187.7075
2020,IMN,187.7075
2015,IND,187.7075
2016,IND,187.7075
2017,IND,187.7075
2018,IND,187.7075
2019,IND,187.7075
2020,IND,187.7075
2015,IRL,187.7075
2016,IRL,187.7075
2017,IRL,187.7075
2018,IRL,187.7075
2019,IRL,187.7075
2020,IRL,187.7075
2015,IRN,187.7075
2016,IRN,187.7075
2017,IRN,187.7075
2018,IRN,187.7075
2019,IRN,187.7075
2020,IRN,187.7075
2015,IRQ,187.7075
2016,IRQ,187.7075
2017,IRQ,187.7075
2018,IRQ,187.7075
2019,IRQ,187.7075
2020,IRQ,187.7075
2015,ISL,187.7075
2016,ISL,187.7075
2017,ISL,187.7075
2018,ISL,187.7075
2019,ISL,187.7075
2020,ISL,187.7075
2015,ISR,187.7075
2016,ISR,187.7075
2017,ISR,187.7075
2018,ISR,187.7075
2019,ISR,187.7075
2020,ISR,187.7075
2015,ITA,200.875
2016,ITA,200.875
2017,ITA,200.875
2018,ITA,200.875
2019,ITA,200.875
2020,ITA,200.875
2015,JAM,187.7075
2016,JAM,187.7075
2017,JAM,187.7075
2018,JAM,187.7075
2019,JAM,187.7075
2020,JAM,187.7075
2015,JOR,187.7075
2016,JOR,187.7075
2017,JOR,187.7075
2018,JOR,187.7075
2019,JOR,187.7075
2020,JOR,187.7075
2015,JPN,152.7575
2016,JPN,152.7575
2017,JPN,152.7575
2018,JPN,152.7575
2019,JPN,152.7575
2020,JPN,152.7575
2015,KAZ,187.7075
2016,KAZ,187.7075
2017,KAZ,187.7075
2018,KAZ,187.7075
2019,KAZ,187.7075
2020,KAZ,187.7075
2015,KEN,187.7075
2016,KEN,187.7075
2017,KEN,187.7075
2018,KEN,187.7075
2019,KEN,187.7075
2020,KEN,187.7075
2015,KGZ,187.7075
2016,KGZ,187.7075
2017,KGZ,187.7075
2018,KGZ,187.7075
2019,KGZ,187.7075
2020,KGZ,187.7075
2015,KHM,187.7075
2016,KHM,187.7075
2017,KHM,187.7075
2018,KHM,187.7075
2019,KHM,187.7075
2020,KHM,187.7075
2015,KIR,187.7075
2016,KIR,187.7075
2017,KIR,187.7075
2018,KIR,187.7075
2019,KIR,187.7075
2020,KIR,187.7075
2015,KNA,187.7075
2016,KNA,187.7075
2017,KNA,187.7075
2018,KNA,187.7075
2019,KNA,187.7075
2020,KNA,187.7075
2015,KOR,187.7075
2016,KOR,187.7075
2017,KOR,187.7075
2018,KOR,187.7075
2019,KOR,187.7075
2020,KOR,187.7075
2015,KWT,187.7075
2016,KWT,187.7075
2017,KWT,187.7075
2018,KWT,187.7075
2019,KWT,187.7075
2020,KWT,187.7075
2015,LAO,187.7075
2016,LAO,187.7075
2017,LAO,187.7075
2018,LAO,187.7075
2019,LAO,187.7075
2020,LAO,187.7075
2015,LBN,187.7075
2016,LBN,187.7075
2017,LBN,187.7075
2018,LBN,187.7075
2019,LBN,187.7075
2020,LBN,187.7075
2015,LBR,187.7075
2016,LBR,187.7075
2017,LBR,187.7075
2018,LBR,187.7075
2019,LBR,187.7075
2020,LBR,187.7075
2015,LBY,187.7075
2016,LBY,187.7075
2017,LBY,187.7075
2018,LBY,187.7075
2019,LBY,187.7075
2020,LBY,187.7075
2015,LCA,187.7075
2016,LCA,187.7075
2017,LCA,187.7075
2018,LCA,187.7075
2019,LCA,187.7075
2020,LCA,187.7075
2015,LIE,187.7075
2016,LIE,187.7075
2017,LIE,187.7075
2018,LIE,187.7075
2019,LIE,187.7075
2020,LIE,187.7075
2015,LKA,187.7075
2016,LKA,187.7075
2017,LKA,187.7075
2018,LKA,187.7075
2019,LKA,187.7075
2020,LKA,187.7075
2015,LSO,187.7075
2016,LSO,187.7075
2017,LSO,187.7075
2018,LSO,187.7075
2019,LSO,187.7075
2020,LSO,187.7075
2015,LTU,187.7075
2016,LTU,187.7075
2017,LTU,187.7075
2018,LTU,187.7075
2019,LTU,187.7075
2020,LTU,187.7075
2015,LUX,187.7075
2016,LUX,187.7075
2017,LUX,187.7075
2018,LUX,187.7075
2019,LUX,187.7075
2020,LUX,187.7075
2015,LVA,187.7075
2016,LVA,187.7075
2017,LVA,187.7075
2018,LVA,187.7075
2019,LVA,187.7075
2020,LVA,187.7075
2015,MAC,187.7075
2016,MAC,187.7075
2017,MAC,187.7075
2018,MAC,187.7075
2019,MAC,187.7075
2020,MAC,187.7075
2015,MAF,187.7075
2016,MAF,187.7075
2017,MAF,187.7075
2018,MAF,187.7075
2019,MAF,187.7075
2020,MAF,187.7075
2015,MAR,187.7075
2016,MAR,187.7075
2017,MAR,187.7075
2018,MAR,187.7075
2019,MAR,187.7075
2020,MAR,187.7075
2015,MCO,187.7075
2016,MCO,187.7075
2017,MCO,187.7075
2018,MCO,187.7075
2019,MCO,187.7075
2020,MCO,187.7075
2015,MDA,187.7075
2016,MDA,187.7075
2017,MDA,187.7075
2018,MDA,187.7075
2019,MDA,187.7075
2020,MDA,187.7075
2015,MDG,187.7075
2016,MDG,187.7075
2017,MDG,187.7075
2018,MDG,187.7075
2019,MDG,187.7075
2020,MDG,187.7075
2015,MDV,187.7075
2016,MDV,187.7075
2017,MDV,187.7075
2018,MDV,187.7075
2019,MDV,187.7075
2020,MDV,187.7075
2015,MEX,187.7075
2016,MEX,187.7075
2017,MEX,187.7075
2018,MEX,187.7075
2019,MEX,187.7075
2020,MEX,187.7075
2015,MHL,187.7075
2016,MHL,187.7075
2017,MHL,187.7075
2018,MHL,187.7075
2019,MHL,187.7075
2020,MHL,187.7075
2015,MKD,187.7075
2016,MKD,187.7075
2017,MKD,187.7075
2018,MKD,187.7075
2019,MKD,187.7075
2020,MKD,187.7075
2015,MLI,187.7075
2016,MLI,187.7075
2017,MLI,187.7075
2018,MLI,187.7075
2019,MLI,187.7075
2020,MLI,187.7075
2015,MLT,187.7075
2016,MLT,187.7075
2017,MLT,187.7075
2018,MLT,187.7075
2019,MLT,187.7075
2020,MLT,187.7075
2015,MMR,187.7075
2016,MMR,187.7075
2017,MMR,187.7075
2018,MMR,187.7075
2019,MMR,187.7075
2020,MMR,187.7075
2015,MNE,187.7075
2016,MNE,187.7075
2017,MNE,187.7075
2018,MNE,187.7075
2019,MNE,187.7075
2020,MNE,187.7075
2015,MNG,187.7075
2016,MNG,187.7075
2017,MNG,187.7075
2018,MNG,187.7075
2019,MNG,187.7075
2020,MNG,187.7075
2015,MNP,187.7075
2016,MNP,187.7075
2017,MNP,187.7075
2018,MNP,187.7075
2019,MNP,187.7075
2020,MNP,187.7075
2015,MOZ,187.7075
2016,MOZ,187.7075
2017,MOZ,187.7075
2018,MOZ,187.7075
2019,MOZ,187.7075
2020,MOZ,187.7075
2015,MRT,187.7075
2016,MRT,187.7075
2017,MRT,187.7075
2018,MRT,187.7075
2019,MRT,187.7075
2020,MRT,187.7075
2015,MUS,187.7075
2016,MUS,187.7075
2017,MUS,187.7075
2018,MUS,187.7075
2019,MUS,187.7075
2020,MUS,187.7075
2015,MWI,187.7075
2016,MWI,187.7075
2017,MWI,187.7075
2018,MWI,187.7075
2019,MWI,187.7075
2020,MWI,187.7075
2015,MYS,187.7075
2016,MYS,187.7075
2017,MYS,187.7075
2018,MYS,187.7075
2019,MYS,187.7075
2020,MYS,187.7075
2015,NAM,187.7075
2016,NAM,187.7075
2017,NAM,187.7075
2018,NAM,187.7075
2019,NAM,187.7075
2020,NAM,187.7075
2015,NCL,187.7075
2016,NCL,187.7075
2017,NCL,187.7075
2018,NCL,187.7075
2019,NCL,187.7075
2020,NCL,187.7075
2015,NER,187.7075
2016,NER,187.7075
2017,NER,187.7075
2018,NER,187.7075
2019,NER,187.7075
2020,NER,187.7075
2015,NGA,187.7075
2016,NGA,187.7075
2017,NGA,187.7075
2018,NGA,187.7075
2019,NGA,187.7075
2020,NGA,187.7075
2015,NIC,187.7075
2016,NIC,187.7075
2017,NIC,187.7075
2018,NIC,187.7075
2019,NIC,187.7075
2020,NIC,187.7075
2015,NLD,187.7075
2016,NLD,187.7075
2017,NLD,187.7075
2018,NLD,187.7075
2019,NLD,187.7075
2020,NLD,187.7075
2015,NOR,187.7075
2016,NOR,187.7075
2017,NOR,187.7075
2018,NOR,187.7075
2019,NOR,187.7075
2020,NOR,187.7075
2015,NPL,187.7075
2016,NPL,187.7075
2017,NPL,187.7075
2018,NPL,187.7075
2019,NPL,187.7075
2020,NPL,187.7075
2015,NRU,187.7075
2016,NRU,187.7075
2017,NRU,187.7075
2018,NRU,187.7075
2019,NRU,187.7075
2020,NRU,187.7075
2015,NZL,187.7075
2016,NZL,187.7075
2017,NZL,187.7075
2018,NZL,187.7075
2019,NZL,187.7075
2020,NZL,187.7075
2015,OMN,187.7075
2016,OMN,187.7075
2017,OMN,187.7075
2018,OMN,187.7075
2019,OMN,187.7075
2020,OMN,187.7075
2015,PAK,187.7075
2016,PAK,187.7075
2017,PAK,187.7075
2018,PAK,187.7075
2019,PAK,187.7075
2020,PAK,187.7075
2015,PAN,187.7075
2016,PAN,187.7075
2017,PAN,187.7075
2018,PAN,187.7075
2019,PAN,187.7075
2020,PAN,187.7075
2015,PER,187.7075
2016,PER,187.7075
2017,PER,187.7075
2018,PER,187.7075
2019,PER,187.7075
2020,PER,187.7075
2015,PHL,187.7075
2016,PHL,187.7075
2017,PHL,187.7075
2018,PHL,187.7075
2019,PHL,187.7075
2020,PHL,187.7075
2015,PLW,187.7075
2016,PLW,187.7075
2017,PLW,187.7075
2018,PLW,187.7075
2019,PLW,187.7075
2020,PLW,187.7075
2015,PNG,187.7075
2016,PNG,187.7075
2017,PNG,187.7075
2018,PNG,187.7075
2019,PNG,187.7075
2020,PNG,187.7075
2015,POL,301.8475
2016,POL,301.8475
2017,POL,301.8475
2018,POL,301.8475
2019,POL,301.8475
2020,POL,301.8475
2015,PRI,187.7075
2016,PRI,187.7075
2017,PRI,187.7075
2018,PRI,187.7075
2019,PRI,187.7075
2020,PRI,187.7075
2015,PRK,187.7075
2016,PRK,187.7075
2017,PRK,187.7075
2018,PRK,187.7075
2019,PRK,187.7075
2020,PRK,187.7075
2015,PRT,580.84
2016,PRT,580.84
2017,PRT,580.84
2018,PRT,580.84
2019,PRT,580.84
2020,PRT,580.84
2015,PRY,187.7075
2016,PRY,187.7075
2017,PRY,187.7075
2018,PRY,187.7075
2019,PRY,187.7075
2020,PRY,187.7075
2015,PYF,187.7075
2016,PYF,187.7075
2017,PYF,187.7075
2018,PYF,187.7075
2019,PYF,187.7075
2020,PYF,187.7075
2015,QAT,187.7075
2016,QAT,187.7075
2017,QAT,187.7075
2018,QAT,187.7075
2019,QAT,187.7075
2020,QAT,187.7075
2015,ROU,187.7075
2016,ROU,187.7075
2017,ROU,187.7075
2018,ROU,187.7075
2019,ROU,187.7075
2020,ROU,187.7075
2015,RUS,187.7075
2016,RUS,187.7075
2017,RUS,187.7075
2018,RUS,187.7075
2019,RUS,187.7075
2020,RUS,187.7075
2015,RWA,187.7075
2016,RWA,187.7075
2017,RWA,187.7075
2018,RWA,187.7075
2019,RWA,187.7075
2020,RWA,187.7075
2015,SAU,187.7075
2016,SAU,187.7075
2017,SAU,187.7075
2018,SAU,187.7075
2019,SAU,187.7075
2020,SAU,187.7075
2015,SDN,187.7075
2016,SDN,187.7075
2017,SDN,187.7075
2018,SDN,187.7075
2019,SDN,187.7075
2020,SDN,187.7075
2015,SEN,187.7075
2016,SEN,187.7075
2017,SEN,187.7075
2018,SEN,187.7075
2019,SEN,187.7075
2020,SEN,187.7075
2015,SGP,187.7075
2016,SGP,187.7075
2017,SGP,187.7075
2018,SGP,187.7075
2019,SGP,187.7075
2020,SGP,187.7075
2015,SLB,187.7075
2016,SLB,187.7075
2017,SLB,187.7075
2018,SLB,187.7075
2019,SLB,187.7075
2020,SLB,187.7075
2015,SLE,187.7075
2016,SLE,187.7075
2017,SLE,187.7075
2018,SLE,187.7075
2019,SLE,187.7075
2020,SLE,187.7075
2015,SLV,187.7075
2016,SLV,187.7075
2017,SLV,187.7075
2018,SLV,187.7075
2019,SLV,187.7075
2020,SLV,187.7075
2015,SMR,187.7075
2016,SMR,187.7075
2017,SMR,187.7075
2018,SMR,187.7075
2019,SMR,187.7075
2020,SMR,187.7075
2015,SOM,187.7075
2016,SOM,187.7075
2017,SOM,187.7075
2018,SOM,187.7075
2019,SOM,187.7075
2020,SOM,187.7075
2015,SRB,187.7075
2016,SRB,187.7075
2017,SRB,187.7075
2018,SRB,187.7075
2019,SRB,187.7075
2020,SRB,187.7075
2015,SSD,187.7075
2016,SSD,187.7075
2017,SSD,187.7075
2018,SSD,187.7075
2019,SSD,187.7075
2020,SSD,187.7075
2015,STP,187.7075
2016,STP,187.7075
2017,STP,187.7075
2018,STP,187.7075
2019,STP,187.7075
2020,STP,187.7075
2015,SUR,187.7075
2016,SUR,187.7075
2017,SUR,187.7075
2018,SUR,187.7075
2019,SUR,187.7075
2020,SUR,187.7075
2015,SVK,187.7075
2016,SVK,187.7075
2017,SVK,187.7075
2018,SVK,187.7075
2019,SVK,187.7075
2020,SVK,187.7075
2015,SVN,187.7075
2016,SVN,187.7075
2017,SVN,187.7075
2018,SVN,187.7075
2019,SVN,187.7075
2020,SVN,187.7075
2015,SWE,187.7075
2016,SWE,187.7075
2017,SWE,187.7075
2018,SWE,187.7075
2019,SWE,187.7075
2020,SWE,187.7075
2015,SWZ,187.7075
2016,SWZ,187.7075
2017,SWZ,187.7075
2018,SWZ,187.7075
2019,SWZ,187.7075
2020,SWZ,187.7075
2015,SXM,187.7075
2016,SXM,187.7075
2017,SXM,187.7075
2018,SXM,187.7075
2019,SXM,187.7075
2020,SXM,187.7075
2015,SYC,187.7075
2016,SYC,187.7075
2017,SYC,187.7075
2018,SYC,187.7075
2019,SYC,187.7075
2020,SYC,187.7075
2015,SYR,187.7075
2016,SYR,187.7075
2017,SYR,187.7075
2018,SYR,187.7075
2019,SYR,187.7075
2020,SYR,187.7075
2015,TCA,187.7075
2016,TCA,187.7075
2017,TCA,187.7075
2018,TCA,187.7075
2019,TCA,187.7075
2020,TCA,187.7075
2015,TCD,187.7075
2016,TCD,187.7075
2017,TCD,187.7075
2018,TCD,187.7075
2019,TCD,187.7075
2020,TCD,187.7075
2015,TGO,187.7075
2016,TGO,187.7075
2017,TGO,187.7075
2018,TGO,187.7075
2019,TGO,187.7075
2020,TGO,187.7075
2015,THA,187.7075
2016,THA,187.7075
2017,THA,187.7075
2018,THA,187.7075
2019,THA,187.7075
2020,THA,187.7075
2015,TJK,187.7075
2016,TJK,187.7075
2017,TJK,187.7075
2018,TJK,187.7075
2019,TJK,187.7075
2020,TJK,187.7075
2015,TKM,187.7075
2016,TKM,187.7075
2017,TKM,187.7075
2018,TKM,187.7075
2019,TKM,187.7075
2020,TKM,187.7075
2015,TLS,187.7075
2016,TLS,187.7075
2017,TLS,187.7075
2018,TLS,187.7075
2019,TLS,187.7075
2020,TLS,187.7075
2015,TON,187.7075
2016,TON,187.7075
2017,TON,187.7075
2018,TON,187.7075
2019,TON,187.7075
2020,TON,187.7075
2015,TTO,187.7075
2016,TTO,187.7075
2017,TTO,187.7075
2018,TTO,187.7075
2019,TTO,187.7075
2020,TTO,187.7075
2015,TUN,187.7075
2016,TUN,187.7075
