"Nation","iso_code3","Year","nemomod_entc_variable_cost_pp_biomass_mm_usd_per_gw"
"Afghanistan","AFG",2038,0.653710746378867
"Afghanistan","AFG",2039,0.638779972296701
"Afghanistan","AFG",2040,0.624190217565873
"Afghanistan","AFG",2041,0.609933693293633
"Afghanistan","AFG",2042,0.59600278848579
"Afghanistan","AFG",2043,0.582390065983497
"Afghanistan","AFG",2044,0.569088258492852
"Afghanistan","AFG",2045,0.556090264705175
"Afghanistan","AFG",2046,0.543389145505901
"Afghanistan","AFG",2047,0.530978120270058
"Afghanistan","AFG",2048,0.518850563242365
"Afghanistan","AFG",2049,0.507
"Afghanistan","AFG",2050,0.495420103996163
"Afghanistan","AGO",2021,0.968209386365162
"Afghanistan","AGO",2022,0.946095453418323
"Afghanistan","AGO",2023,0.924486603398032
"Afghanistan","AGO",2024,0.903371300194304
"Afghanistan","AGO",2025,0.88273827118227
"Afghanistan","AGO",2026,0.862576501204168
"Afghanistan","AGO",2027,0.842875226688787
"Afghanistan","AGO",2028,0.823623929905223
"Afghanistan","AGO",2029,0.804812333347877
"Afghanistan","AGO",2030,0.786430394249704
"Afghanistan","AGO",2031,0.768468299220772
"Afghanistan","AGO",2032,0.750916459009288
"Afghanistan","AGO",2033,0.733765503382272
"Afghanistan","AGO",2034,0.717006276123159
"Afghanistan","AGO",2035,0.700629830143662
"Afghanistan","AGO",2036,0.684627422707272
"Afghanistan","AGO",2037,0.668990510761857
"Afghanistan","AGO",2038,0.653710746378867
"Afghanistan","AGO",2039,0.638779972296701
"Afghanistan","AGO",2040,0.624190217565873
"Afghanistan","AGO",2041,0.609933693293633
"Afghanistan","AGO",2042,0.59600278848579
"Afghanistan","AGO",2043,0.582390065983497
"Afghanistan","AGO",2044,0.569088258492852
"Afghanistan","AGO",2045,0.556090264705175
"Afghanistan","AGO",2046,0.543389145505901
"Afghanistan","AGO",2047,0.530978120270058
"Afghanistan","AGO",2048,0.518850563242365
"Afghanistan","AGO",2049,0.507
"Afghanistan","AGO",2050,0.495420103996163
"Afghanistan","AIA",2021,0.968209386365162
"Afghanistan","AIA",2022,0.946095453418323
"Afghanistan","AIA",2023,0.924486603398032
"Afghanistan","AIA",2024,0.903371300194304
"Afghanistan","AIA",2025,0.88273827118227
"Afghanistan","AIA",2026,0.862576501204168
"Afghanistan","AIA",2027,0.842875226688787
"Afghanistan","AIA",2028,0.823623929905223
"Afghanistan","AIA",2029,0.804812333347877
"Afghanistan","AIA",2030,0.786430394249704
"Afghanistan","AIA",2031,0.768468299220772
"Afghanistan","AIA",2032,0.750916459009288
"Afghanistan","AIA",2033,0.733765503382272
"Afghanistan","AIA",2034,0.717006276123159
"Afghanistan","AIA",2035,0.700629830143662
"Afghanistan","AIA",2036,0.684627422707272
"Afghanistan","AIA",2037,0.668990510761857
"Afghanistan","AIA",2038,0.653710746378867
"Afghanistan","AIA",2039,0.638779972296701
"Afghanistan","AIA",2040,0.624190217565873
"Afghanistan","AIA",2041,0.609933693293633
"Afghanistan","AIA",2042,0.59600278848579
"Afghanistan","AIA",2043,0.582390065983497
"Afghanistan","AIA",2044,0.569088258492852
"Afghanistan","AIA",2045,0.556090264705175
"Afghanistan","AIA",2046,0.543389145505901
"Afghanistan","AIA",2047,0.530978120270058
"Afghanistan","AIA",2048,0.518850563242365
"Afghanistan","AIA",2049,0.507
"Afghanistan","AIA",2050,0.495420103996163
"Afghanistan","ALA",2021,0.968209386365162
"Afghanistan","ALA",2022,0.946095453418323
"Afghanistan","ALA",2023,0.924486603398032
"Afghanistan","ALA",2024,0.903371300194304
"Afghanistan","ALA",2025,0.88273827118227
"Afghanistan","ALA",2026,0.862576501204168
"Afghanistan","ALA",2027,0.842875226688787
"Afghanistan","ALA",2028,0.823623929905223
"Afghanistan","ALA",2029,0.804812333347877
"Afghanistan","ALA",2030,0.786430394249704
"Afghanistan","ALA",2031,0.768468299220772
"Afghanistan","ALA",2032,0.750916459009288
"Afghanistan","ALA",2033,0.733765503382272
"Afghanistan","ALA",2034,0.717006276123159
"Afghanistan","ALA",2035,0.700629830143662
"Afghanistan","ALA",2036,0.684627422707272
"Afghanistan","ALA",2037,0.668990510761857
"Afghanistan","ALA",2038,0.653710746378867
"Afghanistan","ALA",2039,0.638779972296701
"Afghanistan","ALA",2040,0.624190217565873
"Afghanistan","ALA",2041,0.609933693293633
"Afghanistan","ALA",2042,0.59600278848579
"Afghanistan","ALA",2043,0.582390065983497
"Afghanistan","ALA",2044,0.569088258492852
"Afghanistan","ALA",2045,0.556090264705175
"Afghanistan","ALA",2046,0.543389145505901
"Afghanistan","ALA",2047,0.530978120270058
"Afghanistan","ALA",2048,0.518850563242365
"Afghanistan","ALA",2049,0.507
"Afghanistan","ALA",2050,0.495420103996163
"Afghanistan","ALB",2021,0.968209386365162
"Afghanistan","ALB",2022,0.946095453418323
"Afghanistan","ALB",2023,0.924486603398032
"Afghanistan","ALB",2024,0.903371300194304
"Afghanistan","ALB",2025,0.88273827118227
"Afghanistan","ALB",2026,0.862576501204168
"Afghanistan","ALB",2027,0.842875226688787
"Afghanistan","ALB",2028,0.823623929905223
"Afghanistan","ALB",2029,0.804812333347877
"Afghanistan","ALB",2030,0.786430394249704
"Afghanistan","ALB",2031,0.768468299220772
"Afghanistan","ALB",2032,0.750916459009288
"Afghanistan","ALB",2033,0.733765503382272
"Afghanistan","ALB",2034,0.717006276123159
"Afghanistan","ALB",2035,0.700629830143662
"Afghanistan","ALB",2036,0.684627422707272
"Afghanistan","ALB",2037,0.668990510761857
"Afghanistan","ALB",2038,0.653710746378867
"Afghanistan","ALB",2039,0.638779972296701
"Afghanistan","ALB",2040,0.624190217565873
"Afghanistan","ALB",2041,0.609933693293633
"Afghanistan","ALB",2042,0.59600278848579
"Afghanistan","ALB",2043,0.582390065983497
"Afghanistan","ALB",2044,0.569088258492852
"Afghanistan","ALB",2045,0.556090264705175
"Afghanistan","ALB",2046,0.543389145505901
"Afghanistan","ALB",2047,0.530978120270058
"Afghanistan","ALB",2048,0.518850563242365
"Afghanistan","ALB",2049,0.507
"Afghanistan","ALB",2050,0.495420103996163
"Afghanistan","AND",2021,0.968209386365162
"Afghanistan","AND",2022,0.946095453418323
"Afghanistan","AND",2023,0.924486603398032
"Afghanistan","AND",2024,0.903371300194304
"Afghanistan","AND",2025,0.88273827118227
"Afghanistan","AND",2026,0.862576501204168
"Afghanistan","AND",2027,0.842875226688787
"Afghanistan","AND",2028,0.823623929905223
"Afghanistan","AND",2029,0.804812333347877
"Afghanistan","AND",2030,0.786430394249704
"Afghanistan","AND",2031,0.768468299220772
"Afghanistan","AND",2032,0.750916459009288
"Afghanistan","AND",2033,0.733765503382272
"Afghanistan","AND",2034,0.717006276123159
"Afghanistan","AND",2035,0.700629830143662
"Afghanistan","AND",2036,0.684627422707272
"Afghanistan","AND",2037,0.668990510761857
"Afghanistan","AND",2038,0.653710746378867
"Afghanistan","AND",2039,0.638779972296701
"Afghanistan","AND",2040,0.624190217565873
"Afghanistan","AND",2041,0.609933693293633
"Afghanistan","AND",2042,0.59600278848579
"Afghanistan","AND",2043,0.582390065983497
"Afghanistan","AND",2044,0.569088258492852
"Afghanistan","AND",2045,0.556090264705175
"Afghanistan","AND",2046,0.543389145505901
"Afghanistan","AND",2047,0.530978120270058
"Afghanistan","AND",2048,0.518850563242365
"Afghanistan","AND",2049,0.507
"Afghanistan","AND",2050,0.495420103996163
"Afghanistan","ARE",2021,0.968209386365162
"Afghanistan","ARE",2022,0.946095453418323
"Afghanistan","ARE",2023,0.924486603398032
"Afghanistan","ARE",2024,0.903371300194304
"Afghanistan","ARE",2025,0.88273827118227
"Afghanistan","ARE",2026,0.862576501204168
"Afghanistan","ARE",2027,0.842875226688787
"Afghanistan","ARE",2028,0.823623929905223
"Afghanistan","ARE",2029,0.804812333347877
"Afghanistan","ARE",2030,0.786430394249704
"Afghanistan","ARE",2031,0.768468299220772
"Afghanistan","ARE",2032,0.750916459009288
"Afghanistan","ARE",2033,0.733765503382272
"Afghanistan","ARE",2034,0.717006276123159
"Afghanistan","ARE",2035,0.700629830143662
"Afghanistan","ARE",2036,0.684627422707272
"Afghanistan","ARE",2037,0.668990510761857
"Afghanistan","ARE",2038,0.653710746378867
"Afghanistan","ARE",2039,0.638779972296701
"Afghanistan","ARE",2040,0.624190217565873
"Afghanistan","ARE",2041,0.609933693293633
"Afghanistan","ARE",2042,0.59600278848579
"Afghanistan","ARE",2043,0.582390065983497
"Afghanistan","ARE",2044,0.569088258492852
"Afghanistan","ARE",2045,0.556090264705175
"Afghanistan","ARE",2046,0.543389145505901
"Afghanistan","ARE",2047,0.530978120270058
"Afghanistan","ARE",2048,0.518850563242365
"Afghanistan","ARE",2049,0.507
"Afghanistan","ARE",2050,0.495420103996163
"Afghanistan","ARG",2021,0.968209386365162
"Afghanistan","ARG",2022,0.946095453418323
"Afghanistan","ARG",2023,0.924486603398032
"Afghanistan","ARG",2024,0.903371300194304
"Afghanistan","ARG",2025,0.88273827118227
"Afghanistan","ARG",2026,0.862576501204168
"Afghanistan","ARG",2027,0.842875226688787
"Afghanistan","ARG",2028,0.823623929905223
"Afghanistan","ARG",2029,0.804812333347877
"Afghanistan","ARG",2030,0.786430394249704
"Afghanistan","ARG",2031,0.768468299220772
"Afghanistan","ARG",2032,0.750916459009288
"Afghanistan","ARG",2033,0.733765503382272
"Afghanistan","ARG",2034,0.717006276123159
"Afghanistan","ARG",2035,0.700629830143662
"Afghanistan","ARG",2036,0.684627422707272
"Afghanistan","ARG",2037,0.668990510761857
"Afghanistan","ARG",2038,0.653710746378867
"Afghanistan","ARG",2039,0.638779972296701
"Afghanistan","ARG",2040,0.624190217565873
"Afghanistan","ARG",2041,0.609933693293633
"Afghanistan","ARG",2042,0.59600278848579
"Afghanistan","ARG",2043,0.582390065983497
"Afghanistan","ARG",2044,0.569088258492852
"Afghanistan","ARG",2045,0.556090264705175
"Afghanistan","ARG",2046,0.543389145505901
"Afghanistan","ARG",2047,0.530978120270058
"Afghanistan","ARG",2048,0.518850563242365
"Afghanistan","ARG",2049,0.507
"Afghanistan","ARG",2050,0.495420103996163
"Afghanistan","ARM",2021,0.968209386365162
"Afghanistan","ARM",2022,0.946095453418323
"Afghanistan","ARM",2023,0.924486603398032
"Afghanistan","ARM",2024,0.903371300194304
"Afghanistan","ARM",2025,0.88273827118227
"Afghanistan","ARM",2026,0.862576501204168
"Afghanistan","ARM",2027,0.842875226688787
"Afghanistan","ARM",2028,0.823623929905223
"Afghanistan","ARM",2029,0.804812333347877
"Afghanistan","ARM",2030,0.786430394249704
"Afghanistan","ARM",2031,0.768468299220772
"Afghanistan","ARM",2032,0.750916459009288
"Afghanistan","ARM",2033,0.733765503382272
"Afghanistan","ARM",2034,0.717006276123159
"Afghanistan","ARM",2035,0.700629830143662
"Afghanistan","ARM",2036,0.684627422707272
"Afghanistan","ARM",2037,0.668990510761857
"Afghanistan","ARM",2038,0.653710746378867
"Afghanistan","ARM",2039,0.638779972296701
"Afghanistan","ARM",2040,0.624190217565873
"Afghanistan","ARM",2041,0.609933693293633
"Afghanistan","ARM",2042,0.59600278848579
"Afghanistan","ARM",2043,0.582390065983497
"Afghanistan","ARM",2044,0.569088258492852
"Afghanistan","ARM",2045,0.556090264705175
"Afghanistan","ARM",2046,0.543389145505901
"Afghanistan","ARM",2047,0.530978120270058
"Afghanistan","ARM",2048,0.518850563242365
"Afghanistan","ARM",2049,0.507
"Afghanistan","ARM",2050,0.495420103996163
"Afghanistan","ASM",2021,0.968209386365162
"Afghanistan","ASM",2022,0.946095453418323
"Afghanistan","ASM",2023,0.924486603398032
"Afghanistan","ASM",2024,0.903371300194304
"Afghanistan","ASM",2025,0.88273827118227
"Afghanistan","ASM",2026,0.862576501204168
"Afghanistan","ASM",2027,0.842875226688787
"Afghanistan","ASM",2028,0.823623929905223
"Afghanistan","ASM",2029,0.804812333347877
"Afghanistan","ASM",2030,0.786430394249704
"Afghanistan","ASM",2031,0.768468299220772
"Afghanistan","ASM",2032,0.750916459009288
"Afghanistan","ASM",2033,0.733765503382272
"Afghanistan","ASM",2034,0.717006276123159
"Afghanistan","ASM",2035,0.700629830143662
"Afghanistan","ASM",2036,0.684627422707272
"Afghanistan","ASM",2037,0.668990510761857
"Afghanistan","ASM",2038,0.653710746378867
"Afghanistan","ASM",2039,0.638779972296701
"Afghanistan","ASM",2040,0.624190217565873
"Afghanistan","ASM",2041,0.609933693293633
"Afghanistan","ASM",2042,0.59600278848579
"Afghanistan","ASM",2043,0.582390065983497
"Afghanistan","ASM",2044,0.569088258492852
"Afghanistan","ASM",2045,0.556090264705175
"Afghanistan","ASM",2046,0.543389145505901
"Afghanistan","ASM",2047,0.530978120270058
"Afghanistan","ASM",2048,0.518850563242365
"Afghanistan","ASM",2049,0.507
"Afghanistan","ASM",2050,0.495420103996163
"Afghanistan","ATA",2021,0.968209386365162
"Afghanistan","ATA",2022,0.946095453418323
"Afghanistan","ATA",2023,0.924486603398032
"Afghanistan","ATA",2024,0.903371300194304
"Afghanistan","ATA",2025,0.88273827118227
"Afghanistan","ATA",2026,0.862576501204168
"Afghanistan","ATA",2027,0.842875226688787
"Afghanistan","ATA",2028,0.823623929905223
"Afghanistan","ATA",2029,0.804812333347877
"Afghanistan","ATA",2030,0.786430394249704
"Afghanistan","ATA",2031,0.768468299220772
"Afghanistan","ATA",2032,0.750916459009288
"Afghanistan","ATA",2033,0.733765503382272
"Afghanistan","ATA",2034,0.717006276123159
"Afghanistan","ATA",2035,0.700629830143662
"Afghanistan","ATA",2036,0.684627422707272
"Afghanistan","ATA",2037,0.668990510761857
"Afghanistan","ATA",2038,0.653710746378867
"Afghanistan","ATA",2039,0.638779972296701
"Afghanistan","ATA",2040,0.624190217565873
"Afghanistan","ATA",2041,0.609933693293633
"Afghanistan","ATA",2042,0.59600278848579
"Afghanistan","ATA",2043,0.582390065983497
"Afghanistan","ATA",2044,0.569088258492852
"Afghanistan","ATA",2045,0.556090264705175
"Afghanistan","ATA",2046,0.543389145505901
"Afghanistan","ATA",2047,0.530978120270058
"Afghanistan","ATA",2048,0.518850563242365
"Afghanistan","ATA",2049,0.507
"Afghanistan","ATA",2050,0.495420103996163
"Afghanistan","ATF",2021,0.968209386365162
"Afghanistan","ATF",2022,0.946095453418323
"Afghanistan","ATF",2023,0.924486603398032
"Afghanistan","ATF",2024,0.903371300194304
"Afghanistan","ATF",2025,0.88273827118227
"Afghanistan","ATF",2026,0.862576501204168
"Afghanistan","ATF",2027,0.842875226688787
"Afghanistan","ATF",2028,0.823623929905223
"Afghanistan","ATF",2029,0.804812333347877
"Afghanistan","ATF",2030,0.786430394249704
"Afghanistan","ATF",2031,0.768468299220772
"Afghanistan","ATF",2032,0.750916459009288
"Afghanistan","ATF",2033,0.733765503382272
"Afghanistan","ATF",2034,0.717006276123159
"Afghanistan","ATF",2035,0.700629830143662
"Afghanistan","ATF",2036,0.684627422707272
"Afghanistan","ATF",2037,0.668990510761857
"Afghanistan","ATF",2038,0.653710746378867
"Afghanistan","ATF",2039,0.638779972296701
"Afghanistan","ATF",2040,0.624190217565873
"Afghanistan","ATF",2041,0.609933693293633
"Afghanistan","ATF",2042,0.59600278848579
"Afghanistan","ATF",2043,0.582390065983497
"Afghanistan","ATF",2044,0.569088258492852
"Afghanistan","ATF",2045,0.556090264705175
"Afghanistan","ATF",2046,0.543389145505901
"Afghanistan","ATF",2047,0.530978120270058
"Afghanistan","ATF",2048,0.518850563242365
"Afghanistan","ATF",2049,0.507
"Afghanistan","ATF",2050,0.495420103996163
"Afghanistan","ATG",2021,0.968209386365162
"Afghanistan","ATG",2022,0.946095453418323
"Afghanistan","ATG",2023,0.924486603398032
"Afghanistan","ATG",2024,0.903371300194304
"Afghanistan","ATG",2025,0.88273827118227
"Afghanistan","ATG",2026,0.862576501204168
"Afghanistan","ATG",2027,0.842875226688787
"Afghanistan","ATG",2028,0.823623929905223
"Afghanistan","ATG",2029,0.804812333347877
"Afghanistan","ATG",2030,0.786430394249704
"Afghanistan","ATG",2031,0.768468299220772
"Afghanistan","ATG",2032,0.750916459009288
"Afghanistan","ATG",2033,0.733765503382272
"Afghanistan","ATG",2034,0.717006276123159
"Afghanistan","ATG",2035,0.700629830143662
"Afghanistan","ATG",2036,0.684627422707272
"Afghanistan","ATG",2037,0.668990510761857
"Afghanistan","ATG",2038,0.653710746378867
"Afghanistan","ATG",2039,0.638779972296701
"Afghanistan","ATG",2040,0.624190217565873
"Afghanistan","ATG",2041,0.609933693293633
"Afghanistan","ATG",2042,0.59600278848579
"Afghanistan","ATG",2043,0.582390065983497
"Afghanistan","ATG",2044,0.569088258492852
"Afghanistan","ATG",2045,0.556090264705175
"Afghanistan","ATG",2046,0.543389145505901
"Afghanistan","ATG",2047,0.530978120270058
"Afghanistan","ATG",2048,0.518850563242365
"Afghanistan","ATG",2049,0.507
"Afghanistan","ATG",2050,0.495420103996163
"Afghanistan","AUS",2021,0.968209386365162
"Afghanistan","AUS",2022,0.946095453418323
"Afghanistan","AUS",2023,0.924486603398032
"Afghanistan","AUS",2024,0.903371300194304
"Afghanistan","AUS",2025,0.88273827118227
"Afghanistan","AUS",2026,0.862576501204168
"Afghanistan","AUS",2027,0.842875226688787
"Afghanistan","AUS",2028,0.823623929905223
"Afghanistan","AUS",2029,0.804812333347877
"Afghanistan","AUS",2030,0.786430394249704
"Afghanistan","AUS",2031,0.768468299220772
"Afghanistan","AUS",2032,0.750916459009288
"Afghanistan","AUS",2033,0.733765503382272
"Afghanistan","AUS",2034,0.717006276123159
"Afghanistan","AUS",2035,0.700629830143662
"Afghanistan","AUS",2036,0.684627422707272
"Afghanistan","AUS",2037,0.668990510761857
"Afghanistan","AUS",2038,0.653710746378867
"Afghanistan","AUS",2039,0.638779972296701
"Afghanistan","AUS",2040,0.624190217565873
"Afghanistan","AUS",2041,0.609933693293633
"Afghanistan","AUS",2042,0.59600278848579
"Afghanistan","AUS",2043,0.582390065983497
"Afghanistan","AUS",2044,0.569088258492852
"Afghanistan","AUS",2045,0.556090264705175
"Afghanistan","AUS",2046,0.543389145505901
"Afghanistan","AUS",2047,0.530978120270058
"Afghanistan","AUS",2048,0.518850563242365
"Afghanistan","AUS",2049,0.507
"Afghanistan","AUS",2050,0.495420103996163
"Afghanistan","AUT",2021,0.968209386365162
"Afghanistan","AUT",2022,0.946095453418323
"Afghanistan","AUT",2023,0.924486603398032
"Afghanistan","AUT",2024,0.903371300194304
"Afghanistan","AUT",2025,0.88273827118227
"Afghanistan","AUT",2026,0.862576501204168
"Afghanistan","AUT",2027,0.842875226688787
"Afghanistan","AUT",2028,0.823623929905223
"Afghanistan","AUT",2029,0.804812333347877
"Afghanistan","AUT",2030,0.786430394249704
"Afghanistan","AUT",2031,0.768468299220772
"Afghanistan","AUT",2032,0.750916459009288
"Afghanistan","AUT",2033,0.733765503382272
"Afghanistan","AUT",2034,0.717006276123159
"Afghanistan","AUT",2035,0.700629830143662
"Afghanistan","AUT",2036,0.684627422707272
"Afghanistan","AUT",2037,0.668990510761857
"Afghanistan","AUT",2038,0.653710746378867
"Afghanistan","AUT",2039,0.638779972296701
"Afghanistan","AUT",2040,0.624190217565873
"Afghanistan","AUT",2041,0.609933693293633
"Afghanistan","AUT",2042,0.59600278848579
"Afghanistan","AUT",2043,0.582390065983497
"Afghanistan","AUT",2044,0.569088258492852
"Afghanistan","AUT",2045,0.556090264705175
"Afghanistan","AUT",2046,0.543389145505901
"Afghanistan","AUT",2047,0.530978120270058
"Afghanistan","AUT",2048,0.518850563242365
"Afghanistan","AUT",2049,0.507
"Afghanistan","AUT",2050,0.495420103996163
"Afghanistan","AZE",2021,0.968209386365162
"Afghanistan","AZE",2022,0.946095453418323
"Afghanistan","AZE",2023,0.924486603398032
"Afghanistan","AZE",2024,0.903371300194304
"Afghanistan","AZE",2025,0.88273827118227
"Afghanistan","AZE",2026,0.862576501204168
"Afghanistan","AZE",2027,0.842875226688787
"Afghanistan","AZE",2028,0.823623929905223
"Afghanistan","AZE",2029,0.804812333347877
"Afghanistan","AZE",2030,0.786430394249704
"Afghanistan","AZE",2031,0.768468299220772
"Afghanistan","AZE",2032,0.750916459009288
"Afghanistan","AZE",2033,0.733765503382272
"Afghanistan","AZE",2034,0.717006276123159
"Afghanistan","AZE",2035,0.700629830143662
"Afghanistan","AZE",2036,0.684627422707272
"Afghanistan","AZE",2037,0.668990510761857
"Afghanistan","AZE",2038,0.653710746378867
"Afghanistan","AZE",2039,0.638779972296701
"Afghanistan","AZE",2040,0.624190217565873
"Afghanistan","AZE",2041,0.609933693293633
"Afghanistan","AZE",2042,0.59600278848579
"Afghanistan","AZE",2043,0.582390065983497
"Afghanistan","AZE",2044,0.569088258492852
"Afghanistan","AZE",2045,0.556090264705175
"Afghanistan","AZE",2046,0.543389145505901
"Afghanistan","AZE",2047,0.530978120270058
"Afghanistan","AZE",2048,0.518850563242365
"Afghanistan","AZE",2049,0.507
"Afghanistan","AZE",2050,0.495420103996163
"Afghanistan","BDI",2021,0.968209386365162
"Afghanistan","BDI",2022,0.946095453418323
"Afghanistan","BDI",2023,0.924486603398032
"Afghanistan","BDI",2024,0.903371300194304
"Afghanistan","BDI",2025,0.88273827118227
"Afghanistan","BDI",2026,0.862576501204168
"Afghanistan","BDI",2027,0.842875226688787
"Afghanistan","BDI",2028,0.823623929905223
"Afghanistan","BDI",2029,0.804812333347877
"Afghanistan","BDI",2030,0.786430394249704
"Afghanistan","BDI",2031,0.768468299220772
"Afghanistan","BDI",2032,0.750916459009288
"Afghanistan","BDI",2033,0.733765503382272
"Afghanistan","BDI",2034,0.717006276123159
"Afghanistan","BDI",2035,0.700629830143662
"Afghanistan","BDI",2036,0.684627422707272
"Afghanistan","BDI",2037,0.668990510761857
"Afghanistan","BDI",2038,0.653710746378867
"Afghanistan","BDI",2039,0.638779972296701
"Afghanistan","BDI",2040,0.624190217565873
"Afghanistan","BDI",2041,0.609933693293633
"Afghanistan","BDI",2042,0.59600278848579
"Afghanistan","BDI",2043,0.582390065983497
"Afghanistan","BDI",2044,0.569088258492852
"Afghanistan","BDI",2045,0.556090264705175
"Afghanistan","BDI",2046,0.543389145505901
"Afghanistan","BDI",2047,0.530978120270058
"Afghanistan","BDI",2048,0.518850563242365
"Afghanistan","BDI",2049,0.507
"Afghanistan","BDI",2050,0.495420103996163
"Afghanistan","BEL",2021,0.968209386365162
"Afghanistan","BEL",2022,0.946095453418323
"Afghanistan","BEL",2023,0.924486603398032
"Afghanistan","BEL",2024,0.903371300194304
"Afghanistan","BEL",2025,0.88273827118227
"Afghanistan","BEL",2026,0.862576501204168
"Afghanistan","BEL",2027,0.842875226688787
"Afghanistan","BEL",2028,0.823623929905223
"Afghanistan","BEL",2029,0.804812333347877
"Afghanistan","BEL",2030,0.786430394249704
"Afghanistan","BEL",2031,0.768468299220772
"Afghanistan","BEL",2032,0.750916459009288
"Afghanistan","BEL",2033,0.733765503382272
"Afghanistan","BEL",2034,0.717006276123159
"Afghanistan","BEL",2035,0.700629830143662
"Afghanistan","BEL",2036,0.684627422707272
"Afghanistan","BEL",2037,0.668990510761857
"Afghanistan","BEL",2038,0.653710746378867
"Afghanistan","BEL",2039,0.638779972296701
"Afghanistan","BEL",2040,0.624190217565873
"Afghanistan","BEL",2041,0.609933693293633
"Afghanistan","BEL",2042,0.59600278848579
"Afghanistan","BEL",2043,0.582390065983497
"Afghanistan","BEL",2044,0.569088258492852
"Afghanistan","BEL",2045,0.556090264705175
"Afghanistan","BEL",2046,0.543389145505901
"Afghanistan","BEL",2047,0.530978120270058
"Afghanistan","BEL",2048,0.518850563242365
"Afghanistan","BEL",2049,0.507
"Afghanistan","BEL",2050,0.495420103996163
"Afghanistan","BEN",2021,0.968209386365162
"Afghanistan","BEN",2022,0.946095453418323
"Afghanistan","BEN",2023,0.924486603398032
"Afghanistan","BEN",2024,0.903371300194304
"Afghanistan","BEN",2025,0.88273827118227
"Afghanistan","BEN",2026,0.862576501204168
"Afghanistan","BEN",2027,0.842875226688787
"Afghanistan","BEN",2028,0.823623929905223
"Afghanistan","BEN",2029,0.804812333347877
"Afghanistan","BEN",2030,0.786430394249704
"Afghanistan","BEN",2031,0.768468299220772
"Afghanistan","BEN",2032,0.750916459009288
"Afghanistan","BEN",2033,0.733765503382272
"Afghanistan","BEN",2034,0.717006276123159
"Afghanistan","BEN",2035,0.700629830143662
"Afghanistan","BEN",2036,0.684627422707272
"Afghanistan","BEN",2037,0.668990510761857
"Afghanistan","BEN",2038,0.653710746378867
"Afghanistan","BEN",2039,0.638779972296701
"Afghanistan","BEN",2040,0.624190217565873
"Afghanistan","BEN",2041,0.609933693293633
"Afghanistan","BEN",2042,0.59600278848579
"Afghanistan","BEN",2043,0.582390065983497
"Afghanistan","BEN",2044,0.569088258492852
"Afghanistan","BEN",2045,0.556090264705175
"Afghanistan","BEN",2046,0.543389145505901
"Afghanistan","BEN",2047,0.530978120270058
"Afghanistan","BEN",2048,0.518850563242365
"Afghanistan","BEN",2049,0.507
"Afghanistan","BEN",2050,0.495420103996163
"Afghanistan","BES",2021,0.968209386365162
"Afghanistan","BES",2022,0.946095453418323
"Afghanistan","BES",2023,0.924486603398032
"Afghanistan","BES",2024,0.903371300194304
"Afghanistan","BES",2025,0.88273827118227
"Afghanistan","BES",2026,0.862576501204168
"Afghanistan","BES",2027,0.842875226688787
"Afghanistan","BES",2028,0.823623929905223
"Afghanistan","BES",2029,0.804812333347877
