,Nation,iso_code3,Year,cost_enfu_fuel_nuclear_usd_per_tonne
285,Armenia,ARM,2028,1663000
286,Armenia,ARM,2029,1663000
287,Armenia,ARM,2030,1663000
288,Armenia,ARM,2031,1663000
289,Armenia,ARM,2032,1663000
290,Armenia,ARM,2033,1663000
291,Armenia,ARM,2034,1663000
292,Armenia,ARM,2035,1663000
293,Armenia,ARM,2036,1663000
294,Armenia,ARM,2037,1663000
295,Armenia,ARM,2038,1663000
296,Armenia,ARM,2039,1663000
297,Armenia,ARM,2040,1663000
298,Armenia,ARM,2041,1663000
299,Armenia,ARM,2042,1663000
300,Armenia,ARM,2043,1663000
301,Armenia,ARM,2044,1663000
302,Armenia,ARM,2045,1663000
303,Armenia,ARM,2046,1663000
304,Armenia,ARM,2047,1663000
305,Armenia,ARM,2048,1663000
306,Armenia,ARM,2049,1663000
307,Armenia,ARM,2050,1663000
308,American Samoa,ASM,2023,1663000
309,American Samoa,ASM,2024,1663000
310,American Samoa,ASM,2025,1663000
311,American Samoa,ASM,2026,1663000
312,American Samoa,ASM,2027,1663000
313,American Samoa,ASM,2028,1663000
314,American Samoa,ASM,2029,1663000
315,American Samoa,ASM,2030,1663000
316,American Samoa,ASM,2031,1663000
317,American Samoa,ASM,2032,1663000
318,American Samoa,ASM,2033,1663000
319,American Samoa,ASM,2034,1663000
320,American Samoa,ASM,2035,1663000
321,American Samoa,ASM,2036,1663000
322,American Samoa,ASM,2037,1663000
323,American Samoa,ASM,2038,1663000
324,American Samoa,ASM,2039,1663000
325,American Samoa,ASM,2040,1663000
326,American Samoa,ASM,2041,1663000
327,American Samoa,ASM,2042,1663000
328,American Samoa,ASM,2043,1663000
329,American Samoa,ASM,2044,1663000
330,American Samoa,ASM,2045,1663000
331,American Samoa,ASM,2046,1663000
332,American Samoa,ASM,2047,1663000
333,American Samoa,ASM,2048,1663000
334,American Samoa,ASM,2049,1663000
335,American Samoa,ASM,2050,1663000
336,Antigua and Barbuda,ATG,2023,1663000
337,Antigua and Barbuda,ATG,2024,1663000
338,Antigua and Barbuda,ATG,2025,1663000
339,Antigua and Barbuda,ATG,2026,1663000
340,Antigua and Barbuda,ATG,2027,1663000
341,Antigua and Barbuda,ATG,2028,1663000
342,Antigua and Barbuda,ATG,2029,1663000
343,Antigua and Barbuda,ATG,2030,1663000
344,Antigua and Barbuda,ATG,2031,1663000
345,Antigua and Barbuda,ATG,2032,1663000
346,Antigua and Barbuda,ATG,2033,1663000
347,Antigua and Barbuda,ATG,2034,1663000
348,Antigua and Barbuda,ATG,2035,1663000
349,Antigua and Barbuda,ATG,2036,1663000
350,Antigua and Barbuda,ATG,2037,1663000
351,Antigua and Barbuda,ATG,2038,1663000
352,Antigua and Barbuda,ATG,2039,1663000
353,Antigua and Barbuda,ATG,2040,1663000
354,Antigua and Barbuda,ATG,2041,1663000
355,Antigua and Barbuda,ATG,2042,1663000
356,Antigua and Barbuda,ATG,2043,1663000
357,Antigua and Barbuda,ATG,2044,1663000
358,Antigua and Barbuda,ATG,2045,1663000
359,Antigua and Barbuda,ATG,2046,1663000
360,Antigua and Barbuda,ATG,2047,1663000
361,Antigua and Barbuda,ATG,2048,1663000
362,Antigua and Barbuda,ATG,2049,1663000
363,Antigua and Barbuda,ATG,2050,1663000
364,Australia,AUS,2023,1663000
365,Australia,AUS,2024,1663000
366,Australia,AUS,2025,1663000
367,Australia,AUS,2026,1663000
368,Australia,AUS,2027,1663000
369,Australia,AUS,2028,1663000
370,Australia,AUS,2029,1663000
371,Australia,AUS,2030,1663000
372,Australia,AUS,2031,1663000
373,Australia,AUS,2032,1663000
374,Australia,AUS,2033,1663000
375,Australia,AUS,2034,1663000
376,Australia,AUS,2035,1663000
377,Australia,AUS,2036,1663000
378,Australia,AUS,2037,1663000
379,Australia,AUS,2038,1663000
380,Australia,AUS,2039,1663000
381,Australia,AUS,2040,1663000
382,Australia,AUS,2041,1663000
383,Australia,AUS,2042,1663000
384,Australia,AUS,2043,1663000
385,Australia,AUS,2044,1663000
386,Australia,AUS,2045,1663000
387,Australia,AUS,2046,1663000
388,Australia,AUS,2047,1663000
389,Australia,AUS,2048,1663000
390,Australia,AUS,2049,1663000
391,Australia,AUS,2050,1663000
392,Austria,AUT,2023,1663000
393,Austria,AUT,2024,1663000
394,Austria,AUT,2025,1663000
395,Austria,AUT,2026,1663000
396,Austria,AUT,2027,1663000
397,Austria,AUT,2028,1663000
398,Austria,AUT,2029,1663000
399,Austria,AUT,2030,1663000
400,Austria,AUT,2031,1663000
401,Austria,AUT,2032,1663000
402,Austria,AUT,2033,1663000
403,Austria,AUT,2034,1663000
404,Austria,AUT,2035,1663000
405,Austria,AUT,2036,1663000
406,Austria,AUT,2037,1663000
407,Austria,AUT,2038,1663000
408,Austria,AUT,2039,1663000
409,Austria,AUT,2040,1663000
410,Austria,AUT,2041,1663000
411,Austria,AUT,2042,1663000
412,Austria,AUT,2043,1663000
413,Austria,AUT,2044,1663000
414,Austria,AUT,2045,1663000
415,Austria,AUT,2046,1663000
416,Austria,AUT,2047,1663000
417,Austria,AUT,2048,1663000
418,Austria,AUT,2049,1663000
419,Austria,AUT,2050,1663000
420,Azerbaijan,AZE,2023,1663000
421,Azerbaijan,AZE,2024,1663000
422,Azerbaijan,AZE,2025,1663000
423,Azerbaijan,AZE,2026,1663000
424,Azerbaijan,AZE,2027,1663000
425,Azerbaijan,AZE,2028,1663000
426,Azerbaijan,AZE,2029,1663000
427,Azerbaijan,AZE,2030,1663000
428,Azerbaijan,AZE,2031,1663000
429,Azerbaijan,AZE,2032,1663000
430,Azerbaijan,AZE,2033,1663000
431,Azerbaijan,AZE,2034,1663000
432,Azerbaijan,AZE,2035,1663000
433,Azerbaijan,AZE,2036,1663000
434,Azerbaijan,AZE,2037,1663000
435,Azerbaijan,AZE,2038,1663000
436,Azerbaijan,AZE,2039,1663000
437,Azerbaijan,AZE,2040,1663000
438,Azerbaijan,AZE,2041,1663000
439,Azerbaijan,AZE,2042,1663000
440,Azerbaijan,AZE,2043,1663000
441,Azerbaijan,AZE,2044,1663000
442,Azerbaijan,AZE,2045,1663000
443,Azerbaijan,AZE,2046,1663000
444,Azerbaijan,AZE,2047,1663000
445,Azerbaijan,AZE,2048,1663000
446,Azerbaijan,AZE,2049,1663000
447,Azerbaijan,AZE,2050,1663000
448,Burundi,BDI,2023,1663000
449,Burundi,BDI,2024,1663000
450,Burundi,BDI,2025,1663000
451,Burundi,BDI,2026,1663000
452,Burundi,BDI,2027,1663000
453,Burundi,BDI,2028,1663000
454,Burundi,BDI,2029,1663000
455,Burundi,BDI,2030,1663000
456,Burundi,BDI,2031,1663000
457,Burundi,BDI,2032,1663000
458,Burundi,BDI,2033,1663000
459,Burundi,BDI,2034,1663000
460,Burundi,BDI,2035,1663000
461,Burundi,BDI,2036,1663000
462,Burundi,BDI,2037,1663000
463,Burundi,BDI,2038,1663000
464,Burundi,BDI,2039,1663000
465,Burundi,BDI,2040,1663000
466,Burundi,BDI,2041,1663000
467,Burundi,BDI,2042,1663000
468,Burundi,BDI,2043,1663000
469,Burundi,BDI,2044,1663000
470,Burundi,BDI,2045,1663000
471,Burundi,BDI,2046,1663000
472,Burundi,BDI,2047,1663000
473,Burundi,BDI,2048,1663000
474,Burundi,BDI,2049,1663000
475,Burundi,BDI,2050,1663000
476,Belgium,BEL,2023,1663000
477,Belgium,BEL,2024,1663000
478,Belgium,BEL,2025,1663000
479,Belgium,BEL,2026,1663000
480,Belgium,BEL,2027,1663000
481,Belgium,BEL,2028,1663000
482,Belgium,BEL,2029,1663000
483,Belgium,BEL,2030,1663000
484,Belgium,BEL,2031,1663000
485,Belgium,BEL,2032,1663000
486,Belgium,BEL,2033,1663000
487,Belgium,BEL,2034,1663000
488,Belgium,BEL,2035,1663000
489,Belgium,BEL,2036,1663000
490,Belgium,BEL,2037,1663000
491,Belgium,BEL,2038,1663000
492,Belgium,BEL,2039,1663000
493,Belgium,BEL,2040,1663000
494,Belgium,BEL,2041,1663000
495,Belgium,BEL,2042,1663000
496,Belgium,BEL,2043,1663000
497,Belgium,BEL,2044,1663000
498,Belgium,BEL,2045,1663000
499,Belgium,BEL,2046,1663000
500,Belgium,BEL,2047,1663000
501,Belgium,BEL,2048,1663000
502,Belgium,BEL,2049,1663000
503,Belgium,BEL,2050,1663000
504,Benin,BEN,2023,1663000
505,Benin,BEN,2024,1663000
506,Benin,BEN,2025,1663000
507,Benin,BEN,2026,1663000
508,Benin,BEN,2027,1663000
509,Benin,BEN,2028,1663000
510,Benin,BEN,2029,1663000
511,Benin,BEN,2030,1663000
512,Benin,BEN,2031,1663000
513,Benin,BEN,2032,1663000
514,Benin,BEN,2033,1663000
515,Benin,BEN,2034,1663000
516,Benin,BEN,2035,1663000
517,Benin,BEN,2036,1663000
518,Benin,BEN,2037,1663000
519,Benin,BEN,2038,1663000
520,Benin,BEN,2039,1663000
521,Benin,BEN,2040,1663000
522,Benin,BEN,2041,1663000
523,Benin,BEN,2042,1663000
524,Benin,BEN,2043,1663000
525,Benin,BEN,2044,1663000
526,Benin,BEN,2045,1663000
527,Benin,BEN,2046,1663000
528,Benin,BEN,2047,1663000
529,Benin,BEN,2048,1663000
530,Benin,BEN,2049,1663000
531,Benin,BEN,2050,1663000
532,Burkina Faso,BFA,2023,1663000
533,Burkina Faso,BFA,2024,1663000
534,Burkina Faso,BFA,2025,1663000
535,Burkina Faso,BFA,2026,1663000
536,Burkina Faso,BFA,2027,1663000
537,Burkina Faso,BFA,2028,1663000
538,Burkina Faso,BFA,2029,1663000
539,Burkina Faso,BFA,2030,1663000
540,Burkina Faso,BFA,2031,1663000
541,Burkina Faso,BFA,2032,1663000
542,Burkina Faso,BFA,2033,1663000
543,Burkina Faso,BFA,2034,1663000
544,Burkina Faso,BFA,2035,1663000
545,Burkina Faso,BFA,2036,1663000
546,Burkina Faso,BFA,2037,1663000
547,Burkina Faso,BFA,2038,1663000
548,Burkina Faso,BFA,2039,1663000
549,Burkina Faso,BFA,2040,1663000
550,Burkina Faso,BFA,2041,1663000
551,Burkina Faso,BFA,2042,1663000
552,Burkina Faso,BFA,2043,1663000
553,Burkina Faso,BFA,2044,1663000
554,Burkina Faso,BFA,2045,1663000
555,Burkina Faso,BFA,2046,1663000
556,Burkina Faso,BFA,2047,1663000
557,Burkina Faso,BFA,2048,1663000
558,Burkina Faso,BFA,2049,1663000
559,Burkina Faso,BFA,2050,1663000
560,Bangladesh,BGD,2023,1663000
561,Bangladesh,BGD,2024,1663000
562,Bangladesh,BGD,2025,1663000
563,Bangladesh,BGD,2026,1663000
564,Bangladesh,BGD,2027,1663000
565,Bangladesh,BGD,2028,1663000
566,Bangladesh,BGD,2029,1663000
567,Bangladesh,BGD,2030,1663000
568,Bangladesh,BGD,2031,1663000
569,Bangladesh,BGD,2032,1663000
570,Bangladesh,BGD,2033,1663000
571,Bangladesh,BGD,2034,1663000
572,Bangladesh,BGD,2035,1663000
573,Bangladesh,BGD,2036,1663000
574,Bangladesh,BGD,2037,1663000
575,Bangladesh,BGD,2038,1663000
576,Bangladesh,BGD,2039,1663000
577,Bangladesh,BGD,2040,1663000
578,Bangladesh,BGD,2041,1663000
579,Bangladesh,BGD,2042,1663000
580,Bangladesh,BGD,2043,1663000
581,Bangladesh,BGD,2044,1663000
582,Bangladesh,BGD,2045,1663000
583,Bangladesh,BGD,2046,1663000
584,Bangladesh,BGD,2047,1663000
585,Bangladesh,BGD,2048,1663000
586,Bangladesh,BGD,2049,1663000
587,Bangladesh,BGD,2050,1663000
588,Bulgaria,BGR,2023,1663000
589,Bulgaria,BGR,2024,1663000
590,Bulgaria,BGR,2025,1663000
591,Bulgaria,BGR,2026,1663000
592,Bulgaria,BGR,2027,1663000
593,Bulgaria,BGR,2028,1663000
594,Bulgaria,BGR,2029,1663000
595,Bulgaria,BGR,2030,1663000
596,Bulgaria,BGR,2031,1663000
597,Bulgaria,BGR,2032,1663000
598,Bulgaria,BGR,2033,1663000
599,Bulgaria,BGR,2034,1663000
600,Bulgaria,BGR,2035,1663000
601,Bulgaria,BGR,2036,1663000
602,Bulgaria,BGR,2037,1663000
603,Bulgaria,BGR,2038,1663000
604,Bulgaria,BGR,2039,1663000
605,Bulgaria,BGR,2040,1663000
606,Bulgaria,BGR,2041,1663000
607,Bulgaria,BGR,2042,1663000
608,Bulgaria,BGR,2043,1663000
609,Bulgaria,BGR,2044,1663000
610,Bulgaria,BGR,2045,1663000
611,Bulgaria,BGR,2046,1663000
612,Bulgaria,BGR,2047,1663000
613,Bulgaria,BGR,2048,1663000
614,Bulgaria,BGR,2049,1663000
615,Bulgaria,BGR,2050,1663000
616,Bahrain,BHR,2023,1663000
617,Bahrain,BHR,2024,1663000
618,Bahrain,BHR,2025,1663000
619,Bahrain,BHR,2026,1663000
620,Bahrain,BHR,2027,1663000
621,Bahrain,BHR,2028,1663000
622,Bahrain,BHR,2029,1663000
623,Bahrain,BHR,2030,1663000
624,Bahrain,BHR,2031,1663000
625,Bahrain,BHR,2032,1663000
626,Bahrain,BHR,2033,1663000
627,Bahrain,BHR,2034,1663000
628,Bahrain,BHR,2035,1663000
629,Bahrain,BHR,2036,1663000
630,Bahrain,BHR,2037,1663000
631,Bahrain,BHR,2038,1663000
632,Bahrain,BHR,2039,1663000
633,Bahrain,BHR,2040,1663000
634,Bahrain,BHR,2041,1663000
635,Bahrain,BHR,2042,1663000
636,Bahrain,BHR,2043,1663000
637,Bahrain,BHR,2044,1663000
638,Bahrain,BHR,2045,1663000
639,Bahrain,BHR,2046,1663000
640,Bahrain,BHR,2047,1663000
641,Bahrain,BHR,2048,1663000
642,Bahrain,BHR,2049,1663000
643,Bahrain,BHR,2050,1663000
644,"Bahamas, The",BHS,2023,1663000
645,"Bahamas, The",BHS,2024,1663000
646,"Bahamas, The",BHS,2025,1663000
647,"Bahamas, The",BHS,2026,1663000
648,"Bahamas, The",BHS,2027,1663000
649,"Bahamas, The",BHS,2028,1663000
650,"Bahamas, The",BHS,2029,1663000
651,"Bahamas, The",BHS,2030,1663000
652,"Bahamas, The",BHS,2031,1663000
653,"Bahamas, The",BHS,2032,1663000
654,"Bahamas, The",BHS,2033,1663000
655,"Bahamas, The",BHS,2034,1663000
656,"Bahamas, The",BHS,2035,1663000
657,"Bahamas, The",BHS,2036,1663000
658,"Bahamas, The",BHS,2037,1663000
659,"Bahamas, The",BHS,2038,1663000
660,"Bahamas, The",BHS,2039,1663000
661,"Bahamas, The",BHS,2040,1663000
662,"Bahamas, The",BHS,2041,1663000
663,"Bahamas, The",BHS,2042,1663000
664,"Bahamas, The",BHS,2043,1663000
665,"Bahamas, The",BHS,2044,1663000
666,"Bahamas, The",BHS,2045,1663000
667,"Bahamas, The",BHS,2046,1663000
668,"Bahamas, The",BHS,2047,1663000
669,"Bahamas, The",BHS,2048,1663000
670,"Bahamas, The",BHS,2049,1663000
671,"Bahamas, The",BHS,2050,1663000
672,Bosnia and Herzegovina,BIH,2023,1663000
673,Bosnia and Herzegovina,BIH,2024,1663000
674,Bosnia and Herzegovina,BIH,2025,1663000
675,Bosnia and Herzegovina,BIH,2026,1663000
676,Bosnia and Herzegovina,BIH,2027,1663000
677,Bosnia and Herzegovina,BIH,2028,1663000
678,Bosnia and Herzegovina,BIH,2029,1663000
679,Bosnia and Herzegovina,BIH,2030,1663000
680,Bosnia and Herzegovina,BIH,2031,1663000
681,Bosnia and Herzegovina,BIH,2032,1663000
682,Bosnia and Herzegovina,BIH,2033,1663000
683,Bosnia and Herzegovina,BIH,2034,1663000
684,Bosnia and Herzegovina,BIH,2035,1663000
685,Bosnia and Herzegovina,BIH,2036,1663000
686,Bosnia and Herzegovina,BIH,2037,1663000
687,Bosnia and Herzegovina,BIH,2038,1663000
688,Bosnia and Herzegovina,BIH,2039,1663000
689,Bosnia and Herzegovina,BIH,2040,1663000
690,Bosnia and Herzegovina,BIH,2041,1663000
691,Bosnia and Herzegovina,BIH,2042,1663000
692,Bosnia and Herzegovina,BIH,2043,1663000
693,Bosnia and Herzegovina,BIH,2044,1663000
694,Bosnia and Herzegovina,BIH,2045,1663000
695,Bosnia and Herzegovina,BIH,2046,1663000
696,Bosnia and Herzegovina,BIH,2047,1663000
697,Bosnia and Herzegovina,BIH,2048,1663000
698,Bosnia and Herzegovina,BIH,2049,1663000
699,Bosnia and Herzegovina,BIH,2050,1663000
700,Belarus,BLR,2023,1663000
701,Belarus,BLR,2024,1663000
702,Belarus,BLR,2025,1663000
703,Belarus,BLR,2026,1663000
704,Belarus,BLR,2027,1663000
705,Belarus,BLR,2028,1663000
706,Belarus,BLR,2029,1663000
707,Belarus,BLR,2030,1663000
708,Belarus,BLR,2031,1663000
