Energy Source,Industry,frac_inen_prefix,frac_inen_suffix,col_name,fraction
Diesel,Production of rubber and plastic products,frac_inen_energy_plastic,diesel,frac_inen_energy_plastic_diesel,0.02049257995631245
Gasoline ,Production of rubber and plastic products,frac_inen_energy_plastic,gasoline,frac_inen_energy_plastic_gasoline,0.00879524143301692
Kerosene ,Production of rubber and plastic products,frac_inen_energy_plastic,kerosene,frac_inen_energy_plastic_kerosene,0.00047706780104531343
Liquefied Gas,Production of rubber and plastic products,frac_inen_energy_plastic,hydrocarbon_gas_liquids,frac_inen_energy_plastic_hydrocarbon_gas_liquids,0.007029886626978474
Coal and Charcoal,Production of rubber and plastic products,frac_inen_energy_plastic,coal,frac_inen_energy_plastic_coal,0.00033305325275212114
Purchased Electricity ,Production of rubber and plastic products,frac_inen_energy_plastic,electricity,frac_inen_energy_plastic_electricity,0.386267883375199
Natural Gas ,Production of textiles,frac_inen_energy_textiles,natural_gas,frac_inen_energy_textiles_natural_gas,0.6826889492475192
Fuel Oil ,Production of textiles,frac_inen_energy_textiles,oil,frac_inen_energy_textiles_oil,2.5396747552388456e-05
Diesel,Production of textiles,frac_inen_energy_textiles,diesel,frac_inen_energy_textiles_diesel,0.016684349517045817
Gasoline ,Production of textiles,frac_inen_energy_textiles,gasoline,frac_inen_energy_textiles_gasoline,0.005218301830419494
Kerosene ,Production of textiles,frac_inen_energy_textiles,kerosene,frac_inen_energy_textiles_kerosene,0.0016215969270519295
Liquefied Gas,Production of textiles,frac_inen_energy_textiles,hydrocarbon_gas_liquids,frac_inen_energy_textiles_hydrocarbon_gas_liquids,0.0037196018081900426
Coal and Charcoal,Production of textiles,frac_inen_energy_textiles,coal,frac_inen_energy_textiles_coal,3.9992579479048485e-05
Purchased Electricity ,Production of textiles,frac_inen_energy_textiles,electricity,frac_inen_energy_textiles_electricity,0.2900018113427421
Natural Gas ,Production of wood and wood products (excluding furniture) – including items made from wicker and reed,frac_inen_energy_wood,natural_gas,frac_inen_energy_wood_natural_gas,0.7024580771845745
Fuel Oil ,Production of wood and wood products (excluding furniture) – including items made from wicker and reed,frac_inen_energy_wood,oil,frac_inen_energy_wood_oil,0.00014976679171005148
Diesel,Production of wood and wood products (excluding furniture) – including items made from wicker and reed,frac_inen_energy_wood,diesel,frac_inen_energy_wood_diesel,0.041444988042429166
Gasoline ,Production of wood and wood products (excluding furniture) – including items made from wicker and reed,frac_inen_energy_wood,gasoline,frac_inen_energy_wood_gasoline,0.0049789137866274895
Kerosene ,Production of wood and wood products (excluding furniture) – including items made from wicker and reed,frac_inen_energy_wood,kerosene,frac_inen_energy_wood_kerosene,0.0003342414430862419
Liquefied Gas,Production of wood and wood products (excluding furniture) – including items made from wicker and reed,frac_inen_energy_wood,hydrocarbon_gas_liquids,frac_inen_energy_wood_hydrocarbon_gas_liquids,0.0005382095498913597
Coal and Charcoal,Production of wood and wood products (excluding furniture) – including items made from wicker and reed,frac_inen_energy_wood,coal,frac_inen_energy_wood_coal,0.0
Purchased Electricity ,Production of wood and wood products (excluding furniture) – including items made from wicker and reed,frac_inen_energy_wood,electricity,frac_inen_energy_wood_electricity,0.2500958032016812
