Year,prodinit_ippu_paper_tonne,iso_code3
2042,2529260.6662865,"AUS"
2043,2457062.23766697,"AUS"
2044,2386924.73268597,"AUS"
2045,2318789.32172177,"AUS"
2046,2252598.8544601,"AUS"
2047,2188297.81195785,"AUS"
2048,2125832.2600751,"AUS"
2049,2065149.80423655,"AUS"
2050,2006199.54548417,"AUS"
2021,4346599,"AUT"
2022,4264616.70961125,"AUT"
2023,4184180.70769709,"AUT"
2024,4105261.82932404,"AUT"
2025,4027831.4596457,"AUT"
2026,3951861.52352746,"AUT"
2027,3877324.47536683,"AUT"
2028,3804193.28910582,"AUT"
2029,3732441.44843167,"AUT"
2030,3662042.93716244,"AUT"
2031,3592972.22981388,"AUT"
2032,3525204.2823443,"AUT"
2033,3458714.52307394,"AUT"
2034,3393478.84377561,"AUT"
2035,3329473.59093345,"AUT"
2036,3266675.55716645,"AUT"
2037,3205061.97281385,"AUT"
2038,3144610.49767911,"AUT"
2039,3085299.21292976,"AUT"
2040,3027106.61314989,"AUT"
2041,2970011.59854262,"AUT"
2042,2913993.4672796,"AUT"
2043,2859031.90799488,"AUT"
2044,2805106.99242021,"AUT"
2045,2752199.16815942,"AUT"
2046,2700289.25159897,"AUT"
2047,2649358.42095225,"AUT"
2048,2599388.20943507,"AUT"
2049,2550360.49856986,"AUT"
2050,2502257.51161621,"AUT"
2021,185184.2,"AZE"
2022,186896.303854522,"AZE"
2023,188624.236811142,"AZE"
2024,190368.145216398,"AZE"
2025,192128.176769863,"AZE"
2026,193904.480536653,"AZE"
2027,195697.206960051,"AZE"
2028,197506.507874251,"AZE"
2029,199332.536517217,"AZE"
2030,201175.447543659,"AZE"
2031,203035.397038133,"AZE"
2032,204912.542528264,"AZE"
2033,206807.04299808,"AZE"
2034,208719.058901485,"AZE"
2035,210648.752175843,"AZE"
2036,212596.286255697,"AZE"
2037,214561.826086608,"AZE"
2038,216545.538139128,"AZE"
2039,218547.590422895,"AZE"
2040,220568.152500866,"AZE"
2041,222607.395503679,"AZE"
2042,224665.492144143,"AZE"
2043,226742.616731867,"AZE"
2044,228838.945188026,"AZE"
2045,230954.655060257,"AZE"
2046,233089.925537698,"AZE"
2047,235244.937466163,"AZE"
2048,237419.873363462,"AZE"
2049,239614.917434856,"AZE"
2050,241830.255588657,"AZE"
2021,21276.81,"BDI"
2022,24782.424024582,"BDI"
2023,28865.630728205,"BDI"
2024,33621.5955513716,"BDI"
2025,39161.1636019258,"BDI"
2026,45613.4430715391,"BDI"
2027,53128.8143015806,"BDI"
2028,61882.4346293005,"BDI"
2029,72078.3207001802,"BDI"
2030,83954.1033910474,"BDI"
2031,97786.5661647839,"BDI"
2032,113898.095936539,"BDI"
2033,132664.196798854,"BDI"
2034,154522.241724667,"BDI"
2035,179981.666220155,"BDI"
2036,209635.841506253,"BDI"
2037,244175.903951674,"BDI"
2038,284406.863073741,"BDI"
2039,331266.363528869,"BDI"
2040,385846.538369886,"BDI"
2041,449419.462894092,"BDI"
2042,523466.802323341,"BDI"
2043,609714.3443011,"BDI"
2044,710172.221039707,"BDI"
2045,827181.758557095,"BDI"
2046,963470.044896831,"BDI"
2047,1122213.48912813,"BDI"
2048,1307111.85246656,"BDI"
2049,1522474.47692502,"BDI"
2050,1773320.72118704,"BDI"
2021,3122614,"BEL"
2022,3008462.87951022,"BEL"
2023,2898484.69820187,"BEL"
2024,2792526.90898353,"BEL"
2025,2690442.54131646,"BEL"
2026,2592089.99735661,"BEL"
2027,2497332.85554895,"BEL"
2028,2406039.68140163,"BEL"
2029,2318083.8451776,"BEL"
2030,2233343.34625065,"BEL"
2031,2151700.6438824,"BEL"
2032,2073042.49418547,"BEL"
2033,1997259.79304655,"BEL"
2034,1924247.42479179,"BEL"
2035,1853904.1163843,"BEL"
2036,1786132.29695164,"BEL"
2037,1720837.96244856,"BEL"
2038,1657930.54526704,"BEL"
2039,1597322.78861301,"BEL"
2040,1538930.62547532,"BEL"
2041,1482673.06201918,"BEL"
2042,1428472.06524228,"BEL"
2043,1376252.45473782,"BEL"
2044,1325941.79841426,"BEL"
2045,1277470.31202715,"BEL"
2046,1230770.7623837,"BEL"
2047,1185778.37408589,"BEL"
2048,1142430.73968265,"BEL"
2049,1100667.73310651,"BEL"
2050,1060431.42627478,"BEL"
2021,51825.82,"BEN"
2022,55261.7599222288,"BEN"
2023,58925.4952396711,"BEN"
2024,62832.1282949916,"BEN"
2025,66997.7626835525,"BEN"
2026,71439.5696343046,"BEN"
2027,76175.8587915886,"BEN"
2028,81226.1536896159,"BEN"
2029,86611.2722307455,"BEN"
2030,92353.4124992959,"BEN"
2031,98476.2442646282,"BEN"
2032,105005.006550685,"BEN"
2033,111966.611674182,"BEN"
2034,119389.756180299,"BEN"
2035,127305.039133179,"BEN"
2036,135745.088248825,"BEN"
2037,144744.694390331,"BEN"
2038,154340.95497987,"BEN"
2039,164573.426918573,"BEN"
2040,175484.289644672,"BEN"
2041,187118.519002048,"BEN"
2042,199524.072635883,"BEN"
2043,212752.087679645,"BEN"
2044,226857.091548296,"BEN"
2045,241897.22670663,"BEN"
2046,257934.49033927,"BEN"
2047,275034.989910265,"BEN"
2048,293269.215665737,"BEN"
2049,312712.33120287,"BEN"
2050,333444.483302985,"BEN"
2021,45597.97,"BFA"
2022,56710.528154181,"BFA"
2023,70531.2978522104,"BFA"
2024,87720.2900172685,"BFA"
2025,109098.365052594,"BFA"
2026,135686.433033976,"BFA"
2027,168754.207275317,"BFA"
2028,209880.839494025,"BFA"
2029,261030.332208847,"BFA"
2030,324645.329689568,"BFA"
2031,403763.766445823,"BFA"
2032,502163.943804165,"BFA"
2033,624544.96270603,"BFA"
2034,776751.129295717,"BFA"
2035,966051.049788327,"BFA"
2036,1201484.74279441,"BFA"
2037,1494295.34545203,"BFA"
2038,1858466.02949471,"BFA"
2039,2311387.76768458,"BFA"
2040,2874689.83980002,"BFA"
2041,3575272.73899511,"BFA"
2042,4446592.80497922,"BFA"
2043,5530259.93168013,"BFA"
2044,6878024.64792808,"BFA"
2045,8554249.46420808,"BFA"
2046,10638982.5046567,"BFA"
2047,13231780.2056138,"BFA"
2048,16456461.6337174,"BFA"
2049,20467021.4660242,"BFA"
2050,25454984.006551,"BFA"
2021,1257791,"BGD"
2022,1343774.76250563,"BGD"
2023,1435636.45498104,"BGD"
2024,1533777.89818545,"BGD"
2025,1638628.38171885,"BGD"
2026,1750646.54181755,"BGD"
2027,1870322.36751748,"BGD"
2028,1998179.34396078,"BGD"
2029,2134776.74222073,"BGD"
2030,2280712.06566131,"BGD"
2031,2436623.66353214,"BGD"
2032,2603193.5232312,"BGD"
2033,2781150.25344926,"BGD"
2034,2971272.27124479,"BGD"
2035,3174391.2069903,"BGD"
2036,3391395.54208398,"BGD"
2037,3623234.49533869,"BGD"
2038,3870922.17504812,"BGD"
2039,4135542.01489204,"BGD"
2040,4418251.51308413,"BGD"
2041,4720287.29549247,"BGD"
2042,5042970.52487952,"BGD"
2043,5387712.67992287,"BGD"
2044,5756021.72929519,"BGD"
2045,6149508.72781002,"BGD"
2046,6569894.86348623,"BGD"
2047,7019018.98635638,"BGD"
2048,7498845.65195136,"BGD"
2049,8011473.71464521,"BGD"
2050,8559145.50844891,"BGD"
2021,478480.9,"BGR"
2022,494734.70478064,"BGR"
2023,511540.644808156,"BGR"
2024,528917.475896032,"BGR"
2025,546884.590985229,"BGR"
2026,565462.041787161,"BGR"
2027,584670.561161855,"BGR"
2028,604531.586256298,"BGR"
2029,625067.28242879,"BGR"
2030,646300.567985983,"BGR"
2031,668255.13976024,"BGR"
2032,690955.49955584,"BGR"
2033,714426.981493552,"BGR"
2034,738695.780284095,"BGR"
2035,763788.980462034,"BGR"
2036,789734.586612737,"BGR"
2037,816561.554626137,"BGR"
2038,844299.824012165,"BGR"
2039,872980.351313928,"BGR"
2040,902635.144655922,"BGR"
2041,933297.299465826,"BGR"
2042,965001.035409761,"BGR"
2043,997781.734582216,"BGR"
2044,1031675.98099328,"BGR"
2045,1066721.60139723,"BGR"
2046,1102957.70750805,"BGR"
2047,1140424.73964902,"BGR"
2048,1179164.511885,"BGR"
2049,1219220.25868793,"BGR"
2050,1260636.68318745,"BGR"
2021,91227.52,"BHR"
2022,93391.0162155328,"BHR"
2023,95605.8205875805,"BHR"
2024,97873.149909085,"BHR"
2025,100194.249829707,"BHR"
2026,102570.395540176,"BHR"
2027,105002.892472866,"BHR"
2028,107493.077018988,"BHR"
2029,110042.317262793,"BHR"
2030,112652.013733184,"BHR"
2031,115323.600173152,"BHR"
2032,118058.544327462,"BHR"
2033,120858.34874902,"BHR"
2034,123724.551624359,"BHR"
2035,126658.727618706,"BHR"
2036,129662.488741088,"BHR"
2037,132737.485229953,"BHR"
2038,135885.406459801,"BHR"
2039,139107.981869303,"BHR"
2040,142406.981911447,"BHR"
2041,145784.2190262,"BHR"
2042,149241.548636252,"BHR"
2043,152780.870166364,"BHR"
2044,156404.128086899,"BHR"
2045,160113.31298209,"BHR"
2046,163910.462643652,"BHR"
2047,167797.663190327,"BHR"
2048,171777.050213974,"BHR"
2049,175850.809952848,"BHR"
2050,180021.180492696,"BHR"
2021,23753.16,"BHS"
2022,24569.4173907456,"BHS"
2023,25413.724781068,"BHS"
2024,26287.0460856405,"BHS"
2025,27190.3783432549,"BHS"
2026,28124.752855103,"BHS"
2027,29091.2363621762,"BHS"
2028,30090.9322631239,"BHS"
2029,31124.981873963,"BHS"
2030,32194.565731077,"BHS"
2031,33300.9049389902,"BHS"
2032,34445.2625644585,"BHS"
2033,35628.9450784655,"BHS"
2034,36853.3038477731,"BHS"
2035,38119.7366777266,"BHS"
2036,39429.6894080779,"BHS"
2037,40784.6575636474,"BHS"
2038,42186.1880617098,"BHS"
2039,43635.8809780525,"BHS"
2040,45135.3913737232,"BHS"
2041,46686.4311845525,"BHS"
2042,48290.7711756074,"BHS"
2043,49950.2429628094,"BHS"
2044,51666.7411040222,"BHS"
2045,53442.2252619994,"BHS"
2046,55278.7224416588,"BHS"
2047,57178.3293042396,"BHS"
2048,59143.2145609831,"BHS"
2049,61175.6214490711,"BHS"
2050,63277.8702926464,"BHS"
2021,250878.4,"BIH"
2022,252537.72704821,"BIH"
2023,254208.02900001,"BIH"
2024,255889.37844417,"BIH"
2025,257581.848449567,"BIH"
2026,259285.51256836,"BIH"
2027,261000.444839187,"BIH"
2028,262726.719790384,"BIH"
2029,264464.412443221,"BIH"
2030,266213.598315165,"BIH"
2031,267974.35342316,"BIH"
2032,269746.754286931,"BIH"
2033,271530.877932311,"BIH"
2034,273326.801894586,"BIH"
2035,275134.604221866,"BIH"
2036,276954.363478477,"BIH"
2037,278786.158748375,"BIH"
2038,280630.069638582,"BIH"
2039,282486.176282646,"BIH"
2040,284354.559344126,"BIH"
2041,286235.300020093,"BIH"
2042,288128.480044661,"BIH"
2043,290034.181692542,"BIH"
2044,291952.487782615,"BIH"
2045,293883.481681531,"BIH"
2046,295827.247307332,"BIH"
2047,297783.869133103,"BIH"
2048,299753.432190637,"BIH"
2049,301736.022074132,"BIH"
2050,303731.724943916,"BIH"
2021,392593.8,"BLR"
2022,415697.88624093,"BLR"
2023,440161.644491526,"BLR"
2024,466065.091245606,"BLR"
2025,493492.951955646,"BLR"
2026,522534.938154293,"BLR"
2027,553286.040884432,"BLR"
2028,585846.841397575,"BLR"
2029,620323.840136796,"BLR"
2030,656829.805080271,"BLR"
2031,695484.140584774,"BLR"
2032,736413.277935567,"BLR"
2033,779751.088880083,"BLR"
2034,825639.323498013,"BLR"
2035,874228.073839972,"BLR"
2036,925676.264851244,"BLR"
2037,980152.1741863,"BLR"
2038,1037833.98261434,"BLR"
2039,1098910.35681609,"BLR"
2040,1163581.06647817,"BLR"
2041,1232057.63770325,"BLR"
2042,1304564.04487344,"BLR"
2043,1381337.44322963,"BLR"
2044,1462628.94456308,"BLR"
2045,1548704.43855628,"BLR"
2046,1639845.46245965,"BLR"
2047,1736350.12194858,"BLR"
2048,1838534.06617274,"BLR"
2049,1946731.52018689,"BLR"
2050,2061296.37814016,"BLR"
2021,14341.02,"BLZ"
2022,14292.5552829841,"BLZ"
2023,14244.2543499106,"BLZ"
2024,14196.1166472806,"BLZ"
2025,14148.1416234653,"BLZ"
2026,14100.3287287003,"BLZ"
2027,14052.6774150791,"BLZ"
2028,14005.1871365467,"BLZ"
2029,13957.8573488937,"BLZ"
2030,13910.6875097495,"BLZ"
2031,13863.6770785768,"BLZ"
2032,13816.8255166646,"BLZ"
2033,13770.1322871228,"BLZ"
2034,13723.5968548755,"BLZ"
2035,13677.2186866551,"BLZ"
2036,13630.9972509961,"BLZ"
2037,13584.9320182292,"BLZ"
2038,13539.022460475,"BLZ"
2039,13493.268051638,"BLZ"
2040,13447.6682674007,"BLZ"
2041,13402.2225852174,"BLZ"
2042,13356.9304843085,"BLZ"
2043,13311.7914456541,"BLZ"
2044,13266.8049519885,"BLZ"
2045,13221.9704877939,"BLZ"
2046,13177.2875392948,"BLZ"
2047,13132.755594452,"BLZ"
2048,13088.3741429566,"BLZ"
2049,13044.1426762243,"BLZ"
2050,13000.0606873896,"BLZ"
2021,13774.21,"BMU"
2022,13536.5844916692,"BMU"
2023,13303.0583750429,"BMU"
2024,13073.560929547,"BMU"
2025,12848.0226546421,"BMU"
2026,12626.375248776,"BMU"
2027,12408.5515886993,"BMU"
2028,12194.4857091378,"BMU"
2029,11984.1127828164,"BMU"
2030,11777.3691008259,"BMU"
2031,11574.1920533303,"BMU"
2032,11374.5201106062,"BMU"
2033,11178.2928044084,"BMU"
2034,10985.450709659,"BMU"
2035,10795.9354264504,"BMU"
2036,10609.6895623597,"BMU"
2037,10426.6567150684,"BMU"
2038,10246.7814552816,"BMU"
2039,10070.0093099414,"BMU"
2040,9896.28674573112,"BMU"
2041,9725.56115286288,"BMU"
2042,9557.78082914549,"BMU"
2043,9392.8949643271,"BMU"
2044,9230.85362470791,"BMU"
2045,9071.60773801833,"BMU"
2046,8915.10907855807,"BMU"
2047,8761.3102525915,"BMU"
2048,8610.16468399513,"BMU"
2049,8461.62660015248,"BMU"
2050,8315.65101809248,"BMU"
2021,167184.5,"BOL"
2022,170492.608122865,"BOL"
2023,173866.174343536,"BOL"
2024,177306.493892521,"BOL"
2025,180814.887629276,"BOL"
2026,184392.702549327,"BOL"
2027,188041.31230143,"BOL"
2028,191762.117714962,"BOL"
2029,195556.547337748,"BOL"
2030,199426.057984533,"BOL"
2031,203372.135296303,"BOL"
2032,207396.294310674,"BOL"
2033,211500.080043569,"BOL"
2034,215685.068082405,"BOL"
2035,219952.865191013,"BOL"
2036,224305.109926535,"BOL"
2037,228743.47326852,"BOL"
2038,233269.659260474,"BOL"
2039,237885.405664103,"BOL"
2040,242592.484626498,"BOL"
2041,247392.703360525,"BOL"
2042,252287.904838679,"BOL"
2043,257279.968500666,"BOL"
2044,262370.810974983,"BOL"
2045,267562.386814783,"BOL"
2046,272856.689248293,"BOL"
2047,278255.750944086,"BOL"
2048,283761.644791495,"BOL"
2049,289376.484696464,"BOL"
2050,295102.426393155,"BOL"
2021,4939215,"BRA"
2022,4567500.4465887,"BRA"
2023,4223760.32012941,"BRA"
2024,3905889.32623397,"BRA"
2025,3611940.61038033,"BRA"
2026,3340113.83407364,"BRA"
2027,3088744.14836941,"BRA"
2028,2856291.99722537,"BRA"
2029,2641333.68823075,"BRA"
2030,2442552.67296194,"BRA"
2031,2258731.48355965,"BRA"
2032,2088744.27614159,"BRA"
2033,1931549.93538169,"BRA"
2034,1786185.69802373,"BRA"
2035,1651761.25627528,"BRA"
2036,1527453.30496754,"BRA"
2037,1412500.49908389,"BRA"
2038,1306198.79077392,"BRA"
2039,1207897.11729364,"BRA"
2040,1116993.41346184,"BRA"
2041,1032930.92421034,"BRA"
2042,955194.794643687,"BRA"
2043,883308.916723455,"BRA"
2044,816833.013264286,"BRA"
2045,755359.941381985,"BRA"
2046,698513.198878249,"BRA"
2047,645944.618289445,"BRA"
2048,597332.23447625,"BRA"
2049,552378.312693838,"BRA"
2050,510807.525065222,"BRA"
2021,40744.41,"BRB"
2022,41886.1217433771,"BRB"
2023,43059.825745446,"BRB"
2024,44266.4184712051,"BRB"
2025,45506.8215057765,"BRB"
2026,46781.9822583045,"BRB"
2027,48092.874685579,"BRB"
2028,49440.5000359347,"BRB"
2029,50825.8876139967,"BRB"
2030,52250.0955668536,"BRB"
2031,53714.2116922621,"BRB"
2032,55219.3542694966,"BRB"
2033,56766.6729134819,"BRB"
2034,58357.3494528592,"BRB"
2035,59992.5988326561,"BRB"
2036,61673.6700422516,"BRB"
2037,63401.8470693433,"BRB"
2038,65178.4498806459,"BRB"
2039,67004.8354300709,"BRB"
2040,68882.3986951559,"BRB"
2041,70812.5737425365,"BRB"
2042,72796.834823274,"BRB"
2043,74836.6974988757,"BRB"
2044,76933.719798868,"BRB"
2045,79089.5034108052,"BRB"
2046,81305.6949036254,"BRB"
2047,83583.9869852853,"BRB"
2048,85926.1197956359,"BRB"
2049,88333.8822355266,"BRB"
2050,90809.1133331518,"BRB"
2021,20667.02,"BRN"
2022,20121.522273908,"BRN"
2023,19590.4227420971,"BRN"
2024,19073.3413699885,"BRN"
2025,18569.9081538642,"BRN"
2026,18079.7628561063,"BRN"
2027,17602.5547474245,"BRN"
2028,17137.9423558881,"BRN"
2029,16685.5932225814,"BRN"
2030,16245.1836637086,"BRN"
2031,15816.3985389785,"BRN"
2032,15398.9310261016,"BRN"
2033,14992.48240124,"BRN"
2034,14596.7618252523,"BRN"
2035,14211.4861355795,"BRN"
2036,13836.3796436253,"BRN"
2037,13471.1739374837,"BRN"
2038,13115.6076898734,"BRN"
2039,12769.4264711422,"BRN"
2040,12432.382567207,"BRN"
2041,12104.2348022986,"BRN"
2042,11784.7483663859,"BRN"
2043,11473.6946471545,"BRN"
2044,11170.8510664207,"BRN"
2045,10876.0009208629,"BRN"
2046,10588.9332269571,"BRN"
2047,10309.4425700049,"BRN"
2048,10037.3289571466,"BRN"
2049,9772.39767425432,"BRN"
2050,9514.45914660145,"BRN"
2021,6582.791,"BTN"
2022,8339.3139861596,"BTN"
2023,10564.5398372449,"BTN"
2024,13383.53516344,"BTN"
2025,16954.7387988977,"BTN"
2026,21478.8666991448,"BTN"
2027,27210.1929821311,"BTN"
2028,34470.8411526339,"BTN"
2029,43668.8887341016,"BTN"
2030,55321.3028607989,"BTN"
2031,70082.9959024418,"BTN"
2032,88783.6341638674,"BTN"
2033,112474.268456163,"BTN"
2034,142486.407364225,"BTN"
2035,180506.853365102,"BTN"
2036,228672.507886891,"BTN"
2037,289690.473732395,"BTN"
2038,366990.205105063,"BTN"
2039,464916.256678395,"BTN"
2040,588972.464978929,"BTN"
2041,746131.286055061,"BTN"
2042,945225.675448334,"BTN"
2043,1197445.535692,"BTN"
2044,1516966.63367569,"BTN"
2045,1921747.33555252,"BTN"
2046,2434537.93888308,"BTN"
2047,3084159.33052771,"BTN"
2048,3907122.83598468,"BTN"
2049,4949682.30219835,"BTN"
2050,6270433.74911483,"BTN"
2021,49852.1,"BWA"
2022,48615.649770523,"BWA"
2023,47409.8664371241,"BWA"
