,Nation,iso_code3,Year,nemomod_entc_variable_cost_st_compressed_air_usd_per_mwh
83,Afghanistan,AFG,2041,0.5125
84,Afghanistan,AFG,2042,0.5125
85,Afghanistan,AFG,2043,0.5125
86,Afghanistan,AFG,2044,0.5125
87,Afghanistan,AFG,2045,0.5125
88,Afghanistan,AFG,2046,0.5125
89,Afghanistan,AFG,2047,0.5125
90,Afghanistan,AFG,2048,0.5125
91,Afghanistan,AFG,2049,0.5125
92,Afghanistan,AFG,2050,0.5125
93,Africa Western and Central,AFW,2020,0.5125
94,Africa Western and Central,AFW,2021,0.5125
95,Africa Western and Central,AFW,2022,0.5125
96,Africa Western and Central,AFW,2023,0.5125
97,Africa Western and Central,AFW,2024,0.5125
98,Africa Western and Central,AFW,2025,0.5125
99,Africa Western and Central,AFW,2026,0.5125
100,Africa Western and Central,AFW,2027,0.5125
101,Africa Western and Central,AFW,2028,0.5125
102,Africa Western and Central,AFW,2029,0.5125
103,Africa Western and Central,AFW,2030,0.5125
104,Africa Western and Central,AFW,2031,0.5125
105,Africa Western and Central,AFW,2032,0.5125
106,Africa Western and Central,AFW,2033,0.5125
107,Africa Western and Central,AFW,2034,0.5125
108,Africa Western and Central,AFW,2035,0.5125
109,Africa Western and Central,AFW,2036,0.5125
110,Africa Western and Central,AFW,2037,0.5125
111,Africa Western and Central,AFW,2038,0.5125
112,Africa Western and Central,AFW,2039,0.5125
113,Africa Western and Central,AFW,2040,0.5125
114,Africa Western and Central,AFW,2041,0.5125
115,Africa Western and Central,AFW,2042,0.5125
116,Africa Western and Central,AFW,2043,0.5125
117,Africa Western and Central,AFW,2044,0.5125
118,Africa Western and Central,AFW,2045,0.5125
119,Africa Western and Central,AFW,2046,0.5125
120,Africa Western and Central,AFW,2047,0.5125
121,Africa Western and Central,AFW,2048,0.5125
122,Africa Western and Central,AFW,2049,0.5125
123,Africa Western and Central,AFW,2050,0.5125
124,Angola,AGO,2020,0.5125
125,Angola,AGO,2021,0.5125
126,Angola,AGO,2022,0.5125
127,Angola,AGO,2023,0.5125
128,Angola,AGO,2024,0.5125
129,Angola,AGO,2025,0.5125
130,Angola,AGO,2026,0.5125
131,Angola,AGO,2027,0.5125
132,Angola,AGO,2028,0.5125
133,Angola,AGO,2029,0.5125
134,Angola,AGO,2030,0.5125
135,Angola,AGO,2031,0.5125
136,Angola,AGO,2032,0.5125
137,Angola,AGO,2033,0.5125
138,Angola,AGO,2034,0.5125
139,Angola,AGO,2035,0.5125
140,Angola,AGO,2036,0.5125
141,Angola,AGO,2037,0.5125
142,Angola,AGO,2038,0.5125
143,Angola,AGO,2039,0.5125
144,Angola,AGO,2040,0.5125
145,Angola,AGO,2041,0.5125
146,Angola,AGO,2042,0.5125
147,Angola,AGO,2043,0.5125
148,Angola,AGO,2044,0.5125
149,Angola,AGO,2045,0.5125
150,Angola,AGO,2046,0.5125
151,Angola,AGO,2047,0.5125
152,Angola,AGO,2048,0.5125
153,Angola,AGO,2049,0.5125
154,Angola,AGO,2050,0.5125
155,Albania,ALB,2020,0.5125
156,Albania,ALB,2021,0.5125
157,Albania,ALB,2022,0.5125
158,Albania,ALB,2023,0.5125
159,Albania,ALB,2024,0.5125
160,Albania,ALB,2025,0.5125
161,Albania,ALB,2026,0.5125
162,Albania,ALB,2027,0.5125
163,Albania,ALB,2028,0.5125
164,Albania,ALB,2029,0.5125
165,Albania,ALB,2030,0.5125
166,Albania,ALB,2031,0.5125
167,Albania,ALB,2032,0.5125
168,Albania,ALB,2033,0.5125
169,Albania,ALB,2034,0.5125
170,Albania,ALB,2035,0.5125
171,Albania,ALB,2036,0.5125
172,Albania,ALB,2037,0.5125
173,Albania,ALB,2038,0.5125
174,Albania,ALB,2039,0.5125
175,Albania,ALB,2040,0.5125
176,Albania,ALB,2041,0.5125
177,Albania,ALB,2042,0.5125
178,Albania,ALB,2043,0.5125
179,Albania,ALB,2044,0.5125
180,Albania,ALB,2045,0.5125
181,Albania,ALB,2046,0.5125
182,Albania,ALB,2047,0.5125
183,Albania,ALB,2048,0.5125
184,Albania,ALB,2049,0.5125
185,Albania,ALB,2050,0.5125
186,Andorra,AND,2020,0.5125
187,Andorra,AND,2021,0.5125
188,Andorra,AND,2022,0.5125
189,Andorra,AND,2023,0.5125
190,Andorra,AND,2024,0.5125
191,Andorra,AND,2025,0.5125
192,Andorra,AND,2026,0.5125
193,Andorra,AND,2027,0.5125
194,Andorra,AND,2028,0.5125
195,Andorra,AND,2029,0.5125
196,Andorra,AND,2030,0.5125
197,Andorra,AND,2031,0.5125
198,Andorra,AND,2032,0.5125
199,Andorra,AND,2033,0.5125
200,Andorra,AND,2034,0.5125
201,Andorra,AND,2035,0.5125
202,Andorra,AND,2036,0.5125
203,Andorra,AND,2037,0.5125
204,Andorra,AND,2038,0.5125
205,Andorra,AND,2039,0.5125
206,Andorra,AND,2040,0.5125
207,Andorra,AND,2041,0.5125
208,Andorra,AND,2042,0.5125
209,Andorra,AND,2043,0.5125
210,Andorra,AND,2044,0.5125
211,Andorra,AND,2045,0.5125
212,Andorra,AND,2046,0.5125
213,Andorra,AND,2047,0.5125
214,Andorra,AND,2048,0.5125
215,Andorra,AND,2049,0.5125
216,Andorra,AND,2050,0.5125
217,Arab World,ARB,2020,0.5125
218,Arab World,ARB,2021,0.5125
219,Arab World,ARB,2022,0.5125
220,Arab World,ARB,2023,0.5125
221,Arab World,ARB,2024,0.5125
222,Arab World,ARB,2025,0.5125
223,Arab World,ARB,2026,0.5125
224,Arab World,ARB,2027,0.5125
225,Arab World,ARB,2028,0.5125
226,Arab World,ARB,2029,0.5125
227,Arab World,ARB,2030,0.5125
228,Arab World,ARB,2031,0.5125
229,Arab World,ARB,2032,0.5125
230,Arab World,ARB,2033,0.5125
231,Arab World,ARB,2034,0.5125
232,Arab World,ARB,2035,0.5125
233,Arab World,ARB,2036,0.5125
234,Arab World,ARB,2037,0.5125
235,Arab World,ARB,2038,0.5125
236,Arab World,ARB,2039,0.5125
237,Arab World,ARB,2040,0.5125
238,Arab World,ARB,2041,0.5125
239,Arab World,ARB,2042,0.5125
240,Arab World,ARB,2043,0.5125
241,Arab World,ARB,2044,0.5125
242,Arab World,ARB,2045,0.5125
243,Arab World,ARB,2046,0.5125
244,Arab World,ARB,2047,0.5125
245,Arab World,ARB,2048,0.5125
246,Arab World,ARB,2049,0.5125
247,Arab World,ARB,2050,0.5125
248,United Arab Emirates,ARE,2020,0.5125
249,United Arab Emirates,ARE,2021,0.5125
250,United Arab Emirates,ARE,2022,0.5125
251,United Arab Emirates,ARE,2023,0.5125
252,United Arab Emirates,ARE,2024,0.5125
253,United Arab Emirates,ARE,2025,0.5125
254,United Arab Emirates,ARE,2026,0.5125
255,United Arab Emirates,ARE,2027,0.5125
256,United Arab Emirates,ARE,2028,0.5125
257,United Arab Emirates,ARE,2029,0.5125
258,United Arab Emirates,ARE,2030,0.5125
259,United Arab Emirates,ARE,2031,0.5125
260,United Arab Emirates,ARE,2032,0.5125
261,United Arab Emirates,ARE,2033,0.5125
262,United Arab Emirates,ARE,2034,0.5125
263,United Arab Emirates,ARE,2035,0.5125
264,United Arab Emirates,ARE,2036,0.5125
265,United Arab Emirates,ARE,2037,0.5125
266,United Arab Emirates,ARE,2038,0.5125
267,United Arab Emirates,ARE,2039,0.5125
268,United Arab Emirates,ARE,2040,0.5125
269,United Arab Emirates,ARE,2041,0.5125
270,United Arab Emirates,ARE,2042,0.5125
271,United Arab Emirates,ARE,2043,0.5125
272,United Arab Emirates,ARE,2044,0.5125
273,United Arab Emirates,ARE,2045,0.5125
274,United Arab Emirates,ARE,2046,0.5125
275,United Arab Emirates,ARE,2047,0.5125
276,United Arab Emirates,ARE,2048,0.5125
277,United Arab Emirates,ARE,2049,0.5125
278,United Arab Emirates,ARE,2050,0.5125
279,Argentina,ARG,2020,0.5125
280,Argentina,ARG,2021,0.5125
281,Argentina,ARG,2022,0.5125
282,Argentina,ARG,2023,0.5125
283,Argentina,ARG,2024,0.5125
284,Argentina,ARG,2025,0.5125
285,Argentina,ARG,2026,0.5125
286,Argentina,ARG,2027,0.5125
287,Argentina,ARG,2028,0.5125
288,Argentina,ARG,2029,0.5125
289,Argentina,ARG,2030,0.5125
290,Argentina,ARG,2031,0.5125
291,Argentina,ARG,2032,0.5125
292,Argentina,ARG,2033,0.5125
293,Argentina,ARG,2034,0.5125
294,Argentina,ARG,2035,0.5125
295,Argentina,ARG,2036,0.5125
296,Argentina,ARG,2037,0.5125
297,Argentina,ARG,2038,0.5125
298,Argentina,ARG,2039,0.5125
299,Argentina,ARG,2040,0.5125
300,Argentina,ARG,2041,0.5125
301,Argentina,ARG,2042,0.5125
302,Argentina,ARG,2043,0.5125
303,Argentina,ARG,2044,0.5125
304,Argentina,ARG,2045,0.5125
305,Argentina,ARG,2046,0.5125
306,Argentina,ARG,2047,0.5125
307,Argentina,ARG,2048,0.5125
308,Argentina,ARG,2049,0.5125
309,Argentina,ARG,2050,0.5125
310,Armenia,ARM,2020,0.5125
311,Armenia,ARM,2021,0.5125
312,Armenia,ARM,2022,0.5125
313,Armenia,ARM,2023,0.5125
314,Armenia,ARM,2024,0.5125
315,Armenia,ARM,2025,0.5125
316,Armenia,ARM,2026,0.5125
317,Armenia,ARM,2027,0.5125
318,Armenia,ARM,2028,0.5125
319,Armenia,ARM,2029,0.5125
320,Armenia,ARM,2030,0.5125
321,Armenia,ARM,2031,0.5125
322,Armenia,ARM,2032,0.5125
323,Armenia,ARM,2033,0.5125
324,Armenia,ARM,2034,0.5125
325,Armenia,ARM,2035,0.5125
326,Armenia,ARM,2036,0.5125
327,Armenia,ARM,2037,0.5125
328,Armenia,ARM,2038,0.5125
329,Armenia,ARM,2039,0.5125
330,Armenia,ARM,2040,0.5125
331,Armenia,ARM,2041,0.5125
332,Armenia,ARM,2042,0.5125
333,Armenia,ARM,2043,0.5125
334,Armenia,ARM,2044,0.5125
335,Armenia,ARM,2045,0.5125
336,Armenia,ARM,2046,0.5125
337,Armenia,ARM,2047,0.5125
338,Armenia,ARM,2048,0.5125
339,Armenia,ARM,2049,0.5125
340,Armenia,ARM,2050,0.5125
341,American Samoa,ASM,2020,0.5125
342,American Samoa,ASM,2021,0.5125
343,American Samoa,ASM,2022,0.5125
344,American Samoa,ASM,2023,0.5125
345,American Samoa,ASM,2024,0.5125
346,American Samoa,ASM,2025,0.5125
347,American Samoa,ASM,2026,0.5125
348,American Samoa,ASM,2027,0.5125
349,American Samoa,ASM,2028,0.5125
350,American Samoa,ASM,2029,0.5125
351,American Samoa,ASM,2030,0.5125
352,American Samoa,ASM,2031,0.5125
353,American Samoa,ASM,2032,0.5125
354,American Samoa,ASM,2033,0.5125
355,American Samoa,ASM,2034,0.5125
356,American Samoa,ASM,2035,0.5125
357,American Samoa,ASM,2036,0.5125
358,American Samoa,ASM,2037,0.5125
359,American Samoa,ASM,2038,0.5125
360,American Samoa,ASM,2039,0.5125
361,American Samoa,ASM,2040,0.5125
362,American Samoa,ASM,2041,0.5125
363,American Samoa,ASM,2042,0.5125
364,American Samoa,ASM,2043,0.5125
365,American Samoa,ASM,2044,0.5125
366,American Samoa,ASM,2045,0.5125
367,American Samoa,ASM,2046,0.5125
368,American Samoa,ASM,2047,0.5125
369,American Samoa,ASM,2048,0.5125
370,American Samoa,ASM,2049,0.5125
371,American Samoa,ASM,2050,0.5125
372,Antigua and Barbuda,ATG,2020,0.5125
373,Antigua and Barbuda,ATG,2021,0.5125
374,Antigua and Barbuda,ATG,2022,0.5125
375,Antigua and Barbuda,ATG,2023,0.5125
376,Antigua and Barbuda,ATG,2024,0.5125
377,Antigua and Barbuda,ATG,2025,0.5125
378,Antigua and Barbuda,ATG,2026,0.5125
379,Antigua and Barbuda,ATG,2027,0.5125
380,Antigua and Barbuda,ATG,2028,0.5125
381,Antigua and Barbuda,ATG,2029,0.5125
382,Antigua and Barbuda,ATG,2030,0.5125
383,Antigua and Barbuda,ATG,2031,0.5125
384,Antigua and Barbuda,ATG,2032,0.5125
385,Antigua and Barbuda,ATG,2033,0.5125
386,Antigua and Barbuda,ATG,2034,0.5125
387,Antigua and Barbuda,ATG,2035,0.5125
388,Antigua and Barbuda,ATG,2036,0.5125
389,Antigua and Barbuda,ATG,2037,0.5125
390,Antigua and Barbuda,ATG,2038,0.5125
391,Antigua and Barbuda,ATG,2039,0.5125
392,Antigua and Barbuda,ATG,2040,0.5125
393,Antigua and Barbuda,ATG,2041,0.5125
394,Antigua and Barbuda,ATG,2042,0.5125
395,Antigua and Barbuda,ATG,2043,0.5125
396,Antigua and Barbuda,ATG,2044,0.5125
397,Antigua and Barbuda,ATG,2045,0.5125
398,Antigua and Barbuda,ATG,2046,0.5125
399,Antigua and Barbuda,ATG,2047,0.5125
400,Antigua and Barbuda,ATG,2048,0.5125
401,Antigua and Barbuda,ATG,2049,0.5125
402,Antigua and Barbuda,ATG,2050,0.5125
403,Australia,AUS,2020,0.5125
404,Australia,AUS,2021,0.5125
405,Australia,AUS,2022,0.5125
406,Australia,AUS,2023,0.5125
407,Australia,AUS,2024,0.5125
408,Australia,AUS,2025,0.5125
409,Australia,AUS,2026,0.5125
410,Australia,AUS,2027,0.5125
411,Australia,AUS,2028,0.5125
412,Australia,AUS,2029,0.5125
413,Australia,AUS,2030,0.5125
414,Australia,AUS,2031,0.5125
415,Australia,AUS,2032,0.5125
416,Australia,AUS,2033,0.5125
417,Australia,AUS,2034,0.5125
418,Australia,AUS,2035,0.5125
419,Australia,AUS,2036,0.5125
420,Australia,AUS,2037,0.5125
421,Australia,AUS,2038,0.5125
422,Australia,AUS,2039,0.5125
423,Australia,AUS,2040,0.5125
424,Australia,AUS,2041,0.5125
425,Australia,AUS,2042,0.5125
426,Australia,AUS,2043,0.5125
427,Australia,AUS,2044,0.5125
428,Australia,AUS,2045,0.5125
429,Australia,AUS,2046,0.5125
430,Australia,AUS,2047,0.5125
431,Australia,AUS,2048,0.5125
432,Australia,AUS,2049,0.5125
433,Australia,AUS,2050,0.5125
434,Austria,AUT,2020,0.5125
435,Austria,AUT,2021,0.5125
436,Austria,AUT,2022,0.5125
437,Austria,AUT,2023,0.5125
438,Austria,AUT,2024,0.5125
439,Austria,AUT,2025,0.5125
440,Austria,AUT,2026,0.5125
441,Austria,AUT,2027,0.5125
442,Austria,AUT,2028,0.5125
443,Austria,AUT,2029,0.5125
444,Austria,AUT,2030,0.5125
445,Austria,AUT,2031,0.5125
446,Austria,AUT,2032,0.5125
447,Austria,AUT,2033,0.5125
448,Austria,AUT,2034,0.5125
449,Austria,AUT,2035,0.5125
450,Austria,AUT,2036,0.5125
451,Austria,AUT,2037,0.5125
452,Austria,AUT,2038,0.5125
453,Austria,AUT,2039,0.5125
454,Austria,AUT,2040,0.5125
455,Austria,AUT,2041,0.5125
456,Austria,AUT,2042,0.5125
457,Austria,AUT,2043,0.5125
458,Austria,AUT,2044,0.5125
459,Austria,AUT,2045,0.5125
460,Austria,AUT,2046,0.5125
461,Austria,AUT,2047,0.5125
462,Austria,AUT,2048,0.5125
463,Austria,AUT,2049,0.5125
464,Austria,AUT,2050,0.5125
465,Azerbaijan,AZE,2020,0.5125
466,Azerbaijan,AZE,2021,0.5125
467,Azerbaijan,AZE,2022,0.5125
468,Azerbaijan,AZE,2023,0.5125
469,Azerbaijan,AZE,2024,0.5125
470,Azerbaijan,AZE,2025,0.5125
471,Azerbaijan,AZE,2026,0.5125
472,Azerbaijan,AZE,2027,0.5125
473,Azerbaijan,AZE,2028,0.5125
474,Azerbaijan,AZE,2029,0.5125
475,Azerbaijan,AZE,2030,0.5125
476,Azerbaijan,AZE,2031,0.5125
477,Azerbaijan,AZE,2032,0.5125
478,Azerbaijan,AZE,2033,0.5125
479,Azerbaijan,AZE,2034,0.5125
480,Azerbaijan,AZE,2035,0.5125
481,Azerbaijan,AZE,2036,0.5125
482,Azerbaijan,AZE,2037,0.5125
483,Azerbaijan,AZE,2038,0.5125
484,Azerbaijan,AZE,2039,0.5125
485,Azerbaijan,AZE,2040,0.5125
486,Azerbaijan,AZE,2041,0.5125
487,Azerbaijan,AZE,2042,0.5125
488,Azerbaijan,AZE,2043,0.5125
489,Azerbaijan,AZE,2044,0.5125
490,Azerbaijan,AZE,2045,0.5125
491,Azerbaijan,AZE,2046,0.5125
492,Azerbaijan,AZE,2047,0.5125
493,Azerbaijan,AZE,2048,0.5125
494,Azerbaijan,AZE,2049,0.5125
495,Azerbaijan,AZE,2050,0.5125
496,Burundi,BDI,2020,0.5125
497,Burundi,BDI,2021,0.5125
498,Burundi,BDI,2022,0.5125
499,Burundi,BDI,2023,0.5125
500,Burundi,BDI,2024,0.5125
501,Burundi,BDI,2025,0.5125
502,Burundi,BDI,2026,0.5125
503,Burundi,BDI,2027,0.5125
504,Burundi,BDI,2028,0.5125
505,Burundi,BDI,2029,0.5125
506,Burundi,BDI,2030,0.5125
507,Burundi,BDI,2031,0.5125
508,Burundi,BDI,2032,0.5125
509,Burundi,BDI,2033,0.5125
510,Burundi,BDI,2034,0.5125
511,Burundi,BDI,2035,0.5125
512,Burundi,BDI,2036,0.5125
513,Burundi,BDI,2037,0.5125
514,Burundi,BDI,2038,0.5125
515,Burundi,BDI,2039,0.5125
516,Burundi,BDI,2040,0.5125
517,Burundi,BDI,2041,0.5125
518,Burundi,BDI,2042,0.5125
519,Burundi,BDI,2043,0.5125
520,Burundi,BDI,2044,0.5125
521,Burundi,BDI,2045,0.5125
522,Burundi,BDI,2046,0.5125
523,Burundi,BDI,2047,0.5125
524,Burundi,BDI,2048,0.5125
525,Burundi,BDI,2049,0.5125
526,Burundi,BDI,2050,0.5125
527,Belgium,BEL,2020,0.5125
528,Belgium,BEL,2021,0.5125
529,Belgium,BEL,2022,0.5125
530,Belgium,BEL,2023,0.5125
531,Belgium,BEL,2024,0.5125
532,Belgium,BEL,2025,0.5125
533,Belgium,BEL,2026,0.5125
534,Belgium,BEL,2027,0.5125
535,Belgium,BEL,2028,0.5125
536,Belgium,BEL,2029,0.5125
537,Belgium,BEL,2030,0.5125
538,Belgium,BEL,2031,0.5125
539,Belgium,BEL,2032,0.5125
540,Belgium,BEL,2033,0.5125
541,Belgium,BEL,2034,0.5125
542,Belgium,BEL,2035,0.5125
543,Belgium,BEL,2036,0.5125
544,Belgium,BEL,2037,0.5125
545,Belgium,BEL,2038,0.5125
546,Belgium,BEL,2039,0.5125
547,Belgium,BEL,2040,0.5125
548,Belgium,BEL,2041,0.5125
549,Belgium,BEL,2042,0.5125
550,Belgium,BEL,2043,0.5125
551,Belgium,BEL,2044,0.5125
552,Belgium,BEL,2045,0.5125
553,Belgium,BEL,2046,0.5125
554,Belgium,BEL,2047,0.5125
555,Belgium,BEL,2048,0.5125
556,Belgium,BEL,2049,0.5125
557,Belgium,BEL,2050,0.5125
558,Benin,BEN,2020,0.5125
559,Benin,BEN,2021,0.5125
560,Benin,BEN,2022,0.5125
561,Benin,BEN,2023,0.5125
562,Benin,BEN,2024,0.5125
563,Benin,BEN,2025,0.5125
564,Benin,BEN,2026,0.5125
565,Benin,BEN,2027,0.5125
566,Benin,BEN,2028,0.5125
567,Benin,BEN,2029,0.5125
568,Benin,BEN,2030,0.5125
569,Benin,BEN,2031,0.5125
570,Benin,BEN,2032,0.5125
571,Benin,BEN,2033,0.5125
572,Benin,BEN,2034,0.5125
573,Benin,BEN,2035,0.5125
574,Benin,BEN,2036,0.5125
575,Benin,BEN,2037,0.5125
576,Benin,BEN,2038,0.5125
577,Benin,BEN,2039,0.5125
578,Benin,BEN,2040,0.5125
579,Benin,BEN,2041,0.5125
580,Benin,BEN,2042,0.5125
581,Benin,BEN,2043,0.5125
582,Benin,BEN,2044,0.5125
583,Benin,BEN,2045,0.5125
584,Benin,BEN,2046,0.5125
585,Benin,BEN,2047,0.5125
586,Benin,BEN,2048,0.5125
587,Benin,BEN,2049,0.5125
588,Benin,BEN,2050,0.5125
589,Burkina Faso,BFA,2020,0.5125
590,Burkina Faso,BFA,2021,0.5125
591,Burkina Faso,BFA,2022,0.5125
592,Burkina Faso,BFA,2023,0.5125
593,Burkina Faso,BFA,2024,0.5125
594,Burkina Faso,BFA,2025,0.5125
595,Burkina Faso,BFA,2026,0.5125
596,Burkina Faso,BFA,2027,0.5125
597,Burkina Faso,BFA,2028,0.5125
598,Burkina Faso,BFA,2029,0.5125
599,Burkina Faso,BFA,2030,0.5125
600,Burkina Faso,BFA,2031,0.5125
601,Burkina Faso,BFA,2032,0.5125
602,Burkina Faso,BFA,2033,0.5125
603,Burkina Faso,BFA,2034,0.5125
604,Burkina Faso,BFA,2035,0.5125
605,Burkina Faso,BFA,2036,0.5125
606,Burkina Faso,BFA,2037,0.5125
607,Burkina Faso,BFA,2038,0.5125
608,Burkina Faso,BFA,2039,0.5125
609,Burkina Faso,BFA,2040,0.5125
610,Burkina Faso,BFA,2041,0.5125
611,Burkina Faso,BFA,2042,0.5125
612,Burkina Faso,BFA,2043,0.5125
613,Burkina Faso,BFA,2044,0.5125
614,Burkina Faso,BFA,2045,0.5125
615,Burkina Faso,BFA,2046,0.5125
616,Burkina Faso,BFA,2047,0.5125
617,Burkina Faso,BFA,2048,0.5125
618,Burkina Faso,BFA,2049,0.5125
619,Burkina Faso,BFA,2050,0.5125
620,Bangladesh,BGD,2020,0.5125
621,Bangladesh,BGD,2021,0.5125
622,Bangladesh,BGD,2022,0.5125
623,Bangladesh,BGD,2023,0.5125
624,Bangladesh,BGD,2024,0.5125
625,Bangladesh,BGD,2025,0.5125
626,Bangladesh,BGD,2026,0.5125
627,Bangladesh,BGD,2027,0.5125
628,Bangladesh,BGD,2028,0.5125
629,Bangladesh,BGD,2029,0.5125
630,Bangladesh,BGD,2030,0.5125
631,Bangladesh,BGD,2031,0.5125
632,Bangladesh,BGD,2032,0.5125
633,Bangladesh,BGD,2033,0.5125
634,Bangladesh,BGD,2034,0.5125
635,Bangladesh,BGD,2035,0.5125
636,Bangladesh,BGD,2036,0.5125
637,Bangladesh,BGD,2037,0.5125
638,Bangladesh,BGD,2038,0.5125
639,Bangladesh,BGD,2039,0.5125
640,Bangladesh,BGD,2040,0.5125
641,Bangladesh,BGD,2041,0.5125
642,Bangladesh,BGD,2042,0.5125
643,Bangladesh,BGD,2043,0.5125
644,Bangladesh,BGD,2044,0.5125
645,Bangladesh,BGD,2045,0.5125
646,Bangladesh,BGD,2046,0.5125
647,Bangladesh,BGD,2047,0.5125
648,Bangladesh,BGD,2048,0.5125
649,Bangladesh,BGD,2049,0.5125
650,Bangladesh,BGD,2050,0.5125
651,Bulgaria,BGR,2020,0.5125
652,Bulgaria,BGR,2021,0.5125
653,Bulgaria,BGR,2022,0.5125
654,Bulgaria,BGR,2023,0.5125
655,Bulgaria,BGR,2024,0.5125
656,Bulgaria,BGR,2025,0.5125
657,Bulgaria,BGR,2026,0.5125
658,Bulgaria,BGR,2027,0.5125
659,Bulgaria,BGR,2028,0.5125
660,Bulgaria,BGR,2029,0.5125
661,Bulgaria,BGR,2030,0.5125
662,Bulgaria,BGR,2031,0.5125
663,Bulgaria,BGR,2032,0.5125
664,Bulgaria,BGR,2033,0.5125
665,Bulgaria,BGR,2034,0.5125
666,Bulgaria,BGR,2035,0.5125
667,Bulgaria,BGR,2036,0.5125
668,Bulgaria,BGR,2037,0.5125
669,Bulgaria,BGR,2038,0.5125
670,Bulgaria,BGR,2039,0.5125
671,Bulgaria,BGR,2040,0.5125
672,Bulgaria,BGR,2041,0.5125
673,Bulgaria,BGR,2042,0.5125
674,Bulgaria,BGR,2043,0.5125
675,Bulgaria,BGR,2044,0.5125
676,Bulgaria,BGR,2045,0.5125
677,Bulgaria,BGR,2046,0.5125
678,Bulgaria,BGR,2047,0.5125
679,Bulgaria,BGR,2048,0.5125
680,Bulgaria,BGR,2049,0.5125
681,Bulgaria,BGR,2050,0.5125
682,Bahrain,BHR,2020,0.5125
683,Bahrain,BHR,2021,0.5125
684,Bahrain,BHR,2022,0.5125
685,Bahrain,BHR,2023,0.5125
