TIMESERIES,UNIT,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Armenia.Natural gas (MWh).Electricity Generation,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.18,24.22,25.32,16.86,16.75,14.90,..
Armenia.Natural gas (MWh).Electricity Generation,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.14,50.28,52.67,35.38,40.40,36.40,..
Armenia.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9030.51,9685.24,10410.31,11042.49,12427.35,12136.51,..
Armenia.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.24,24.11,25.41,26.55,26.00,25.26,..
Armenia.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.27,50.05,52.88,55.70,62.73,61.72,..
Armenia.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12510.49,12535.87,13586.60,14806.66,14558.70,14141.31,..
Armenia.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.59,31.20,33.17,35.60,30.46,29.43,..
Armenia.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.86,64.78,69.01,74.68,73.48,71.92,..
Azerbaijan.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.22,9.22,9.22,9.22,..
Azerbaijan.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.82,11.82,9.04,5.76,..
Azerbaijan.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.60,26.33,28.80,25.60,..
Bahrain.Kerosene (1000 litres).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,120.00,140.00
Bahrain.Kerosene (1000 litres).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,157.90,157.90,157.90,157.90,157.90,157.90,157.90,157.90,157.90,157.90,157.90,157.90,157.90,157.90,157.90,157.90,315.79,368.42
Bahrain.Kerosene (1000 litres).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,428.57,428.57,428.57,400.00,375.00,333.33,315.79,300.00,285.71,333.33,300.00,285.71,285.71,285.71,300.00,333.33,..,..
Bahrain.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Bahrain.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Bahrain.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.41,0.41,0.41,0.39,0.36,0.32,0.30,0.29,0.28,0.32,0.29,0.28,0.28,0.28,0.29,0.32,..,..
Bahrain.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.22,1.39,1.53,1.65,1.78,1.91,2.68,2.92,2.92,3.16,3.50,3.81
Bahrain.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.20,3.67,4.02,4.35,4.69,5.03,7.06,7.68,7.68,8.32,9.20,10.03
Bahrain.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.41,6.97,7.28,9.19,8.91,9.11,12.78,13.89,14.59,17.57,..,..
Bangladesh.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31765.70,31765.70,31765.70,43575.50,63531.30,63531.30,63531.30,63531.30,49210.70,..
Bangladesh.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,463.06,460.11,456.08,587.67,776.10,813.46,818.28,815.03,625.69,..
Bangladesh.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1626.51,1535.32,1450.49,1882.31,2584.68,2450.11,2355.63,2253.68,1656.37,..
Bangladesh.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33000.00,33000.00,43297.81,44000.00,44000.00,47438.36,61000.00,68000.00,68000.00,68000.00,65934.43,..
Bangladesh.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,478.75,479.16,631.16,637.31,631.73,639.76,745.17,870.68,875.84,872.35,838.33,..
Bangladesh.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1853.93,1787.65,2216.99,2126.63,2009.13,2049.17,2481.69,2622.45,2521.32,2412.20,2219.27,..
Belarus.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.63,0.63,0.66
Belarus.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.39,0.31,0.34
Belarus.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.20,1.14,..
Belarus.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.52,2.24,4.26,4.17,4.53,8.95,10.71,13.19,13.64
Belarus.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.00,7.48,8.53,5.02,5.09,8.77,6.74,6.63,7.07
Belarus.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.19,20.39,22.44,12.62,11.61,19.88,20.60,23.98,..
Bosnia and Herzegovina.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117.35,129.90,125.80,121.70,121.70,92.20,78.50
Bosnia and Herzegovina.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.23,85.46,85.58,82.79,69.15,52.09,45.12
Bosnia and Herzegovina.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,162.99,182.96,182.32,176.38,173.86,131.71,..
Bosnia and Herzegovina.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.80,96.85,108.70,104.55,100.40,100.40,71.10,60.10
Bosnia and Herzegovina.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.59,68.69,71.51,71.12,68.30,57.05,40.17,34.54
Bosnia and Herzegovina.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,110.69,134.51,153.10,151.52,145.51,143.43,101.57,..
