"year","location_code","prodinit_ippu_mining_tonne"
2014,"AUT",25403008.8361185
2015,"AUT",22282735.1219469
2016,"AUT",20332254.9293436
2017,"AUT",27294813.8236836
2018,"AUT",16071744.0817581
2019,"AUT",13735709.7091553
2020,"AUT",12849397.998826
2010,"AZE",267563.253597008
2011,"AZE",728166.819341695
2012,"AZE",1388741.41276451
2013,"AZE",760704.055356924
2014,"AZE",566480.863842256
2015,"AZE",363772.243949507
2016,"AZE",459314.197480797
2017,"AZE",449507.510706686
2018,"AZE",551735.724298943
2019,"AZE",443317.047558352
2020,"AZE",767223.072235968
2010,"BDI",314998.949997664
2011,"BDI",1508544.84876408
2012,"BDI",2363782.84424921
2013,"BDI",1049568.89499143
2014,"BDI",448664.824740297
2015,"BDI",786473.697524397
2016,"BDI",602654.63247532
2017,"BDI",1983629.2985887
2018,"BDI",3828264.180894
2019,"BDI",2020046.43019955
2020,"BDI",1234146.05145939
2010,"BEL",53577585.6555149
2011,"BEL",53919906.3588604
2012,"BEL",57293096.4212077
2013,"BEL",53313743.7369735
2014,"BEL",56738460.1830786
2015,"BEL",42303664.8323764
2016,"BEL",39105626.4151044
2017,"BEL",41935067.7414773
2018,"BEL",47202663.185491
2019,"BEL",41562035.518977
2020,"BEL",41945357.6489899
2010,"BEN",728.402364416978
2011,"BEN",224629.625607482
2012,"BEN",476.042977435557
2013,"BEN",3107.90911673324
2014,"BEN",24931.4713740728
2015,"BEN",7801.62416972973
2016,"BEN",5807.28841394102
2017,"BEN",11625.4162606644
2018,"BEN",4974.72350701272
2019,"BEN",33337.501115894
2020,"BEN",40086.9971070205
2010,"BFA",279271.176191728
2011,"BFA",441192.0546651
2012,"BFA",45147.2266403122
2013,"BFA",210621.03778684
2014,"BFA",2224876.80819901
2015,"BFA",2170389.03068965
2016,"BFA",3834129.03507874
2017,"BFA",4317407.95800443
2018,"BFA",6221870.32596528
2019,"BFA",5789316.34953627
2020,"BFA",2553422.10027574
2010,"BGD",1901559.84963981
2011,"BGD",2598593.02498753
2012,"BGD",1558779.98878767
2013,"BGD",2006350.38662653
2014,"BGD",1860268.34507828
2015,"BGD",2387137.48451192
2016,"BGD",2973152.28826591
2017,"BGD",2383248.83397703
2018,"BGD",3512801.26002883
2019,"BGD",3793428.05803933
2020,"BGD",5714964.77548217
2010,"BGR",29545605.8264602
2011,"BGR",37252887.9899491
2012,"BGR",41003405.4311446
2013,"BGR",43937038.2972322
2014,"BGR",45001581.3561566
2015,"BGR",46567369.8499196
2016,"BGR",36165458.4156415
2017,"BGR",48468816.5927366
2018,"BGR",54991361.5424889
2019,"BGR",40269185.2320745
2020,"BGR",39387681.1465884
2010,"BHR",18397985.6837645
2011,"BHR",19670327.8463851
2012,"BHR",11359477.9626782
2013,"BHR",6267543.66956612
2014,"BHR",12622534.9773587
2015,"BHR",8662567.36027174
2016,"BHR",8924309.86420259
2017,"BHR",13113336.1113312
2018,"BHR",16690590.9883642
2019,"BHR",25510897.7118973
2020,"BHR",13891613.2758655
2010,"BHS",4690.46933185069
2011,"BHS",1248.32072692031
2012,"BHS",8203.27256751214
2013,"BHS",69529.4058842297
2014,"BHS",259612.320296435
2015,"BHS",40590.3988479811
2016,"BHS",11128.1846401664
2017,"BHS",1991.19979125444
2018,"BHS",568824.982708467
2019,"BHS",23980.7893047601
2020,"BHS",467657.483492866
2010,"BIH",1269941.8917838
2011,"BIH",1427572.37952644
2012,"BIH",1636038.69192206
2013,"BIH",1119068.06314397
2014,"BIH",1259224.2641536
2015,"BIH",983508.561025289
2016,"BIH",1028420.46238503
2017,"BIH",1115305.05256968
2018,"BIH",1094709.67469607
2019,"BIH",1091534.95941011
2020,"BIH",835447.657949456
2010,"BLR",186536.750683886
2011,"BLR",131587.514993585
2012,"BLR",281020.242149081
2013,"BLR",263228.673470415
2014,"BLR",278064.971480818
2015,"BLR",224392.58253321
2016,"BLR",374218.084586667
2017,"BLR",975727.238355623
2018,"BLR",811398.588453037
2019,"BLR",516137.218620451
2020,"BLR",590013.290345717
2010,"BLZ",18424.5618192125
2011,"BLZ",463.093895588838
2012,"BLZ",101.522592504442
2013,"BLZ",131.793092094798
2014,"BLZ",15.3241342097913
2015,"BLZ",1324.4162215156
2016,"BLZ",3797.01757921041
2017,"BLZ",25007.6628132279
2018,"BLZ",10558.200626056
2019,"BLZ",221633.622067794
2020,"BLZ",0
2010,"BMU",1060.21185779547
2011,"BMU",0
2012,"BMU",0
2013,"BMU",64.2580420528812
2014,"BMU",537.021575832511
2015,"BMU",0
2016,"BMU",0
2017,"BMU",408.634153002717
2018,"BMU",85.429485743054
2019,"BMU",48.109514807994
2020,"BMU",1695.61923986569
2010,"BOL",25157947.4000641
2011,"BOL",27334946.4121752
2012,"BOL",25119504.1654892
2013,"BOL",26524771.4088479
2014,"BOL",28366036.8196171
2015,"BOL",48232563.3840704
2016,"BOL",61496791.7470842
2017,"BOL",60426881.6621432
2018,"BOL",69193380.0381501
2019,"BOL",49888177.0643011
2020,"BOL",33303605.8538307
2010,"BRA",2739941826.74712
2011,"BRA",2980957024.6061
2012,"BRA",2642754567.82151
2013,"BRA",2655004780.67139
2014,"BRA",2561982075.65317
2015,"BRA",1825996363.67412
2016,"BRA",1706015637.3542
2017,"BRA",1998345242.54784
2018,"BRA",1799413631.46762
2019,"BRA",1819486908.31485
2020,"BRA",1363159072.94259
2010,"BRB",91378.3772154662
2011,"BRB",220126.626459763
2012,"BRB",199081.418955116
2013,"BRB",6808.5697481658
2014,"BRB",5933.61132869841
2015,"BRB",12211.6053682025
2016,"BRB",3970.84461818342
2017,"BRB",13913.5662650274
2018,"BRB",4732.32310047653
2019,"BRB",14934.4510333914
2020,"BRB",11732.9049775348
2010,"BRN",12361.0446773206
2011,"BRN",14540.2420619161
2012,"BRN",22488.6452659158
2013,"BRN",13006.6376753808
2014,"BRN",13019.4871108932
2015,"BRN",40334.6745690452
2016,"BRN",62076.466496336
2017,"BRN",89577.5311748576
2018,"BRN",82684.4774700387
2019,"BRN",18956.1097933029
2020,"BRN",6642.04372684457
2010,"BTN",62080.9518589335
2011,"BTN",47371.6102074057
2012,"BTN",22674.758633291
2013,"BTN",1573.93862840653
2014,"BTN",8100.92767922676
2015,"BTN",3574.90613338747
2016,"BTN",2517.69001011686
2017,"BTN",53152.7047872082
2018,"BTN",57545.8143727996
2019,"BTN",59827.0989621509
2020,"BTN",26388.8912853317
2010,"BWA",2169047.95982418
2011,"BWA",812718.294523491
2012,"BWA",2289961.65762043
2013,"BWA",2427039.12029159
2014,"BWA",2589334.03066673
2015,"BWA",5095759.36675167
2016,"BWA",2106894.78896174
2017,"BWA",95017.34359925
2018,"BWA",159687.690885265
2019,"BWA",43934.3072153112
2020,"BWA",511300.373667649
2010,"CAF",4869.19844803627
2011,"CAF",17.5227591999874
2012,"CAF",0
2013,"CAF",5065.96344184756
2014,"CAF",2187.92475977526
2015,"CAF",177439.51685412
2016,"CAF",0
2017,"CAF",7055.96397570787
2018,"CAF",0
2019,"CAF",0
2020,"CAF",0
2010,"CAN",280309640.121062
2011,"CAN",325013349.900645
2012,"CAN",371261470.494764
2013,"CAN",326772423.396888
2014,"CAN",351122682.566775
2015,"CAN",373572482.403019
2016,"CAN",328213945.072649
2017,"CAN",318421810.500435
2018,"CAN",345572504.184862
2019,"CAN",329137038.485242
2020,"CAN",332622714.139271
2010,"CHE",8918580.18436892
2011,"CHE",6242303.6004617
2012,"CHE",3121578.64301506
2013,"CHE",5384096.55078409
2014,"CHE",6663017.92202234
2015,"CHE",11177452.2166861
2016,"CHE",5815574.9348925
2017,"CHE",8361936.2750291
2018,"CHE",10900951.6087018
2019,"CHE",10545963.6844757
2020,"CHE",13500602.6341114
2010,"CHL",411111566.732477
2011,"CHL",362825120.326727
2012,"CHL",465256993.10875
2013,"CHL",501559741.892332
2014,"CHL",517583437.71558
2015,"CHL",621248130.19436
2016,"CHL",575182598.069436
2017,"CHL",609647619.844452
2018,"CHL",704499258.798245
2019,"CHL",640165890.012265
2020,"CHL",552081782.950837
2010,"CHN",3447541891.57193
2011,"CHN",3820495168.52624
2012,"CHN",4136529254.14738
2013,"CHN",4511654343.64228
2014,"CHN",4548432756.12004
2015,"CHN",4913353918.44998
2016,"CHN",5179960700.5942
2017,"CHN",5384765423.08107
2018,"CHN",5780733325.68772
2019,"CHN",6566781093.59933
2020,"CHN",6931909184.05936
2010,"CIV",778449.929839489
2011,"CIV",354172.0724215
2012,"CIV",578110.631044128
2013,"CIV",1058267.22279815
2014,"CIV",2480946.38225388
2015,"CIV",2746570.04915838
2016,"CIV",716400.837430494
2017,"CIV",3583069.97027849
2018,"CIV",9688323.26084893
2019,"CIV",10116766.3304412
2020,"CIV",12499295.0902642
2010,"CMR",31421.714524643
2011,"CMR",97847.1967449857
2012,"CMR",123148.116934532
2013,"CMR",142089.552928289
2014,"CMR",66020.7006731316
2015,"CMR",13957.997761168
2016,"CMR",21373.9811136533
2017,"CMR",87691.0899175006
2018,"CMR",26081.2856667954
2019,"CMR",27721.1954831071
2020,"CMR",125572.197894936
2010,"COD",30845706.1825622
2011,"COD",32775681.3531483
2012,"COD",33213525.3782001
2013,"COD",38789151.4164693
2014,"COD",41724838.180025
2015,"COD",37342976.5529383
2016,"COD",41465256.7499908
2017,"COD",33506322.981774
2018,"COD",47871963.5674439
2019,"COD",22678552.5351283
2020,"COD",19521541.5086008
2010,"COG",2009664.60212197
2011,"COG",794264.548854273
2012,"COG",810487.501624024
2013,"COG",651573.513591525
2014,"COG",613522.306200463
2015,"COG",2303809.95753543
2016,"COG",1221893.24655603
2017,"COG",1624543.21226008
2018,"COG",2120604.45181954
2019,"COG",869032.106455209
2020,"COG",1580027.48741338
2010,"COL",3006209.88527818
2011,"COL",2247698.93886936
2012,"COL",2442479.0935089
2013,"COL",1405249.6601874
2014,"COL",2542135.06740688
2015,"COL",3745338.76936162
2016,"COL",2913442.03236817
2017,"COL",4152546.97968396
2018,"COL",4473863.92234947
2019,"COL",4224351.11995317
2020,"COL",6262779.60327476
2010,"COM",0
2011,"COM",0
2012,"COM",565.681585529813
2013,"COM",41.0655075189357
2014,"COM",183.492545257408
2015,"COM",0
2016,"COM",0
2017,"COM",242.341630927428
2018,"COM",0
2019,"COM",1053.41833424189
2020,"COM",8757.4537841615
2010,"CPV",187.423504433604
2011,"CPV",111.582357226643
2012,"CPV",48.1493726881752
2013,"CPV",132.277844131802
2014,"CPV",0
2015,"CPV",323.433680089789
2016,"CPV",0
2017,"CPV",0
2018,"CPV",22.7430337851049
2019,"CPV",57.7134905037163
2020,"CPV",34.175157587057
2010,"CRI",358940.580342716
2011,"CRI",132596.566935874
2012,"CRI",27812.2659108243
2013,"CRI",21136.0599535456
2014,"CRI",19407.2584517972
2015,"CRI",36630.385957661
2016,"CRI",19644.0733181737
2017,"CRI",72266.6990286061
2018,"CRI",75731.8466605122
2019,"CRI",86736.580804009
2020,"CRI",77407.4703003959
2010,"CUB",2015310.36920642
2011,"CUB",1121113.20488265
2012,"CUB",680985.917467309
2013,"CUB",475045.391054488
2014,"CUB",331368.513226581
2015,"CUB",199971.349400217
2016,"CUB",256596.630779161
2017,"CUB",171823.993870608
2018,"CUB",5993582.32447173
2019,"CUB",8996547.20618926
2020,"CUB",9231785.31873656
2010,"CUW",37793.0235153457
2011,"CUW",36876.3224748066
2012,"CUW",128490.980599174
2013,"CUW",7955.32267408745
2014,"CUW",4389.09553150942
2015,"CUW",34094.7256357468
2016,"CUW",21194.6978636057
2017,"CUW",31550.0198284904
2018,"CUW",37793.0235153457
2019,"CUW",37793.0235153457
2020,"CUW",37793.0235153457
2010,"CYM",11185.788834978
2011,"CYM",11185.788834978
2012,"CYM",11185.788834978
2013,"CYM",11185.788834978
2014,"CYM",11185.788834978
2015,"CYM",11185.788834978
2016,"CYM",11185.788834978
2017,"CYM",43596.8396612064
2018,"CYM",425.97391213988
2019,"CYM",277.742039738817
2020,"CYM",442.59972682701
2010,"CYP",74560.6411544928
2011,"CYP",70773.3854098138
2012,"CYP",276705.237878659
2013,"CYP",42850.5977066773
2014,"CYP",51140.6930227393
2015,"CYP",146692.748787007
2016,"CYP",43069.2400481962
2017,"CYP",124208.081057998
2018,"CYP",32722.035340611
2019,"CYP",237492.563886565
2020,"CYP",1031923.59844019
2010,"CZE",8441546.1667514
2011,"CZE",8534254.51227387
2012,"CZE",7044401.40480979
2013,"CZE",7821370.74036046
2014,"CZE",7308539.51391808
2015,"CZE",6022022.97368877
2016,"CZE",4896939.26641657
2017,"CZE",7393822.78225906
2018,"CZE",8026457.96659711
2019,"CZE",8896285.49590156
2020,"CZE",7543317.49104768
2010,"DEU",226336219.057753
2011,"DEU",194612072.840539
2012,"DEU",202033318.717255
2013,"DEU",177871915.673194
2014,"DEU",191726066.766989
2015,"DEU",195214899.635163
2016,"DEU",169423947.509684
2017,"DEU",207616870.132197
2018,"DEU",216619078.811358
2019,"DEU",213870750.825336
2020,"DEU",234579590.472925
2010,"DJI",2227.51193803012
2011,"DJI",2227.51193803012
2012,"DJI",2227.51193803012
2013,"DJI",2972.65762643764
2014,"DJI",815.72891922822
2015,"DJI",3103.9437084602
2016,"DJI",5062.51524823506
2017,"DJI",1748.53682941453
2018,"DJI",2123.67616727428
2019,"DJI",1095.18146427718
2020,"DJI",897.8555409138
2010,"DMA",68.2021603362969
2011,"DMA",0
2012,"DMA",106047.50979617
2013,"DMA",347.99770126999
2014,"DMA",0
2015,"DMA",94300.3748107156
2016,"DMA",24.4493918636705
2017,"DMA",61.3139021743025
2018,"DMA",1063.89742757749
2019,"DMA",22434.8605766786
2020,"DMA",22434.8605766786
2010,"DNK",965763.817771735
2011,"DNK",615601.221418732
2012,"DNK",605074.9457444
2013,"DNK",579429.94461682
2014,"DNK",510422.922161316
2015,"DNK",607079.639908431
2016,"DNK",549380.149122166
2017,"DNK",579104.498517227
2018,"DNK",523297.836674986
2019,"DNK",329219.666165386
2020,"DNK",351406.882866266
2010,"DOM",2267134.81275693
2011,"DOM",2360187.60129264
2012,"DOM",4852323.81135099
2013,"DOM",3842991.23258677
2014,"DOM",5112319.92984636
2015,"DOM",5693573.41029101
2016,"DOM",2978110.69989548
2017,"DOM",2086345.8801511
2018,"DOM",3230715.29922382
2019,"DOM",3785583.16375786
2020,"DOM",774225.61666885
2010,"DZA",1812130.79374135
2011,"DZA",1457007.7209784
2012,"DZA",1145022.89959359
2013,"DZA",586271.745776461
2014,"DZA",649113.546125585
2015,"DZA",655988.124566423
2016,"DZA",544704.550021233
2017,"DZA",360129.847799712
2018,"DZA",1889463.81127809
2019,"DZA",8123179.1071695
2020,"DZA",9387289.54279422
2010,"ECU",255192.665103133
2011,"ECU",309221.98886081
2012,"ECU",1302381.97838302
2013,"ECU",1578573.72487562
2014,"ECU",2402316.81670588
2015,"ECU",4708715.9214356
2016,"ECU",7605016.7774429
2017,"ECU",7839847.19961672
2018,"ECU",9550014.50459761
2019,"ECU",11033340.8513304
2020,"ECU",21012315.1670021
2010,"EGY",21119981.2384999
2011,"EGY",27460973.8154489
2012,"EGY",24759786.4077438
2013,"EGY",24743858.2895943
2014,"EGY",25704194.2270673
2015,"EGY",15932827.6434753
2016,"EGY",22849527.2484813
2017,"EGY",22527035.7932304
2018,"EGY",31035345.8020564
2019,"EGY",26874334.0906198
2020,"EGY",26531442.1221494
2010,"ERI",572.190162503073
2011,"ERI",7061.70839285516
2012,"ERI",3816.94927767912
2013,"ERI",3816.94927767912
2014,"ERI",3816.94927767912
2015,"ERI",3816.94927767912
2016,"ERI",3816.94927767912
2017,"ERI",3816.94927767912
2018,"ERI",3816.94927767912
2019,"ERI",3816.94927767912
2020,"ERI",3816.94927767912
2010,"ESP",169695073.529943
2011,"ESP",181599178.61838
2012,"ESP",166536120.869515
2013,"ESP",173820133.559731
2014,"ESP",193946679.204214
2015,"ESP",193313573.631977
2016,"ESP",173542526.764647
2017,"ESP",201796059.418026
2018,"ESP",239981119.895193
2019,"ESP",155906950.101833
2020,"ESP",116306902.192273
2010,"EST",93211.7565730171
2011,"EST",220403.732775171
2012,"EST",231409.441843593
2013,"EST",121145.155194268
2014,"EST",71676.1172256883
2015,"EST",505560.179657192
2016,"EST",341467.399018722
2017,"EST",699755.711140606
2018,"EST",914362.452210521
2019,"EST",511312.794093814
2020,"EST",555222.140809631
2010,"ETH",1091776.2917734
2011,"ETH",1445249.45247788
2012,"ETH",1104096.50631817
2013,"ETH",214628.225937028
2014,"ETH",1031302.34746653
2015,"ETH",723045.064973302
2016,"ETH",1288882.91712849
2017,"ETH",1302416.01856763
2018,"ETH",1865594.52932487
2019,"ETH",1234925.80171797
2020,"ETH",707622.053822167
2010,"FIN",52129821.1649821
2011,"FIN",54820471.8190772
2012,"FIN",55467790.6152448
2013,"FIN",48622865.9857913
2014,"FIN",58361574.9468723
2015,"FIN",54763262.4324983
2016,"FIN",48646452.8511291
2017,"FIN",59012711.6060552
2018,"FIN",65199034.8211642
2019,"FIN",53900546.808066
2020,"FIN",52058480.229826
2010,"FJI",12688.8128236908
2011,"FJI",2073.80240147968
2012,"FJI",132731.378037206
2013,"FJI",262575.527589931
2014,"FJI",161635.342886096
2015,"FJI",99180.6128027944
2016,"FJI",29385.5366493309
2017,"FJI",82993.554934721
2018,"FJI",33456.5476010129
2019,"FJI",115151.91075714
2020,"FJI",73725.3386979428
2010,"FRA",72953605.0559578
2011,"FRA",70685562.6684365
2012,"FRA",74210769.4505462
2013,"FRA",72529108.3046781
2014,"FRA",75192454.3943545
2015,"FRA",66989160.0296506
2016,"FRA",60133838.4188878
2017,"FRA",67645573.5849335
2018,"FRA",76414949.0587684
2019,"FRA",64336761.7010632
2020,"FRA",49955133.8599537
2010,"FRO",68.602909126488
2011,"FRO",406.019605609542
2012,"FRO",1901.27761943835
2013,"FRO",391.758778028073
2014,"FRO",955.784890884131
2015,"FRO",147.205300726366
2016,"FRO",0
2017,"FRO",68.1112159001828
2018,"FRO",106.700179880186
2019,"FRO",2965.35282908658
2020,"FRO",0
2010,"FSM",2856.93138216988
2011,"FSM",3042.70527989797
2012,"FSM",1450.58206854663
2013,"FSM",473.695290994825
2014,"FSM",150.923910141457
2015,"FSM",0
2016,"FSM",0
2017,"FSM",0
2018,"FSM",0
2019,"FSM",0
2020,"FSM",98.3937428410243
2010,"GAB",10836050.91645
2011,"GAB",7992754.58644699
2012,"GAB",7325606.8534897
2013,"GAB",9899714.7268193
2014,"GAB",11824002.3055951
2015,"GAB",14195391.8628519
2016,"GAB",10795919.513543
2017,"GAB",18353136.4739616
2018,"GAB",20638830.631618
2019,"GAB",14996396.4000267
2020,"GAB",15391146.8139063
2010,"GBR",80678424.5077263
2011,"GBR",79426116.7366293
2012,"GBR",72247156.5079237
2013,"GBR",76375613.632132
2014,"GBR",83133797.88365
2015,"GBR",78095009.4782408
2016,"GBR",59444045.3939391
2017,"GBR",77865630.0132214
2018,"GBR",75950409.0251988
2019,"GBR",64233503.5140214
2020,"GBR",62193912.2124581
2010,"GEO",7019404.91417037
2011,"GEO",6224225.22847934
2012,"GEO",5364484.68799779
2013,"GEO",5995105.28755585
2014,"GEO",7132166.30014415
2015,"GEO",10126414.925128
2016,"GEO",10458548.9226532
2017,"GEO",12887116.7305903
2018,"GEO",14085169.4704308
2019,"GEO",13757737.7285732
2020,"GEO",18462385.4224779
2010,"GHA",6252393.34603657
2011,"GHA",7035129.81900109
2012,"GHA",5093525.33813399
2013,"GHA",9393535.79916727
2014,"GHA",7705704.10669075
2015,"GHA",5743281.36441461
2016,"GHA",7807375.44366513
2017,"GHA",10663576.6693061
2018,"GHA",12932950.1802912
2019,"GHA",17416739.1892956
2020,"GHA",10165895.1486263
2010,"GIN",17890129.1518114
2011,"GIN",14873900.3196443
2012,"GIN",18880504.9081866
2013,"GIN",22444146.5283522
2014,"GIN",24279903.9160753
2015,"GIN",40207783.3711885
2016,"GIN",38650810.1394133
2017,"GIN",28497571.5918333
2018,"GIN",39771780.5671677
2019,"GIN",53848297.7815424
2020,"GIN",30798119.0013365
2010,"GMB",335993.592599232
2011,"GMB",520316.235098271
2012,"GMB",203025.186532559
2013,"GMB",362083.166228108
2014,"GMB",118478.702608671
2015,"GMB",3954.86248816772
2016,"GMB",29208.167592483
2017,"GMB",22060.1510095326
2018,"GMB",17372.1612133288
2019,"GMB",81763.625259639
2020,"GMB",83037.0002413134
2010,"GNB",0
2011,"GNB",500312.526168006
2012,"GNB",46.9250878913697
2013,"GNB",245032.243533926
2014,"GNB",0
2015,"GNB",5343.68589037503
2016,"GNB",187414.889141089
2017,"GNB",6079.19042211679
2018,"GNB",0
2019,"GNB",127411.54946665
2020,"GNB",0
2010,"GNQ",7884.98857620241
2011,"GNQ",5026.15296441067
2012,"GNQ",5531.44774159655
2013,"GNQ",6249.708358707
2014,"GNQ",18179.3525275265
2015,"GNQ",4033.2550183397
2016,"GNQ",1898.99585051287
2017,"GNQ",2063.3856893387
2018,"GNQ",252.05149176496
2019,"GNQ",130250.905864465
2020,"GNQ",82.7844611184065
2010,"GRC",6909406.54114576
2011,"GRC",5581272.38383415
2012,"GRC",5858089.64921596
2013,"GRC",5517019.67491208
2014,"GRC",4919132.07273861
2015,"GRC",5726553.43575149
2016,"GRC",5209376.4513649
2017,"GRC",4274615.56476515
2018,"GRC",5611182.05331966
2019,"GRC",5460921.69105902
2020,"GRC",6121093.43329768
2010,"GRL",1157.75357424852
2011,"GRL",421.479389981677
2012,"GRL",608.059177450812
2013,"GRL",824.359538282851
2014,"GRL",503.048187900915
2015,"GRL",4212.93173504133
2016,"GRL",0
2017,"GRL",977.775204575696
2018,"GRL",239.001387453103
2019,"GRL",0
2020,"GRL",41.4613272286279
2010,"GTM",15062583.7804648
2011,"GTM",21365688.2313289
2012,"GTM",17488320.1664564
2013,"GTM",17620286.0604203
2014,"GTM",31938974.4926286
2015,"GTM",44690013.0964889
2016,"GTM",38199154.8692729
2017,"GTM",18371425.8964622
2018,"GTM",3498503.39379385
2019,"GTM",1586215.44310945
2020,"GTM",2863963.23450838
2010,"GUM",3359.08299670973
2011,"GUM",2564.0686806401
2012,"GUM",10377.0472085687
2013,"GUM",6428.87297285727
2014,"GUM",2582.49484489582
2015,"GUM",4168.49200831464
2016,"GUM",1043.55421294737
2017,"GUM",2111.61333386694
2018,"GUM",8829.89191747449
2019,"GUM",5056.31826096052
2020,"GUM",2719.47316230878
2010,"HKG",735985.40209413
2011,"HKG",742326.17812328
2012,"HKG",718135.655213113
2013,"HKG",867508.296074861
2014,"HKG",1791465.86672511
2015,"HKG",1815580.53277123
2016,"HKG",1651662.98044214
2017,"HKG",1420639.66401197
2018,"HKG",1610667.26262831
2019,"HKG",1647811.80762574
2020,"HKG",7907373.15599551
2010,"HND",2442667.58907471
2011,"HND",2646790.66015455
2012,"HND",3181657.32790808
2013,"HND",3954582.19937051
2014,"HND",2726317.29842321
2015,"HND",1537734.41452054
2016,"HND",861126.541750376
2017,"HND",718033.440585372
2018,"HND",2132502.00478701
2019,"HND",1486029.32223597
2020,"HND",885789.958655275
2010,"HRV",917408.127825664
2011,"HRV",649659.934413819
2012,"HRV",1435511.73503833
2013,"HRV",986562.243234511
2014,"HRV",1028560.71627697
2015,"HRV",2549692.24444215
2016,"HRV",749575.928727878
2017,"HRV",1424238.49031707
2018,"HRV",1321732.21772907
2019,"HRV",1279661.75440728
2020,"HRV",481655.388898621
2010,"HTI",1170.515849528
2011,"HTI",0
2012,"HTI",4425.6871646539
2013,"HTI",186.019657111296
2014,"HTI",5684.52310806929
2015,"HTI",8604.78870128087
2016,"HTI",1527.75849500421
2017,"HTI",9845.4428950816
2018,"HTI",895.92216951318
2019,"HTI",13060.7843053648
2020,"HTI",14179.5750896279
2010,"HUN",3024193.43706878
2011,"HUN",2780374.64386523
2012,"HUN",3067602.69943081
2013,"HUN",1213933.07022661
2014,"HUN",1238195.6547173
2015,"HUN",1585905.89543986
2016,"HUN",1114046.08263808
2017,"HUN",2111086.004154
2018,"HUN",2509258.03532132
2019,"HUN",2227243.90885336
2020,"HUN",1971727.37280428
2010,"IDN",336689209.179318
2011,"IDN",301258194.073211
2012,"IDN",252018290.78839
2013,"IDN",297874907.381304
2014,"IDN",139323609.153512
2015,"IDN",245514543.537764
2016,"IDN",235049852.605384
2017,"IDN",193151723.602058
2018,"IDN",272774197.321958
2019,"IDN",178085016.297057
2020,"IDN",173050899.194391
2010,"IND",529802229.943999
2011,"IND",338983358.940043
2012,"IND",293603683.253957
2013,"IND",266318477.254731
2014,"IND",264821269.436755
2015,"IND",329208223.014753
2016,"IND",295811624.459351
2017,"IND",358978198.831855
