Year,iso_code3,frac_scoe_heat_energy_other_se_hydrocarbon_gas_liquids
2012,BGD,0.02696012052215282
2013,BGD,0.02696012052215282
2014,BGD,0.02696012052215282
2015,BGD,0.02696012052215282
2016,BGD,0.02696012052215282
2017,BGD,0.02696012052215282
2018,BGD,0.02696012052215282
2019,BGD,0.02696012052215282
2011,BGR,0.005152385710716903
2012,BGR,0.0055212014134275005
2013,BGR,0.006365905550064403
2014,BGR,0.007100759781296503
2015,BGR,0.006979341150195402
2016,BGR,0.006722237160527002
2017,BGR,0.0068863748155435014
2018,BGR,0.007606271716770102
2019,BGR,0.008302649628185603
2011,BHR,0.02696012052215281
2012,BHR,0.02696012052215281
2013,BHR,0.02696012052215281
2014,BHR,0.02696012052215281
2015,BHR,0.02696012052215281
2016,BHR,0.02696012052215281
2017,BHR,0.02696012052215281
2018,BHR,0.02696012052215281
2019,BHR,0.02696012052215281
2011,BHS,0.02696012052215281
2012,BHS,0.02696012052215281
2013,BHS,0.02696012052215281
2014,BHS,0.02696012052215281
2015,BHS,0.02696012052215281
2016,BHS,0.02696012052215281
2017,BHS,0.02696012052215281
2018,BHS,0.02696012052215281
2019,BHS,0.02696012052215281
2011,BIH,0.0
2012,BIH,0.0
2013,BIH,0.0
2014,BIH,0.0
2015,BIH,0.0
2016,BIH,0.0
2017,BIH,0.0
2018,BIH,0.0
2019,BIH,0.0
2011,BLR,0.0
2012,BLR,0.0
2013,BLR,0.0
2014,BLR,0.0
2015,BLR,0.0
2016,BLR,0.0
2017,BLR,0.0
2018,BLR,0.0
2019,BLR,0.0
2011,BLZ,0.02696012052215282
2012,BLZ,0.02696012052215282
2013,BLZ,0.02696012052215282
2014,BLZ,0.02696012052215282
2015,BLZ,0.02696012052215282
2016,BLZ,0.02696012052215282
2017,BLZ,0.02696012052215282
2018,BLZ,0.02696012052215282
2019,BLZ,0.02696012052215282
2011,BOL,0.02696012052215282
2012,BOL,0.02696012052215282
2013,BOL,0.02696012052215282
2014,BOL,0.02696012052215282
2015,BOL,0.02696012052215282
2016,BOL,0.02696012052215282
2017,BOL,0.02696012052215282
2018,BOL,0.02696012052215282
2019,BOL,0.02696012052215282
2011,BRA,0.0
2012,BRA,0.0
2013,BRA,0.0
2014,BRA,0.0
2015,BRA,0.0
2016,BRA,0.0
2017,BRA,0.0
2018,BRA,0.0
2019,BRA,0.0
2011,BRB,0.02696012052215281
2012,BRB,0.02696012052215281
2013,BRB,0.02696012052215281
2014,BRB,0.02696012052215281
2015,BRB,0.02696012052215281
2016,BRB,0.02696012052215281
2017,BRB,0.02696012052215281
2018,BRB,0.02696012052215281
2019,BRB,0.02696012052215281
2011,BRN,0.02696012052215281
2012,BRN,0.02696012052215281
2013,BRN,0.02696012052215281
2014,BRN,0.02696012052215281
2015,BRN,0.02696012052215281
2016,BRN,0.02696012052215281
2017,BRN,0.02696012052215281
2018,BRN,0.02696012052215281
2019,BRN,0.02696012052215281
2011,BTN,0.02696012052215282
2012,BTN,0.02696012052215282
2013,BTN,0.02696012052215282
2014,BTN,0.02696012052215282
2015,BTN,0.02696012052215282
2016,BTN,0.02696012052215282
2017,BTN,0.02696012052215282
2018,BTN,0.02696012052215282
2019,BTN,0.02696012052215282
2011,BWA,0.02696012052215282
2012,BWA,0.02696012052215282
2013,BWA,0.02696012052215282
2014,BWA,0.02696012052215282
2015,BWA,0.02696012052215282
2016,BWA,0.02696012052215282
2017,BWA,0.02696012052215282
2018,BWA,0.02696012052215282
2019,BWA,0.02696012052215282
2011,CAF,0.02696012052215282
2012,CAF,0.02696012052215282
2013,CAF,0.02696012052215282
2014,CAF,0.02696012052215282
2015,CAF,0.02696012052215282
2016,CAF,0.02696012052215282
2017,CAF,0.02696012052215282
2018,CAF,0.02696012052215282
2019,CAF,0.02696012052215282
2011,CAN,0.022624280753855912
2012,CAN,0.026784630694919702
2013,CAN,0.020491613488807108
2014,CAN,0.018995737824090902
2015,CAN,0.019084238747001502
2016,CAN,0.023516848060712008
2017,CAN,0.022493350984531302
2018,CAN,0.0184701965264472
2019,CAN,0.02024642518449591
2011,CHE,0.008375994649364603
2012,CHE,0.008533005665915704
2013,CHE,0.008780332056194102
2014,CHE,0.011942887643448004
2015,CHE,0.011882765013655807
2016,CHE,0.011931170933509204
2017,CHE,0.012664829024808106
2018,CHE,0.013625532771755506
2019,CHE,0.014671030357747406
2011,CHL,0.0
2012,CHL,0.0
2013,CHL,0.0
2014,CHL,0.0
2015,CHL,0.0
2016,CHL,0.0
2017,CHL,0.0
2018,CHL,0.0
2019,CHL,0.0
2011,CHN,0.02696012052215282
2012,CHN,0.02696012052215282
2013,CHN,0.02696012052215282
2014,CHN,0.02696012052215282
2015,CHN,0.02696012052215282
2016,CHN,0.02696012052215282
2017,CHN,0.02696012052215282
2018,CHN,0.02696012052215282
2019,CHN,0.02696012052215282
2011,CIV,0.02696012052215282
2012,CIV,0.02696012052215282
2013,CIV,0.02696012052215282
2014,CIV,0.02696012052215282
2015,CIV,0.02696012052215282
2016,CIV,0.02696012052215282
2017,CIV,0.02696012052215282
2018,CIV,0.02696012052215282
2019,CIV,0.02696012052215282
2011,CMR,0.02696012052215282
2012,CMR,0.02696012052215282
2013,CMR,0.02696012052215282
2014,CMR,0.02696012052215282
2015,CMR,0.02696012052215282
2016,CMR,0.02696012052215282
2017,CMR,0.02696012052215282
2018,CMR,0.02696012052215282
2019,CMR,0.02696012052215282
2011,COD,0.02696012052215282
2012,COD,0.02696012052215282
2013,COD,0.02696012052215282
2014,COD,0.02696012052215282
2015,COD,0.02696012052215282
2016,COD,0.02696012052215282
2017,COD,0.02696012052215282
2018,COD,0.02696012052215282
2019,COD,0.02696012052215282
2011,COG,0.02696012052215282
2012,COG,0.02696012052215282
2013,COG,0.02696012052215282
2014,COG,0.02696012052215282
2015,COG,0.02696012052215282
2016,COG,0.02696012052215282
2017,COG,0.02696012052215282
2018,COG,0.02696012052215282
2019,COG,0.02696012052215282
2011,COL,0.0
2012,COL,0.0
2013,COL,0.0
2014,COL,0.0
2015,COL,0.0
2016,COL,0.0
2017,COL,0.0
2018,COL,0.0
2019,COL,0.0
2011,COM,0.02696012052215282
2012,COM,0.02696012052215282
2013,COM,0.02696012052215282
2014,COM,0.02696012052215282
2015,COM,0.02696012052215282
2016,COM,0.02696012052215282
2017,COM,0.02696012052215282
2018,COM,0.02696012052215282
2019,COM,0.02696012052215282
2011,CPV,0.02696012052215282
2012,CPV,0.02696012052215282
2013,CPV,0.02696012052215282
2014,CPV,0.02696012052215282
2015,CPV,0.02696012052215282
2016,CPV,0.02696012052215282
2017,CPV,0.02696012052215282
2018,CPV,0.02696012052215282
2019,CPV,0.02696012052215282
2011,CRI,0.02696012052215282
2012,CRI,0.02696012052215282
2013,CRI,0.02696012052215282
2014,CRI,0.02696012052215282
2015,CRI,0.02696012052215282
2016,CRI,0.02696012052215282
2017,CRI,0.02696012052215282
2018,CRI,0.02696012052215282
2019,CRI,0.02696012052215282
2011,CUB,0.02696012052215282
2012,CUB,0.02696012052215282
2013,CUB,0.02696012052215282
2014,CUB,0.02696012052215282
2015,CUB,0.02696012052215282
2016,CUB,0.02696012052215282
2017,CUB,0.02696012052215282
2018,CUB,0.02696012052215282
2019,CUB,0.02696012052215282
2011,CYP,0.23978494623655916
2012,CYP,0.24859489840034593
2013,CYP,0.28828384871257856
2014,CYP,0.3122130394857668
2015,CYP,0.27800114876507753
2016,CYP,0.2768048808044289
2017,CYP,0.277808645405045
2018,CYP,0.31219392752203723
2019,CYP,0.29045643153526973
2011,CZE,0.02696012052215281
2012,CZE,0.02696012052215281
2013,CZE,0.02696012052215281
2014,CZE,0.02696012052215281
2015,CZE,0.02696012052215281
2016,CZE,0.02696012052215281
2017,CZE,0.02696012052215281
2018,CZE,0.02696012052215281
2019,CZE,0.02696012052215281
2011,DEU,0.011572379879545406
2012,DEU,0.011568033734667303
2013,DEU,0.010995778885231003
2014,DEU,0.014237756134239003
2015,DEU,0.014310635915372606
2016,DEU,0.013650031958408105
2017,DEU,0.01435204727733221
2018,DEU,0.016734233531021804
2019,DEU,0.015113292762078404
2011,DJI,0.02696012052215282
2012,DJI,0.02696012052215282
2013,DJI,0.02696012052215282
2014,DJI,0.02696012052215282
2015,DJI,0.02696012052215282
2016,DJI,0.02696012052215282
2017,DJI,0.02696012052215282
2018,DJI,0.02696012052215282
2019,DJI,0.02696012052215282
2011,DNK,0.0028937849391647012
2012,DNK,0.002993892459382801
2013,DNK,0.003126455132042801
2014,DNK,0.003517849421387001
2015,DNK,0.0033089551130109007
2016,DNK,0.003267183752948601
2017,DNK,0.003418047289689501
2018,DNK,0.003495520935428801
2019,DNK,0.003741922484636501
2011,DOM,0.02696012052215282
2012,DOM,0.02696012052215282
2013,DOM,0.02696012052215282
2014,DOM,0.02696012052215282
2015,DOM,0.02696012052215282
2016,DOM,0.02696012052215282
2017,DOM,0.02696012052215282
2018,DOM,0.02696012052215282
2019,DOM,0.02696012052215282
2011,DZA,0.02696012052215282
2012,DZA,0.02696012052215282
2013,DZA,0.02696012052215282
2014,DZA,0.02696012052215282
2015,DZA,0.02696012052215282
2016,DZA,0.02696012052215282
2017,DZA,0.02696012052215282
2018,DZA,0.02696012052215282
2019,DZA,0.02696012052215282
2011,ECU,0.02696012052215282
2012,ECU,0.02696012052215282
2013,ECU,0.02696012052215282
2014,ECU,0.02696012052215282
2015,ECU,0.02696012052215282
2016,ECU,0.02696012052215282
2017,ECU,0.02696012052215282
2018,ECU,0.02696012052215282
2019,ECU,0.02696012052215282
2011,EGY,0.02696012052215282
2012,EGY,0.02696012052215282
2013,EGY,0.02696012052215282
2014,EGY,0.02696012052215282
2015,EGY,0.02696012052215282
2016,EGY,0.02696012052215282
2017,EGY,0.02696012052215282
2018,EGY,0.02696012052215282
2019,EGY,0.02696012052215282
2011,ESP,0.014535061853673805
2012,ESP,0.0160219392444132
2013,ESP,0.018263121213200305
2014,ESP,0.019900960415180503
2015,ESP,0.020268533591177806
2016,ESP,0.02414276947034601
2017,ESP,0.025903621042046906
2018,ESP,0.02606026727948401
2019,ESP,0.029421280102200215
2011,EST,0.0
2012,EST,0.0
2013,EST,0.0
2014,EST,0.0
2015,EST,0.0
2016,EST,0.0
2017,EST,0.0
2018,EST,0.0
2019,EST,0.0
2011,ETH,0.02696012052215282
2012,ETH,0.02696012052215282
2013,ETH,0.02696012052215282
2014,ETH,0.02696012052215282
2015,ETH,0.02696012052215282
2016,ETH,0.02696012052215282
2017,ETH,0.02696012052215282
2018,ETH,0.02696012052215282
2019,ETH,0.02696012052215282
2011,FIN,0.0003046644121500001
2012,FIN,0.00034867989790650003
2013,FIN,0.00037283661553830016
2014,FIN,0.0004504639778972001
2015,FIN,0.00046957542555270014
2016,FIN,0.0005087505087505
2017,FIN,0.0005952159517875002
2018,FIN,0.0006169316902385003
2019,FIN,0.0007102272727272003
2011,FJI,0.02696012052215282
2012,FJI,0.02696012052215282
2013,FJI,0.02696012052215282
2014,FJI,0.02696012052215282
2015,FJI,0.02696012052215282
2016,FJI,0.02696012052215282
2017,FJI,0.02696012052215282
2018,FJI,0.02696012052215282
2019,FJI,0.02696012052215282
2011,FRA,0.004184352617753701
2012,FRA,0.004135525029810501
2013,FRA,0.0042345052332879015
2014,FRA,0.005661716735977104
2015,FRA,0.005569115535564701
2016,FRA,0.0055080074284371006
2017,FRA,0.005861560438113803
2018,FRA,0.006501162599525502
2019,FRA,0.006825840819482703
2011,GAB,0.02696012052215282
2012,GAB,0.02696012052215282
2013,GAB,0.02696012052215282
2014,GAB,0.02696012052215282
2015,GAB,0.02696012052215282
2016,GAB,0.02696012052215282
2017,GAB,0.02696012052215282
2018,GAB,0.02696012052215282
2019,GAB,0.02696012052215282
2011,GBR,0.0
2012,GBR,0.00010442391934290001
2013,GBR,0.00010254622270980004
2014,GBR,0.00012220275706870007
2015,GBR,0.00011607516696160007
2016,GBR,0.00010506077765980003
2017,GBR,0.00010013585097110004
2018,GBR,9.695379263038065e-05
2019,GBR,0.0
2011,GEO,0.007173111080748703
2012,GEO,0.0063705860939206015
2013,GEO,0.005576974370165601
2014,GEO,0.005014685865749603
2015,GEO,0.004934674311495402
2016,GEO,0.0057035054622033
2017,GEO,0.005627813906953403
2018,GEO,0.006229235880398602
2019,GEO,0.005808200318375403
2011,GHA,0.02696012052215282
2012,GHA,0.02696012052215282
2013,GHA,0.02696012052215282
2014,GHA,0.02696012052215282
2015,GHA,0.02696012052215282
2016,GHA,0.02696012052215282
2017,GHA,0.02696012052215282
2018,GHA,0.02696012052215282
2019,GHA,0.02696012052215282
2011,GIN,0.02696012052215282
2012,GIN,0.02696012052215282
2013,GIN,0.02696012052215282
2014,GIN,0.02696012052215282
2015,GIN,0.02696012052215282
2016,GIN,0.02696012052215282
2017,GIN,0.02696012052215282
2018,GIN,0.02696012052215282
2019,GIN,0.02696012052215282
2011,GMB,0.02696012052215282
2012,GMB,0.02696012052215282
2013,GMB,0.02696012052215282
2014,GMB,0.02696012052215282
2015,GMB,0.02696012052215282
2016,GMB,0.02696012052215282
2017,GMB,0.02696012052215282
2018,GMB,0.02696012052215282
2019,GMB,0.02696012052215282
2011,GNB,0.02696012052215282
2012,GNB,0.02696012052215282
2013,GNB,0.02696012052215282
2014,GNB,0.02696012052215282
2015,GNB,0.02696012052215282
2016,GNB,0.02696012052215282
2017,GNB,0.02696012052215282
2018,GNB,0.02696012052215282
2019,GNB,0.02696012052215282
2011,GNQ,0.02696012052215282
2012,GNQ,0.02696012052215282
2013,GNQ,0.02696012052215282
2014,GNQ,0.02696012052215282
2015,GNQ,0.02696012052215282
2016,GNQ,0.02696012052215282
2017,GNQ,0.02696012052215282
2018,GNQ,0.02696012052215282
2019,GNQ,0.02696012052215282
2011,GRC,0.055563200990848424
2012,GRC,0.06485618125211592
2013,GRC,0.09706075356754583
2014,GRC,0.09807517809911773
2015,GRC,0.08268042048899564
2016,GRC,0.09270677546593895
2017,GRC,0.09483830845771145
2018,GRC,0.10742083635484653
2019,GRC,0.10408726269556065
2011,GTM,0.02696012052215282
2012,GTM,0.02696012052215282
2013,GTM,0.02696012052215282
2014,GTM,0.02696012052215282
2015,GTM,0.02696012052215282
2016,GTM,0.02696012052215282
2017,GTM,0.02696012052215282
2018,GTM,0.02696012052215282
2019,GTM,0.02696012052215282
2011,GUY,0.02696012052215282
2012,GUY,0.02696012052215282
2013,GUY,0.02696012052215282
2014,GUY,0.02696012052215282
2015,GUY,0.02696012052215282
2016,GUY,0.02696012052215282
2017,GUY,0.02696012052215282
2018,GUY,0.02696012052215282
2019,GUY,0.02696012052215282
2011,HKG,0.0018852806711599005
2012,HKG,0.0014144938469517004
2013,HKG,0.0014358188953766003
2014,HKG,0.0018795226012592004
2015,HKG,0.0019410879798126004
2016,HKG,0.0028366111951588003
2017,HKG,0.003840061440983
2018,HKG,0.0036302582021146006
2019,HKG,0.0033858953274644014
2011,HND,0.02696012052215282
2012,HND,0.02696012052215282
2013,HND,0.02696012052215282
2014,HND,0.02696012052215282
2015,HND,0.02696012052215282
2016,HND,0.02696012052215282
2017,HND,0.02696012052215282
2018,HND,0.02696012052215282
2019,HND,0.02696012052215282
2011,HRV,0.002025772325699101
2012,HRV,0.0024534143349494004
2013,HRV,0.0028764906813687004
2014,HRV,0.003670373290557602
2015,HRV,0.003705854014057501
2016,HRV,0.0042322246564429015
2017,HRV,0.004799434171971301
2018,HRV,0.005430967109533301
2019,HRV,0.006164890264953202
2011,HTI,0.02696012052215282
2012,HTI,0.02696012052215282
2013,HTI,0.02696012052215282
2014,HTI,0.02696012052215282
2015,HTI,0.02696012052215282
2016,HTI,0.02696012052215282
2017,HTI,0.02696012052215282
2018,HTI,0.02696012052215282
2019,HTI,0.02696012052215282
2011,HUN,0.0010944096712140004
2012,HUN,0.0014677314914742004
2013,HUN,0.0016007470152737005
2014,HUN,0.0020550971547179005
2015,HUN,0.0020515498526614004
2016,HUN,0.0020695178023520007
2017,HUN,0.002115655853314501
2018,HUN,0.0025183671294973014
2019,HUN,0.0027549313270754006
2011,IDN,0.02696012052215282
2012,IDN,0.02696012052215282
2013,IDN,0.02696012052215282
2014,IDN,0.02696012052215282
2015,IDN,0.02696012052215282
2016,IDN,0.02696012052215282
2017,IDN,0.02696012052215282
2018,IDN,0.02696012052215282
2019,IDN,0.02696012052215282
2011,IND,0.02696012052215282
2012,IND,0.02696012052215282
2013,IND,0.02696012052215282
2014,IND,0.02696012052215282
2015,IND,0.02696012052215282
2016,IND,0.02696012052215282
2017,IND,0.02696012052215282
2018,IND,0.02696012052215282
2019,IND,0.02696012052215282
2011,IRL,0.003463103517935902
2012,IRL,0.003972943237846803
2013,IRL,0.004393673110720502
2014,IRL,0.005214258627227903
2015,IRL,0.005188325164480901
2016,IRL,0.005325664376630901
2017,IRL,0.005803182822578803
2018,IRL,0.005794522107136502
2019,IRL,0.0061331210054014025
2011,IRN,0.02696012052215282
2012,IRN,0.02696012052215282
2013,IRN,0.02696012052215282
2014,IRN,0.02696012052215282
2015,IRN,0.02696012052215282
2016,IRN,0.02696012052215282
2017,IRN,0.02696012052215282
2018,IRN,0.02696012052215282
2019,IRN,0.02696012052215282
2011,IRQ,0.02696012052215282
2012,IRQ,0.02696012052215282
2013,IRQ,0.02696012052215282
2014,IRQ,0.02696012052215282
2015,IRQ,0.02696012052215282
2016,IRQ,0.02696012052215282
2017,IRQ,0.02696012052215282
2018,IRQ,0.02696012052215282
2019,IRQ,0.02696012052215282
2011,ISL,0.02696012052215281
2012,ISL,0.02696012052215281
2013,ISL,0.02696012052215281
2014,ISL,0.02696012052215281
2015,ISL,0.02696012052215281
2016,ISL,0.02696012052215281
2017,ISL,0.02696012052215281
2018,ISL,0.02696012052215281
2019,ISL,0.02696012052215281
2011,ISR,0.02696012052215281
2012,ISR,0.02696012052215281
2013,ISR,0.02696012052215281
2014,ISR,0.02696012052215281
2015,ISR,0.02696012052215281
2016,ISR,0.02696012052215281
2017,ISR,0.02696012052215281
2018,ISR,0.02696012052215281
2019,ISR,0.02696012052215281
2011,ITA,0.003908600782960902
2012,ITA,0.004023069998120301
2013,ITA,0.004333368416897901
2014,ITA,0.005423573298912702
2015,ITA,0.005165672361994902
2016,ITA,0.0054775761725436006
2017,ITA,0.005607394525425701
2018,ITA,0.006077047322440404
2019,ITA,0.006531738730450703
2011,JAM,0.02696012052215282
2012,JAM,0.02696012052215282
2013,JAM,0.02696012052215282
2014,JAM,0.02696012052215282
2015,JAM,0.02696012052215282
2016,JAM,0.02696012052215282
2017,JAM,0.02696012052215282
2018,JAM,0.02696012052215282
2019,JAM,0.02696012052215282
2011,JOR,0.02696012052215282
2012,JOR,0.02696012052215282
2013,JOR,0.02696012052215282
2014,JOR,0.02696012052215282
2015,JOR,0.02696012052215282
2016,JOR,0.02696012052215282
2017,JOR,0.02696012052215282
2018,JOR,0.02696012052215282
2019,JOR,0.02696012052215282
2011,JPN,0.012733410750672903
2012,JPN,0.011856198900905304
2013,JPN,0.011187957689178104
2014,JPN,0.0104945340194715
2015,JPN,0.010051023036672605
2016,JPN,0.008738004385272303
2017,JPN,0.007611138997402901
2018,JPN,0.007654909485192301
2019,JPN,0.007144718887509002
2011,KAZ,0.02696012052215282
2012,KAZ,0.02696012052215282
2013,KAZ,0.02696012052215282
2014,KAZ,0.02696012052215282
2015,KAZ,0.02696012052215282
2016,KAZ,0.02696012052215282
2017,KAZ,0.02696012052215282
2018,KAZ,0.02696012052215282
2019,KAZ,0.02696012052215282
2011,KEN,0.02696012052215282
2012,KEN,0.02696012052215282
2013,KEN,0.02696012052215282
2014,KEN,0.02696012052215282
2015,KEN,0.02696012052215282
2016,KEN,0.02696012052215282
2017,KEN,0.02696012052215282
2018,KEN,0.02696012052215282
2019,KEN,0.02696012052215282
2011,KGZ,0.02696012052215282
2012,KGZ,0.02696012052215282
2013,KGZ,0.02696012052215282
2014,KGZ,0.02696012052215282
2015,KGZ,0.02696012052215282
2016,KGZ,0.02696012052215282
2017,KGZ,0.02696012052215282
2018,KGZ,0.02696012052215282
2019,KGZ,0.02696012052215282
2011,KHM,0.02696012052215282
2012,KHM,0.02696012052215282
2013,KHM,0.02696012052215282
2014,KHM,0.02696012052215282
2015,KHM,0.02696012052215282
2016,KHM,0.02696012052215282
2017,KHM,0.02696012052215282
2018,KHM,0.02696012052215282
2019,KHM,0.02696012052215282
2011,KOR,0.0
2012,KOR,0.0
2013,KOR,0.0
2014,KOR,0.0
2015,KOR,0.0
2016,KOR,0.0
2017,KOR,0.0
2018,KOR,0.0
2019,KOR,0.0
2011,KWT,0.02696012052215281
2012,KWT,0.02696012052215281
2013,KWT,0.02696012052215281
2014,KWT,0.02696012052215281
2015,KWT,0.02696012052215281
2016,KWT,0.02696012052215281
2017,KWT,0.02696012052215281
2018,KWT,0.02696012052215281
2019,KWT,0.02696012052215281
2011,LAO,0.02696012052215282
2012,LAO,0.02696012052215282
2013,LAO,0.02696012052215282
2014,LAO,0.02696012052215282
2015,LAO,0.02696012052215282
2016,LAO,0.02696012052215282
2017,LAO,0.02696012052215282
2018,LAO,0.02696012052215282
2019,LAO,0.02696012052215282
2011,LBN,0.02696012052215282
2012,LBN,0.02696012052215282
2013,LBN,0.02696012052215282
2014,LBN,0.02696012052215282
2015,LBN,0.02696012052215282
2016,LBN,0.02696012052215282
2017,LBN,0.02696012052215282
2018,LBN,0.02696012052215282
2019,LBN,0.02696012052215282
2011,LBR,0.02696012052215282
2012,LBR,0.02696012052215282
2013,LBR,0.02696012052215282
2014,LBR,0.02696012052215282
2015,LBR,0.02696012052215282
2016,LBR,0.02696012052215282
2017,LBR,0.02696012052215282
2018,LBR,0.02696012052215282
2019,LBR,0.02696012052215282
2011,LBY,0.02696012052215282
2012,LBY,0.02696012052215282
2013,LBY,0.02696012052215282
2014,LBY,0.02696012052215282
2015,LBY,0.02696012052215282
2016,LBY,0.02696012052215282
2017,LBY,0.02696012052215282
2018,LBY,0.02696012052215282
2019,LBY,0.02696012052215282
2011,LCA,0.02696012052215282
2012,LCA,0.02696012052215282
2013,LCA,0.02696012052215282
2014,LCA,0.02696012052215282
2015,LCA,0.02696012052215282
2016,LCA,0.02696012052215282
2017,LCA,0.02696012052215282
2018,LCA,0.02696012052215282
2019,LCA,0.02696012052215282
2011,LKA,0.02696012052215282
2012,LKA,0.02696012052215282
2013,LKA,0.02696012052215282
2014,LKA,0.02696012052215282
2015,LKA,0.02696012052215282
2016,LKA,0.02696012052215282
2017,LKA,0.02696012052215282
2018,LKA,0.02696012052215282
2019,LKA,0.02696012052215282
2011,LSO,0.02696012052215282
2012,LSO,0.02696012052215282
2013,LSO,0.02696012052215282
2014,LSO,0.02696012052215282
2015,LSO,0.02696012052215282
2016,LSO,0.02696012052215282
2017,LSO,0.02696012052215282
2018,LSO,0.02696012052215282
2019,LSO,0.02696012052215282
2011,LTU,0.0
2012,LTU,0.0
2013,LTU,0.0
2014,LTU,0.0
2015,LTU,0.0
2016,LTU,0.0
2017,LTU,0.0
2018,LTU,0.0
2019,LTU,0.0
2011,LUX,0.0028956969942665004
2012,LUX,0.0034149117814456006
2013,LUX,0.003954132068011001
2014,LUX,0.004288164665523101
2015,LUX,0.0044181808140498005
2016,LUX,0.004781638508128702
2017,LUX,0.004677997816934302
2018,LUX,0.005588153115395304
2019,LUX,0.006086427267194102
2011,LVA,0.0
2012,LVA,0.0
2013,LVA,0.0
2014,LVA,0.0
2015,LVA,0.0
2016,LVA,0.0
2017,LVA,0.0
2018,LVA,0.0
2019,LVA,0.0
2011,MAC,0.02696012052215281
2012,MAC,0.02696012052215281
2013,MAC,0.02696012052215281
2014,MAC,0.02696012052215281
2015,MAC,0.02696012052215281
2016,MAC,0.02696012052215281
2017,MAC,0.02696012052215281
2018,MAC,0.02696012052215281
