Year,prodinit_ippu_plastic_tonne,iso_code3
2045,18840.877115144,"ASM"
2046,22884.1112944937,"ASM"
2047,27795.0196553134,"ASM"
2048,33759.8042457148,"ASM"
2049,41004.6258949527,"ASM"
2050,49804.179329578,"ASM"
2021,1653.172,"ATG"
2022,1750.23816954687,"ATG"
2023,1853.0035895471,"ATG"
2024,1961.80289209634,"ATG"
2025,2076.99035724925,"ATG"
2026,2198.94106665151,"ATG"
2027,2328.0521249075,"ATG"
2028,2464.74395266058,"ATG"
2029,2609.46165559685,"ATG"
2030,2762.67647383005,"ATG"
2031,2924.88731638722,"ATG"
2032,3096.62238579193,"ATG"
2033,3278.440898035,"ATG"
2034,3470.93490353355,"ATG"
2035,3674.73121500781,"ATG"
2036,3890.49344855344,"ATG"
2037,4118.92418455566,"ATG"
2038,4360.7672554816,"ATG"
2039,4616.81016800068,"ATG"
2040,4887.88666732008,"ATG"
2041,5174.87945208535,"ATG"
2042,5478.72304868673,"ATG"
2043,5800.40685433076,"ATG"
2044,6140.978358786,"ATG"
2045,6501.54655529402,"ATG"
2046,6883.28555175236,"ATG"
2047,7287.43839392842,"ATG"
2048,7715.32111315389,"ATG"
2049,8168.32701167982,"ATG"
2050,8647.93119964693,"ATG"
2021,2652131,"AUS"
2022,2694194.66092864,"AUS"
2023,2736925.46521133,"AUS"
2024,2780333.99395882,"AUS"
2025,2824430.99610172,"AUS"
2026,2869227.39105219,"AUS"
2027,2914734.27140779,"AUS"
2028,2960962.90569832,"AUS"
2029,3007924.74117612,"AUS"
2030,3055631.40665068,"AUS"
2031,3104094.71536818,"AUS"
2032,3153326.66793675,"AUS"
2033,3203339.45529806,"AUS"
2034,3254145.46174608,"AUS"
2035,3305757.26799372,"AUS"
2036,3358187.65428809,"AUS"
2037,3411449.60357518,"AUS"
2038,3465556.30471473,"AUS"
2039,3520521.15574609,"AUS"
2040,3576357.76720586,"AUS"
2041,3633079.96549819,"AUS"
2042,3690701.79631852,"AUS"
2043,3749237.52813157,"AUS"
2044,3808701.65570455,"AUS"
2045,3869108.90369642,"AUS"
2046,3930474.23030399,"AUS"
2047,3992812.83096597,"AUS"
2048,4056140.14212567,"AUS"
2049,4120471.8450534,"AUS"
2050,4185823.86972953,"AUS"
2021,2199855,"AUT"
2022,2200117.51221692,"AUT"
2023,2200380.05575984,"AUT"
2024,2200642.6306325,"AUT"
2025,2200905.23683864,"AUT"
2026,2201167.874382,"AUT"
2027,2201430.54326632,"AUT"
2028,2201693.24349534,"AUT"
2029,2201955.9750728,"AUT"
2030,2202218.73800243,"AUT"
2031,2202481.53228799,"AUT"
2032,2202744.35793321,"AUT"
2033,2203007.21494183,"AUT"
2034,2203270.1033176,"AUT"
2035,2203533.02306426,"AUT"
2036,2203795.97418556,"AUT"
2037,2204058.95668523,"AUT"
2038,2204321.97056703,"AUT"
2039,2204585.01583469,"AUT"
2040,2204848.09249196,"AUT"
2041,2205111.2005426,"AUT"
2042,2205374.33999034,"AUT"
2043,2205637.51083893,"AUT"
2044,2205900.71309212,"AUT"
2045,2206163.94675365,"AUT"
2046,2206427.21182728,"AUT"
2047,2206690.50831675,"AUT"
2048,2206953.83622581,"AUT"
2049,2207217.19555822,"AUT"
2050,2207480.58631771,"AUT"
2021,103100.4,"AZE"
2022,101864.00956944,"AZE"
2023,100642.446058045,"AZE"
2024,99435.5316599014,"AZE"
2025,98243.09070136,"AZE"
2026,97064.9496154685,"AZE"
2027,95900.936916707,"AZE"
2028,94750.883176027,"AZE"
2029,93614.6209961907,"AZE"
2030,92491.9849874047,"AZE"
2031,91382.8117432469,"AZE"
2032,90286.9398168813,"AZE"
2033,89204.209697559,"AZE"
2034,88134.4637873998,"AZE"
2035,87077.5463784536,"AZE"
2036,86033.3036300354,"AZE"
2037,85001.5835463337,"AZE"
2038,83982.2359542858,"AZE"
2039,82975.1124817198,"AZE"
2040,81980.0665357576,"AZE"
2041,80996.953281478,"AZE"
2042,80025.6296208349,"AZE"
2043,79065.9541718281,"AZE"
2044,78117.787247925,"AZE"
2045,77180.9908377278,"AZE"
2046,76255.4285848855,"AZE"
2047,75340.9657682462,"AZE"
2048,74437.4692822476,"AZE"
2049,73544.807617543,"AZE"
2050,72662.8508418589,"AZE"
2021,9477.473,"BDI"
2022,11034.4593084092,"BDI"
2023,12847.2317704243,"BDI"
2024,14957.8116652455,"BDI"
2025,17415.1236477276,"BDI"
2026,20276.1298546316,"BDI"
2027,23607.150325087,"BDI"
2028,27485.4003434958,"BDI"
2029,32000.7803415151,"BDI"
2030,37257.9598502459,"BDI"
2031,43378.8038100328,"BDI"
2032,50505.1974813616,"BDI"
2033,58802.3354401808,"BDI"
2034,68462.5508987578,"BDI"
2035,79709.7741182948,"BDI"
2036,92804.7232622887,"BDI"
2037,108050.948018095,"BDI"
2038,125801.866081888,"BDI"
2039,146468.955617446,"BDI"
2040,170531.293595444,"BDI"
2041,198546.66111835,"BDI"
2042,231164.47315977,"BDI"
2043,269140.832438282,"BDI"
2044,313356.056384608,"BDI"
2045,364835.083488978,"BDI"
2046,424771.232061458,"BDI"
2047,494553.862149226,"BDI"
2048,575800.581832546,"BDI"
2049,670394.744462957,"BDI"
2050,780529.106054735,"BDI"
2021,3561752,"BEL"
2022,3466301.61327841,"BEL"
2023,3373409.17453448,"BEL"
2024,3283006.1340422,"BEL"
2025,3195025.77912033,"BEL"
2026,3109403.18490196,"BEL"
2027,3026075.16642336,"BEL"
2028,2944980.23199679,"BEL"
2029,2866058.53783293,"BEL"
2030,2789251.84387926,"BEL"
2031,2714503.47084201,"BEL"
2032,2641758.2583598,"BEL"
2033,2570962.52429819,"BEL"
2034,2502064.02513515,"BEL"
2035,2435011.91740802,"BEL"
2036,2369756.72019377,"BEL"
2037,2306250.27859464,"BEL"
2038,2244445.72820241,"BEL"
2039,2184297.4605149,"BEL"
2040,2125761.0892793,"BEL"
2041,2068793.41773749,"BEL"
2042,2013352.40674904,"BEL"
2043,1959397.14376862,"BEL"
2044,1906887.81265464,"BEL"
2045,1855785.66428705,"BEL"
2046,1806052.98797254,"BEL"
2047,1757653.08361602,"BEL"
2048,1710550.23463789,"BEL"
2049,1664709.68161711,"BEL"
2050,1620097.59664052,"BEL"
2021,30506.54,"BEN"
2022,33007.4448464831,"BEN"
2023,35713.3721258991,"BEN"
2024,38641.1294341325,"BEN"
2025,41808.902242042,"BEN"
2026,45236.3668526882,"BEN"
2027,48944.8126187166,"BEN"
2028,52957.2741790364,"BEN"
2029,57298.6745361692,"BEN"
2030,61995.9798629799,"BEN"
2031,67078.3670003543,"BEN"
2032,72577.4046862197,"BEN"
2033,78527.2496415943,"BEN"
2034,84964.8587316338,"BEN"
2035,91930.2185194923,"BEN"
2036,99466.5936388487,"BEN"
2037,107620.795527839,"BEN"
2038,116443.47319361,"BEN"
2039,125989.427813545,"BEN"
2040,136317.953127282,"BEN"
2041,147493.20373383,"BEN"
2042,159584.593581425,"BEN"
2043,172667.227125308,"BEN"
2044,186822.365831516,"BEN"
2045,202137.932924326,"BEN"
2046,218709.059512544,"BEN"
2047,236638.675486846,"BEN"
2048,256038.14885847,"BEN"
2049,277027.977510449,"BEN"
2050,299738.537658118,"BEN"
2021,40128.75,"BFA"
2022,44881.3552273931,"BFA"
2023,50196.8301292078,"BFA"
2024,56141.8375682793,"BFA"
2025,62790.9355517066,"BFA"
2026,70227.512283749,"BFA"
2027,78544.8319607028,"BFA"
2028,87847.2044233674,"BFA"
2029,98251.2933360389,"BFA"
2030,109887.579298273,"BFA"
2031,122901.99623871,"BFA"
2032,137457.761613438,"BFA"
2033,153737.42336193,"BFA"
2034,171945.149291989,"BFA"
2035,192309.287605542,"BFA"
2036,215085.230677538,"BFA"
2037,240558.618003411,"BFA"
2038,269048.918484175,"BFA"
2039,300913.43697559,"BFA"
2040,336551.795348652,"BFA"
2041,376410.944259659,"BFA"
2042,420990.768483848,"BFA"
2043,470850.356110689,"BFA"
2044,526615.010224549,"BFA"
2045,588984.091006205,"BFA"
2046,658739.786605183,"BFA"
2047,736756.922780908,"BFA"
2048,824013.934338124,"BFA"
2049,921605.135952431,"BFA"
2050,1030754.44627782,"BFA"
2021,1217081,"BGD"
2022,1369722.04086496,"BGD"
2023,1541506.66162011,"BGD"
2024,1734835.76734927,"BGD"
2025,1952411.37427925,"BGD"
2026,2197274.37383849,"BGD"
2027,2472847.03292084,"BGD"
2028,2782980.82434873,"BGD"
2029,3132010.2560265,"BGD"
2030,3524813.45111343,"BGD"
2031,3966880.32590053,"BGD"
2032,4464389.3182619,"BGD"
2033,5024293.73905714,"BGD"
2034,5654418.95335344,"BGD"
2035,6363571.74969683,"BGD"
2036,7161663.42600477,"BGD"
2037,8059848.31235979,"BGD"
2038,9070679.66673329,"BGD"
2039,10208285.1224776,"BGD"
2040,11488564.1396846,"BGD"
2041,12929410.2200401,"BGD"
2042,14550960.9909066,"BGD"
2043,16375879.6538693,"BGD"
2044,18429671.7313448,"BGD"
2045,20741041.5381792,"BGD"
2046,23342293.3603759,"BGD"
2047,26269782.9479243,"BGD"
2048,29564425.6319097,"BGD"
2049,33272268.1674757,"BGD"
2050,37445132.2948604,"BGD"
2021,378345.3,"BGR"
2022,398676.335714258,"BGR"
2023,420099.894616234,"BGR"
2024,442674.685319326,"BGR"
2025,466462.571245291,"BGR"
2026,491528.740153303,"BGR"
2027,517941.882778944,"BGR"
2028,545774.381072668,"BGR"
2029,575102.506553586,"BGR"
2030,606006.629322125,"BGR"
2031,638571.438304357,"BGR"
2032,672886.173331515,"BGR"
2033,709044.869690723,"BGR"
2034,747146.615817061,"BGR"
2035,787295.824833172,"BGR"
2036,829602.520680509,"BGR"
2037,874182.639626333,"BGR"
2038,921158.347972722,"BGR"
2039,970658.376838205,"BGR"
2040,1022818.37492948,"BGR"
2041,1077781.28026989,"BGR"
2042,1135697.71190344,"BGR"
2043,1196726.38264762,"BGR"
2044,1261034.53402628,"BGR"
2045,1328798.3945743,"BGR"
2046,1400203.66277015,"BGR"
2047,1475446.01591955,"BGR"
2048,1554731.64638495,"BGR"
2049,1638277.82663018,"BGR"
2050,1726313.50462881,"BGR"
2021,65695.14,"BHR"
2022,70229.6795301741,"BHR"
2023,75077.2109917257,"BHR"
2024,80259.3383310876,"BHR"
2025,85799.1566848948,"BHR"
2026,91721.3553078562,"BHR"
2027,98052.3276051163,"BHR"
2028,104820.288759488,"BHR"
2029,112055.401477782,"BHR"
2030,119789.910416656,"BHR"
2031,128058.285887054,"BHR"
2032,136897.377477713,"BHR"
2033,146346.578282367,"BHR"
2034,156448.000462563,"BHR"
2035,167246.662928527,"BHR"
2036,178790.691974497,"BHR"
2037,191131.535762722,"BHR"
2038,204324.193611978,"BHR"
2039,218427.461112503,"BHR"
2040,233504.192159734,"BHR"
2041,249621.579074652,"BHR"
2042,266851.452059145,"BHR"
2043,285270.599320976,"BHR"
2044,304961.109295038,"BHR"
2045,326010.736486092,"BHR"
2046,348513.292563412,"BHR"
2047,372569.064450342,"BHR"
2048,398285.261272056,"BHR"
2049,425776.492153425,"BHR"
2050,455165.276996392,"BHR"
2021,32261.05,"BHS"
2022,34022.0926661901,"BHS"
2023,35879.2658449377,"BHS"
2024,37837.8170385447,"BHS"
2025,39903.280196141,"BHS"
2026,42081.4913500354,"BHS"
2027,44378.6051056113,"BHS"
2028,46801.1120313618,"BHS"
2029,49355.8569981987,"BHS"
2030,52050.0585198543,"BHS"
2031,54891.3291490234,"BHS"
2032,57887.6969868748,"BHS"
2033,61047.6283667081,"BHS"
2034,64380.0517758498,"BHS"
2035,67894.3830833802,"BHS"
2036,71600.5521449727,"BHS"
2037,75509.0308600197,"BHS"
2038,79630.8627603194,"BHS"
2039,83977.6942139284,"BHS"
2040,88561.8073323481,"BHS"
2041,93396.1546740241,"BHS"
2042,98494.3958422145,"BHS"
2043,103870.936080637,"BHS"
2044,109540.966975946,"BHS"
2045,115520.509382048,"BHS"
2046,121826.458687535,"BHS"
2047,128476.632554151,"BHS"
2048,135489.821261162,"BHS"
2049,142885.84079789,"BHS"
2050,150685.588854433,"BHS"
2021,152954.4,"BIH"
2022,163521.916878893,"BIH"
2023,174819.536409202,"BIH"
2024,186897.700893287,"BIH"
2025,199810.337658336,"BIH"
2026,213615.099834395,"BIH"
2027,228373.623767583,"BIH"
2028,244151.804217821,"BIH"
2029,261020.088569785,"BIH"
2030,279053.791370694,"BIH"
2031,298333.430599307,"BIH"
2032,318945.087167514,"BIH"
2033,340980.789259659,"BIH"
2034,364538.923225597,"BIH"
2035,389724.67286209,"BIH"
2036,416650.489043849,"BIH"
2037,445436.591801075,"BIH"
2038,476211.507085202,"BIH"
2039,509112.640619419,"BIH"
2040,544286.891396144,"BIH"
2041,581891.307560628,"BIH"
2042,622093.787609114,"BIH"
2043,665073.830032306,"BIH"
2044,711023.334751205,"BIH"
2045,760147.459923611,"BIH"
2046,812665.537946802,"BIH"
2047,868812.054746237,"BIH"
2048,928837.696722647,"BIH"
2049,993010.470032004,"BIH"
2050,1061616.89719579,"BIH"
2021,311449.7,"BLR"
2022,330517.130671423,"BLR"
2023,350751.898837181,"BLR"
2024,372225.470697894,"BLR"
2025,395013.687725137,"BLR"
2026,419197.034522267,"BLR"
2027,444860.92308411,"BLR"
2028,472095.99445946,"BLR"
2029,500998.438881824,"BLR"
2030,531670.335499063,"BLR"
2031,564220.012901804,"BLR"
2032,598762.431723958,"BLR"
2033,635419.590666635,"BLR"
2034,674320.957379461,"BLR"
2035,715603.925721123,"BLR"
2036,759414.301014101,"BLR"
2037,805906.815007446,"BLR"
2038,855245.672366376,"BLR"
2039,907605.1306188,"BLR"
2040,963170.115607071,"BLR"
2041,1022136.87461863,"BLR"
2042,1084713.66950235,"BLR"
2043,1151121.51221847,"BLR"
2044,1221594.94542007,"BLR"
2045,1296382.87082297,"BLR"
2046,1375749.42828967,"BLR"
2047,1459974.92873216,"BLR"
2048,1549356.8441285,"BLR"
2049,1644210.85814975,"BLR"
2050,1744871.98110787,"BLR"
2021,4792.154,"BLZ"
2022,4896.16792109222,"BLZ"
2023,5002.43946908479,"BLZ"
2024,5111.01764587251,"BLZ"
2025,5221.95251693858,"BLZ"
2026,5335.29523443977,"BLZ"
2027,5451.09806079275,"BLZ"
2028,5569.41439277233,"BLZ"
2029,5690.29878613274,"BLZ"
2030,5813.80698076338,"BLZ"
2031,5939.99592639045,"BLZ"
2032,6068.92380883657,"BLZ"
2033,6200.65007685029,"BLZ"
2034,6335.23546951797,"BLZ"
2035,6472.7420442706,"BLZ"
2036,6613.23320549853,"BLZ"
2037,6756.77373378731,"BLZ"
2038,6903.42981578805,"BLZ"
2039,7053.26907473613,"BLZ"
2040,7206.36060163234,"BLZ"
2041,7362.77498710082,"BLZ"
2042,7522.58435393838,"BLZ"
2043,7685.86239037046,"BLZ"
2044,7852.68438402878,"BLZ"
2045,8023.12725666653,"BLZ"
2046,8197.26959962708,"BLZ"
2047,8375.19171008248,"BLZ"
2048,8556.97562805856,"BLZ"
2049,8742.70517426366,"BLZ"
2050,8932.46598873842,"BLZ"
2021,5990.148,"BMU"
2022,6331.58757652418,"BMU"
2023,6692.48927392033,"BMU"
2024,7073.96243678375,"BMU"
2025,7477.17964256287,"BMU"
2026,7903.38030584396,"BMU"
2027,8353.87448808067,"BMU"
2028,8830.04692447897,"BMU"
2029,9333.36128041521,"BMU"
2030,9865.36465047086,"BMU"
2031,10427.6923139131,"BMU"
2032,11022.0727612388,"BMU"
2033,11650.3330072321,"BMU"
2034,12314.4042068677,"BMU"
2035,13016.3275913217,"BMU"
2036,13758.2607423358,"BMU"
2037,14542.4842242218,"BMU"
2038,15371.4085938914,"BMU"
2039,16247.5818104594,"BMU"
2040,17173.6970671952,"BMU"
2041,18152.6010698973,"BMU"
2042,19187.3027871366,"BMU"
2043,20280.9826992659,"BMU"
2044,21437.0025746231,"BMU"
2045,22658.9158029819,"BMU"
2046,23950.4783180095,"BMU"
2047,25315.6601423071,"BMU"
2048,26758.6575905203,"BMU"
2049,28283.9061680283,"BMU"
2050,29896.0942048617,"BMU"
2021,92614.44,"BOL"
2022,96192.4553833252,"BOL"
2023,99908.7018468504,"BOL"
2024,103768.51973417,"BOL"
2025,107777.455704778,"BOL"
2026,111941.270704765,"BOL"
2027,116265.948245444,"BOL"
2028,120757.70300182,"BOL"
2029,125422.989743235,"BOL"
2030,130268.512609042,"BOL"
2031,135301.234742632,"BOL"
2032,140528.38829765,"BOL"
2033,145957.484830792,"BOL"
2034,151596.326096107,"BOL"
2035,157453.015256323,"BOL"
2036,163535.968527304,"BOL"
2037,169853.927272373,"BOL"
2038,176415.970563881,"BOL"
2039,183231.52823007,"BOL"
2040,190310.394405986,"BOL"
2041,197662.741607905,"BOL"
2042,205299.135351508,"BOL"
2043,213230.549334803,"BOL"
2044,221468.381207617,"BOL"
2045,230024.468950317,"BOL"
2046,238911.107885298,"BOL"
2047,248141.068345685,"BOL"
2048,257727.614026635,"BOL"
2049,267684.521045616,"BOL"
2050,278026.097739048,"BOL"
2021,4635388,"BRA"
2022,4483083.79629193,"BRA"
2023,4335783.82749734,"BRA"
2024,4193323.67026835,"BRA"
2025,4055544.3036888,"BRA"
2026,3922291.93176737,"BRA"
2027,3793417.81176308,"BRA"
2028,3668778.08815147,"BRA"
2029,3548233.63204606,"BRA"
2030,3431649.88589601,"BRA"
2031,3318896.71328644,"BRA"
2032,3209848.25367391,"BRA"
2033,3104382.78189472,"BRA"
2034,3002382.5722895,"BRA"
2035,2903733.76729204,"BRA"
2036,2808326.25033604,"BRA"
2037,2716053.52293762,"BRA"
2038,2626812.5858166,"BRA"
2039,2540503.82392371,"BRA"
2040,2457030.89524546,"BRA"
2041,2376300.62326251,"BRA"
2042,2298222.89294155,"BRA"
2043,2222710.55014455,"BRA"
2044,2149679.30434305,"BRA"
2045,2079047.63452907,"BRA"
2046,2010736.69821735,"BRA"
2047,1944670.2434376,"BRA"
2048,1880774.52361834,"BRA"
2049,1818978.21526742,"BRA"
2050,1759212.33835731,"BRA"
2021,10755.49,"BRB"
2022,10686.6579777144,"BRB"
2023,10618.2664604445,"BRB"
2024,10550.3126290858,"BRB"
2025,10482.7936825751,"BRB"
2026,10415.7068377754,"BRB"
2027,10349.0493293608,"BRB"
2028,10282.8184097026,"BRB"
2029,10217.0113487565,"BRB"
2030,10151.6254339492,"BRB"
2031,10086.6579700675,"BRB"
2032,10022.1062791466,"BRB"
2033,9957.9677003598,"BRB"
2034,9894.23958990914,"BRB"
2035,9830.91932091609,"BRB"
2036,9768.00428331336,"BRB"
2037,9705.4918837374,"BRB"
2038,9643.37954542138,"BRB"
2039,9581.66470808906,"BRB"
2040,9520.34482784923,"BRB"
2041,9459.41737709082,"BRB"
2042,9398.87984437877,"BRB"
2043,9338.72973435046,"BRB"
2044,9278.96456761287,"BRB"
2045,9219.58188064039,"BRB"
2046,9160.57922567325,"BRB"
2047,9101.95417061663,"BRB"
2048,9043.70429894041,"BRB"
2049,8985.82720957959,"BRB"
2050,8928.32051683526,"BRB"
2021,9921.787,"BRN"
2022,9654.80451391177,"BRN"
2023,9395.00618203666,"BRN"
2024,9142.19868805453,"BRN"
2025,8896.19391753795,"BRN"
2026,8656.80881797602,"BRN"
2027,8423.8652625647,"BRN"
2028,8197.18991766243,"BRN"
2029,7976.61411381229,"BRN"
2030,7761.97372023479,"BRN"
2031,7553.10902269796,"BRN"
2032,7349.86460467373,"BRN"
2033,7152.08923169226,"BRN"
2034,6959.63573880816,"BRN"
2035,6772.36092109482,"BRN"
2036,6590.12542708546,"BRN"
2037,6412.79365508143,"BRN"
2038,6240.23365225084,"BRN"
2039,6072.31701644225,"BRN"
2040,5908.91880064043,"BRN"
2041,5749.91741999313,"BRN"
2042,5595.19456133956,"BRN"
2043,5444.63509517346,"BRN"
2044,5298.126989975,"BRN"
2045,5155.56122884803,"BRN"
2046,5016.83172840038,"BRN"
2047,4881.83525980711,"BRN"
2048,4750.47137199773,"BRN"
2049,4622.64231691048,"BRN"
2050,4498.25297675781,"BRN"
2021,4141.588,"BTN"
2022,4686.52387174369,"BTN"
2023,5303.16052693398,"BTN"
2024,6000.93210748267,"BTN"
2025,6790.51406717198,"BTN"
2026,7683.98649919132,"BTN"
2027,8695.01895374826,"BTN"
2028,9839.07957334362,"BTN"
2029,11133.6717453452,"BTN"
2030,12598.6018924911,"BTN"
2031,14256.2824983447,"BTN"
2032,16132.0750037943,"BTN"
2033,18254.6778206914,"BTN"
2034,20656.5653989871,"BTN"
2035,23374.4850648079,"BTN"
2036,26450.0192307729,"BTN"
2037,29930.2215800068,"BTN"
2038,33868.3369570512,"BTN"
2039,38324.615979542,"BTN"
2040,43367.2368336815,"BTN"
2041,49073.3483563817,"BTN"
2042,55530.2503625606,"BTN"
2043,62836.7292758343,"BTN"
2044,71104.5694968917,"BTN"
2045,80460.2636325103,"BTN"
2046,91046.9477506092,"BTN"
2047,103026.591269491,"BTN"
2048,116582.474985163,"BTN"
