iso_code3,Nation,Year,yf_agrc_vegetables_and_vines_tonne_ha
AZE,Azerbaijan,2039,24.48651931592308
AZE,Azerbaijan,2040,24.48651931592308
AZE,Azerbaijan,2041,24.48651931592308
AZE,Azerbaijan,2042,24.48651931592308
AZE,Azerbaijan,2043,24.48651931592308
AZE,Azerbaijan,2044,24.48651931592308
AZE,Azerbaijan,2045,24.48651931592308
AZE,Azerbaijan,2046,24.48651931592308
AZE,Azerbaijan,2047,24.48651931592308
AZE,Azerbaijan,2048,24.48651931592308
AZE,Azerbaijan,2049,24.48651931592308
AZE,Azerbaijan,2050,24.48651931592308
BDI,Burundi,2023,22.389059746624998
BDI,Burundi,2024,22.389059746624998
BDI,Burundi,2025,22.389059746624998
BDI,Burundi,2026,22.389059746624998
BDI,Burundi,2027,22.389059746624998
BDI,Burundi,2028,22.389059746624998
BDI,Burundi,2029,22.389059746624998
BDI,Burundi,2030,22.389059746624998
BDI,Burundi,2031,22.389059746624998
BDI,Burundi,2032,22.389059746624998
BDI,Burundi,2033,22.389059746624998
BDI,Burundi,2034,22.389059746624998
BDI,Burundi,2035,22.389059746624998
BDI,Burundi,2036,22.389059746624998
BDI,Burundi,2037,22.389059746624998
BDI,Burundi,2038,22.389059746624998
BDI,Burundi,2039,22.389059746624998
BDI,Burundi,2040,22.389059746624998
BDI,Burundi,2041,22.389059746624998
BDI,Burundi,2042,22.389059746624998
BDI,Burundi,2043,22.389059746624998
BDI,Burundi,2044,22.389059746624998
BDI,Burundi,2045,22.389059746624998
BDI,Burundi,2046,22.389059746624998
BDI,Burundi,2047,22.389059746624998
BDI,Burundi,2048,22.389059746624998
BDI,Burundi,2049,22.389059746624998
BDI,Burundi,2050,22.389059746624998
BEL,Belgium,2023,55.60368947807144
BEL,Belgium,2024,55.60368947807144
BEL,Belgium,2025,55.60368947807144
BEL,Belgium,2026,55.60368947807144
BEL,Belgium,2027,55.60368947807144
BEL,Belgium,2028,55.60368947807144
BEL,Belgium,2029,55.60368947807144
BEL,Belgium,2030,55.60368947807144
BEL,Belgium,2031,55.60368947807144
BEL,Belgium,2032,55.60368947807144
BEL,Belgium,2033,55.60368947807144
BEL,Belgium,2034,55.60368947807144
BEL,Belgium,2035,55.60368947807144
BEL,Belgium,2036,55.60368947807144
BEL,Belgium,2037,55.60368947807144
BEL,Belgium,2038,55.60368947807144
BEL,Belgium,2039,55.60368947807144
BEL,Belgium,2040,55.60368947807144
BEL,Belgium,2041,55.60368947807144
BEL,Belgium,2042,55.60368947807144
BEL,Belgium,2043,55.60368947807144
BEL,Belgium,2044,55.60368947807144
BEL,Belgium,2045,55.60368947807144
BEL,Belgium,2046,55.60368947807144
BEL,Belgium,2047,55.60368947807144
BEL,Belgium,2048,55.60368947807144
BEL,Belgium,2049,55.60368947807144
BEL,Belgium,2050,55.60368947807144
BEN,Benin,2023,12.842454781357143
BEN,Benin,2024,12.842454781357143
BEN,Benin,2025,12.842454781357143
BEN,Benin,2026,12.842454781357143
BEN,Benin,2027,12.842454781357143
BEN,Benin,2028,12.842454781357143
BEN,Benin,2029,12.842454781357143
BEN,Benin,2030,12.842454781357143
BEN,Benin,2031,12.842454781357143
BEN,Benin,2032,12.842454781357143
BEN,Benin,2033,12.842454781357143
BEN,Benin,2034,12.842454781357143
BEN,Benin,2035,12.842454781357143
BEN,Benin,2036,12.842454781357143
BEN,Benin,2037,12.842454781357143
BEN,Benin,2038,12.842454781357143
BEN,Benin,2039,12.842454781357143
BEN,Benin,2040,12.842454781357143
BEN,Benin,2041,12.842454781357143
BEN,Benin,2042,12.842454781357143
BEN,Benin,2043,12.842454781357143
BEN,Benin,2044,12.842454781357143
BEN,Benin,2045,12.842454781357143
BEN,Benin,2046,12.842454781357143
BEN,Benin,2047,12.842454781357143
BEN,Benin,2048,12.842454781357143
BEN,Benin,2049,12.842454781357143
BEN,Benin,2050,12.842454781357143
BFA,Burkina Faso,2023,17.827264635583337
BFA,Burkina Faso,2024,17.827264635583337
BFA,Burkina Faso,2025,17.827264635583337
BFA,Burkina Faso,2026,17.827264635583337
BFA,Burkina Faso,2027,17.827264635583337
BFA,Burkina Faso,2028,17.827264635583337
BFA,Burkina Faso,2029,17.827264635583337
BFA,Burkina Faso,2030,17.827264635583337
BFA,Burkina Faso,2031,17.827264635583337
BFA,Burkina Faso,2032,17.827264635583337
BFA,Burkina Faso,2033,17.827264635583337
BFA,Burkina Faso,2034,17.827264635583337
BFA,Burkina Faso,2035,17.827264635583337
BFA,Burkina Faso,2036,17.827264635583337
BFA,Burkina Faso,2037,17.827264635583337
BFA,Burkina Faso,2038,17.827264635583337
BFA,Burkina Faso,2039,17.827264635583337
BFA,Burkina Faso,2040,17.827264635583337
BFA,Burkina Faso,2041,17.827264635583337
BFA,Burkina Faso,2042,17.827264635583337
BFA,Burkina Faso,2043,17.827264635583337
BFA,Burkina Faso,2044,17.827264635583337
BFA,Burkina Faso,2045,17.827264635583337
BFA,Burkina Faso,2046,17.827264635583337
BFA,Burkina Faso,2047,17.827264635583337
BFA,Burkina Faso,2048,17.827264635583337
BFA,Burkina Faso,2049,17.827264635583337
BFA,Burkina Faso,2050,17.827264635583337
BGD,Bangladesh,2023,30.780119044124998
BGD,Bangladesh,2024,30.780119044124998
BGD,Bangladesh,2025,30.780119044124998
BGD,Bangladesh,2026,30.780119044124998
BGD,Bangladesh,2027,30.780119044124998
BGD,Bangladesh,2028,30.780119044124998
BGD,Bangladesh,2029,30.780119044124998
BGD,Bangladesh,2030,30.780119044124998
BGD,Bangladesh,2031,30.780119044124998
BGD,Bangladesh,2032,30.780119044124998
BGD,Bangladesh,2033,30.780119044124998
BGD,Bangladesh,2034,30.780119044124998
BGD,Bangladesh,2035,30.780119044124998
BGD,Bangladesh,2036,30.780119044124998
BGD,Bangladesh,2037,30.780119044124998
BGD,Bangladesh,2038,30.780119044124998
BGD,Bangladesh,2039,30.780119044124998
BGD,Bangladesh,2040,30.780119044124998
BGD,Bangladesh,2041,30.780119044124998
BGD,Bangladesh,2042,30.780119044124998
BGD,Bangladesh,2043,30.780119044124998
BGD,Bangladesh,2044,30.780119044124998
BGD,Bangladesh,2045,30.780119044124998
BGD,Bangladesh,2046,30.780119044124998
BGD,Bangladesh,2047,30.780119044124998
BGD,Bangladesh,2048,30.780119044124998
BGD,Bangladesh,2049,30.780119044124998
BGD,Bangladesh,2050,30.780119044124998
BGR,Bulgaria,2023,159.65309428792307
BGR,Bulgaria,2024,159.65309428792307
BGR,Bulgaria,2025,159.65309428792307
BGR,Bulgaria,2026,159.65309428792307
BGR,Bulgaria,2027,159.65309428792307
BGR,Bulgaria,2028,159.65309428792307
BGR,Bulgaria,2029,159.65309428792307
BGR,Bulgaria,2030,159.65309428792307
BGR,Bulgaria,2031,159.65309428792307
BGR,Bulgaria,2032,159.65309428792307
BGR,Bulgaria,2033,159.65309428792307
BGR,Bulgaria,2034,159.65309428792307
BGR,Bulgaria,2035,159.65309428792307
BGR,Bulgaria,2036,159.65309428792307
BGR,Bulgaria,2037,159.65309428792307
BGR,Bulgaria,2038,159.65309428792307
BGR,Bulgaria,2039,159.65309428792307
BGR,Bulgaria,2040,159.65309428792307
BGR,Bulgaria,2041,159.65309428792307
BGR,Bulgaria,2042,159.65309428792307
BGR,Bulgaria,2043,159.65309428792307
BGR,Bulgaria,2044,159.65309428792307
BGR,Bulgaria,2045,159.65309428792307
BGR,Bulgaria,2046,159.65309428792307
BGR,Bulgaria,2047,159.65309428792307
BGR,Bulgaria,2048,159.65309428792307
BGR,Bulgaria,2049,159.65309428792307
BGR,Bulgaria,2050,159.65309428792307
BHR,Bahrain,2023,15.381272984
BHR,Bahrain,2024,15.381272984
BHR,Bahrain,2025,15.381272984
BHR,Bahrain,2026,15.381272984
BHR,Bahrain,2027,15.381272984
BHR,Bahrain,2028,15.381272984
BHR,Bahrain,2029,15.381272984
BHR,Bahrain,2030,15.381272984
BHR,Bahrain,2031,15.381272984
BHR,Bahrain,2032,15.381272984
BHR,Bahrain,2033,15.381272984
BHR,Bahrain,2034,15.381272984
BHR,Bahrain,2035,15.381272984
BHR,Bahrain,2036,15.381272984
BHR,Bahrain,2037,15.381272984
BHR,Bahrain,2038,15.381272984
BHR,Bahrain,2039,15.381272984
BHR,Bahrain,2040,15.381272984
BHR,Bahrain,2041,15.381272984
BHR,Bahrain,2042,15.381272984
BHR,Bahrain,2043,15.381272984
BHR,Bahrain,2044,15.381272984
BHR,Bahrain,2045,15.381272984
BHR,Bahrain,2046,15.381272984
BHR,Bahrain,2047,15.381272984
BHR,Bahrain,2048,15.381272984
BHR,Bahrain,2049,15.381272984
BHR,Bahrain,2050,15.381272984
BHS,Bahamas,2023,7.563977732666666
BHS,Bahamas,2024,7.563977732666666
BHS,Bahamas,2025,7.563977732666666
BHS,Bahamas,2026,7.563977732666666
BHS,Bahamas,2027,7.563977732666666
BHS,Bahamas,2028,7.563977732666666
BHS,Bahamas,2029,7.563977732666666
BHS,Bahamas,2030,7.563977732666666
BHS,Bahamas,2031,7.563977732666666
BHS,Bahamas,2032,7.563977732666666
BHS,Bahamas,2033,7.563977732666666
BHS,Bahamas,2034,7.563977732666666
BHS,Bahamas,2035,7.563977732666666
BHS,Bahamas,2036,7.563977732666666
BHS,Bahamas,2037,7.563977732666666
BHS,Bahamas,2038,7.563977732666666
BHS,Bahamas,2039,7.563977732666666
BHS,Bahamas,2040,7.563977732666666
BHS,Bahamas,2041,7.563977732666666
BHS,Bahamas,2042,7.563977732666666
BHS,Bahamas,2043,7.563977732666666
BHS,Bahamas,2044,7.563977732666666
BHS,Bahamas,2045,7.563977732666666
BHS,Bahamas,2046,7.563977732666666
BHS,Bahamas,2047,7.563977732666666
BHS,Bahamas,2048,7.563977732666666
BHS,Bahamas,2049,7.563977732666666
BHS,Bahamas,2050,7.563977732666666
BIH,Bosnia and Herzegovina,2023,4.2866436754705886
BIH,Bosnia and Herzegovina,2024,4.2866436754705886
BIH,Bosnia and Herzegovina,2025,4.2866436754705886
BIH,Bosnia and Herzegovina,2026,4.2866436754705886
BIH,Bosnia and Herzegovina,2027,4.2866436754705886
BIH,Bosnia and Herzegovina,2028,4.2866436754705886
BIH,Bosnia and Herzegovina,2029,4.2866436754705886
BIH,Bosnia and Herzegovina,2030,4.2866436754705886
BIH,Bosnia and Herzegovina,2031,4.2866436754705886
BIH,Bosnia and Herzegovina,2032,4.2866436754705886
BIH,Bosnia and Herzegovina,2033,4.2866436754705886
BIH,Bosnia and Herzegovina,2034,4.2866436754705886
BIH,Bosnia and Herzegovina,2035,4.2866436754705886
BIH,Bosnia and Herzegovina,2036,4.2866436754705886
BIH,Bosnia and Herzegovina,2037,4.2866436754705886
BIH,Bosnia and Herzegovina,2038,4.2866436754705886
BIH,Bosnia and Herzegovina,2039,4.2866436754705886
BIH,Bosnia and Herzegovina,2040,4.2866436754705886
BIH,Bosnia and Herzegovina,2041,4.2866436754705886
BIH,Bosnia and Herzegovina,2042,4.2866436754705886
BIH,Bosnia and Herzegovina,2043,4.2866436754705886
BIH,Bosnia and Herzegovina,2044,4.2866436754705886
BIH,Bosnia and Herzegovina,2045,4.2866436754705886
BIH,Bosnia and Herzegovina,2046,4.2866436754705886
BIH,Bosnia and Herzegovina,2047,4.2866436754705886
BIH,Bosnia and Herzegovina,2048,4.2866436754705886
BIH,Bosnia and Herzegovina,2049,4.2866436754705886
BIH,Bosnia and Herzegovina,2050,4.2866436754705886
BLR,Belarus,2023,9.290879190153845
BLR,Belarus,2024,9.290879190153845
BLR,Belarus,2025,9.290879190153845
BLR,Belarus,2026,9.290879190153845
BLR,Belarus,2027,9.290879190153845
BLR,Belarus,2028,9.290879190153845
BLR,Belarus,2029,9.290879190153845
BLR,Belarus,2030,9.290879190153845
BLR,Belarus,2031,9.290879190153845
BLR,Belarus,2032,9.290879190153845
BLR,Belarus,2033,9.290879190153845
BLR,Belarus,2034,9.290879190153845
BLR,Belarus,2035,9.290879190153845
BLR,Belarus,2036,9.290879190153845
BLR,Belarus,2037,9.290879190153845
BLR,Belarus,2038,9.290879190153845
BLR,Belarus,2039,9.290879190153845
BLR,Belarus,2040,9.290879190153845
BLR,Belarus,2041,9.290879190153845
BLR,Belarus,2042,9.290879190153845
BLR,Belarus,2043,9.290879190153845
BLR,Belarus,2044,9.290879190153845
BLR,Belarus,2045,9.290879190153845
BLR,Belarus,2046,9.290879190153845
BLR,Belarus,2047,9.290879190153845
BLR,Belarus,2048,9.290879190153845
BLR,Belarus,2049,9.290879190153845
BLR,Belarus,2050,9.290879190153845
BLZ,Belize,2023,14.38660606075
BLZ,Belize,2024,14.38660606075
BLZ,Belize,2025,14.38660606075
BLZ,Belize,2026,14.38660606075
BLZ,Belize,2027,14.38660606075
BLZ,Belize,2028,14.38660606075
BLZ,Belize,2029,14.38660606075
BLZ,Belize,2030,14.38660606075
BLZ,Belize,2031,14.38660606075
BLZ,Belize,2032,14.38660606075
BLZ,Belize,2033,14.38660606075
BLZ,Belize,2034,14.38660606075
BLZ,Belize,2035,14.38660606075
BLZ,Belize,2036,14.38660606075
BLZ,Belize,2037,14.38660606075
BLZ,Belize,2038,14.38660606075
BLZ,Belize,2039,14.38660606075
BLZ,Belize,2040,14.38660606075
BLZ,Belize,2041,14.38660606075
BLZ,Belize,2042,14.38660606075
BLZ,Belize,2043,14.38660606075
BLZ,Belize,2044,14.38660606075
BLZ,Belize,2045,14.38660606075
BLZ,Belize,2046,14.38660606075
BLZ,Belize,2047,14.38660606075
BLZ,Belize,2048,14.38660606075
BLZ,Belize,2049,14.38660606075
BLZ,Belize,2050,14.38660606075
BOL,Bolivia (Plurinational State of),2023,25.502341437374998
BOL,Bolivia (Plurinational State of),2024,25.502341437374998
BOL,Bolivia (Plurinational State of),2025,25.502341437374998
BOL,Bolivia (Plurinational State of),2026,25.502341437374998
BOL,Bolivia (Plurinational State of),2027,25.502341437374998
BOL,Bolivia (Plurinational State of),2028,25.502341437374998
BOL,Bolivia (Plurinational State of),2029,25.502341437374998
BOL,Bolivia (Plurinational State of),2030,25.502341437374998
BOL,Bolivia (Plurinational State of),2031,25.502341437374998
BOL,Bolivia (Plurinational State of),2032,25.502341437374998
BOL,Bolivia (Plurinational State of),2033,25.502341437374998
BOL,Bolivia (Plurinational State of),2034,25.502341437374998
BOL,Bolivia (Plurinational State of),2035,25.502341437374998
BOL,Bolivia (Plurinational State of),2036,25.502341437374998
BOL,Bolivia (Plurinational State of),2037,25.502341437374998
BOL,Bolivia (Plurinational State of),2038,25.502341437374998
BOL,Bolivia (Plurinational State of),2039,25.502341437374998
BOL,Bolivia (Plurinational State of),2040,25.502341437374998
BOL,Bolivia (Plurinational State of),2041,25.502341437374998
BOL,Bolivia (Plurinational State of),2042,25.502341437374998
BOL,Bolivia (Plurinational State of),2043,25.502341437374998
BOL,Bolivia (Plurinational State of),2044,25.502341437374998
BOL,Bolivia (Plurinational State of),2045,25.502341437374998
BOL,Bolivia (Plurinational State of),2046,25.502341437374998
BOL,Bolivia (Plurinational State of),2047,25.502341437374998
BOL,Bolivia (Plurinational State of),2048,25.502341437374998
BOL,Bolivia (Plurinational State of),2049,25.502341437374998
BOL,Bolivia (Plurinational State of),2050,25.502341437374998
BRA,Brazil,2023,28.365522767999998
BRA,Brazil,2024,28.365522767999998
BRA,Brazil,2025,28.365522767999998
BRA,Brazil,2026,28.365522767999998
BRA,Brazil,2027,28.365522767999998
BRA,Brazil,2028,28.365522767999998
BRA,Brazil,2029,28.365522767999998
BRA,Brazil,2030,28.365522767999998
BRA,Brazil,2031,28.365522767999998
BRA,Brazil,2032,28.365522767999998
BRA,Brazil,2033,28.365522767999998
BRA,Brazil,2034,28.365522767999998
BRA,Brazil,2035,28.365522767999998
BRA,Brazil,2036,28.365522767999998
BRA,Brazil,2037,28.365522767999998
BRA,Brazil,2038,28.365522767999998
BRA,Brazil,2039,28.365522767999998
BRA,Brazil,2040,28.365522767999998
BRA,Brazil,2041,28.365522767999998
BRA,Brazil,2042,28.365522767999998
BRA,Brazil,2043,28.365522767999998
BRA,Brazil,2044,28.365522767999998
BRA,Brazil,2045,28.365522767999998
BRA,Brazil,2046,28.365522767999998
BRA,Brazil,2047,28.365522767999998
BRA,Brazil,2048,28.365522767999998
BRA,Brazil,2049,28.365522767999998
BRA,Brazil,2050,28.365522767999998
BRB,Barbados,2023,8.639665276
BRB,Barbados,2024,8.639665276
BRB,Barbados,2025,8.639665276
BRB,Barbados,2026,8.639665276
BRB,Barbados,2027,8.639665276
BRB,Barbados,2028,8.639665276
BRB,Barbados,2029,8.639665276
BRB,Barbados,2030,8.639665276
BRB,Barbados,2031,8.639665276
BRB,Barbados,2032,8.639665276
BRB,Barbados,2033,8.639665276
BRB,Barbados,2034,8.639665276
BRB,Barbados,2035,8.639665276
