,Nation,iso_code3,Year,frac_trns_mtkm_dem_freight_aviation
44,Afghanistan,AFG,2035,0.0002784990649964488
45,Afghanistan,AFG,2036,0.0002784990649964488
46,Afghanistan,AFG,2037,0.0002784990649964488
47,Afghanistan,AFG,2038,0.0002784990649964488
48,Afghanistan,AFG,2039,0.0002784990649964488
49,Afghanistan,AFG,2040,0.0002784990649964488
50,Afghanistan,AFG,2041,0.0002784990649964488
51,Afghanistan,AFG,2042,0.0002784990649964488
52,Afghanistan,AFG,2043,0.0002784990649964488
53,Afghanistan,AFG,2044,0.0002784990649964488
54,Afghanistan,AFG,2045,0.0002784990649964488
55,Afghanistan,AFG,2046,0.0002784990649964488
56,Afghanistan,AFG,2047,0.0002784990649964488
57,Afghanistan,AFG,2048,0.0002784990649964488
58,Afghanistan,AFG,2049,0.0002784990649964488
59,Afghanistan,AFG,2050,0.0002784990649964488
60,Angola,AGO,2021,0.0002839995636625459
61,Angola,AGO,2022,0.0002839995636625459
62,Angola,AGO,2023,0.0002839995636625459
63,Angola,AGO,2024,0.0002839995636625459
64,Angola,AGO,2025,0.0002839995636625459
65,Angola,AGO,2026,0.0002839995636625459
66,Angola,AGO,2027,0.0002839995636625459
67,Angola,AGO,2028,0.0002839995636625459
68,Angola,AGO,2029,0.0002839995636625459
69,Angola,AGO,2030,0.0002839995636625459
70,Angola,AGO,2031,0.0002839995636625459
71,Angola,AGO,2032,0.0002839995636625459
72,Angola,AGO,2033,0.0002839995636625459
73,Angola,AGO,2034,0.0002839995636625459
74,Angola,AGO,2035,0.0002839995636625459
75,Angola,AGO,2036,0.0002839995636625459
76,Angola,AGO,2037,0.0002839995636625459
77,Angola,AGO,2038,0.0002839995636625459
78,Angola,AGO,2039,0.0002839995636625459
79,Angola,AGO,2040,0.0002839995636625459
80,Angola,AGO,2041,0.0002839995636625459
81,Angola,AGO,2042,0.0002839995636625459
82,Angola,AGO,2043,0.0002839995636625459
83,Angola,AGO,2044,0.0002839995636625459
84,Angola,AGO,2045,0.0002839995636625459
85,Angola,AGO,2046,0.0002839995636625459
86,Angola,AGO,2047,0.0002839995636625459
87,Angola,AGO,2048,0.0002839995636625459
88,Angola,AGO,2049,0.0002839995636625459
89,Angola,AGO,2050,0.0002839995636625459
90,Albania,ALB,2021,0.06237565436373428
91,Albania,ALB,2022,0.06237565436373428
92,Albania,ALB,2023,0.06237565436373428
93,Albania,ALB,2024,0.06237565436373428
94,Albania,ALB,2025,0.06237565436373428
95,Albania,ALB,2026,0.06237565436373428
96,Albania,ALB,2027,0.06237565436373428
97,Albania,ALB,2028,0.06237565436373428
98,Albania,ALB,2029,0.06237565436373428
99,Albania,ALB,2030,0.06237565436373428
100,Albania,ALB,2031,0.06237565436373428
101,Albania,ALB,2032,0.06237565436373428
102,Albania,ALB,2033,0.06237565436373428
103,Albania,ALB,2034,0.06237565436373428
104,Albania,ALB,2035,0.06237565436373428
105,Albania,ALB,2036,0.06237565436373428
106,Albania,ALB,2037,0.06237565436373428
107,Albania,ALB,2038,0.06237565436373428
108,Albania,ALB,2039,0.06237565436373428
109,Albania,ALB,2040,0.06237565436373428
110,Albania,ALB,2041,0.06237565436373428
111,Albania,ALB,2042,0.06237565436373428
112,Albania,ALB,2043,0.06237565436373428
113,Albania,ALB,2044,0.06237565436373428
114,Albania,ALB,2045,0.06237565436373428
115,Albania,ALB,2046,0.06237565436373428
116,Albania,ALB,2047,0.06237565436373428
117,Albania,ALB,2048,0.06237565436373428
118,Albania,ALB,2049,0.06237565436373428
119,Albania,ALB,2050,0.06237565436373428
120,United Arab Emirates,ARE,2021,0.02814230264967264
121,United Arab Emirates,ARE,2022,0.02814230264967264
122,United Arab Emirates,ARE,2023,0.02814230264967264
123,United Arab Emirates,ARE,2024,0.02814230264967264
124,United Arab Emirates,ARE,2025,0.02814230264967264
125,United Arab Emirates,ARE,2026,0.02814230264967264
126,United Arab Emirates,ARE,2027,0.02814230264967264
127,United Arab Emirates,ARE,2028,0.02814230264967264
128,United Arab Emirates,ARE,2029,0.02814230264967264
129,United Arab Emirates,ARE,2030,0.02814230264967264
130,United Arab Emirates,ARE,2031,0.02814230264967264
131,United Arab Emirates,ARE,2032,0.02814230264967264
132,United Arab Emirates,ARE,2033,0.02814230264967264
133,United Arab Emirates,ARE,2034,0.02814230264967264
134,United Arab Emirates,ARE,2035,0.02814230264967264
135,United Arab Emirates,ARE,2036,0.02814230264967264
136,United Arab Emirates,ARE,2037,0.02814230264967264
137,United Arab Emirates,ARE,2038,0.02814230264967264
138,United Arab Emirates,ARE,2039,0.02814230264967264
139,United Arab Emirates,ARE,2040,0.02814230264967264
140,United Arab Emirates,ARE,2041,0.02814230264967264
141,United Arab Emirates,ARE,2042,0.02814230264967264
142,United Arab Emirates,ARE,2043,0.02814230264967264
143,United Arab Emirates,ARE,2044,0.02814230264967264
144,United Arab Emirates,ARE,2045,0.02814230264967264
145,United Arab Emirates,ARE,2046,0.02814230264967264
146,United Arab Emirates,ARE,2047,0.02814230264967264
147,United Arab Emirates,ARE,2048,0.02814230264967264
148,United Arab Emirates,ARE,2049,0.02814230264967264
149,United Arab Emirates,ARE,2050,0.02814230264967264
150,Argentina,ARG,2021,8.171273836034087e-05
151,Argentina,ARG,2022,8.171273836034087e-05
152,Argentina,ARG,2023,8.171273836034087e-05
153,Argentina,ARG,2024,8.171273836034087e-05
154,Argentina,ARG,2025,8.171273836034087e-05
155,Argentina,ARG,2026,8.171273836034087e-05
156,Argentina,ARG,2027,8.171273836034087e-05
157,Argentina,ARG,2028,8.171273836034087e-05
158,Argentina,ARG,2029,8.171273836034087e-05
159,Argentina,ARG,2030,8.171273836034087e-05
160,Argentina,ARG,2031,8.171273836034087e-05
161,Argentina,ARG,2032,8.171273836034087e-05
162,Argentina,ARG,2033,8.171273836034087e-05
163,Argentina,ARG,2034,8.171273836034087e-05
164,Argentina,ARG,2035,8.171273836034087e-05
165,Argentina,ARG,2036,8.171273836034087e-05
166,Argentina,ARG,2037,8.171273836034087e-05
167,Argentina,ARG,2038,8.171273836034087e-05
168,Argentina,ARG,2039,8.171273836034087e-05
169,Argentina,ARG,2040,8.171273836034087e-05
170,Argentina,ARG,2041,8.171273836034087e-05
171,Argentina,ARG,2042,8.171273836034087e-05
172,Argentina,ARG,2043,8.171273836034087e-05
173,Argentina,ARG,2044,8.171273836034087e-05
174,Argentina,ARG,2045,8.171273836034087e-05
175,Argentina,ARG,2046,8.171273836034087e-05
176,Argentina,ARG,2047,8.171273836034087e-05
177,Argentina,ARG,2048,8.171273836034087e-05
178,Argentina,ARG,2049,8.171273836034087e-05
179,Argentina,ARG,2050,8.171273836034087e-05
180,Armenia,ARM,2021,4.103228162772894e-06
181,Armenia,ARM,2022,4.103228162772894e-06
182,Armenia,ARM,2023,4.103228162772894e-06
183,Armenia,ARM,2024,4.103228162772894e-06
184,Armenia,ARM,2025,4.103228162772894e-06
185,Armenia,ARM,2026,4.103228162772894e-06
186,Armenia,ARM,2027,4.103228162772894e-06
187,Armenia,ARM,2028,4.103228162772894e-06
188,Armenia,ARM,2029,4.103228162772894e-06
189,Armenia,ARM,2030,4.103228162772894e-06
190,Armenia,ARM,2031,4.103228162772894e-06
191,Armenia,ARM,2032,4.103228162772894e-06
192,Armenia,ARM,2033,4.103228162772894e-06
193,Armenia,ARM,2034,4.103228162772894e-06
194,Armenia,ARM,2035,4.103228162772894e-06
195,Armenia,ARM,2036,4.103228162772894e-06
196,Armenia,ARM,2037,4.103228162772894e-06
197,Armenia,ARM,2038,4.103228162772894e-06
198,Armenia,ARM,2039,4.103228162772894e-06
199,Armenia,ARM,2040,4.103228162772894e-06
200,Armenia,ARM,2041,4.103228162772894e-06
201,Armenia,ARM,2042,4.103228162772894e-06
202,Armenia,ARM,2043,4.103228162772894e-06
203,Armenia,ARM,2044,4.103228162772894e-06
204,Armenia,ARM,2045,4.103228162772894e-06
205,Armenia,ARM,2046,4.103228162772894e-06
206,Armenia,ARM,2047,4.103228162772894e-06
207,Armenia,ARM,2048,4.103228162772894e-06
208,Armenia,ARM,2049,4.103228162772894e-06
209,Armenia,ARM,2050,4.103228162772894e-06
210,Australia,AUS,2021,0.0007757872711198497
211,Australia,AUS,2022,0.0007757872711198497
212,Australia,AUS,2023,0.0007757872711198497
213,Australia,AUS,2024,0.0007757872711198497
214,Australia,AUS,2025,0.0007757872711198497
215,Australia,AUS,2026,0.0007757872711198497
216,Australia,AUS,2027,0.0007757872711198497
217,Australia,AUS,2028,0.0007757872711198497
218,Australia,AUS,2029,0.0007757872711198497
219,Australia,AUS,2030,0.0007757872711198497
220,Australia,AUS,2031,0.0007757872711198497
221,Australia,AUS,2032,0.0007757872711198497
222,Australia,AUS,2033,0.0007757872711198497
223,Australia,AUS,2034,0.0007757872711198497
224,Australia,AUS,2035,0.0007757872711198497
225,Australia,AUS,2036,0.0007757872711198497
226,Australia,AUS,2037,0.0007757872711198497
227,Australia,AUS,2038,0.0007757872711198497
228,Australia,AUS,2039,0.0007757872711198497
229,Australia,AUS,2040,0.0007757872711198497
230,Australia,AUS,2041,0.0007757872711198497
231,Australia,AUS,2042,0.0007757872711198497
232,Australia,AUS,2043,0.0007757872711198497
233,Australia,AUS,2044,0.0007757872711198497
234,Australia,AUS,2045,0.0007757872711198497
235,Australia,AUS,2046,0.0007757872711198497
236,Australia,AUS,2047,0.0007757872711198497
237,Australia,AUS,2048,0.0007757872711198497
238,Australia,AUS,2049,0.0007757872711198497
239,Australia,AUS,2050,0.0007757872711198497
240,Austria,AUT,2021,0.0007271425997035167
241,Austria,AUT,2022,0.0007271425997035167
242,Austria,AUT,2023,0.0007271425997035167
243,Austria,AUT,2024,0.0007271425997035167
244,Austria,AUT,2025,0.0007271425997035167
245,Austria,AUT,2026,0.0007271425997035167
246,Austria,AUT,2027,0.0007271425997035167
247,Austria,AUT,2028,0.0007271425997035167
248,Austria,AUT,2029,0.0007271425997035167
249,Austria,AUT,2030,0.0007271425997035167
250,Austria,AUT,2031,0.0007271425997035167
251,Austria,AUT,2032,0.0007271425997035167
252,Austria,AUT,2033,0.0007271425997035167
253,Austria,AUT,2034,0.0007271425997035167
254,Austria,AUT,2035,0.0007271425997035167
255,Austria,AUT,2036,0.0007271425997035167
256,Austria,AUT,2037,0.0007271425997035167
257,Austria,AUT,2038,0.0007271425997035167
258,Austria,AUT,2039,0.0007271425997035167
259,Austria,AUT,2040,0.0007271425997035167
260,Austria,AUT,2041,0.0007271425997035167
261,Austria,AUT,2042,0.0007271425997035167
262,Austria,AUT,2043,0.0007271425997035167
263,Austria,AUT,2044,0.0007271425997035167
264,Austria,AUT,2045,0.0007271425997035167
265,Austria,AUT,2046,0.0007271425997035167
266,Austria,AUT,2047,0.0007271425997035167
267,Austria,AUT,2048,0.0007271425997035167
268,Austria,AUT,2049,0.0007271425997035167
269,Austria,AUT,2050,0.0007271425997035167
270,Azerbaijan,AZE,2021,0.021712631462300375
271,Azerbaijan,AZE,2022,0.021712631462300375
272,Azerbaijan,AZE,2023,0.021712631462300375
273,Azerbaijan,AZE,2024,0.021712631462300375
274,Azerbaijan,AZE,2025,0.021712631462300375
275,Azerbaijan,AZE,2026,0.021712631462300375
276,Azerbaijan,AZE,2027,0.021712631462300375
277,Azerbaijan,AZE,2028,0.021712631462300375
278,Azerbaijan,AZE,2029,0.021712631462300375
279,Azerbaijan,AZE,2030,0.021712631462300375
280,Azerbaijan,AZE,2031,0.021712631462300375
281,Azerbaijan,AZE,2032,0.021712631462300375
282,Azerbaijan,AZE,2033,0.021712631462300375
283,Azerbaijan,AZE,2034,0.021712631462300375
284,Azerbaijan,AZE,2035,0.021712631462300375
285,Azerbaijan,AZE,2036,0.021712631462300375
286,Azerbaijan,AZE,2037,0.021712631462300375
287,Azerbaijan,AZE,2038,0.021712631462300375
288,Azerbaijan,AZE,2039,0.021712631462300375
289,Azerbaijan,AZE,2040,0.021712631462300375
290,Azerbaijan,AZE,2041,0.021712631462300375
291,Azerbaijan,AZE,2042,0.021712631462300375
292,Azerbaijan,AZE,2043,0.021712631462300375
293,Azerbaijan,AZE,2044,0.021712631462300375
294,Azerbaijan,AZE,2045,0.021712631462300375
295,Azerbaijan,AZE,2046,0.021712631462300375
296,Azerbaijan,AZE,2047,0.021712631462300375
297,Azerbaijan,AZE,2048,0.021712631462300375
298,Azerbaijan,AZE,2049,0.021712631462300375
299,Azerbaijan,AZE,2050,0.021712631462300375
300,Burundi,BDI,2021,0.006235438032832136
301,Burundi,BDI,2022,0.006235438032832136
302,Burundi,BDI,2023,0.006235438032832136
303,Burundi,BDI,2024,0.006235438032832136
304,Burundi,BDI,2025,0.006235438032832136
305,Burundi,BDI,2026,0.006235438032832136
306,Burundi,BDI,2027,0.006235438032832136
307,Burundi,BDI,2028,0.006235438032832136
308,Burundi,BDI,2029,0.006235438032832136
309,Burundi,BDI,2030,0.006235438032832136
310,Burundi,BDI,2031,0.006235438032832136
311,Burundi,BDI,2032,0.006235438032832136
312,Burundi,BDI,2033,0.006235438032832136
313,Burundi,BDI,2034,0.006235438032832136
314,Burundi,BDI,2035,0.006235438032832136
315,Burundi,BDI,2036,0.006235438032832136
316,Burundi,BDI,2037,0.006235438032832136
317,Burundi,BDI,2038,0.006235438032832136
318,Burundi,BDI,2039,0.006235438032832136
319,Burundi,BDI,2040,0.006235438032832136
320,Burundi,BDI,2041,0.006235438032832136
321,Burundi,BDI,2042,0.006235438032832136
322,Burundi,BDI,2043,0.006235438032832136
323,Burundi,BDI,2044,0.006235438032832136
324,Burundi,BDI,2045,0.006235438032832136
325,Burundi,BDI,2046,0.006235438032832136
326,Burundi,BDI,2047,0.006235438032832136
327,Burundi,BDI,2048,0.006235438032832136
328,Burundi,BDI,2049,0.006235438032832136
329,Burundi,BDI,2050,0.006235438032832136
330,Belgium,BEL,2021,0.0020003935078514116
331,Belgium,BEL,2022,0.0020003935078514116
332,Belgium,BEL,2023,0.0020003935078514116
333,Belgium,BEL,2024,0.0020003935078514116
334,Belgium,BEL,2025,0.0020003935078514116
335,Belgium,BEL,2026,0.0020003935078514116
336,Belgium,BEL,2027,0.0020003935078514116
337,Belgium,BEL,2028,0.0020003935078514116
338,Belgium,BEL,2029,0.0020003935078514116
339,Belgium,BEL,2030,0.0020003935078514116
340,Belgium,BEL,2031,0.0020003935078514116
341,Belgium,BEL,2032,0.0020003935078514116
342,Belgium,BEL,2033,0.0020003935078514116
343,Belgium,BEL,2034,0.0020003935078514116
344,Belgium,BEL,2035,0.0020003935078514116
345,Belgium,BEL,2036,0.0020003935078514116
346,Belgium,BEL,2037,0.0020003935078514116
347,Belgium,BEL,2038,0.0020003935078514116
348,Belgium,BEL,2039,0.0020003935078514116
349,Belgium,BEL,2040,0.0020003935078514116
350,Belgium,BEL,2041,0.0020003935078514116
351,Belgium,BEL,2042,0.0020003935078514116
352,Belgium,BEL,2043,0.0020003935078514116
353,Belgium,BEL,2044,0.0020003935078514116
354,Belgium,BEL,2045,0.0020003935078514116
355,Belgium,BEL,2046,0.0020003935078514116
356,Belgium,BEL,2047,0.0020003935078514116
357,Belgium,BEL,2048,0.0020003935078514116
358,Belgium,BEL,2049,0.0020003935078514116
359,Belgium,BEL,2050,0.0020003935078514116
360,Benin,BEN,2021,8.324915664034217e-06
361,Benin,BEN,2022,8.324915664034217e-06
362,Benin,BEN,2023,8.324915664034217e-06
363,Benin,BEN,2024,8.324915664034217e-06
364,Benin,BEN,2025,8.324915664034217e-06
365,Benin,BEN,2026,8.324915664034217e-06
366,Benin,BEN,2027,8.324915664034217e-06
367,Benin,BEN,2028,8.324915664034217e-06
368,Benin,BEN,2029,8.324915664034217e-06
369,Benin,BEN,2030,8.324915664034217e-06
370,Benin,BEN,2031,8.324915664034217e-06
371,Benin,BEN,2032,8.324915664034217e-06
372,Benin,BEN,2033,8.324915664034217e-06
373,Benin,BEN,2034,8.324915664034217e-06
374,Benin,BEN,2035,8.324915664034217e-06
375,Benin,BEN,2036,8.324915664034217e-06
376,Benin,BEN,2037,8.324915664034217e-06
377,Benin,BEN,2038,8.324915664034217e-06
378,Benin,BEN,2039,8.324915664034217e-06
379,Benin,BEN,2040,8.324915664034217e-06
380,Benin,BEN,2041,8.324915664034217e-06
381,Benin,BEN,2042,8.324915664034217e-06
382,Benin,BEN,2043,8.324915664034217e-06
383,Benin,BEN,2044,8.324915664034217e-06
384,Benin,BEN,2045,8.324915664034217e-06
385,Benin,BEN,2046,8.324915664034217e-06
386,Benin,BEN,2047,8.324915664034217e-06
387,Benin,BEN,2048,8.324915664034217e-06
388,Benin,BEN,2049,8.324915664034217e-06
389,Benin,BEN,2050,8.324915664034217e-06
390,Burkina Faso,BFA,2021,7.999408074754905e-07
391,Burkina Faso,BFA,2022,7.999408074754905e-07
392,Burkina Faso,BFA,2023,7.999408074754905e-07
393,Burkina Faso,BFA,2024,7.999408074754905e-07
394,Burkina Faso,BFA,2025,7.999408074754905e-07
395,Burkina Faso,BFA,2026,7.999408074754905e-07
396,Burkina Faso,BFA,2027,7.999408074754905e-07
397,Burkina Faso,BFA,2028,7.999408074754905e-07
398,Burkina Faso,BFA,2029,7.999408074754905e-07
399,Burkina Faso,BFA,2030,7.999408074754905e-07
400,Burkina Faso,BFA,2031,7.999408074754905e-07
401,Burkina Faso,BFA,2032,7.999408074754905e-07
402,Burkina Faso,BFA,2033,7.999408074754905e-07
403,Burkina Faso,BFA,2034,7.999408074754905e-07
404,Burkina Faso,BFA,2035,7.999408074754905e-07
405,Burkina Faso,BFA,2036,7.999408074754905e-07
406,Burkina Faso,BFA,2037,7.999408074754905e-07
407,Burkina Faso,BFA,2038,7.999408074754905e-07
408,Burkina Faso,BFA,2039,7.999408074754905e-07
409,Burkina Faso,BFA,2040,7.999408074754905e-07
410,Burkina Faso,BFA,2041,7.999408074754905e-07
411,Burkina Faso,BFA,2042,7.999408074754905e-07
412,Burkina Faso,BFA,2043,7.999408074754905e-07
413,Burkina Faso,BFA,2044,7.999408074754905e-07
414,Burkina Faso,BFA,2045,7.999408074754905e-07
415,Burkina Faso,BFA,2046,7.999408074754905e-07
416,Burkina Faso,BFA,2047,7.999408074754905e-07
417,Burkina Faso,BFA,2048,7.999408074754905e-07
418,Burkina Faso,BFA,2049,7.999408074754905e-07
419,Burkina Faso,BFA,2050,7.999408074754905e-07
420,Bangladesh,BGD,2021,0.0002575182655688058
421,Bangladesh,BGD,2022,0.0002575182655688058
422,Bangladesh,BGD,2023,0.0002575182655688058
423,Bangladesh,BGD,2024,0.0002575182655688058
424,Bangladesh,BGD,2025,0.0002575182655688058
425,Bangladesh,BGD,2026,0.0002575182655688058
426,Bangladesh,BGD,2027,0.0002575182655688058
427,Bangladesh,BGD,2028,0.0002575182655688058
428,Bangladesh,BGD,2029,0.0002575182655688058
429,Bangladesh,BGD,2030,0.0002575182655688058
430,Bangladesh,BGD,2031,0.0002575182655688058
431,Bangladesh,BGD,2032,0.0002575182655688058
432,Bangladesh,BGD,2033,0.0002575182655688058
433,Bangladesh,BGD,2034,0.0002575182655688058
434,Bangladesh,BGD,2035,0.0002575182655688058
435,Bangladesh,BGD,2036,0.0002575182655688058
436,Bangladesh,BGD,2037,0.0002575182655688058
437,Bangladesh,BGD,2038,0.0002575182655688058
438,Bangladesh,BGD,2039,0.0002575182655688058
439,Bangladesh,BGD,2040,0.0002575182655688058
440,Bangladesh,BGD,2041,0.0002575182655688058
441,Bangladesh,BGD,2042,0.0002575182655688058
442,Bangladesh,BGD,2043,0.0002575182655688058
443,Bangladesh,BGD,2044,0.0002575182655688058
444,Bangladesh,BGD,2045,0.0002575182655688058
445,Bangladesh,BGD,2046,0.0002575182655688058
446,Bangladesh,BGD,2047,0.0002575182655688058
447,Bangladesh,BGD,2048,0.0002575182655688058
448,Bangladesh,BGD,2049,0.0002575182655688058
449,Bangladesh,BGD,2050,0.0002575182655688058
450,Bulgaria,BGR,2021,1.1784906414021056e-05
451,Bulgaria,BGR,2022,1.1784906414021056e-05
452,Bulgaria,BGR,2023,1.1784906414021056e-05
453,Bulgaria,BGR,2024,1.1784906414021056e-05
454,Bulgaria,BGR,2025,1.1784906414021056e-05
455,Bulgaria,BGR,2026,1.1784906414021056e-05
456,Bulgaria,BGR,2027,1.1784906414021056e-05
457,Bulgaria,BGR,2028,1.1784906414021056e-05
458,Bulgaria,BGR,2029,1.1784906414021056e-05
459,Bulgaria,BGR,2030,1.1784906414021056e-05
460,Bulgaria,BGR,2031,1.1784906414021056e-05
461,Bulgaria,BGR,2032,1.1784906414021056e-05
462,Bulgaria,BGR,2033,1.1784906414021056e-05
463,Bulgaria,BGR,2034,1.1784906414021056e-05
464,Bulgaria,BGR,2035,1.1784906414021056e-05
465,Bulgaria,BGR,2036,1.1784906414021056e-05
466,Bulgaria,BGR,2037,1.1784906414021056e-05
467,Bulgaria,BGR,2038,1.1784906414021056e-05
468,Bulgaria,BGR,2039,1.1784906414021056e-05
469,Bulgaria,BGR,2040,1.1784906414021056e-05
470,Bulgaria,BGR,2041,1.1784906414021056e-05
471,Bulgaria,BGR,2042,1.1784906414021056e-05
472,Bulgaria,BGR,2043,1.1784906414021056e-05
473,Bulgaria,BGR,2044,1.1784906414021056e-05
474,Bulgaria,BGR,2045,1.1784906414021056e-05
475,Bulgaria,BGR,2046,1.1784906414021056e-05
476,Bulgaria,BGR,2047,1.1784906414021056e-05
477,Bulgaria,BGR,2048,1.1784906414021056e-05
478,Bulgaria,BGR,2049,1.1784906414021056e-05
479,Bulgaria,BGR,2050,1.1784906414021056e-05
480,Bahrain,BHR,2021,0.0026280897039074394
481,Bahrain,BHR,2022,0.0026280897039074394
482,Bahrain,BHR,2023,0.0026280897039074394
483,Bahrain,BHR,2024,0.0026280897039074394
484,Bahrain,BHR,2025,0.0026280897039074394
485,Bahrain,BHR,2026,0.0026280897039074394
486,Bahrain,BHR,2027,0.0026280897039074394
487,Bahrain,BHR,2028,0.0026280897039074394
488,Bahrain,BHR,2029,0.0026280897039074394
489,Bahrain,BHR,2030,0.0026280897039074394
490,Bahrain,BHR,2031,0.0026280897039074394
491,Bahrain,BHR,2032,0.0026280897039074394
492,Bahrain,BHR,2033,0.0026280897039074394
493,Bahrain,BHR,2034,0.0026280897039074394
494,Bahrain,BHR,2035,0.0026280897039074394
495,Bahrain,BHR,2036,0.0026280897039074394
496,Bahrain,BHR,2037,0.0026280897039074394
497,Bahrain,BHR,2038,0.0026280897039074394
498,Bahrain,BHR,2039,0.0026280897039074394
499,Bahrain,BHR,2040,0.0026280897039074394
500,Bahrain,BHR,2041,0.0026280897039074394
501,Bahrain,BHR,2042,0.0026280897039074394
502,Bahrain,BHR,2043,0.0026280897039074394
503,Bahrain,BHR,2044,0.0026280897039074394
504,Bahrain,BHR,2045,0.0026280897039074394
505,Bahrain,BHR,2046,0.0026280897039074394
506,Bahrain,BHR,2047,0.0026280897039074394
507,Bahrain,BHR,2048,0.0026280897039074394
508,Bahrain,BHR,2049,0.0026280897039074394
509,Bahrain,BHR,2050,0.0026280897039074394
510,Bosnia and Herzegovina,BIH,2021,5.1482561414700476e-08
511,Bosnia and Herzegovina,BIH,2022,5.1482561414700476e-08
512,Bosnia and Herzegovina,BIH,2023,5.1482561414700476e-08
513,Bosnia and Herzegovina,BIH,2024,5.1482561414700476e-08
514,Bosnia and Herzegovina,BIH,2025,5.1482561414700476e-08
515,Bosnia and Herzegovina,BIH,2026,5.1482561414700476e-08
516,Bosnia and Herzegovina,BIH,2027,5.1482561414700476e-08
517,Bosnia and Herzegovina,BIH,2028,5.1482561414700476e-08
518,Bosnia and Herzegovina,BIH,2029,5.1482561414700476e-08
519,Bosnia and Herzegovina,BIH,2030,5.1482561414700476e-08
520,Bosnia and Herzegovina,BIH,2031,5.1482561414700476e-08
521,Bosnia and Herzegovina,BIH,2032,5.1482561414700476e-08
522,Bosnia and Herzegovina,BIH,2033,5.1482561414700476e-08
523,Bosnia and Herzegovina,BIH,2034,5.1482561414700476e-08
524,Bosnia and Herzegovina,BIH,2035,5.1482561414700476e-08
525,Bosnia and Herzegovina,BIH,2036,5.1482561414700476e-08
526,Bosnia and Herzegovina,BIH,2037,5.1482561414700476e-08
527,Bosnia and Herzegovina,BIH,2038,5.1482561414700476e-08
528,Bosnia and Herzegovina,BIH,2039,5.1482561414700476e-08
529,Bosnia and Herzegovina,BIH,2040,5.1482561414700476e-08
530,Bosnia and Herzegovina,BIH,2041,5.1482561414700476e-08
531,Bosnia and Herzegovina,BIH,2042,5.1482561414700476e-08
532,Bosnia and Herzegovina,BIH,2043,5.1482561414700476e-08
533,Bosnia and Herzegovina,BIH,2044,5.1482561414700476e-08
534,Bosnia and Herzegovina,BIH,2045,5.1482561414700476e-08
535,Bosnia and Herzegovina,BIH,2046,5.1482561414700476e-08
536,Bosnia and Herzegovina,BIH,2047,5.1482561414700476e-08
537,Bosnia and Herzegovina,BIH,2048,5.1482561414700476e-08
538,Bosnia and Herzegovina,BIH,2049,5.1482561414700476e-08
539,Bosnia and Herzegovina,BIH,2050,5.1482561414700476e-08
540,Belarus,BLR,2021,8.427286178734536e-06
541,Belarus,BLR,2022,8.427286178734536e-06
542,Belarus,BLR,2023,8.427286178734536e-06
543,Belarus,BLR,2024,8.427286178734536e-06
544,Belarus,BLR,2025,8.427286178734536e-06
545,Belarus,BLR,2026,8.427286178734536e-06
546,Belarus,BLR,2027,8.427286178734536e-06
547,Belarus,BLR,2028,8.427286178734536e-06
548,Belarus,BLR,2029,8.427286178734536e-06
549,Belarus,BLR,2030,8.427286178734536e-06
550,Belarus,BLR,2031,8.427286178734536e-06
