"year","prodinit_ippu_cement_tonne","location_code"
2050,82472868.9896541,"ARG"
2021,474899.5,"ARM"
2022,642293.293639768,"ARM"
2023,868690.480943065,"ARM"
2024,1174888.72942261,"ARM"
2025,1589016.52177164,"ARM"
2026,2149117.14039858,"ARM"
2027,2906643.46145718,"ARM"
2028,3931184.60283877,"ARM"
2029,5316858.63317029,"ARM"
2030,7190958.59927412,"ARM"
2031,9725646.12755959,"ARM"
2032,13153766.8160213,"ARM"
2033,17790240.2761675,"ARM"
2034,24060989.7917822,"ARM"
2035,32542069.1779979,"ARM"
2036,44012581.175995,"ARM"
2037,59526248.6591741,"ARM"
2038,80508213.4416245,"ARM"
2039,108885954.978842,"ARM"
2040,147266355.627815,"ARM"
2041,199175178.324077,"ARM"
2042,269380955.964492,"ARM"
2043,364333046.150318,"ARM"
2044,492754092.589479,"ARM"
2045,666441318.813289,"ARM"
2046,901350263.957359,"ARM"
2047,1219060516.5098,"ARM"
2048,1648758093.64987,"ARM"
2049,2229916574.73971,"ARM"
2050,3015923287.62501,"ARM"
2021,39407.69,"ASM"
2022,42420.0878588272,"ASM"
2023,45662.759069375,"ASM"
2024,49153.3061592635,"ASM"
2025,52910.6772263939,"ASM"
2026,56955.2687968688,"ASM"
2027,61309.0365455649,"ASM"
2028,65995.6144803949,"ASM"
2029,71040.4432372372,"ASM"
2030,76470.9081819723,"ASM"
2031,82316.4880692975,"ASM"
2032,88608.9150653007,"ASM"
2033,95382.347002461,"ASM"
2034,102673.552802144,"ASM"
2035,110522.112071144,"ASM"
2036,118970.629955754,"ASM"
2037,128064.968419695,"ASM"
2038,137854.495201352,"ASM"
2039,148392.351801784,"ASM"
2040,159735.741958223,"ASM"
2041,171946.242169048,"ASM"
2042,185090.135955856,"ASM"
2043,199238.77367716,"ASM"
2044,214468.959846926,"ASM"
2045,230863.37006046,"ASM"
2046,248510.999790895,"ASM"
2047,267507.647492526,"ASM"
2048,287956.434633472,"ASM"
2049,309968.365480609,"ASM"
2050,333662.929675515,"ASM"
2021,73596.06,"ATG"
2022,77146.1217790378,"ATG"
2023,80867.4283045334,"ATG"
2024,84768.2399294085,"ATG"
2025,88857.2154621979,"ATG"
2026,93143.4313873993,"ATG"
2027,97636.4020129578,"ATG"
2028,102346.100589607,"ATG"
2029,107282.981448945,"ATG"
2030,112458.003209392,"ATG"
2031,117882.653101527,"ATG"
2032,123568.972466821,"ATG"
2033,129529.583486343,"ATG"
2034,135777.717198794,"ATG"
2035,142327.242870038,"ATG"
2036,149192.698779346,"ATG"
2037,156389.324490669,"ATG"
2038,163933.094680593,"ATG"
2039,171840.754598053,"ATG"
2040,180129.85723452,"ATG"
2041,188818.802287173,"ATG"
2042,197926.877001545,"ATG"
2043,207474.298984292,"ATG"
2044,217482.261081132,"ATG"
2045,227972.978419572,"ATG"
2046,238969.737720827,"ATG"
2047,250496.948990417,"ATG"
2048,262580.19970216,"ATG"
2049,275246.31159585,"ATG"
2050,288523.400214692,"ATG"
2021,66415490,"AUS"
2022,70573942.5397005,"AUS"
2023,74992766.9824757,"AUS"
2024,79688265.9137859,"AUS"
2025,84677762.667834,"AUS"
2026,89979665.2393909,"AUS"
2027,95613534.1973123,"AUS"
2028,101600154.850304,"AUS"
2029,107961613.931178,"AUS"
2030,114721381.08252,"AUS"
2031,121904395.444389,"AUS"
2032,129537157.663509,"AUS"
2033,137647827.663405,"AUS"
2034,146266328.536186,"AUS"
2035,155424456.939273,"AUS"
2036,165156000.40437,"AUS"
2037,175496861.991453,"AUS"
2038,186485192.747694,"AUS"
2039,198161532.459984,"AUS"
2040,210568959.220355,"AUS"
2041,223753248.356097,"AUS"
2042,237763041.310913,"AUS"
2043,252650025.100181,"AUS"
2044,268469123.002391,"AUS"
2045,285278697.190287,"AUS"
2046,303140764.049289,"AUS"
2047,322121222.977583,"AUS"
2048,342290099.511996,"AUS"
2049,363721803.676642,"AUS"
2050,386495404.507466,"AUS"
2021,32064990,"AUT"
2022,32536241.209119,"AUT"
2023,33014418.2804352,"AUT"
2024,33499623.0016285,"AUT"
2025,33991958.6563269,"AUT"
2026,34491530.0460924,"AUT"
2027,34998443.5127295,"AUT"
2028,35512806.9609219,"AUT"
2029,36034729.8812018,"AUT"
2030,36564323.3732562,"AUT"
2031,37101700.1695772,"AUT"
2032,37646974.659458,"AUT"
2033,38200262.9133431,"AUT"
2034,38761682.7075353,"AUT"
2035,39331353.5492668,"AUT"
2036,39909396.7021379,"AUT"
2037,40495935.2119297,"AUT"
2038,41091093.9327971,"AUT"
2039,41694999.5538453,"AUT"
2040,42307780.6260977,"AUT"
2041,42929567.5898607,"AUT"
2042,43560492.8024891,"AUT"
2043,44200690.5665611,"AUT"
2044,44850297.1584667,"AUT"
2045,45509450.857416,"AUT"
2046,46178291.9748746,"AUT"
2047,46856962.8844307,"AUT"
2048,47545608.0521021,"AUT"
2049,48244374.0670876,"AUT"
2050,48953409.6729713,"AUT"
2021,2027936,"AZE"
2022,1710648.55760994,"AZE"
2023,1443003.37271637,"AZE"
2024,1217233.50153237,"AZE"
2025,1026787.20318138,"AZE"
2026,866137.811101813,"AZE"
2027,730623.351650518,"AZE"
2028,616311.255708807,"AZE"
2029,519884.237282162,"AZE"
2030,438544.02734153,"AZE"
2031,369930.169305264,"AZE"
2032,312051.519642853,"AZE"
2033,263228.465778523,"AZE"
2034,222044.18448408,"AZE"
2035,187303.526301306,"AZE"
2036,157998.332838208,"AZE"
2037,133278.180462527,"AZE"
2038,112425.701387568,"AZE"
2039,94835.7659792658,"AZE"
2040,79997.9221643407,"AZE"
2041,67481.5823389995,"AZE"
2042,56923.5279088915,"AZE"
2043,48017.3688476432,"AZE"
2044,40504.6523950682,"AZE"
2045,34167.3628734414,"AZE"
2046,28821.594969855,"AZE"
2047,24312.2168861346,"AZE"
2048,20508.3684833082,"AZE"
2049,17299.66377879,"AZE"
2050,14592.9875944428,"AZE"
2021,2578960,"BDI"
2022,2721609.61267803,"BDI"
2023,2872149.58115731,"BDI"
2024,3031016.34345896,"BDI"
2025,3198670.47823236,"BDI"
2026,3375598.04004197,"BDI"
2027,3562311.96851264,"BDI"
2028,3759353.57541877,"BDI"
2029,3967294.11402862,"BDI"
2030,4186736.43525346,"BDI"
2031,4418316.7354031,"BDI"
2032,4662706.4006147,"BDI"
2033,4920613.95330225,"BDI"
2034,5192787.1062696,"BDI"
2035,5480014.93044246,"BDI"
2036,5783130.1425037,"BDI"
2037,6103011.51906433,"BDI"
2038,6440586.44436914,"BDI"
2039,6796833.59892316,"BDI"
2040,7172785.79683372,"BDI"
2041,7569532.98009396,"BDI"
2042,7988225.37848866,"BDI"
2043,8430076.84428348,"BDI"
2044,8896368.37136536,"BDI"
2045,9388451.8090365,"BDI"
2046,9907753.78122895,"BDI"
2047,10455779.822502,"BDI"
2048,11034118.7428136,"BDI"
2049,11644447.2337191,"BDI"
2050,12288534.729353,"BDI"
2021,32981850,"BEL"
2022,32562125.0250729,"BEL"
2023,32147741.4441118,"BEL"
2024,31738631.2828688,"BEL"
2025,31334727.432132,"BEL"
2026,30935963.6367172,"BEL"
2027,30542274.4845997,"BEL"
2028,30153595.3961839,"BEL"
2029,29769862.6137104,"BEL"
2030,29391013.1907968,"BEL"
2031,29016984.9821126,"BEL"
2032,28647716.633185,"BEL"
2033,28283147.5703343,"BEL"
2034,27923217.9907377,"BEL"
2035,27567868.8526194,"BEL"
2036,27217041.8655656,"BEL"
2037,26870679.4809627,"BEL"
2038,26528724.8825572,"BEL"
2039,26191121.9771356,"BEL"
2040,25857815.3853232,"BEL"
2041,25528750.4324999,"BEL"
2042,25203873.1398314,"BEL"
2043,24883130.2154144,"BEL"
2044,24566469.0455354,"BEL"
2045,24253837.6860397,"BEL"
2046,23945184.8538104,"BEL"
2047,23640459.9183568,"BEL"
2048,23339612.8935084,"BEL"
2049,23042594.4292155,"BEL"
2050,22749355.8034545,"BEL"
2021,4626774,"BEN"
2022,4758893.27863986,"BEN"
2023,4894785.27316953,"BEN"
2024,5034557.7149158,"BEN"
2025,5178321.41151422,"BEN"
2026,5326190.33475417,"BEN"
2027,5478281.71093254,"BEN"
2028,5634716.1137874,"BEN"
2029,5795617.5600854,"BEN"
2030,5961113.60793883,"BEN"
2031,6131335.45793002,"BEN"
2032,6306418.05712348,"BEN"
2033,6486500.2060481,"BEN"
2034,6671724.66873429,"BEN"
2035,6862238.28589323,"BEN"
2036,7058192.09132809,"BEN"
2037,7259741.43166929,"BEN"
2038,7467046.08952898,"BEN"
2039,7680270.41017208,"BEN"
2040,7899583.43180465,"BEN"
2041,8125159.01958254,"BEN"
2042,8357176.00344676,"BEN"
2043,8595818.31989484,"BEN"
2044,8841275.15780044,"BEN"
2045,9093741.10839693,"BEN"
2046,9353416.31954385,"BEN"
2047,9620506.65439842,"BEN"
2048,9895223.85461809,"BEN"
2049,10177785.7082232,"BEN"
2050,10468416.2222534,"BEN"
2021,6846015,"BFA"
2022,7108580.40977563,"BFA"
2023,7381215.99824801,"BFA"
2024,7664307.98726972,"BFA"
2025,7958257.41147111,"BFA"
2026,8263480.68637525,"BFA"
2027,8580410.1983017,"BFA"
2028,8909494.91689494,"BFA"
2029,9251201.03114511,"BFA"
2030,9606012.60980209,"BFA"
2031,9974432.28711839,"BFA"
2032,10356981.9748925,"BFA"
2033,10754203.6018209,"BFA"
2034,11166659.8812072,"BFA"
2035,11594935.1081142,"BFA"
2036,12039635.9870904,"BFA"
2037,12501392.4916408,"BFA"
2038,12980858.7566627,"BFA"
2039,13478714.0051076,"BFA"
2040,13995663.5101846,"BFA"
2041,14532439.5944662,"BFA"
2042,15089802.6673138,"BFA"
2043,15668542.3020907,"BFA"
2044,16269478.3546899,"BFA"
2045,16893462.1249614,"BFA"
2046,17541377.5626824,"BFA"
2047,18214142.5197814,"BFA"
2048,18912710.0505885,"BFA"
2049,19638069.7619535,"BFA"
2050,20391249.2151463,"BFA"
2021,79777110,"BGD"
2022,86404004.6821113,"BGD"
2023,93581379.7354444,"BGD"
2024,101354962.254458,"BGD"
2025,109774277.774533,"BGD"
2026,118892965.799414,"BGD"
2027,128769121.538781,"BGD"
2028,139465666.033129,"BGD"
2029,151050747.024055,"BGD"
2030,163598173.123881,"BGD"
2031,177187884.050709,"BGD"
2032,191906459.924794,"BGD"
2033,207847672.870944,"BGD"
2034,225113084.441226,"BGD"
2035,243812692.664152,"BGD"
2036,264065632.842698,"BGD"
2037,286000936.565955,"BGD"
2038,309758353.77006,"BGD"
2039,335489243.085784,"BGD"
2040,363357536.145168,"BGD"
2041,393540781.990819,"BGD"
2042,426231278.241797,"BGD"
2043,461637296.22277,"BGD"
2044,499984407.861722,"BGD"
2045,541516922.8099,"BGD"
2046,586499444.939897,"BGD"
2047,635218558.138325,"BGD"
2048,687984652.133273,"BGD"
2049,745133899.988907,"BGD"
2050,807030399.865844,"BGD"
2021,4178392,"BGR"
2022,4279369.44621072,"BGR"
2023,4382787.17199387,"BGR"
2024,4488704.15056195,"BGR"
2025,4597180.78030832,"BGR"
2026,4708278.91924897,"BGR"
2027,4822061.92029663,"BGR"
2028,4938594.66738726,"BGR"
2029,5057943.61247968,"BGR"
2030,5180176.81344934,"BGR"
2031,5305363.97289778,"BGR"
2032,5433576.47790007,"BGR"
2033,5564887.4407128,"BGR"
2034,5699371.74046573,"BGR"
2035,5837106.06586118,"BGR"
2036,5978168.95890515,"BGR"
2037,6122640.85969531,"BGR"
2038,6270604.15229146,"BGR"
2039,6422143.21169439,"BGR"
2040,6577344.45196011,"BGR"
2041,6736296.3754769,"BGR"
2042,6899089.62343309,"BGR"
2043,7065817.02750459,"BGR"
2044,7236573.66279147,"BGR"
2045,7411456.90203385,"BGR"
2046,7590566.47113798,"BGR"
2047,7774004.50604428,"BGR"
2048,7961875.61096956,"BGR"
2049,8154286.91805686,"BGR"
2050,8351348.14846675,"BGR"
2021,2525170,"BHR"
2022,2516979.9037722,"BHR"
2023,2508816.37117229,"BHR"
2024,2500679.31604421,"BHR"
2025,2492568.65251135,"BHR"
2026,2484484.29497564,"BHR"
2027,2476426.15811661,"BHR"
2028,2468394.15689055,"BHR"
2029,2460388.20652956,"BHR"
2030,2452408.22254068,"BHR"
2031,2444454.12070498,"BHR"
2032,2436525.81707671,"BHR"
2033,2428623.22798236,"BHR"
2034,2420746.27001983,"BHR"
2035,2412894.86005751,"BHR"
2036,2405068.91523343,"BHR"
2037,2397268.35295436,"BHR"
2038,2389493.09089495,"BHR"
2039,2381743.04699689,"BHR"
2040,2374018.13946797,"BHR"
2041,2366318.28678131,"BHR"
2042,2358643.40767442,"BHR"
2043,2350993.4211484,"BHR"
2044,2343368.24646704,"BHR"
2045,2335767.80315601,"BHR"
2046,2328192.01100196,"BHR"
2047,2320640.79005173,"BHR"
2048,2313114.06061146,"BHR"
2049,2305611.74324579,"BHR"
2050,2298133.75877697,"BHR"
2021,940599.9,"BHS"
2022,994862.208829376,"BHS"
2023,1052254.8583695,"BHS"
2024,1112958.43498274,"BHS"
2025,1177163.94288604,"BHS"
2026,1245073.40514697,"BHS"
2027,1316900.49935071,"BHS"
2028,1392871.22993799,"BHS"
2029,1473224.63932965,"BHS"
2030,1558213.56007517,"BHS"
2031,1648105.4103921,"BHS"
2032,1743183.03559923,"BHS"
2033,1843745.59809133,"BHS"
2034,1950109.51865568,"BHS"
2035,2062609.4720922,"BHS"
2036,2181599.44027003,"BHS"
2037,2307453.82593382,"BHS"
2038,2440568.63076459,"BHS"
2039,2581362.70140168,"BHS"
2040,2730279.04734653,"BHS"
2041,2887786.23489512,"BHS"
2042,3054379.86148502,"BHS"
2043,3230584.11509607,"BHS"
2044,3416953.42361143,"BHS"
2045,3614074.19932871,"BHS"
2046,3822566.68411024,"BHS"
2047,4043086.90097829,"BHS"
2048,4276328.71829603,"BHS"
2049,4523026.03302901,"BHS"
2050,4783955.07995696,"BHS"
2021,5262310,"BIH"
2022,5353884.05767386,"BIH"
2023,5447051.67559767,"BIH"
2024,5541840.58470673,"BIH"
2025,5638278.99850661,"BIH"
2026,5736395.62147078,"BIH"
2027,5836219.65758433,"BIH"
2028,5937780.81903642,"BIH"
2029,6041109.33506402,"BIH"
2030,6146235.96094947,"BIH"
2031,6253191.98717468,"BIH"
2032,6362009.24873458,"BIH"
2033,6472720.1346127,"BIH"
2034,6585357.59742158,"BIH"
2035,6699955.163211,"BIH"
2036,6816546.94144682,"BIH"
2037,6935167.63516359,"BIH"
2038,7055852.55129365,"BIH"
2039,7178637.61117618,"BIH"
2040,7303559.36124898,"BIH"
2041,7430654.98392638,"BIH"
2042,7559962.3086664,"BIH"
2043,7691519.82323055,"BIH"
2044,7825366.68513952,"BIH"
2045,7961542.73332826,"BIH"
2046,8100088.50000387,"BIH"
2047,8241045.22270982,"BIH"
2048,8384454.85660014,"BIH"
2049,8530360.08692716,"BIH"
2050,8678804.34174664,"BIH"
2021,8020877,"BLR"
2022,8563526.89161908,"BLR"
2023,9142889.5896899,"BLR"
2024,9761448.88749865,"BLR"
2025,10421856.6185792,"BLR"
2026,11126944.0254228,"BLR"
2027,11879733.8973343,"BLR"
2028,12683453.5294707,"BLR"
2029,13541548.5586207,"BLR"
2030,14457697.7350374,"BLR"
2031,15435828.6936569,"BLR"
2032,16480134.7923122,"BLR"
2033,17595093.0891314,"BLR"
2034,18785483.5361915,"BLR"
2035,20056409.4717128,"BLR"
2036,21413319.4986454,"BLR"
2037,22862030.8434453,"BLR"
2038,24408754.295181,"BLR"
2039,26060120.8318873,"BLR"
2040,27823210.0483163,"BLR"
2041,29705580.5069599,"BLR"
2042,31715302.1424598,"BLR"
2043,33860990.8583287,"BLR"
2044,36151845.4643009,"BLR"
2045,38597687.1126683,"BLR"
2046,41209001.4026689,"BLR"
2047,43996983.3334339,"BLR"
2048,46973585.2982133,"BLR"
2049,50151568.3256348,"BLR"
2050,53544556.7876736,"BLR"
2021,745957.5,"BLZ"
2022,1043590.0404227,"BLZ"
2023,1459976.16817239,"BLZ"
2024,2042497.847879,"BLZ"
2025,2857442.16209546,"BLZ"
2026,3997544.33925087,"BLZ"
2027,5592540.40423262,"BLZ"
2028,7823930.27286233,"BLZ"
2029,10945631.231968,"BLZ"
2030,15312872.0333551,"BLZ"
2031,21422615.5568872,"BLZ"
2032,29970109.8721735,"BLZ"
2033,41928002.8325666,"BLZ"
2034,58657022.9146852,"BLZ"
2035,82060821.0449142,"BLZ"
2036,114802593.380162,"BLZ"
2037,160608135.270754,"BLZ"
2038,224689811.925507,"BLZ"
2039,314339690.813362,"BLZ"
2040,439759330.313558,"BLZ"
2041,615220649.029181,"BLZ"
2042,860689974.950641,"BLZ"
2043,1204100080.43374,"BLZ"
2044,1684528745.42159,"BLZ"
2045,2356645548.20846,"BLZ"
2046,3296932898.88076,"BLZ"
2047,4612389227.55506,"BLZ"
2048,6452704692.19683,"BLZ"
2049,9027294920.37474,"BLZ"
2050,12629131111.1712,"BLZ"
2021,303081.9,"BMU"
2022,333165.650033537,"BMU"
2023,366235.497277367,"BMU"
2024,402587.840170494,"BMU"
2025,442548.497505131,"BMU"
2026,486475.62867549,"BMU"
2027,534762.943788934,"BMU"
2028,587843.232411067,"BMU"
2029,646192.242572218,"BMU"
2030,710332.944802055,"BMU"
2031,780840.219410045,"BMU"
2032,858346.009022899,"BMU"
2033,943544.98256018,"BMU"
2034,1037200.76141315,"BMU"
2035,1140152.76363086,"BMU"
2036,1253323.72745654,"BMU"
2037,1377727.98164626,"BMU"
2038,1514480.53669509,"BMU"
2039,1664807.07845358,"BMU"
2040,1830054.95370532,"BMU"
2041,2011705.24616721,"BMU"
2042,2211386.05114715,"BMU"
2043,2430887.06783723,"BMU"
2044,2672175.64003034,"BMU"
2045,2937414.3890298,"BMU"
2046,3228980.59679241,"BMU"
2047,3549487.51303203,"BMU"
2048,3901807.77725505,"BMU"
2049,4289099.16565486,"BMU"
2050,4714832.89362942,"BMU"
2021,890566,"BOL"
2022,914544.339044346,"BOL"
2023,939168.290815122,"BOL"
2024,964455.238325878,"BOL"
2025,990423.032624867,"BOL"
2026,1017090.0053968,"BOL"
2027,1044474.9819039,"BOL"
2028,1072597.29427539,"BOL"
2029,1101476.79515481,"BOL"
2030,1131133.87171477,"BOL"
2031,1161589.46004907,"BOL"
2032,1192865.05995227,"BOL"
2033,1224982.75009729,"BOL"
2034,1257965.20362158,"BOL"
2035,1291835.70413297,"BOL"
2036,1326618.16214652,"BOL"
2037,1362337.13196384,"BOL"
2038,1399017.82900699,"BOL"
2039,1436686.14761899,"BOL"
2040,1475368.67934368,"BOL"
2041,1515092.7316977,"BOL"
2042,1555886.34744799,"BOL"
2043,1597778.32440823,"BOL"
2044,1640798.23576839,"BOL"
2045,1684976.45097155,"BOL"
2046,1730344.15715294,"BOL"
2047,1776933.38115612,"BOL"
2048,1824777.01214201,"BOL"
2049,1873908.82480661,"BOL"
2050,1924363.50322394,"BOL"
2021,23403860,"BRA"
2022,21855453.5684766,"BRA"
2023,20409490.1731525,"BRA"
2024,19059192.1518764,"BRA"
2025,17798230.2546677,"BRA"
2026,16620693.9766323,"BRA"
2027,15521063.8536611,"BRA"
2028,14494185.5910543,"BRA"
2029,13535245.9038026,"BRA"
2030,12639749.9552839,"BRA"
2031,11803500.2886217,"BRA"
2032,11022577.1519515,"BRA"
2033,10293320.1253736,"BRA"
2034,9612310.96347222,"BRA"
2035,8976357.57297837,"BRA"
2036,8382479.05047595,"BRA"
2037,7827891.71001728,"BRA"
2038,7309996.03515597,"BRA"
2039,6826364.49423725,"BRA"
2040,6374730.16183225,"BRA"
2041,5952976.09298176,"BRA"
2042,5559125.40044309,"BRA"
2043,5191331.98842938,"BRA"
2044,4847871.89940743,"BRA"
2045,4527135.23339405,"BRA"
2046,4227618.60187414,"BRA"
2047,3947918.0809699,"BRA"
2048,3686722.63083042,"BRA"
2049,3442807.95039648,"BRA"
2050,3215030.73873593,"BRA"
2021,2166950,"BRB"
2022,2430481.48221992,"BRB"
2023,2726062.08514916,"BRB"
2024,3057589.4309222,"BRB"
2025,3429435.14713665,"BRB"
2026,3846502.51255903,"BRB"
2027,4314291.11335616,"BRB"
2028,4838969.36243021,"BRB"
2029,5427455.83812094,"BRB"
2030,6087510.51483392,"BRB"
2031,6827837.08859131,"BRB"
2032,7658197.74680338,"BRB"
2033,8589541.89565239,"BRB"
2034,9634150.54253,"BRB"
2035,10805798.237402,"BRB"
2036,12119934.7085121,"BRB"
2037,13593888.5875323,"BRB"
2038,15247095.9105462,"BRB"
2039,17101356.4079529,"BRB"
2040,19181120.9628153,"BRB"
2041,21513814.02817,"BRB"
2042,24130195.2548007,"BRB"
2043,27064765.0980153,"BRB"
2044,30356219.7518902,"BRB"
2045,34047961.4098931,"BRB"
2046,38188670.5803473,"BRB"
2047,42832948.0034754,"BRB"
2048,48042034.634549,"BRB"
2049,53884619.1870784,"BRB"
2050,60437743.8845689,"BRB"
2021,602702.8,"BRN"
2022,610926.402583253,"BRN"
2023,619262.212442541,"BRN"
2024,627711.760594554,"BRN"
2025,636276.598946,"BRN"
2026,644958.300578638,"BRN"
2027,653758.460038207,"BRN"
2028,662678.693627288,"BRN"
2029,671720.639702169,"BRN"
2030,680885.958973755,"BRN"
2031,690176.334812588,"BRN"
2032,699593.473558027,"BRN"
2033,709139.104831647,"BRN"
2034,718814.981854915,"BRN"
2035,728622.881771196,"BRN"
2036,738564.605972163,"BRN"
2037,748641.980428648,"BRN"
2038,758856.856026014,"BRN"
2039,769211.108904107,"BRN"
2040,779706.640801835,"BRN"
2041,790345.379406463,"BRN"
2042,801129.278707659,"BRN"
2043,812060.319356383,"BRN"
2044,823140.509028666,"BRN"
2045,834371.882794356,"BRN"
2046,845756.503490893,"BRN"
2047,857296.462102186,"BRN"
2048,868993.878142657,"BRN"
2049,880850.900046529,"BRN"
2050,892869.70556242,"BRN"
2021,1338772,"BTN"
2022,2556571.16279551,"BTN"
2023,4882127.88319263,"BTN"
2024,9323101.58805991,"BTN"
2025,17803757.972117,"BTN"
2026,33998749.7653856,"BTN"
2027,64925336.9664777,"BTN"
2028,123983952.624702,"BTN"
2029,236764585.702209,"BTN"
2030,452134875.974022,"BTN"
2031,863414371.983658,"BTN"
2032,1648809718.87417,"BTN"
2033,3148631268.21496,"BTN"
2034,6012748924.08461,"BTN"
2035,11482179570.8638,"BTN"
2036,21926817394.5302,"BTN"
2037,41872304651.3811,"BTN"
2038,79960984089.5305,"BTN"
2039,152696610081.51,"BTN"
2040,291595394877.559,"BTN"
2041,556841925098.475,"BTN"
2042,1063367031833.87,"BTN"
2043,2030647107240.01,"BTN"
2044,3877802819437.46,"BTN"
2045,7405203323031.05,"BTN"
2046,14141264733874.5,"BTN"
2047,27004710005946.2,"BTN"
2048,51569246190432.2,"BTN"
2049,98478641394920.8,"BTN"
