iso_code3,Nation,pop_lvst_initial_goats,Year
BEL,Belgium,75360,2038
BEL,Belgium,75360,2039
BEL,Belgium,75360,2040
BEL,Belgium,75360,2041
BEL,Belgium,75360,2042
BEL,Belgium,75360,2043
BEL,Belgium,75360,2044
BEL,Belgium,75360,2045
BEL,Belgium,75360,2046
BEL,Belgium,75360,2047
BEL,Belgium,75360,2048
BEL,Belgium,75360,2049
BEL,Belgium,75360,2050
BLZ,Belize,190,2023
BLZ,Belize,190,2024
BLZ,Belize,190,2025
BLZ,Belize,190,2026
BLZ,Belize,190,2027
BLZ,Belize,190,2028
BLZ,Belize,190,2029
BLZ,Belize,190,2030
BLZ,Belize,190,2031
BLZ,Belize,190,2032
BLZ,Belize,190,2033
BLZ,Belize,190,2034
BLZ,Belize,190,2035
BLZ,Belize,190,2036
BLZ,Belize,190,2037
BLZ,Belize,190,2038
BLZ,Belize,190,2039
BLZ,Belize,190,2040
BLZ,Belize,190,2041
BLZ,Belize,190,2042
BLZ,Belize,190,2043
BLZ,Belize,190,2044
BLZ,Belize,190,2045
BLZ,Belize,190,2046
BLZ,Belize,190,2047
BLZ,Belize,190,2048
BLZ,Belize,190,2049
BLZ,Belize,190,2050
BEN,Benin,3619241,2023
BEN,Benin,3619241,2024
BEN,Benin,3619241,2025
BEN,Benin,3619241,2026
BEN,Benin,3619241,2027
BEN,Benin,3619241,2028
BEN,Benin,3619241,2029
BEN,Benin,3619241,2030
BEN,Benin,3619241,2031
BEN,Benin,3619241,2032
BEN,Benin,3619241,2033
BEN,Benin,3619241,2034
BEN,Benin,3619241,2035
BEN,Benin,3619241,2036
BEN,Benin,3619241,2037
BEN,Benin,3619241,2038
BEN,Benin,3619241,2039
BEN,Benin,3619241,2040
BEN,Benin,3619241,2041
BEN,Benin,3619241,2042
BEN,Benin,3619241,2043
BEN,Benin,3619241,2044
BEN,Benin,3619241,2045
BEN,Benin,3619241,2046
BEN,Benin,3619241,2047
BEN,Benin,3619241,2048
BEN,Benin,3619241,2049
BEN,Benin,3619241,2050
BTN,Bhutan,56004,2023
BTN,Bhutan,56004,2024
BTN,Bhutan,56004,2025
BTN,Bhutan,56004,2026
BTN,Bhutan,56004,2027
BTN,Bhutan,56004,2028
BTN,Bhutan,56004,2029
BTN,Bhutan,56004,2030
BTN,Bhutan,56004,2031
BTN,Bhutan,56004,2032
BTN,Bhutan,56004,2033
BTN,Bhutan,56004,2034
BTN,Bhutan,56004,2035
BTN,Bhutan,56004,2036
BTN,Bhutan,56004,2037
BTN,Bhutan,56004,2038
BTN,Bhutan,56004,2039
BTN,Bhutan,56004,2040
BTN,Bhutan,56004,2041
BTN,Bhutan,56004,2042
BTN,Bhutan,56004,2043
BTN,Bhutan,56004,2044
BTN,Bhutan,56004,2045
BTN,Bhutan,56004,2046
BTN,Bhutan,56004,2047
BTN,Bhutan,56004,2048
BTN,Bhutan,56004,2049
BTN,Bhutan,56004,2050
BOL,Bolivia (Plurinational State of),2281625,2023
BOL,Bolivia (Plurinational State of),2281625,2024
BOL,Bolivia (Plurinational State of),2281625,2025
BOL,Bolivia (Plurinational State of),2281625,2026
BOL,Bolivia (Plurinational State of),2281625,2027
BOL,Bolivia (Plurinational State of),2281625,2028
BOL,Bolivia (Plurinational State of),2281625,2029
BOL,Bolivia (Plurinational State of),2281625,2030
BOL,Bolivia (Plurinational State of),2281625,2031
BOL,Bolivia (Plurinational State of),2281625,2032
BOL,Bolivia (Plurinational State of),2281625,2033
BOL,Bolivia (Plurinational State of),2281625,2034
BOL,Bolivia (Plurinational State of),2281625,2035
BOL,Bolivia (Plurinational State of),2281625,2036
BOL,Bolivia (Plurinational State of),2281625,2037
BOL,Bolivia (Plurinational State of),2281625,2038
BOL,Bolivia (Plurinational State of),2281625,2039
BOL,Bolivia (Plurinational State of),2281625,2040
BOL,Bolivia (Plurinational State of),2281625,2041
BOL,Bolivia (Plurinational State of),2281625,2042
BOL,Bolivia (Plurinational State of),2281625,2043
BOL,Bolivia (Plurinational State of),2281625,2044
BOL,Bolivia (Plurinational State of),2281625,2045
BOL,Bolivia (Plurinational State of),2281625,2046
BOL,Bolivia (Plurinational State of),2281625,2047
BOL,Bolivia (Plurinational State of),2281625,2048
BOL,Bolivia (Plurinational State of),2281625,2049
BOL,Bolivia (Plurinational State of),2281625,2050
BIH,Bosnia and Herzegovina,44588,2023
BIH,Bosnia and Herzegovina,44588,2024
BIH,Bosnia and Herzegovina,44588,2025
BIH,Bosnia and Herzegovina,44588,2026
BIH,Bosnia and Herzegovina,44588,2027
BIH,Bosnia and Herzegovina,44588,2028
BIH,Bosnia and Herzegovina,44588,2029
BIH,Bosnia and Herzegovina,44588,2030
BIH,Bosnia and Herzegovina,44588,2031
BIH,Bosnia and Herzegovina,44588,2032
BIH,Bosnia and Herzegovina,44588,2033
BIH,Bosnia and Herzegovina,44588,2034
BIH,Bosnia and Herzegovina,44588,2035
BIH,Bosnia and Herzegovina,44588,2036
BIH,Bosnia and Herzegovina,44588,2037
BIH,Bosnia and Herzegovina,44588,2038
BIH,Bosnia and Herzegovina,44588,2039
BIH,Bosnia and Herzegovina,44588,2040
BIH,Bosnia and Herzegovina,44588,2041
BIH,Bosnia and Herzegovina,44588,2042
BIH,Bosnia and Herzegovina,44588,2043
BIH,Bosnia and Herzegovina,44588,2044
BIH,Bosnia and Herzegovina,44588,2045
BIH,Bosnia and Herzegovina,44588,2046
BIH,Bosnia and Herzegovina,44588,2047
BIH,Bosnia and Herzegovina,44588,2048
BIH,Bosnia and Herzegovina,44588,2049
BIH,Bosnia and Herzegovina,44588,2050
BWA,Botswana,1162516,2023
BWA,Botswana,1162516,2024
BWA,Botswana,1162516,2025
BWA,Botswana,1162516,2026
BWA,Botswana,1162516,2027
BWA,Botswana,1162516,2028
BWA,Botswana,1162516,2029
BWA,Botswana,1162516,2030
BWA,Botswana,1162516,2031
BWA,Botswana,1162516,2032
BWA,Botswana,1162516,2033
BWA,Botswana,1162516,2034
BWA,Botswana,1162516,2035
BWA,Botswana,1162516,2036
BWA,Botswana,1162516,2037
BWA,Botswana,1162516,2038
BWA,Botswana,1162516,2039
BWA,Botswana,1162516,2040
BWA,Botswana,1162516,2041
BWA,Botswana,1162516,2042
BWA,Botswana,1162516,2043
BWA,Botswana,1162516,2044
BWA,Botswana,1162516,2045
BWA,Botswana,1162516,2046
BWA,Botswana,1162516,2047
BWA,Botswana,1162516,2048
BWA,Botswana,1162516,2049
BWA,Botswana,1162516,2050
BRA,Brazil,12366233,2023
BRA,Brazil,12366233,2024
BRA,Brazil,12366233,2025
BRA,Brazil,12366233,2026
BRA,Brazil,12366233,2027
BRA,Brazil,12366233,2028
BRA,Brazil,12366233,2029
BRA,Brazil,12366233,2030
BRA,Brazil,12366233,2031
BRA,Brazil,12366233,2032
BRA,Brazil,12366233,2033
BRA,Brazil,12366233,2034
BRA,Brazil,12366233,2035
BRA,Brazil,12366233,2036
BRA,Brazil,12366233,2037
BRA,Brazil,12366233,2038
BRA,Brazil,12366233,2039
BRA,Brazil,12366233,2040
BRA,Brazil,12366233,2041
BRA,Brazil,12366233,2042
BRA,Brazil,12366233,2043
BRA,Brazil,12366233,2044
BRA,Brazil,12366233,2045
BRA,Brazil,12366233,2046
BRA,Brazil,12366233,2047
BRA,Brazil,12366233,2048
BRA,Brazil,12366233,2049
BRA,Brazil,12366233,2050
BRN,Brunei Darussalam,4160,2023
BRN,Brunei Darussalam,4160,2024
BRN,Brunei Darussalam,4160,2025
BRN,Brunei Darussalam,4160,2026
BRN,Brunei Darussalam,4160,2027
BRN,Brunei Darussalam,4160,2028
BRN,Brunei Darussalam,4160,2029
BRN,Brunei Darussalam,4160,2030
BRN,Brunei Darussalam,4160,2031
BRN,Brunei Darussalam,4160,2032
BRN,Brunei Darussalam,4160,2033
BRN,Brunei Darussalam,4160,2034
BRN,Brunei Darussalam,4160,2035
BRN,Brunei Darussalam,4160,2036
BRN,Brunei Darussalam,4160,2037
BRN,Brunei Darussalam,4160,2038
BRN,Brunei Darussalam,4160,2039
BRN,Brunei Darussalam,4160,2040
BRN,Brunei Darussalam,4160,2041
BRN,Brunei Darussalam,4160,2042
BRN,Brunei Darussalam,4160,2043
BRN,Brunei Darussalam,4160,2044
BRN,Brunei Darussalam,4160,2045
BRN,Brunei Darussalam,4160,2046
BRN,Brunei Darussalam,4160,2047
BRN,Brunei Darussalam,4160,2048
BRN,Brunei Darussalam,4160,2049
BRN,Brunei Darussalam,4160,2050
BGR,Bulgaria,184020,2023
BGR,Bulgaria,184020,2024
BGR,Bulgaria,184020,2025
BGR,Bulgaria,184020,2026
BGR,Bulgaria,184020,2027
BGR,Bulgaria,184020,2028
BGR,Bulgaria,184020,2029
BGR,Bulgaria,184020,2030
BGR,Bulgaria,184020,2031
BGR,Bulgaria,184020,2032
BGR,Bulgaria,184020,2033
BGR,Bulgaria,184020,2034
BGR,Bulgaria,184020,2035
BGR,Bulgaria,184020,2036
BGR,Bulgaria,184020,2037
BGR,Bulgaria,184020,2038
BGR,Bulgaria,184020,2039
BGR,Bulgaria,184020,2040
BGR,Bulgaria,184020,2041
BGR,Bulgaria,184020,2042
BGR,Bulgaria,184020,2043
BGR,Bulgaria,184020,2044
BGR,Bulgaria,184020,2045
BGR,Bulgaria,184020,2046
BGR,Bulgaria,184020,2047
BGR,Bulgaria,184020,2048
BGR,Bulgaria,184020,2049
BGR,Bulgaria,184020,2050
BFA,Burkina Faso,16346193,2023
BFA,Burkina Faso,16346193,2024
BFA,Burkina Faso,16346193,2025
BFA,Burkina Faso,16346193,2026
BFA,Burkina Faso,16346193,2027
BFA,Burkina Faso,16346193,2028
BFA,Burkina Faso,16346193,2029
BFA,Burkina Faso,16346193,2030
BFA,Burkina Faso,16346193,2031
BFA,Burkina Faso,16346193,2032
BFA,Burkina Faso,16346193,2033
BFA,Burkina Faso,16346193,2034
BFA,Burkina Faso,16346193,2035
BFA,Burkina Faso,16346193,2036
BFA,Burkina Faso,16346193,2037
BFA,Burkina Faso,16346193,2038
BFA,Burkina Faso,16346193,2039
BFA,Burkina Faso,16346193,2040
BFA,Burkina Faso,16346193,2041
BFA,Burkina Faso,16346193,2042
BFA,Burkina Faso,16346193,2043
BFA,Burkina Faso,16346193,2044
BFA,Burkina Faso,16346193,2045
BFA,Burkina Faso,16346193,2046
BFA,Burkina Faso,16346193,2047
BFA,Burkina Faso,16346193,2048
BFA,Burkina Faso,16346193,2049
BFA,Burkina Faso,16346193,2050
BDI,Burundi,3291670,2023
BDI,Burundi,3291670,2024
BDI,Burundi,3291670,2025
BDI,Burundi,3291670,2026
BDI,Burundi,3291670,2027
BDI,Burundi,3291670,2028
BDI,Burundi,3291670,2029
BDI,Burundi,3291670,2030
BDI,Burundi,3291670,2031
BDI,Burundi,3291670,2032
BDI,Burundi,3291670,2033
BDI,Burundi,3291670,2034
BDI,Burundi,3291670,2035
BDI,Burundi,3291670,2036
BDI,Burundi,3291670,2037
BDI,Burundi,3291670,2038
BDI,Burundi,3291670,2039
BDI,Burundi,3291670,2040
BDI,Burundi,3291670,2041
BDI,Burundi,3291670,2042
BDI,Burundi,3291670,2043
BDI,Burundi,3291670,2044
BDI,Burundi,3291670,2045
BDI,Burundi,3291670,2046
BDI,Burundi,3291670,2047
BDI,Burundi,3291670,2048
BDI,Burundi,3291670,2049
BDI,Burundi,3291670,2050
CPV,Cabo Verde,139218,2023
CPV,Cabo Verde,139218,2024
CPV,Cabo Verde,139218,2025
CPV,Cabo Verde,139218,2026
CPV,Cabo Verde,139218,2027
CPV,Cabo Verde,139218,2028
CPV,Cabo Verde,139218,2029
CPV,Cabo Verde,139218,2030
CPV,Cabo Verde,139218,2031
CPV,Cabo Verde,139218,2032
CPV,Cabo Verde,139218,2033
CPV,Cabo Verde,139218,2034
CPV,Cabo Verde,139218,2035
CPV,Cabo Verde,139218,2036
CPV,Cabo Verde,139218,2037
CPV,Cabo Verde,139218,2038
CPV,Cabo Verde,139218,2039
CPV,Cabo Verde,139218,2040
CPV,Cabo Verde,139218,2041
CPV,Cabo Verde,139218,2042
CPV,Cabo Verde,139218,2043
CPV,Cabo Verde,139218,2044
CPV,Cabo Verde,139218,2045
CPV,Cabo Verde,139218,2046
CPV,Cabo Verde,139218,2047
CPV,Cabo Verde,139218,2048
CPV,Cabo Verde,139218,2049
CPV,Cabo Verde,139218,2050
CMR,Cameroon,6639690,2023
CMR,Cameroon,6639690,2024
CMR,Cameroon,6639690,2025
CMR,Cameroon,6639690,2026
CMR,Cameroon,6639690,2027
CMR,Cameroon,6639690,2028
CMR,Cameroon,6639690,2029
CMR,Cameroon,6639690,2030
CMR,Cameroon,6639690,2031
CMR,Cameroon,6639690,2032
CMR,Cameroon,6639690,2033
CMR,Cameroon,6639690,2034
CMR,Cameroon,6639690,2035
CMR,Cameroon,6639690,2036
CMR,Cameroon,6639690,2037
CMR,Cameroon,6639690,2038
CMR,Cameroon,6639690,2039
CMR,Cameroon,6639690,2040
CMR,Cameroon,6639690,2041
CMR,Cameroon,6639690,2042
CMR,Cameroon,6639690,2043
CMR,Cameroon,6639690,2044
CMR,Cameroon,6639690,2045
CMR,Cameroon,6639690,2046
CMR,Cameroon,6639690,2047
CMR,Cameroon,6639690,2048
CMR,Cameroon,6639690,2049
CMR,Cameroon,6639690,2050
CAN,Canada,30002,2023
CAN,Canada,30002,2024
CAN,Canada,30002,2025
CAN,Canada,30002,2026
CAN,Canada,30002,2027
CAN,Canada,30002,2028
CAN,Canada,30002,2029
CAN,Canada,30002,2030
CAN,Canada,30002,2031
CAN,Canada,30002,2032
CAN,Canada,30002,2033
CAN,Canada,30002,2034
CAN,Canada,30002,2035
CAN,Canada,30002,2036
CAN,Canada,30002,2037
CAN,Canada,30002,2038
CAN,Canada,30002,2039
CAN,Canada,30002,2040
